ACT, Deaths (period 1x1), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0                24.00           53.00           77.00
  1971           1                 3.00            4.00            7.00
  1971           2                 0.00            0.00            0.00
  1971           3                 1.00            2.00            3.00
  1971           4                 0.00            2.00            2.00
  1971           5                 0.00            0.00            0.00
  1971           6                 4.00            3.00            7.00
  1971           7                 0.00            0.00            0.00
  1971           8                 0.00            0.00            0.00
  1971           9                 0.00            0.00            0.00
  1971          10                 0.00            0.00            0.00
  1971          11                 0.00            2.00            2.00
  1971          12                 0.00            2.00            2.00
  1971          13                 0.00            0.00            0.00
  1971          14                 0.00            0.00            0.00
  1971          15                 2.00            0.00            2.00
  1971          16                 0.00            4.00            4.00
  1971          17                 4.00            0.00            4.00
  1971          18                 0.00            8.00            8.00
  1971          19                 2.00            4.00            6.00
  1971          20                 3.00            1.00            4.00
  1971          21                 0.00            4.00            4.00
  1971          22                 0.00            0.00            0.00
  1971          23                 0.00            5.00            5.00
  1971          24                 0.00            2.00            2.00
  1971          25                 3.00            5.00            8.00
  1971          26                 0.00            2.00            2.00
  1971          27                 3.00            0.00            3.00
  1971          28                 0.00            2.00            2.00
  1971          29                 1.00            0.00            1.00
  1971          30                 4.00            4.00            8.00
  1971          31                 1.00            0.00            1.00
  1971          32                 0.00            2.00            2.00
  1971          33                 1.00            1.00            2.00
  1971          34                 3.00            4.00            7.00
  1971          35                 1.00            3.00            4.00
  1971          36                 0.00            1.00            1.00
  1971          37                 1.00            4.00            5.00
  1971          38                 5.00            1.00            6.00
  1971          39                 3.00            0.00            3.00
  1971          40                 2.00            2.00            4.00
  1971          41                 3.00            0.00            3.00
  1971          42                 4.00            4.00            8.00
  1971          43                 1.00            4.00            5.00
  1971          44                 1.00            2.00            3.00
  1971          45                 2.00            7.00            9.00
  1971          46                 5.00            3.00            8.00
  1971          47                 0.00            4.00            4.00
  1971          48                 1.00            6.00            7.00
  1971          49                 1.00            6.00            7.00
  1971          50                 1.00            6.00            7.00
  1971          51                 5.00            5.00           10.00
  1971          52                 3.00            5.00            8.00
