ACT, Deaths (period 1x5), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1974        0               103.09          165.00          268.09
1971-1974        1                12.01           14.00           26.01
1971-1974        2                 6.02            5.00           11.02
1971-1974        3                 6.00            9.00           15.00
1971-1974        4                 0.00            6.00            6.00
1971-1974        5                 3.00            4.00            7.00
1971-1974        6                 8.01            6.00           14.01
1971-1974        7                 3.00            4.00            7.00
1971-1974        8                 4.02            2.00            6.02
1971-1974        9                 3.01            0.00            3.01
1971-1974       10                 4.01            4.00            8.01
1971-1974       11                 5.01            8.00           13.01
1971-1974       12                 3.00           11.00           14.00
1971-1974       13                 3.00            6.00            9.00
1971-1974       14                 0.00            6.00            6.00
1971-1974       15                 6.00            5.00           11.00
1971-1974       16                 2.00           14.00           16.00
1971-1974       17                10.02           11.00           21.02
1971-1974       18                 2.00           19.00           21.00
1971-1974       19                 7.02           11.00           18.02
1971-1974       20                10.01           10.00           20.01
1971-1974       21                 3.01           14.00           17.01
1971-1974       22                 9.01           13.00           22.01
1971-1974       23                 3.00           14.00           17.00
1971-1974       24                 4.00            7.00           11.00
1971-1974       25                 6.00            7.00           13.00
1971-1974       26                 7.01            3.00           10.01
1971-1974       27                 5.00           10.00           15.00
1971-1974       28                 0.00            6.00            6.00
1971-1974       29                10.00            9.00           19.00
1971-1974       30                14.01            7.00           21.01
1971-1974       31                 4.00            8.00           12.00
1971-1974       32                 1.00            8.00            9.00
1971-1974       33                 3.00            2.00            5.00
1971-1974       34                 7.02           11.00           18.02
1971-1974       35                 5.00           12.00           17.00
1971-1974       36                 0.00            9.00            9.00
1971-1974       37                 5.00            8.00           13.00
1971-1974       38                11.01            9.00           20.01
1971-1974       39                 8.00            7.00           15.00
1971-1974       40                 8.01            8.00           16.01
1971-1974       41                10.00            8.00           18.00
1971-1974       42                11.02           16.00           27.02
1971-1974       43                 7.00           16.00           23.00
1971-1974       44                12.01           10.00           22.01
1971-1974       45                12.02           16.00           28.02
1971-1974       46                13.01           16.00           29.01
1971-1974       47                 8.01           23.00           31.01
