ACT,  Deaths (Lexis triangle)	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1971    0      1971       21.32       44.15       65.47
 1971    0      1970        2.68        8.85       11.53
 1971    1      1970        1.69        2.26        3.95
 1971    1      1969        1.31        1.74        3.05
 1971    2      1969        0.00        0.00        0.00
 1971    2      1968        0.00        0.00        0.00
 1971    3      1968        0.56        1.07        1.63
 1971    3      1967        0.44        0.93        1.37
 1971    4      1967        0.00        1.09        1.09
 1971    4      1966        0.00        0.91        0.91
 1971    5      1966        0.00        0.00        0.00
 1971    5      1965        0.00        0.00        0.00
 1971    6      1965        2.18        1.60        3.78
 1971    6      1964        1.82        1.40        3.22
 1971    7      1964        0.00        0.00        0.00
 1971    7      1963        0.00        0.00        0.00
 1971    8      1963        0.00        0.00        0.00
 1971    8      1962        0.00        0.00        0.00
 1971    9      1962        0.00        0.00        0.00
 1971    9      1961        0.00        0.00        0.00
 1971   10      1961        0.00        0.00        0.00
 1971   10      1960        0.00        0.00        0.00
 1971   11      1960        0.00        1.07        1.07
 1971   11      1959        0.00        0.93        0.93
 1971   12      1959        0.00        1.03        1.03
 1971   12      1958        0.00        0.97        0.97
 1971   13      1958        0.00        0.00        0.00
 1971   13      1957        0.00        0.00        0.00
 1971   14      1957        0.00        0.00        0.00
 1971   14      1956        0.00        0.00        0.00
 1971   15      1956        1.08        0.00        1.08
 1971   15      1955        0.92        0.00        0.92
 1971   16      1955        0.00        1.99        1.99
 1971   16      1954        0.00        2.01        2.01
 1971   17      1954        2.11        0.00        2.11
 1971   17      1953        1.89        0.00        1.89
 1971   18      1953        0.00        3.61        3.61
 1971   18      1952        0.00        4.39        4.39
 1971   19      1952        1.06        2.03        3.09
 1971   19      1951        0.94        1.97        2.91
 1971   20      1951        1.56        0.53        2.09
 1971   20      1950        1.44        0.47        1.91
 1971   21      1950        0.00        2.12        2.12
 1971   21      1949        0.00        1.88        1.88
 1971   22      1949        0.00        0.00        0.00
 1971   22      1948        0.00        0.00        0.00
 1971   23      1948        0.00        2.70        2.70
 1971   23      1947        0.00        2.30        2.30
 1971   24      1947        0.00        1.13        1.13
 1971   24      1946        0.00        0.87        0.87
 1971   25      1946        1.70        2.81        4.51
 1971   25      1945        1.30        2.19        3.49
 1971   26      1945        0.00        1.06        1.06
 1971   26      1944        0.00        0.94        0.94
 1971   27      1944        1.55        0.00        1.55
 1971   27      1943        1.45        0.00        1.45
 1971   28      1943        0.00        1.02        1.02
 1971   28      1942        0.00        0.98        0.98
 1971   29      1942        0.50        0.00        0.50
 1971   29      1941        0.50        0.00        0.50
 1971   30      1941        2.30        2.19        4.49
 1971   30      1940        1.70        1.81        3.51
 1971   31      1940        0.55        0.00        0.55
 1971   31      1939        0.45        0.00        0.45
 1971   32      1939        0.00        1.13        1.13
 1971   32      1938        0.00        0.87        0.87
 1971   33      1938        0.51        0.52        1.03
 1971   33      1937        0.49        0.48        0.97
 1971   34      1937        1.72        2.23        3.95
 1971   34      1936        1.28        1.77        3.05
 1971   35      1936        0.55        1.50        2.05
 1971   35      1935        0.45        1.50        1.95
 1971   36      1935        0.00        0.56        0.56
 1971   36      1934        0.00        0.44        0.44
 1971   37      1934        0.53        1.99        2.52
 1971   37      1933        0.47        2.01        2.48
 1971   38      1933        2.49        0.47        2.96
 1971   38      1932        2.51        0.53        3.04
 1971   39      1932        1.49        0.00        1.49
 1971   39      1931        1.51        0.00        1.51
 1971   40      1931        1.00        1.02        2.02
 1971   40      1930        1.00        0.98        1.98
 1971   41      1930        1.59        0.00        1.59
 1971   41      1929        1.41        0.00        1.41
 1971   42      1929        2.31        2.12        4.43
 1971   42      1928        1.69        1.88        3.57
 1971   43      1928        0.60        2.30        2.90
 1971   43      1927        0.40        1.70        2.10
 1971   44      1927        0.47        1.11        1.58
 1971   44      1926        0.53        0.89        1.42
 1971   45      1926        1.20        4.03        5.23
 1971   45      1925        0.80        2.97        3.77
 1971   46      1925        2.53        1.70        4.23
 1971   46      1924        2.47        1.30        3.77
 1971   47      1924        0.00        2.60        2.60
 1971   47      1923        0.00        1.40        1.40
 1971   48      1923        0.49        2.00        2.49
 1971   48      1922        0.51        4.00        4.51
 1971   49      1922        0.55        3.14        3.69
 1971   49      1921        0.45        2.86        3.31
 1971   50      1921        0.61        3.65        4.26
 1971   50      1920        0.39        2.35        2.74
 1971   51      1920        1.79        2.31        4.10
 1971   51      1919        3.21        2.69        5.90
 1971   52      1919        1.37        1.73        3.10
 1971   52      1918        1.63        3.27        4.90
 1971   53      1918        0.00        0.00        0.00
 1971   53      1917        0.00        0.00        0.00
 1971   54      1917        0.00        0.80        0.80
 1971   54      1916        0.00        1.20        1.20
 1971   55      1916        1.02        5.35        6.37
 1971   55      1915        0.98        3.65        4.63
 1971   56      1915        0.00        4.42        4.42
 1971   56      1914        0.00        5.58        5.58
 1971   57      1914        0.53        3.93        4.46
 1971   57      1913        0.47        3.07        3.54
 1971   58      1913        2.15        3.63        5.78
 1971   58      1912        1.85        3.37        5.22
 1971   59      1912        1.74        3.18        4.92
 1971   59      1911        1.26        2.82        4.08
 1971   60      1911        2.53        3.50        6.03
 1971   60      1910        2.47        3.50        5.97
 1971   61      1910        0.51        1.00        1.51
 1971   61      1909        0.49        1.00        1.49
 1971   62      1909        2.03        0.50        2.53
 1971   62      1908        1.97        0.50        2.47
 1971   63      1908        0.51        1.50        2.01
 1971   63      1907        0.49        1.50        1.99
 1971   64      1907        2.03        1.50        3.53
 1971   64      1906        1.97        1.50        3.47
 1971   65      1906        1.51        3.48        4.99
 1971   65      1905        1.49        3.52        5.01
 1971   66      1905        1.51        3.98        5.49
 1971   66      1904        1.49        4.02        5.51
 1971   67      1904        1.00        1.00        2.00
 1971   67      1903        1.00        1.00        2.00
 1971   68      1903        1.00        1.99        2.99
 1971   68      1902        1.00        2.01        3.01
 1971   69      1902        0.50        2.49        2.99
 1971   69      1901        0.50        2.51        3.01
 1971   70      1901        3.50        3.97        7.47
 1971   70      1900        3.50        4.03        7.53
 1971   71      1900        4.00        5.95        9.95
 1971   71      1899        4.00        6.05       10.05
 1971   72      1899        1.00        3.97        4.97
 1971   72      1898        1.00        4.03        5.03
 1971   73      1898        2.00        3.47        5.47
 1971   73      1897        2.00        3.53        5.53
 1971   74      1897        4.00        3.97        7.97
 1971   74      1896        4.00        4.03        8.03
 1971   75      1896        5.46        3.95        9.41
 1971   75      1895        5.54        4.05        9.59
 1971   76      1895        3.97        3.45        7.42
 1971   76      1894        4.03        3.55        7.58
 1971   77      1894        1.99        0.99        2.98
 1971   77      1893        2.01        1.01        3.02
 1971   78      1893        0.99        2.47        3.46
 1971   78      1892        1.01        2.53        3.54
 1971   79      1892        2.48        2.47        4.95
 1971   79      1891        2.52        2.53        5.05
 1971   80      1891        2.98        0.99        3.97
 1971   80      1890        3.02        1.01        4.03
 1971   81      1890        1.99        1.48        3.47
 1971   81      1889        2.01        1.52        3.53
 1971   82      1889        1.99        1.48        3.47
 1971   82      1888        2.01        1.52        3.53
 1971   83      1888        2.48        1.48        3.96
 1971   83      1887        2.52        1.52        4.04
 1971   84      1887        0.99        0.99        1.98
 1971   84      1886        1.01        1.01        2.02
 1971   85      1886        4.51        1.50        6.01
 1971   85      1885        4.49        1.50        5.99
 1971   86      1885        2.51        2.00        4.51
 1971   86      1884        2.49        2.00        4.49
 1971   87      1884        3.51        0.50        4.01
 1971   87      1883        3.49        0.50        3.99
 1971   88      1883        2.51        0.00        2.51
 1971   88      1882        2.49        0.00        2.49
 1971   89      1882        1.00        0.50        1.50
 1971   89      1881        1.00        0.50        1.50
 1971   90      1881        0.51        1.52        2.03
 1971   90      1880        0.49        1.48        1.97
 1971   91      1880        1.02        1.01        2.03
 1971   91      1879        0.98        0.99        1.97
 1971   92      1879        1.53        0.51        2.04
 1971   92      1878        1.47        0.49        1.96
 1971   93      1878        0.00        0.00        0.00
 1971   93      1877        0.00        0.00        0.00
 1971   94      1877        0.51        1.52        2.03
 1971   94      1876        0.49        1.48        1.97
 1971   95      1876        1.56        0.00        1.56
 1971   95      1875        1.44        0.00        1.44
 1971   96      1875        0.00        0.00        0.00
 1971   96      1874        0.00        0.00        0.00
 1971   97      1874        0.00        0.00        0.00
 1971   97      1873        0.00        0.00        0.00
 1971   98      1873        0.00        0.00        0.00
 1971   98      1872        0.00        0.00        0.00
 1971   99      1872        0.00        0.00        0.00
 1971   99      1871        0.00        0.00        0.00
 1971  100      1871        0.00        0.00        0.00
 1971  100      1870        0.00        0.00        0.00
 1971  101      1870        0.00        0.00        0.00
 1971  101      1869        0.00        0.00        0.00
 1971  102      1869        0.00        0.00        0.00
 1971  102      1868        0.00        0.00        0.00
 1971  103      1868        0.00        0.00        0.00
 1971  103      1867        0.00        0.00        0.00
 1971  104      1867        0.00        0.00        0.00
 1971  104      1866        0.00        0.00        0.00
 1971  105      1866        0.00        0.00        0.00
 1971  105      1865        0.00        0.00        0.00
 1971  106      1865        0.00        0.00        0.00
 1971  106      1864        0.00        0.00        0.00
 1971  107      1864        0.00        0.00        0.00
 1971  107      1863        0.00        0.00        0.00
 1971  108      1863        0.00        0.00        0.00
 1971  108      1862        0.00        0.00        0.00
 1971  109      1862        0.00        0.00        0.00
 1971  109      1861        0.00        0.00        0.00
 1971  110+        .        0.00        0.00        0.00
 1972    0      1972       20.65       34.93       55.58
 1972    0      1971        3.44        7.07       10.51
 1972    1      1971        2.28        2.27        4.55
 1972    1      1970        1.73        1.73        3.46
 1972    2      1970        2.24        1.64        3.88
 1972    2      1969        1.78        1.36        3.14
 1972    3      1969        0.56        2.23        2.79
 1972    3      1968        0.44        1.77        2.21
 1972    4      1968        0.00        1.61        1.61
 1972    4      1967        0.00        1.39        1.39
 1972    5      1967        0.00        0.00        0.00
 1972    5      1966        0.00        0.00        0.00
 1972    6      1966        2.18        0.00        2.18
 1972    6      1965        1.83        0.00        1.83
 1972    7      1965        0.00        0.00        0.00
 1972    7      1964        0.00        0.00        0.00
 1972    8      1964        2.05        1.05        3.10
 1972    8      1963        1.97        0.95        2.92
 1972    9      1963        1.62        0.00        1.62
 1972    9      1962        1.39        0.00        1.39
 1972   10      1962        2.06        2.08        4.14
 1972   10      1961        1.95        1.92        3.87
 1972   11      1961        1.07        0.00        1.07
 1972   11      1960        0.94        0.00        0.94
 1972   12      1960        0.00        1.08        1.08
 1972   12      1959        0.00        0.92        0.92
 1972   13      1959        0.00        2.07        2.07
 1972   13      1958        0.00        1.93        1.93
 1972   14      1958        0.00        1.60        1.60
 1972   14      1957        0.00        1.40        1.40
 1972   15      1957        0.00        0.00        0.00
 1972   15      1956        0.00        0.00        0.00
 1972   16      1956        0.00        2.18        2.18
 1972   16      1955        0.00        1.82        1.82
 1972   17      1955        2.04        2.00        4.04
 1972   17      1954        1.98        2.00        3.98
 1972   18      1954        0.00        1.02        1.02
 1972   18      1953        0.00        0.98        0.98
 1972   19      1953        1.74        0.00        1.74
 1972   19      1952        2.28        0.00        2.28
 1972   20      1952        1.08        1.60        2.68
 1972   20      1951        0.93        1.40        2.33
 1972   21      1951        1.57        1.06        2.63
 1972   21      1950        1.44        0.94        2.38
 1972   22      1950        1.69        1.59        3.28
 1972   22      1949        1.32        1.41        2.73
 1972   23      1949        0.00        2.24        2.24
 1972   23      1948        0.00        1.76        1.76
 1972   24      1948        0.00        1.08        1.08
 1972   24      1947        0.00        0.92        0.92
 1972   25      1947        0.00        0.00        0.00
 1972   25      1946        0.00        0.00        0.00
 1972   26      1946        1.70        0.56        2.26
 1972   26      1945        1.31        0.44        1.75
 1972   27      1945        0.00        1.59        1.59
 1972   27      1944        0.00        1.41        1.41
 1972   28      1944        0.00        1.60        1.60
 1972   28      1943        0.00        1.40        1.40
 1972   29      1943        0.52        2.04        2.56
 1972   29      1942        0.48        1.96        2.44
 1972   30      1942        2.01        1.12        3.13
 1972   30      1941        2.00        0.88        2.88
 1972   31      1941        0.00        0.55        0.55
 1972   31      1940        0.00        0.45        0.45
 1972   32      1940        0.55        1.61        2.16
 1972   32      1939        0.45        1.39        1.84
 1972   33      1939        0.00        0.00        0.00
 1972   33      1938        0.00        0.00        0.00
 1972   34      1938        2.04        1.55        3.59
 1972   34      1937        1.98        1.45        3.43
 1972   35      1937        0.00        0.55        0.55
 1972   35      1936        0.00        0.45        0.45
 1972   36      1936        0.00        0.00        0.00
 1972   36      1935        0.00        0.00        0.00
 1972   37      1935        0.00        0.00        0.00
 1972   37      1934        0.00        0.00        0.00
 1972   38      1934        1.60        1.00        2.60
 1972   38      1933        1.41        1.00        2.41
 1972   39      1933        0.00        0.95        0.95
 1972   39      1932        0.00        1.05        1.05
 1972   40      1932        1.50        0.50        2.00
 1972   40      1931        1.51        0.50        2.01
 1972   41      1931        0.50        3.08        3.58
 1972   41      1930        0.50        2.92        3.42
 1972   42      1930        1.60        0.52        2.12
 1972   42      1929        1.42        0.48        1.90
 1972   43      1929        0.00        1.60        1.60
 1972   43      1928        0.00        1.40        1.40
 1972   44      1928        1.21        2.89        4.10
 1972   44      1927        0.80        2.11        2.91
 1972   45      1927        2.35        0.55        2.90
 1972   45      1926        2.67        0.45        3.12
 1972   46      1926        1.21        1.73        2.94
 1972   46      1925        0.80        1.27        2.07
 1972   47      1925        1.52        3.99        5.51
 1972   47      1924        1.49        3.01        4.50
 1972   48      1924        0.64        1.96        2.60
 1972   48      1923        0.37        1.04        1.41
 1972   49      1923        0.98        2.02        3.00
 1972   49      1922        1.03        3.98        5.01
 1972   50      1922        2.22        1.58        3.80
 1972   50      1921        1.80        1.42        3.22
 1972   51      1921        1.83        3.66        5.49
 1972   51      1920        1.18        2.34        3.52
 1972   52      1920        1.08        2.79        3.87
 1972   52      1919        1.93        3.21        5.14
 1972   53      1919        0.92        1.39        2.31
 1972   53      1918        1.09        2.61        3.70
 1972   54      1918        2.57        4.87        7.44
 1972   54      1917        2.45        4.13        6.58
 1972   55      1917        1.00        2.42        3.42
 1972   55      1916        1.01        3.58        4.59
 1972   56      1916        0.51        1.79        2.30
 1972   56      1915        0.49        1.21        1.70
 1972   57      1915        2.08        0.44        2.52
 1972   57      1914        1.93        0.56        2.49
 1972   58      1914        3.18        3.38        6.56
 1972   58      1913        2.85        2.62        5.47
 1972   59      1913        1.62        4.16        5.78
 1972   59      1912        1.39        3.84        5.23
 1972   60      1912        2.31        3.18        5.49
 1972   60      1911        1.70        2.82        4.52
 1972   61      1911        3.56        5.53        9.09
 1972   61      1910        3.47        5.47        8.94
 1972   62      1910        1.53        6.03        7.56
 1972   62      1909        1.49        5.97        7.46
 1972   63      1909        1.02        4.52        5.54
 1972   63      1908        0.99        4.48        5.47
 1972   64      1908        1.02        5.02        6.04
 1972   64      1907        0.99        4.98        5.97
 1972   65      1907        2.52        5.50        8.02
 1972   65      1906        2.50        5.50        8.00
 1972   66      1906        0.50        5.00        5.50
 1972   66      1905        0.50        5.00        5.50
 1972   67      1905        1.51        3.50        5.01
 1972   67      1904        1.50        3.50        5.00
 1972   68      1904        0.50        5.50        6.00
 1972   68      1903        0.50        5.50        6.00
 1972   69      1903        1.01        0.50        1.51
 1972   69      1902        1.00        0.50        1.50
 1972   70      1902        0.50        4.98        5.48
 1972   70      1901        0.50        5.02        5.52
 1972   71      1901        3.51        0.50        4.01
 1972   71      1900        3.51        0.50        4.01
 1972   72      1900        1.00        0.50        1.50
 1972   72      1899        1.00        0.50        1.50
 1972   73      1899        5.02        4.48        9.50
 1972   73      1898        5.02        4.52        9.54
 1972   74      1898        4.52        3.49        8.01
 1972   74      1897        4.52        3.51        8.03
 1972   75      1897        1.00        1.49        2.49
 1972   75      1896        1.01        1.51        2.52
 1972   76      1896        4.49        0.99        5.48
 1972   76      1895        4.54        1.01        5.55
 1972   77      1895        1.50        1.98        3.48
 1972   77      1894        1.51        2.02        3.53
 1972   78      1894        3.99        2.48        6.47
 1972   78      1893        4.04        2.52        6.56
 1972   79      1893        2.99        2.48        5.47
 1972   79      1892        3.03        2.52        5.55
 1972   80      1892        2.99        0.50        3.49
 1972   80      1891        3.03        0.50        3.53
 1972   81      1891        3.49        0.50        3.99
 1972   81      1890        3.53        0.50        4.03
 1972   82      1890        3.99        2.98        6.97
 1972   82      1889        4.04        3.02        7.06
 1972   83      1889        2.99        3.48        6.47
 1972   83      1888        3.03        3.52        6.55
 1972   84      1888        2.50        1.49        3.99
 1972   84      1887        2.52        1.51        4.03
 1972   85      1887        0.50        1.51        2.01
 1972   85      1886        0.50        1.49        1.99
 1972   86      1886        1.51        0.50        2.01
 1972   86      1885        1.50        0.50        2.00
 1972   87      1885        2.52        2.01        4.53
 1972   87      1884        2.50        1.99        4.49
 1972   88      1884        1.51        2.01        3.52
 1972   88      1883        1.50        1.99        3.49
 1972   89      1883        0.50        2.01        2.51
 1972   89      1882        0.50        1.99        2.49
 1972   90      1882        1.02        1.02        2.04
 1972   90      1881        0.99        0.98        1.97
 1972   91      1881        0.51        2.04        2.55
 1972   91      1880        0.49        1.96        2.45
 1972   92      1880        0.00        2.04        2.04
 1972   92      1879        0.00        1.96        1.96
 1972   93      1879        0.00        1.53        1.53
 1972   93      1878        0.00        1.47        1.47
 1972   94      1878        1.53        0.51        2.04
 1972   94      1877        1.48        0.49        1.97
 1972   95      1877        0.00        0.00        0.00
 1972   95      1876        0.00        0.00        0.00
 1972   96      1876        0.00        1.57        1.57
 1972   96      1875        0.00        1.43        1.43
 1972   97      1875        0.00        0.52        0.52
 1972   97      1874        0.00        0.48        0.48
 1972   98      1874        0.52        0.00        0.52
 1972   98      1873        0.48        0.00        0.48
 1972   99      1873        0.00        0.00        0.00
 1972   99      1872        0.00        0.00        0.00
 1972  100      1872        0.00        0.00        0.00
 1972  100      1871        0.00        0.00        0.00
 1972  101      1871        0.00        0.00        0.00
 1972  101      1870        0.00        0.00        0.00
 1972  102      1870        0.00        0.00        0.00
 1972  102      1869        0.00        0.00        0.00
 1972  103      1869        0.00        0.00        0.00
 1972  103      1868        0.00        0.00        0.00
 1972  104      1868        0.00        0.00        0.00
 1972  104      1867        0.00        0.00        0.00
 1972  105      1867        0.00        0.00        0.00
 1972  105      1866        0.00        0.00        0.00
 1972  106      1866        0.00        0.00        0.00
 1972  106      1865        0.00        0.00        0.00
 1972  107      1865        0.00        0.00        0.00
 1972  107      1864        0.00        0.00        0.00
 1972  108      1864        0.00        0.00        0.00
 1972  108      1863        0.00        0.00        0.00
 1972  109      1863        0.00        0.00        0.00
 1972  109      1862        0.00        0.00        0.00
 1972  110+        .        0.00        0.00        0.00
 1973    0      1973       26.06       28.06       54.12
 1973    0      1972        4.94        4.94        9.88
 1973    1      1972        2.15        2.15        4.30
 1973    1      1971        1.85        1.85        3.70
 1973    2      1971        1.12        0.00        1.12
 1973    2      1970        0.88        0.00        0.88
 1973    3      1970        0.00        0.00        0.00
 1973    3      1969        0.00        0.00        0.00
 1973    4      1969        0.00        0.00        0.00
 1973    4      1968        0.00        0.00        0.00
 1973    5      1968        0.00        1.60        1.60
 1973    5      1967        0.00        1.40        1.40
 1973    6      1967        0.00        0.00        0.00
 1973    6      1966        0.00        0.00        0.00
 1973    7      1966        1.08        2.11        3.19
 1973    7      1965        0.92        1.89        2.81
 1973    8      1965        0.00        0.00        0.00
 1973    8      1964        0.00        0.00        0.00
 1973    9      1964        0.00        0.00        0.00
 1973    9      1963        0.00        0.00        0.00
 1973   10      1963        0.00        0.00        0.00
 1973   10      1962        0.00        0.00        0.00
 1973   11      1962        1.53        1.56        3.09
 1973   11      1961        1.47        1.44        2.91
 1973   12      1961        1.59        1.55        3.14
 1973   12      1960        1.41        1.45        2.86
 1973   13      1960        1.58        1.08        2.66
 1973   13      1959        1.42        0.92        2.34
 1973   14      1959        0.00        0.00        0.00
 1973   14      1958        0.00        0.00        0.00
 1973   15      1958        0.00        1.58        1.58
 1973   15      1957        0.00        1.42        1.42
 1973   16      1957        0.00        2.04        2.04
 1973   16      1956        0.00        1.96        1.96
 1973   17      1956        1.07        2.19        3.26
 1973   17      1955        0.93        1.81        2.74
 1973   18      1955        1.01        2.52        3.53
 1973   18      1954        0.99        2.48        3.47
 1973   19      1954        0.53        0.51        1.04
 1973   19      1953        0.47        0.49        0.96
 1973   20      1953        1.31        1.43        2.74
 1973   20      1952        1.69        1.57        3.26
 1973   21      1952        0.00        1.60        1.60
 1973   21      1951        0.00        1.40        1.40
 1973   22      1951        1.55        1.60        3.15
 1973   22      1950        1.45        1.40        2.85
 1973   23      1950        1.12        0.53        1.65
