ACT, Life expectancy at birth (period, 1x1)	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1971        76.71    69.94    73.10
  1972        77.72    69.57    73.01
  1973        76.59    72.19    74.39
  1974        75.59    70.49    72.96
  1975        78.60    71.75    75.15
  1976        76.99    71.02    73.99
  1977        79.19    72.65    75.53
  1978        77.38    71.40    74.35
  1979        79.61    73.33    76.46
  1980        78.76    72.88    75.82
  1981        79.78    71.57    75.53
  1982        78.49    73.44    76.01
  1983        78.76    74.57    76.73
  1984        78.84    74.02    76.49
  1985        79.63    74.74    77.22
  1986        78.88    73.73    76.36
  1987        79.41    75.10    77.26
  1988        79.61    74.97    77.37
  1989        81.64    76.09    78.87
  1990        80.12    75.61    77.88
  1991        80.70    75.70    78.28
  1992        81.02    76.88    79.08
  1993        82.56    76.53    79.61
  1994        81.23    76.67    79.01
  1995        82.65    77.87    80.41
  1996        81.54    76.71    79.23
  1997        81.60    77.90    79.84
  1998        82.35    78.55    80.56
  1999        82.47    78.11    80.39
  2000        82.54    79.48    81.12
  2001        82.67    78.65    80.71
  2002        83.18    80.00    81.69
  2003        83.94    79.33    81.68
  2004        83.46    79.67    81.67
  2005        83.62    79.56    81.66
  2006        84.49    80.49    82.55
  2007        84.00    79.96    82.04
  2008        83.05    80.12    81.67
  2009        84.24    81.16    82.76
  2010        84.96    80.35    82.71
  2011        84.78    81.50    83.20
  2012        84.78    81.45    83.18
  2013        85.21    82.42    83.90
  2014        85.32    81.82    83.61
  2015        85.37    81.96    83.71
  2016        85.78    82.25    84.06
