ACT, Life expectancy at birth (period, 1x5)	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1971-1974     76.33    70.40    73.31
1975-1979     78.31    71.87    75.07
1980-1984     78.90    73.25    76.11
1985-1989     79.83    74.88    77.42
1990-1994     81.11    76.24    78.76
1995-1999     82.08    77.83    80.07
2000-2004     83.13    79.43    81.37
2005-2009     83.88    80.24    82.13
2010-2014     85.02    81.52    83.33
2015-2016     85.57    82.10    83.89
