ACT, Exposure to risk (period 5x10), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1979        0             18331.28        19309.12        37640.40
1971-1979      1-4             75555.89        79518.91       155074.80
1971-1979      5-9             91100.56        95944.65       187045.21
1971-1979     10-14            82001.47        85583.19       167584.65
1971-1979     15-19            79196.78        81533.91       160730.69
1971-1979     20-24            88107.36        85019.27       173126.63
1971-1979     25-29            93081.14        93713.01       186794.16
1971-1979     30-34            77416.73        82905.01       160321.74
1971-1979     35-39            59907.66        63219.08       123126.74
1971-1979     40-44            47756.59        52602.59       100359.18
1971-1979     45-49            43160.44        47241.41        90401.85
1971-1979     50-54            37256.22        40742.63        77998.85
1971-1979     55-59            26205.65        27959.43        54165.08
1971-1979     60-64            17850.60        17615.89        35466.49
1971-1979     65-69            12238.21        10992.81        23231.02
1971-1979     70-74             8423.34         6365.59        14788.94
1971-1979     75-79             5932.23         3329.99         9262.23
1971-1979     80-84             4309.06         2007.05         6316.11
1971-1979     85-89             2075.14          996.61         3071.76
1971-1979     90-94              761.91          386.14         1148.05
1971-1979     95-99              181.51           55.00          236.51
1971-1979    100-104               9.68            0.59           10.28
1971-1979    105-109               0.00            0.00            0.00
1971-1979    110+                  0.00            0.00            0.00
1980-1989        0             20508.15        21216.22        41724.36
1980-1989      1-4             83712.60        86506.67       170219.28
1980-1989      5-9            109879.95       113820.49       223700.43
1980-1989     10-14           114144.73       118840.44       232985.17
1980-1989     15-19           113646.72       116176.88       229823.59
1980-1989     20-24           113961.36       113336.82       227298.18
1980-1989     25-29           115267.66       112927.65       228195.32
1980-1989     30-34           119501.76       116516.50       236018.26
1980-1989     35-39           113362.85       113637.73       227000.59
1980-1989     40-44            89485.23        91311.05       180796.28
1980-1989     45-49            64464.43        68221.39       132685.82
1980-1989     50-54            50328.40        54150.70       104479.09
1980-1989     55-59            43416.88        45968.64        89385.52
1980-1989     60-64            36682.87        35327.29        72010.15
1980-1989     65-69            27384.23        23555.00        50939.23
1980-1989     70-74            19844.48        14782.10        34626.59
1980-1989     75-79            13004.94         8322.37        21327.31
1980-1989     80-84             8195.55         4049.06        12244.60
1980-1989     85-89             3753.50         1623.63         5377.12
1980-1989     90-94             1379.35          618.12         1997.47
1980-1989     95-99              410.81          137.86          548.67
1980-1989    100-104              30.56            2.57           33.13
1980-1989    105-109               0.00            0.00            0.00
1980-1989    110+                  0.00            0.00            0.00
1990-1999        0             21590.95        22336.80        43927.75
1990-1999      1-4             87096.11        90683.60       177779.71
1990-1999      5-9            110548.79       115529.02       226077.81
1990-1999     10-14           112035.07       116339.33       228374.40
1990-1999     15-19           124118.38       129298.91       253417.28
1990-1999     20-24           139079.95       142077.63       281157.57
1990-1999     25-29           129531.51       127694.99       257226.50
1990-1999     30-34           127888.00       125050.61       252938.62
1990-1999     35-39           128343.72       123268.92       251612.63
1990-1999     40-44           126090.24       120785.77       246876.01
1990-1999     45-49           112803.26       111919.37       224722.63
1990-1999     50-54            83442.51        86368.27       169810.78
1990-1999     55-59            57562.57        59995.84       117558.42
1990-1999     60-64            44612.96        45210.46        89823.42
1990-1999     65-69            39124.51        36438.80        75563.31
1990-1999     70-74            33347.96        27305.50        60653.46
1990-1999     75-79            24036.05        16989.26        41025.30
1990-1999     80-84            16375.09         8714.23        25089.32
1990-1999     85-89             7779.04         3310.59        11089.63
1990-1999     90-94             2647.10         1007.28         3654.38
1990-1999     95-99              544.45          225.27          769.71
1990-1999    100-104              40.09           13.34           53.43
1990-1999    105-109               0.00            0.00            0.00
1990-1999    110+                  0.00            0.00            0.00
2000-2009        0             21115.72        22382.83        43498.55
2000-2009      1-4             83182.42        86684.46       169866.88
2000-2009      5-9            104321.22       107468.22       211789.44
2000-2009     10-14           107822.20       112171.68       219993.88
2000-2009     15-19           121594.27       127741.33       249335.60
2000-2009     20-24           142782.55       149347.24       292129.80
2000-2009     25-29           137990.16       138026.60       276016.76
2000-2009     30-34           132559.17       131908.35       264467.52
2000-2009     35-39           130424.23       127330.92       257755.15
2000-2009     40-44           128009.57       122382.51       250392.08
2000-2009     45-49           125874.87       117745.53       243620.40
2000-2009     50-54           117610.13       111423.23       229033.36
2000-2009     55-59            97460.85        95332.27       192793.12
2000-2009     60-64            70722.58        69426.68       140149.26
2000-2009     65-69            50676.07        48107.41        98783.48
2000-2009     70-74            40153.79        36280.95        76434.75
2000-2009     75-79            33985.58        27626.30        61611.88
2000-2009     80-84            26841.98        17516.09        44358.07
2000-2009     85-89            14936.42         7609.49        22545.91
2000-2009     90-94             5714.71         2131.56         7846.27
2000-2009     95-99             1179.17          418.68         1597.85
2000-2009    100-104              76.36           14.01           90.37
2000-2009    105-109               0.00            0.00            0.00
2000-2009    110+                  0.00            0.00            0.00
2010-2019        0             26191.81        27918.69        54110.50
2010-2019      1-4            103267.69       111047.84       214315.53
2010-2019      5-9            120844.59       129531.24       250375.83
2010-2019     10-14           109712.16       115031.69       224743.85
2010-2019     15-19           124665.57       129887.46       254553.03
2010-2019     20-24           167573.07       173436.31       341009.38
2010-2019     25-29           175761.82       176639.41       352401.23
2010-2019     30-34           167773.09       166019.74       333792.84
2010-2019     35-39           151154.18       151782.30       302936.48
2010-2019     40-44           141111.72       140599.49       281711.21
2010-2019     45-49           133040.97       129274.23       262315.19
2010-2019     50-54           124376.96       119393.30       243770.25
2010-2019     55-59           113418.72       107334.05       220752.77
2010-2019     60-64            98958.02        91892.85       190850.87
