ACT, Death rates (period 5x10), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1979        0             0.012061        0.016883        0.014535
1971-1979      1-4             0.000781        0.000805        0.000793
1971-1979      5-9             0.000352        0.000479        0.000417
1971-1979     10-14            0.000464        0.000724        0.000597
1971-1979     15-19            0.000758        0.001570        0.001170
1971-1979     20-24            0.000829        0.001658        0.001236
1971-1979     25-29            0.000752        0.001024        0.000889
1971-1979     30-34            0.000956        0.001254        0.001110
1971-1979     35-39            0.001369        0.001693        0.001535
1971-1979     40-44            0.001927        0.002471        0.002212
1971-1979     45-49            0.002249        0.004297        0.003319
1971-1979     50-54            0.003464        0.006676        0.005142
1971-1979     55-59            0.005497        0.012160        0.008937
1971-1979     60-64            0.010985        0.021117        0.016017
1971-1979     65-69            0.014630        0.032112        0.022902
1971-1979     70-74            0.032184        0.050427        0.040037
1971-1979     75-79            0.048902        0.085285        0.061983
1971-1979     80-84            0.067558        0.090680        0.074905
1971-1979     85-89            0.114228        0.115391        0.114605
1971-1979     90-94            0.160151        0.199408        0.173355
1971-1979     95-99            0.242413        0.436377        0.287518
1971-1979    100-104           1.032702        1.685393        1.070386
1971-1979    105-109                 .              .              .
1971-1979    110+                    .              .              .
1980-1989        0             0.007668        0.009632        0.008667
1980-1989      1-4             0.000586        0.000753        0.000671
1980-1989      5-9             0.000437        0.000432        0.000435
1980-1989     10-14            0.000263        0.000447        0.000357
1980-1989     15-19            0.000802        0.001078        0.000942
1980-1989     20-24            0.000668        0.001432        0.001049
1980-1989     25-29            0.000600        0.001278        0.000935
1980-1989     30-34            0.000662        0.000938        0.000798
1980-1989     35-39            0.000981        0.001269        0.001125
1980-1989     40-44            0.001343        0.001470        0.001407
1980-1989     45-49            0.001910        0.002599        0.002265
1980-1989     50-54            0.002667        0.005238        0.003999
1980-1989     55-59            0.004641        0.008567        0.006660
1980-1989     60-64            0.007263        0.015851        0.011476
1980-1989     65-69            0.014113        0.026456        0.019820
1980-1989     70-74            0.024477        0.042356        0.032110
1980-1989     75-79            0.043273        0.070648        0.053955
1980-1989     80-84            0.065608        0.093735        0.074909
1980-1989     85-89            0.123280        0.136928        0.127401
1980-1989     90-94            0.171269        0.171909        0.171467
1980-1989     95-99            0.285291        0.407152        0.315910
1980-1989    100-104           0.654742        1.167315        0.694502
1980-1989    105-109                 .              .              .
1980-1989    110+                    .              .              .
1990-1999        0             0.005326        0.006312        0.005828
1990-1999      1-4             0.000494        0.000607        0.000551
1990-1999      5-9             0.000262        0.000415        0.000341
1990-1999     10-14            0.000143        0.000404        0.000276
1990-1999     15-19            0.000483        0.000766        0.000627
1990-1999     20-24            0.000604        0.000831        0.000718
1990-1999     25-29            0.000641        0.001120        0.000879
1990-1999     30-34            0.000602        0.001064        0.000830
1990-1999     35-39            0.000841        0.001298        0.001065
1990-1999     40-44            0.000872        0.001416        0.001138
1990-1999     45-49            0.001667        0.002082        0.001873
1990-1999     50-54            0.002037        0.003091        0.002573
1990-1999     55-59            0.003805        0.006234        0.005044
1990-1999     60-64            0.006568        0.010750        0.008673
1990-1999     65-69            0.011604        0.018936        0.015140
1990-1999     70-74            0.018352        0.030910        0.024005
1990-1999     75-79            0.030454        0.050208        0.038635
1990-1999     80-84            0.054290        0.088017        0.066004
1990-1999     85-89            0.104512        0.146802        0.117136
1990-1999     90-94            0.184731        0.189619        0.186078
