ACT, Population size (abridged)	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0              1828.93         1925.38         3754.31
  1971           1              1760.52         1808.98         3569.50
  1971           2              1639.09         1762.95         3402.04
  1971           3              1578.87         1698.32         3277.19
  1971           4              1583.41         1644.76         3228.17
  1971           5              1589.58         1633.40         3222.98
  1971           6              1630.48         1638.00         3268.48
  1971           7              1643.26         1641.50         3284.76
  1971           8              1629.84         1716.87         3346.71
  1971           9              1612.30         1749.37         3361.67
  1971          10              1569.05         1623.43         3192.48
  1971          11              1513.91         1569.22         3083.13
  1971          12              1430.28         1530.27         2960.55
  1971          13              1364.26         1420.35         2784.61
  1971          14              1313.92         1304.11         2618.03
  1971          15              1247.09         1225.03         2472.12
  1971          16              1230.25         1242.82         2473.07
  1971          17              1388.88         1416.13         2805.01
  1971          18              1561.37         1553.44         3114.81
  1971          19              1599.18         1526.14         3125.32
  1971          20              1622.79         1611.62         3234.41
  1971          21              1658.98         1696.96         3355.94
  1971          22              1704.14         1728.34         3432.48
  1971          23              1812.47         1850.82         3663.29
  1971          24              1706.84         1785.56         3492.40
  1971          25              1493.30         1584.83         3078.13
  1971          26              1426.59         1522.77         2949.36
  1971          27              1373.81         1419.04         2792.85
  1971          28              1301.98         1379.26         2681.24
  1971          29              1237.12         1337.36         2574.48
  1971          30              1200.53         1281.48         2482.01
  1971          31              1205.16         1279.16         2484.32
  1971          32              1154.22         1214.92         2369.14
  1971          33              1082.78         1146.82         2229.60
  1971          34              1041.94         1097.68         2139.62
  1971          35               975.03         1086.36         2061.39
  1971          36               931.79         1037.62         1969.41
  1971          37               901.06          971.37         1872.43
  1971          38               898.67          963.69         1862.36
  1971          39               908.85         1035.86         1944.71
  1971          40               893.28         1022.25         1915.53
  1971          41               861.73          970.42         1832.15
  1971          42               884.60          986.94         1871.54
  1971          43               893.15          942.93         1836.08
  1971          44               882.05          930.86         1812.91
  1971          45               884.85          952.26         1837.11
  1971          46               861.41          931.64         1793.05
  1971          47               832.77          932.99         1765.76
  1971          48               812.04          907.04         1719.08
  1971          49               782.71          878.97         1661.68
  1971          50               656.55          791.10         1447.65
  1971          51               554.76          630.47         1185.23
  1971          52               512.53          557.00         1069.53
  1971          53               477.46          530.34         1007.80
  1971          54               474.81          501.82          976.63
  1971          55               448.89          488.82          937.71
  1971          56               423.18          481.19          904.37
  1971          57               389.61          448.37          837.98
  1971          58               356.35          389.10          745.45
  1971          59               345.11          353.45          698.56
  1971          60               298.81          336.01          634.82
  1971          61               255.37          292.06          547.43
  1971          62               254.11          261.80          515.91
  1971          63               242.94          232.18          475.12
  1971          64               227.40          218.89          446.29
  1971          65               200.14          202.83          402.97
  1971          66               181.35          161.35          342.70
  1971          67               172.07          149.21          321.28
  1971          68               157.90          138.73          296.63
  1971          69               169.61          128.82          298.43
  1971          70               176.19          115.13          291.32
  1971          71               140.92           97.48          238.40
  1971          72               122.18           86.94          209.12
  1971          73               117.58           77.60          195.18
  1971          74               111.78           75.01          186.79
  1971          75               109.68           64.92          174.60
  1971          76               101.48           51.44          152.92
  1971          77                89.35           40.88          130.23
  1971          78                70.91           38.01          108.92
  1971          79                70.58           37.12          107.70
  1971          80                95.98           53.72          149.70
  1971          81                84.97           51.81          136.78
  1971          82                71.43           37.70          109.13
  1971          83                59.04           30.03           89.07
  1971          84                53.71           23.36           77.07
  1971          85                52.50           25.83           78.33
  1971          86                45.05           25.84           70.89
  1971          87                33.19           16.96           50.15
  1971          88                21.98           14.51           36.49
  1971          89                21.21           11.42           32.63
  1971          90                18.37           13.21           31.58
