ACT, Exposure to risk (cohort 5x5), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1897-1899        0                    .               .               .
1897-1899      1-4                    .               .               .
1897-1899      5-9                    .               .               .
1897-1899     10-14                   .               .               .
1897-1899     15-19                   .               .               .
1897-1899     20-24                   .               .               .
1897-1899     25-29                   .               .               .
1897-1899     30-34                   .               .               .
1897-1899     35-39                   .               .               .
1897-1899     40-44                   .               .               .
1897-1899     45-49                   .               .               .
1897-1899     50-54                   .               .               .
1897-1899     55-59                   .               .               .
1897-1899     60-64                   .               .               .
1897-1899     65-69                   .               .               .
1897-1899     70-74                   .               .               .
1897-1899     75-79             2084.86         1042.59         3127.44
1897-1899     80-84             1796.19          943.99         2740.18
1897-1899     85-89             1123.07          531.01         1654.08
1897-1899     90-94              538.11          270.56          808.67
1897-1899     95-99              193.26           82.06          275.32
1897-1899    100-104              30.45            2.00           32.44
1897-1899    105-109               0.00            0.00            0.00
1897-1899    110+                  0.00            0.00            0.00
1900-1904        0                    .               .               .
1900-1904      1-4                    .               .               .
1900-1904      5-9                    .               .               .
1900-1904     10-14                   .               .               .
1900-1904     15-19                   .               .               .
1900-1904     20-24                   .               .               .
1900-1904     25-29                   .               .               .
1900-1904     30-34                   .               .               .
1900-1904     35-39                   .               .               .
1900-1904     40-44                   .               .               .
1900-1904     45-49                   .               .               .
1900-1904     50-54                   .               .               .
1900-1904     55-59                   .               .               .
1900-1904     60-64                   .               .               .
1900-1904     65-69                   .               .               .
1900-1904     70-74             4152.34         3258.18         7410.51
1900-1904     75-79             4321.83         2689.11         7010.94
1900-1904     80-84             3926.08         1912.05         5838.13
1900-1904     85-89             2500.10         1040.19         3540.29
1900-1904     90-94             1248.37          468.31         1716.68
1900-1904     95-99              325.97          132.79          458.77
1900-1904    100-104              21.21            6.01           27.22
1900-1904    105-109               0.00            0.00            0.00
1900-1904    110+                  0.00            0.00            0.00
1905-1909        0                    .               .               .
1905-1909      1-4                    .               .               .
1905-1909      5-9                    .               .               .
1905-1909     10-14                   .               .               .
1905-1909     15-19                   .               .               .
1905-1909     20-24                   .               .               .
1905-1909     25-29                   .               .               .
1905-1909     30-34                   .               .               .
1905-1909     35-39                   .               .               .
1905-1909     40-44                   .               .               .
1905-1909     45-49                   .               .               .
1905-1909     50-54                   .               .               .
1905-1909     55-59                   .               .               .
1905-1909     60-64                   .               .               .
1905-1909     65-69             6124.71         5476.39        11601.09
1905-1909     70-74             6713.33         4937.11        11650.43
1905-1909     75-79             6428.55         4077.37        10505.93
1905-1909     80-84             5728.41         2908.17         8636.58
1905-1909     85-89             3843.49         1565.11         5408.61
1905-1909     90-94             1870.00          626.86         2496.86
1905-1909     95-99              570.75          189.86          760.61
1905-1909    100-104              59.16            9.48           68.64
1905-1909    105-109               0.00            0.00            0.00
1905-1909    110+                     .               .               .
1910-1914        0                    .               .               .
1910-1914      1-4                    .               .               .
1910-1914      5-9                    .               .               .
1910-1914     10-14                   .               .               .
1910-1914     15-19                   .               .               .
1910-1914     20-24                   .               .               .
1910-1914     25-29                   .               .               .
1910-1914     30-34                   .               .               .
1910-1914     35-39                   .               .               .
1910-1914     40-44                   .               .               .
1910-1914     45-49                   .               .               .
1910-1914     50-54                   .               .               .
1910-1914     55-59                   .               .               .
1910-1914     60-64             9346.90         9283.23        18630.13
1910-1914     65-69            10100.55         8768.07        18868.62
1910-1914     70-74            10238.54         7614.73        17853.28
1910-1914     75-79             8963.77         5891.83        14855.60
1910-1914     80-84             8133.73         4288.52        12422.25
1910-1914     85-89             5421.60         2472.37         7893.97
1910-1914     90-94             2751.13          999.98         3751.11
1910-1914     95-99              825.95          276.36         1102.31
1910-1914    100-104              91.08           11.87          102.95
1910-1914    105-109                  .               .               .
1910-1914    110+                     .               .               .
1915-1919        0                    .               .               .
1915-1919      1-4                    .               .               .
1915-1919      5-9                    .               .               .
1915-1919     10-14                   .               .               .
1915-1919     15-19                   .               .               .
1915-1919     20-24                   .               .               .
1915-1919     25-29                   .               .               .
1915-1919     30-34                   .               .               .
1915-1919     35-39                   .               .               .
1915-1919     40-44                   .               .               .
1915-1919     45-49                   .               .               .
1915-1919     50-54                   .               .               .
1915-1919     55-59            12800.61        13509.95        26310.55
1915-1919     60-64            13076.46        12281.69        25358.15
1915-1919     65-69            12796.71        10828.32        23625.04
1915-1919     70-74            12382.27         9480.46        21862.73
1915-1919     75-79            11324.44         7886.32        19210.76
1915-1919     80-84            10498.03         5689.37        16187.39
1915-1919     85-89             7234.07         3344.99        10579.06
1915-1919     90-94             3721.96         1369.07         5091.04
1915-1919     95-99              959.92          261.93         1221.85
1915-1919    100-104                  .               .               .
1915-1919    105-109                  .               .               .
1915-1919    110+                     .               .               .
1920-1924        0                    .               .               .
1920-1924      1-4                    .               .               .
1920-1924      5-9                    .               .               .
1920-1924     10-14                   .               .               .
1920-1924     15-19                   .               .               .
1920-1924     20-24                   .               .               .
1920-1924     25-29                   .               .               .
1920-1924     30-34                   .               .               .
1920-1924     35-39                   .               .               .
1920-1924     40-44                   .               .               .
1920-1924     45-49                   .               .               .
1920-1924     50-54            20330.46        22768.55        43099.01
1920-1924     55-59            20260.22        21271.60        41531.83
1920-1924     60-64            19546.42        18710.30        38256.72
1920-1924     65-69            18422.55        16380.28        34802.84
1920-1924     70-74            17503.34        14267.10        31770.43
1920-1924     75-79            16225.61        12239.87        28465.48
1920-1924     80-84            13611.45         8702.02        22313.47
1920-1924     85-89             9735.81         5371.37        15107.17
1920-1924     90-94             4143.85         1962.07         6105.92
1920-1924     95-99                   .               .               .
1920-1924    100-104                  .               .               .
1920-1924    105-109                  .               .               .
1920-1924    110+                     .               .               .
1925-1929        0                    .               .               .
1925-1929      1-4                    .               .               .
1925-1929      5-9                    .               .               .
1925-1929     10-14                   .               .               .
1925-1929     15-19                   .               .               .
1925-1929     20-24                   .               .               .
1925-1929     25-29                   .               .               .
1925-1929     30-34                   .               .               .
1925-1929     35-39                   .               .               .
1925-1929     40-44                   .               .               .
1925-1929     45-49            23102.12        25058.61        48160.73
1925-1929     50-54            23718.76        24856.30        48575.06
1925-1929     55-59            21988.88        22978.15        44967.03
1925-1929     60-64            20459.49        20379.38        40838.88
1925-1929     65-69            19608.60        18043.34        37651.95
1925-1929     70-74            18758.08        16383.34        35141.41
1925-1929     75-79            17092.95        13854.04        30946.98
1925-1929     80-84            15308.64        11238.36        26547.00
1925-1929     85-89             9020.28         6130.27        15150.55
1925-1929     90-94                   .               .               .
1925-1929     95-99                   .               .               .
1925-1929    100-104                  .               .               .
1925-1929    105-109                  .               .               .
1925-1929    110+                     .               .               .
1930-1934        0                    .               .               .
1930-1934      1-4                    .               .               .
1930-1934      5-9                    .               .               .
1930-1934     10-14                   .               .               .
1930-1934     15-19                   .               .               .
1930-1934     20-24                   .               .               .
1930-1934     25-29                   .               .               .
1930-1934     30-34                   .               .               .
1930-1934     35-39                   .               .               .
1930-1934     40-44            24198.01        27347.68        51545.69
1930-1934     45-49            25230.10        27834.62        53064.72
1930-1934     50-54            23911.66        26327.91        50239.58
1930-1934     55-59            22459.06        24546.01        47005.06
1930-1934     60-64            21587.91        22323.58        43911.49
1930-1934     65-69            20722.20        20128.56        40850.76
1930-1934     70-74            19423.57        17713.60        37137.17
1930-1934     75-79            17709.34        15001.95        32711.29
1930-1934     80-84            11706.94         9201.49        20908.43
1930-1934     85-89                   .               .               .
1930-1934     90-94                   .               .               .
1930-1934     95-99                   .               .               .
1930-1934    100-104                  .               .               .
1930-1934    105-109                  .               .               .
1930-1934    110+                     .               .               .
1935-1939        0                    .               .               .
1935-1939      1-4                    .               .               .
1935-1939      5-9                    .               .               .
1935-1939     10-14                   .               .               .
1935-1939     15-19                   .               .               .
1935-1939     20-24                   .               .               .
1935-1939     25-29                   .               .               .
1935-1939     30-34                   .               .               .
1935-1939     35-39            31514.52        33147.34        64661.87
1935-1939     40-44            32848.28        34364.98        67213.25
1935-1939     45-49            31776.47        33487.18        65263.65
1935-1939     50-54            30475.78        32501.14        62976.92
1935-1939     55-59            28392.79        29552.84        57945.63
1935-1939     60-64            26667.55        26647.43        53314.99
1935-1939     65-69            24899.28        23691.31        48590.59
1935-1939     70-74            23145.08        21229.92        44375.00
1935-1939     75-79            16075.23        14129.89        30205.12
1935-1939     80-84                   .               .               .
1935-1939     85-89                   .               .               .
1935-1939     90-94                   .               .               .
1935-1939     95-99                   .               .               .
1935-1939    100-104                  .               .               .
1935-1939    105-109                  .               .               .
1935-1939    110+                     .               .               .
1940-1944        0                    .               .               .
1940-1944      1-4                    .               .               .
1940-1944      5-9                    .               .               .
1940-1944     10-14                   .               .               .
1940-1944     15-19                   .               .               .
1940-1944     20-24                   .               .               .
1940-1944     25-29                   .               .               .
1940-1944     30-34            39065.30        41419.71        80485.01
1940-1944     35-39            42728.81        43230.45        85959.26
1940-1944     40-44            43151.98        43263.97        86415.95
1940-1944     45-49            42231.82        43502.91        85734.73
1940-1944     50-54            40119.17        41167.64        81286.81
1940-1944     55-59            37154.62        37471.87        74626.49
1940-1944     60-64            34176.15        32925.66        67101.81
1940-1944     65-69            31575.49        29533.05        61108.54
1940-1944     70-74            22018.82        19912.34        41931.16
1940-1944     75-79                   .               .               .
1940-1944     80-84                   .               .               .
1940-1944     85-89                   .               .               .
1940-1944     90-94                   .               .               .
1940-1944     95-99                   .               .               .
1940-1944    100-104                  .               .               .
1940-1944    105-109                  .               .               .
1940-1944    110+                     .               .               .
1945-1949        0                    .               .               .
1945-1949      1-4                    .               .               .
1945-1949      5-9                    .               .               .
1945-1949     10-14                   .               .               .
1945-1949     15-19                   .               .               .
1945-1949     20-24                   .               .               .
1945-1949     25-29            52197.36        53964.07       106161.43
1945-1949     30-34            57468.13        60296.79       117764.93
1945-1949     35-39            59438.84        61446.96       120885.79
1945-1949     40-44            60378.32        61598.91       121977.23
1945-1949     45-49            59410.95        59999.98       119410.94
1945-1949     50-54            56622.26        56698.49       113320.75
1945-1949     55-59            50940.63        50560.76       101501.39
1945-1949     60-64            45781.47        45038.48        90819.94
1945-1949     65-69            32461.53        31161.64        63623.17
1945-1949     70-74                   .               .               .
1945-1949     75-79                   .               .               .
1945-1949     80-84                   .               .               .
1945-1949     85-89                   .               .               .
1945-1949     90-94                   .               .               .
1945-1949     95-99                   .               .               .
1945-1949    100-104                  .               .               .
1945-1949    105-109                  .               .               .
1945-1949    110+                     .               .               .
1950-1954        0                    .               .               .
1950-1954      1-4                    .               .               .
1950-1954      5-9                    .               .               .
1950-1954     10-14                   .               .               .
1950-1954     15-19                   .               .               .
1950-1954     20-24            47286.81        44845.25        92132.06
1950-1954     25-29            55802.28        52257.79       108060.07
1950-1954     30-34            59715.92        56764.17       116480.10
1950-1954     35-39            62529.99        59805.90       122335.90
1950-1954     40-44            63462.57        59733.01       123195.58
1950-1954     45-49            62071.04        57948.02       120019.06
1950-1954     50-54            58581.02        55007.89       113588.91
1950-1954     55-59            53333.93        50367.81       103701.74
1950-1954     60-64            37388.80        34668.37        72057.17
1950-1954     65-69                   .               .               .
1950-1954     70-74                   .               .               .
1950-1954     75-79                   .               .               .
1950-1954     80-84                   .               .               .
1950-1954     85-89                   .               .               .
1950-1954     90-94                   .               .               .
1950-1954     95-99                   .               .               .
1950-1954    100-104                  .               .               .
1950-1954    105-109                  .               .               .
1950-1954    110+                     .               .               .
1955-1959        0                    .               .               .
1955-1959      1-4                    .               .               .
1955-1959      5-9                    .               .               .
