ACT, Death rates (cohort 5x5), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1897-1899        0                    .               .               .
1897-1899      1-4                    .               .               .
1897-1899      5-9                    .               .               .
1897-1899     10-14                   .               .               .
1897-1899     15-19                   .               .               .
1897-1899     20-24                   .               .               .
1897-1899     25-29                   .               .               .
1897-1899     30-34                   .               .               .
1897-1899     35-39                   .               .               .
1897-1899     40-44                   .               .               .
1897-1899     45-49                   .               .               .
1897-1899     50-54                   .               .               .
1897-1899     55-59                   .               .               .
1897-1899     60-64                   .               .               .
1897-1899     65-69                   .               .               .
1897-1899     70-74                   .               .               .
1897-1899     75-79            0.041216        0.074814        0.052417
1897-1899     80-84            0.068885        0.101865        0.080247
1897-1899     85-89            0.117090        0.121636        0.118550
1897-1899     90-94            0.177102        0.150464        0.168190
1897-1899     95-99            0.237198        0.384353        0.281058
1897-1899    100-104           0.621414        1.838063        0.696291
1897-1899    105-109                 .              .              .
1897-1899    110+                    .              .              .
1900-1904        0                    .               .               .
1900-1904      1-4                    .               .               .
1900-1904      5-9                    .               .               .
1900-1904     10-14                   .               .               .
1900-1904     15-19                   .               .               .
1900-1904     20-24                   .               .               .
1900-1904     25-29                   .               .               .
1900-1904     30-34                   .               .               .
1900-1904     35-39                   .               .               .
1900-1904     40-44                   .               .               .
1900-1904     45-49                   .               .               .
1900-1904     50-54                   .               .               .
1900-1904     55-59                   .               .               .
1900-1904     60-64                   .               .               .
1900-1904     65-69                   .               .               .
1900-1904     70-74            0.033362        0.048303        0.039931
1900-1904     75-79            0.044854        0.087122        0.061066
1900-1904     80-84            0.069051        0.091912        0.076538
1900-1904     85-89            0.109287        0.147444        0.120498
1900-1904     90-94            0.181532        0.197241        0.185818
1900-1904     95-99            0.380951        0.327125        0.365371
1900-1904    100-104           0.764382        0.937916        0.802719
1900-1904    105-109                 .              .              .
1900-1904    110+                    .              .              .
1905-1909        0                    .               .               .
1905-1909      1-4                    .               .               .
1905-1909      5-9                    .               .               .
1905-1909     10-14                   .               .               .
1905-1909     15-19                   .               .               .
1905-1909     20-24                   .               .               .
1905-1909     25-29                   .               .               .
1905-1909     30-34                   .               .               .
1905-1909     35-39                   .               .               .
1905-1909     40-44                   .               .               .
1905-1909     45-49                   .               .               .
1905-1909     50-54                   .               .               .
1905-1909     55-59                   .               .               .
1905-1909     60-64                   .               .               .
1905-1909     65-69            0.016815        0.033208        0.024554
1905-1909     70-74            0.026547        0.051212        0.036999
1905-1909     75-79            0.044346        0.068775        0.053827
1905-1909     80-84            0.059200        0.099454        0.072754
1905-1909     85-89            0.105709        0.158647        0.121027
1905-1909     90-94            0.182524        0.186596        0.183546
1905-1909     95-99            0.327744        0.324771        0.327002
1905-1909    100-104           0.624915        0.958143        0.670924
1905-1909    105-109                 .              .              .
1905-1909    110+                    .              .              .
1910-1914        0                    .               .               .
1910-1914      1-4                    .               .               .
1910-1914      5-9                    .               .               .
1910-1914     10-14                   .               .               .
1910-1914     15-19                   .               .               .
1910-1914     20-24                   .               .               .
1910-1914     25-29                   .               .               .
1910-1914     30-34                   .               .               .
1910-1914     35-39                   .               .               .
1910-1914     40-44                   .               .               .
1910-1914     45-49                   .               .               .
1910-1914     50-54                   .               .               .
1910-1914     55-59                   .               .               .
1910-1914     60-64            0.012481        0.024305        0.018373
1910-1914     65-69            0.014474        0.032923        0.023047
1910-1914     70-74            0.024860        0.042431        0.032354
1910-1914     75-79            0.041640        0.065470        0.051091
1910-1914     80-84            0.055464        0.089572        0.067249
1910-1914     85-89            0.107053        0.141848        0.117970
1910-1914     90-94            0.169353        0.208151        0.179752
1910-1914     95-99            0.327188        0.334029        0.328938
1910-1914    100-104           0.545795        0.746723        0.576631
1910-1914    105-109                  .               .               .
1910-1914    110+                     .               .               .
1915-1919        0                    .               .               .
1915-1919      1-4                    .               .               .
1915-1919      5-9                    .               .               .
1915-1919     10-14                   .               .               .
1915-1919     15-19                   .               .               .
1915-1919     20-24                   .               .               .
1915-1919     25-29                   .               .               .
1915-1919     30-34                   .               .               .
1915-1919     35-39                   .               .               .
1915-1919     40-44                   .               .               .
1915-1919     45-49                   .               .               .
1915-1919     50-54                   .               .               .
1915-1919     55-59            0.005512        0.011569        0.008622
1915-1919     60-64            0.008761        0.018520        0.013488
1915-1919     65-69            0.015849        0.028144        0.021484
1915-1919     70-74            0.022035        0.035246        0.027764
1915-1919     75-79            0.029618        0.048869        0.037521
1915-1919     80-84            0.054535        0.082104        0.064245
1915-1919     85-89            0.094590        0.129512        0.105689
1915-1919     90-94            0.176644        0.223737        0.189535
1915-1919     95-99            0.275825        0.304990        0.282606
1915-1919    100-104                  .               .               .
1915-1919    105-109                  .               .               .
1915-1919    110+                     .               .               .
1920-1924        0                    .               .               .
1920-1924      1-4                    .               .               .
1920-1924      5-9                    .               .               .
1920-1924     10-14                   .               .               .
1920-1924     15-19                   .               .               .
1920-1924     20-24                   .               .               .
1920-1924     25-29                   .               .               .
1920-1924     30-34                   .               .               .
1920-1924     35-39                   .               .               .
1920-1924     40-44                   .               .               .
1920-1924     45-49                   .               .               .
1920-1924     50-54            0.003807        0.006723        0.005347
1920-1924     55-59            0.005151        0.010816        0.008053
1920-1924     60-64            0.007703        0.015163        0.011351
1920-1924     65-69            0.011923        0.022260        0.016789
1920-1924     70-74            0.018002        0.030556        0.023640
1920-1924     75-79            0.026023        0.042033        0.032907
1920-1924     80-84            0.049084        0.071577        0.057946
1920-1924     85-89            0.087440        0.116185        0.097855
1920-1924     90-94            0.164764        0.184300        0.171252
1920-1924     95-99                   .               .               .
1920-1924    100-104                  .               .               .
1920-1924    105-109                  .               .               .
1920-1924    110+                     .               .               .
1925-1929        0                    .               .               .
1925-1929      1-4                    .               .               .
1925-1929      5-9                    .               .               .
1925-1929     10-14                   .               .               .
1925-1929     15-19                   .               .               .
1925-1929     20-24                   .               .               .
1925-1929     25-29                   .               .               .
1925-1929     30-34                   .               .               .
1925-1929     35-39                   .               .               .
1925-1929     40-44                   .               .               .
1925-1929     45-49            0.002659        0.005122        0.003941
1925-1929     50-54            0.002530        0.006874        0.004752
1925-1929     55-59            0.004822        0.008845        0.006878
1925-1929     60-64            0.007557        0.015320        0.011431
1925-1929     65-69            0.011227        0.019245        0.015070
1925-1929     70-74            0.016600        0.025823        0.020900
1925-1929     75-79            0.023781        0.041916        0.031899
1925-1929     80-84            0.042872        0.058503        0.049441
1925-1929     85-89            0.082337        0.109618        0.093089
1925-1929     90-94                   .               .               .
1925-1929     95-99                   .               .               .
1925-1929    100-104                  .               .               .
1925-1929    105-109                  .               .               .
1925-1929    110+                     .               .               .
1930-1934        0                    .               .               .
1930-1934      1-4                    .               .               .
1930-1934      5-9                    .               .               .
1930-1934     10-14                   .               .               .
1930-1934     15-19                   .               .               .
1930-1934     20-24                   .               .               .
1930-1934     25-29                   .               .               .
1930-1934     30-34                   .               .               .
1930-1934     35-39                   .               .               .
1930-1934     40-44            0.002337        0.002672        0.002514
1930-1934     45-49            0.001856        0.003167        0.002543
1930-1934     50-54            0.002735        0.004469        0.003644
1930-1934     55-59            0.003886        0.007059        0.005543
1930-1934     60-64            0.006407        0.009844        0.008154
1930-1934     65-69            0.010257        0.014610        0.012402
1930-1934     70-74            0.013002        0.022342        0.017457
1930-1934     75-79            0.022917        0.036085        0.028956
1930-1934     80-84            0.040853        0.053561        0.046338
1930-1934     85-89                   .               .               .
1930-1934     90-94                   .               .               .
1930-1934     95-99                   .               .               .
1930-1934    100-104                  .               .               .
1930-1934    105-109                  .               .               .
1930-1934    110+                     .               .               .
1935-1939        0                    .               .               .
1935-1939      1-4                    .               .               .
1935-1939      5-9                    .               .               .
1935-1939     10-14                   .               .               .
1935-1939     15-19                   .               .               .
1935-1939     20-24                   .               .               .
1935-1939     25-29                   .               .               .
1935-1939     30-34                   .               .               .
1935-1939     35-39            0.001278        0.001855        0.001574
1935-1939     40-44            0.001411        0.001942        0.001683
1935-1939     45-49            0.002170        0.002450        0.002313
1935-1939     50-54            0.002525        0.004540        0.003565
1935-1939     55-59            0.003896        0.006110        0.005025
1935-1939     60-64            0.005318        0.007722        0.006520
1935-1939     65-69            0.007061        0.013112        0.010011
1935-1939     70-74            0.012943        0.017733        0.015235
1935-1939     75-79            0.018812        0.032974        0.025422
1935-1939     80-84                   .               .               .
1935-1939     85-89                   .               .               .
1935-1939     90-94                   .               .               .
1935-1939     95-99                   .               .               .
1935-1939    100-104                  .               .               .
1935-1939    105-109                  .               .               .
1935-1939    110+                     .               .               .
1940-1944        0                    .               .               .
1940-1944      1-4                    .               .               .
1940-1944      5-9                    .               .               .
1940-1944     10-14                   .               .               .
1940-1944     15-19                   .               .               .
1940-1944     20-24                   .               .               .
1940-1944     25-29                   .               .               .
1940-1944     30-34            0.000944        0.001228        0.001090
1940-1944     35-39            0.001116        0.001362        0.001240
1940-1944     40-44            0.001176        0.001695        0.001436
1940-1944     45-49            0.001575        0.002413        0.002000
1940-1944     50-54            0.002421        0.002909        0.002668
1940-1944     55-59            0.003296        0.005320        0.004312
1940-1944     60-64            0.005125        0.006964        0.006027
1940-1944     65-69            0.006667        0.010634        0.008584
1940-1944     70-74            0.010543        0.016688        0.013452
1940-1944     75-79                   .               .               .
1940-1944     80-84                   .               .               .
1940-1944     85-89                   .               .               .
1940-1944     90-94                   .               .               .
1940-1944     95-99                   .               .               .
1940-1944    100-104                  .               .               .
1940-1944    105-109                  .               .               .
1940-1944    110+                     .               .               .
1945-1949        0                    .               .               .
1945-1949      1-4                    .               .               .
1945-1949      5-9                    .               .               .
1945-1949     10-14                   .               .               .
1945-1949     15-19                   .               .               .
1945-1949     20-24                   .               .               .
1945-1949     25-29            0.000803        0.000809        0.000806
1945-1949     30-34            0.000846        0.001150        0.001002
1945-1949     35-39            0.000968        0.001212        0.001092
1945-1949     40-44            0.001225        0.001351        0.001289
1945-1949     45-49            0.001667        0.001930        0.001799
1945-1949     50-54            0.001748        0.002900        0.002325
1945-1949     55-59            0.002284        0.004278        0.003277
1945-1949     60-64            0.003947        0.006919        0.005421
1945-1949     65-69            0.005710        0.009195        0.007409
1945-1949     70-74                   .               .               .
1945-1949     75-79                   .               .               .
1945-1949     80-84                   .               .               .
1945-1949     85-89                   .               .               .
1945-1949     90-94                   .               .               .
1945-1949     95-99                   .               .               .
1945-1949    100-104                  .               .               .
1945-1949    105-109                  .               .               .
1945-1949    110+                     .               .               .
1950-1954        0                    .               .               .
1950-1954      1-4                    .               .               .
1950-1954      5-9                    .               .               .
1950-1954     10-14                   .               .               .
1950-1954     15-19                   .               .               .
1950-1954     20-24            0.000854        0.001715        0.001273
1950-1954     25-29            0.000682        0.001260        0.000961
1950-1954     30-34            0.000638        0.000968        0.000799
1950-1954     35-39            0.001014        0.001289        0.001148
1950-1954     40-44            0.000825        0.001323        0.001067
1950-1954     45-49            0.001550        0.001836        0.001688
1950-1954     50-54            0.001502        0.002665        0.002065
1950-1954     55-59            0.002767        0.003960        0.003347
1950-1954     60-64            0.004007        0.006399        0.005156
1950-1954     65-69                   .               .               .
1950-1954     70-74                   .               .               .
1950-1954     75-79                   .               .               .
1950-1954     80-84                   .               .               .
1950-1954     85-89                   .               .               .
1950-1954     90-94                   .               .               .
1950-1954     95-99                   .               .               .
1950-1954    100-104                  .               .               .
1950-1954    105-109                  .               .               .
1950-1954    110+                     .               .               .
1955-1959        0                    .               .               .
1955-1959      1-4                    .               .               .
1955-1959      5-9                    .               .               .
