ACT, Life tables (period 5x5), Males	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1974        0      0.01962  0.01928  0.11  100000    1928   98284  7040347  70.40
1971-1974      1-4      0.00101  0.00404  1.73   98072     396  391388  6942063  70.79
1971-1974      5-9      0.00043  0.00214  1.77   97675     209  487701  6550676  67.07
1971-1974     10-14     0.00100  0.00498  2.59   97466     485  486163  6062975  62.21
1971-1974     15-19     0.00192  0.00957  2.77   96981     928  482830  5576812  57.50
1971-1974     20-24     0.00160  0.00797  2.34   96053     766  478227  5093982  53.03
1971-1974     25-29     0.00094  0.00469  2.78   95287     447  475444  4615755  48.44
1971-1974     30-34     0.00123  0.00614  2.65   94840     583  472828  4140311  43.66
1971-1974     35-39     0.00189  0.00940  2.36   94257     886  468946  3667482  38.91
1971-1974     40-44     0.00274  0.01361  2.72   93371    1271  463953  3198536  34.26
1971-1974     45-49     0.00451  0.02231  2.59   92100    2054  455546  2734583  29.69
1971-1974     50-54     0.00659  0.03248  2.85   90046    2925  443955  2279036  25.31
1971-1974     55-59     0.01313  0.06375  2.74   87121    5554  423032  1835082  21.06
1971-1974     60-64     0.02230  0.10606  2.70   81568    8651  387974  1412049  17.31
1971-1974     65-69     0.03256  0.14972  2.32   72916   10917  335338  1024076  14.04
1971-1974     70-74     0.06238  0.27315  2.73   61999   16935  271471   688738  11.11
1971-1974     75-79     0.08441  0.35259  2.67   45064   15889  188230   417267   9.26
1971-1974     80-84     0.07619  0.32238  2.62   29175    9405  123452   229037   7.85
1971-1974     85-89     0.14392  0.52669  2.45   19769   10412   72346   105585   5.34
1971-1974     90-94     0.25263  0.73919  2.19    9357    6917   27379    33239   3.55
1971-1974     95-99     0.40219  0.88773  1.85    2440    2166    5387     5860   2.40
1971-1974    100-104    0.57299  0.95724  1.52     274     262     458      474   1.73
1971-1974    105-109    0.73048  0.98218  1.28      12      12      16       16   1.37
1971-1974    110+       0.83603  1.00000  1.20       0       0       0        0   1.20
1975-1979        0      0.01477  0.01458  0.12  100000    1458   98716  7187033  71.87
1975-1979      1-4      0.00066  0.00262  1.73   98542     258  393581  7088316  71.93
1975-1979      5-9      0.00051  0.00254  2.70   98284     250  490845  6694735  68.12
1975-1979     10-14     0.00054  0.00267  3.16   98034     262  489687  6203891  63.28
1975-1979     15-19     0.00136  0.00676  3.03   97772     661  487559  5714204  58.44
1975-1979     20-24     0.00171  0.00850  2.39   97111     825  483403  5226645  53.82
1975-1979     25-29     0.00110  0.00548  2.28   96285     528  479992  4743242  49.26
1975-1979     30-34     0.00126  0.00629  2.37   95758     602  477208  4263250  44.52
1975-1979     35-39     0.00158  0.00787  2.66   95156     749  474029  3786042  39.79
1975-1979     40-44     0.00231  0.01149  2.67   94407    1085  469512  3312013  35.08
1975-1979     45-49     0.00416  0.02064  2.90   93322    1927  462556  2842501  30.46
1975-1979     50-54     0.00690  0.03393  2.68   91395    3101  449786  2379946  26.04
1975-1979     55-59     0.01181  0.05737  2.55   88294    5065  429044  1930159  21.86
1975-1979     60-64     0.02104  0.10052  2.79   83228    8366  397668  1501115  18.04
1975-1979     65-69     0.03214  0.14924  2.61   74862   11172  347595  1103447  14.74
1975-1979     70-74     0.04523  0.20373  2.57   63690   12975  286861   755852  11.87
1975-1979     75-79     0.08703  0.35439  2.38   50714   17973  206519   468991   9.25
1975-1979     80-84     0.09213  0.37303  2.45   32742   12214  132575   262472   8.02
1975-1979     85-89     0.12822  0.47952  2.37   20528    9844   76771   129898   6.33
1975-1979     90-94     0.17547  0.59310  2.27   10684    6337   36115    53126   4.97
1975-1979     95-99     0.23509  0.70287  2.14    4347    3056   12998    17012   3.91
1975-1979    100-104    0.30707  0.79771  1.99    1292    1030    3356     4013   3.11
1975-1979    105-109    0.38962  0.87055  1.82     261     227     584      658   2.52
1975-1979    110+       0.45837  1.00000  2.18      34      34      74       74   2.18
1980-1984        0      0.01015  0.01006  0.13  100000    1006   99124  7324576  73.25
1980-1984      1-4      0.00080  0.00319  1.57   98994     315  395210  7225452  72.99
1980-1984      5-9      0.00052  0.00262  2.33   98678     258  492703  6830243  69.22
1980-1984     10-14     0.00036  0.00178  2.32   98420     176  491632  6337540  64.39
1980-1984     15-19     0.00109  0.00542  2.70   98245     533  490000  5845908  59.50
1980-1984     20-24     0.00149  0.00741  2.05   97712     724  486426  5355907  54.81
1980-1984     25-29     0.00132  0.00659  2.61   96988     639  483408  4869481  50.21
1980-1984     30-34     0.00094  0.00469  2.84   96348     451  480766  4386073  45.52
1980-1984     35-39     0.00117  0.00582  2.66   95897     558  478180  3905307  40.72
1980-1984     40-44     0.00192  0.00953  2.58   95339     909  474492  3427127  35.95
1980-1984     45-49     0.00314  0.01558  2.51   94430    1471  468491  2952635  31.27
1980-1984     50-54     0.00606  0.02995  2.93   92959    2784  459040  2484144  26.72
1980-1984     55-59     0.00887  0.04346  2.67   90175    3919  441759  2025104  22.46
1980-1984     60-64     0.01727  0.08300  2.68   86256    7159  414681  1583346  18.36
1980-1984     65-69     0.03156  0.14676  2.61   79096   11608  367771  1168665  14.78
1980-1984     70-74     0.04773  0.21490  2.69   67488   14503  303885   800894  11.87
1980-1984     75-79     0.07747  0.32922  2.72   52985   17444  225160   497009   9.38
1980-1984     80-84     0.09368  0.37883  2.48   35541   13464  143730   271849   7.65
1980-1984     85-89     0.13940  0.51024  2.37   22077   11265   80810   128119   5.80
1980-1984     90-94     0.20192  0.64789  2.24   10813    7005   34694    47309   4.38
1980-1984     95-99     0.28260  0.77162  2.06    3807    2938   10396    12615   3.31
1980-1984    100-104    0.37965  0.86543  1.86     869     752    1982     2219   2.55
1980-1984    105-109    0.48736  0.92568  1.65     117     108     222      237   2.03
1980-1984    110+       0.57654  1.00000  1.73       9       9      15       15   1.73
1985-1989        0      0.00913  0.00906  0.13  100000     906   99213  7488060  74.88
1985-1989      1-4      0.00072  0.00286  1.64   99094     284  395709  7388847  74.56
1985-1989      5-9      0.00034  0.00170  2.60   98811     168  493653  6993139  70.77
1985-1989     10-14     0.00053  0.00265  2.72   98643     262  492620  6499486  65.89
1985-1989     15-19     0.00107  0.00534  2.93   98381     525  490823  6006866  61.06
1985-1989     20-24     0.00138  0.00687  2.33   97856     672  487488  5516044  56.37
1985-1989     25-29     0.00124  0.00617  2.40   97184     600  484364  5028556  51.74
1985-1989     30-34     0.00093  0.00464  3.03   96585     448  482042  4544192  47.05
1985-1989     35-39     0.00136  0.00679  2.79   96137     652  479242  4062150  42.25
1985-1989     40-44     0.00118  0.00591  2.87   95484     564  476221  3582908  37.52
1985-1989     45-49     0.00217  0.01080  2.38   94920    1025  471916  3106686  32.73
1985-1989     50-54     0.00457  0.02259  2.54   93895    2121  464260  2634770  28.06
1985-1989     55-59     0.00839  0.04119  2.84   91774    3780  450714  2170510  23.65
1985-1989     60-64     0.01505  0.07261  2.57   87994    6389  424462  1719796  19.54
1985-1989     65-69     0.02317  0.10972  2.59   81605    8953  386472  1295334  15.87
1985-1989     70-74     0.03937  0.18007  2.63   72651   13082  332309   908863  12.51
1985-1989     75-79     0.06761  0.28857  2.46   59569   17190  254268   576554   9.68
1985-1989     80-84     0.09258  0.37564  2.49   42379   15919  171956   322286   7.60
1985-1989     85-89     0.14176  0.51687  2.38   26460   13676   96473   150329   5.68
1985-1989     90-94     0.21032  0.66416  2.23   12784    8490   40368    53857   4.21
1985-1989     95-99     0.29962  0.79269  2.03    4293    3403   11359    13489   3.14
1985-1989    100-104    0.40673  0.88484  1.81     890     788    1936     2130   2.39
1985-1989    105-109    0.52365  0.93977  1.59     102      96     184      194   1.89
1985-1989    110+       0.61934  1.00000  1.61       6       6      10       10   1.61
1990-1994        0      0.00835  0.00829  0.13  100000     829   99281  7624195  76.24
1990-1994      1-4      0.00048  0.00191  1.18   99171     189  396150  7524914  75.88
1990-1994      5-9      0.00055  0.00277  2.00   98982     274  494085  7128765  72.02
1990-1994     10-14     0.00036  0.00179  2.20   98707     177  493044  6634680  67.22
1990-1994     15-19     0.00071  0.00355  2.75   98531     350  491867  6141636  62.33
1990-1994     20-24     0.00092  0.00457  2.57   98181     449  489818  5649769  57.54
1990-1994     25-29     0.00084  0.00419  2.55   97732     410  487657  5159952  52.80
1990-1994     30-34     0.00109  0.00545  2.60   97323     530  485345  4672294  48.01
1990-1994     35-39     0.00116  0.00577  2.65   96793     558  482651  4186950  43.26
1990-1994     40-44     0.00148  0.00736  2.96   96234     708  479730  3704299  38.49
1990-1994     45-49     0.00246  0.01224  2.83   95526    1170  475095  3224568  33.76
1990-1994     50-54     0.00376  0.01866  2.88   94357    1761  468057  2749473  29.14
1990-1994     55-59     0.00640  0.03157  2.83   92596    2923  456622  2281416  24.64
1990-1994     60-64     0.01318  0.06405  2.79   89673    5743  435666  1824793  20.35
1990-1994     65-69     0.02228  0.10608  2.75   83930    8903  399622  1389128  16.55
1990-1994     70-74     0.03205  0.14917  2.68   75027   11192  349200   989506  13.19
1990-1994     75-79     0.05750  0.25261  2.60   63835   16125  280438   640306  10.03
1990-1994     80-84     0.09530  0.38409  2.48   47710   18325  192281   359868   7.54
