PopCode,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
QLD,4,f,0,1,O,30,6,1971,3,O,18378,.,.,.,1
QLD,4,f,1,1,O,30,6,1971,3,O,17975,.,.,.,1
QLD,4,f,2,1,O,30,6,1971,3,O,17982,.,.,.,1
QLD,4,f,3,1,O,30,6,1971,3,O,17511,.,.,.,1
QLD,4,f,4,1,O,30,6,1971,3,O,17128,.,.,.,1
QLD,4,f,5,1,O,30,6,1971,3,O,16738,.,.,.,1
QLD,4,f,6,1,O,30,6,1971,3,O,17299,.,.,.,1
QLD,4,f,7,1,O,30,6,1971,3,O,18263,.,.,.,1
QLD,4,f,8,1,O,30,6,1971,3,O,18470,.,.,.,1
QLD,4,f,9,1,O,30,6,1971,3,O,19003,.,.,.,1
QLD,4,f,10,1,O,30,6,1971,3,O,18699,.,.,.,1
QLD,4,f,11,1,O,30,6,1971,3,O,18177,.,.,.,1
QLD,4,f,12,1,O,30,6,1971,3,O,18291,.,.,.,1
QLD,4,f,13,1,O,30,6,1971,3,O,17911,.,.,.,1
QLD,4,f,14,1,O,30,6,1971,3,O,17317,.,.,.,1
QLD,4,f,15,1,O,30,6,1971,3,O,17055,.,.,.,1
QLD,4,f,16,1,O,30,6,1971,3,O,16624,.,.,.,1
QLD,4,f,17,1,O,30,6,1971,3,O,16298,.,.,.,1
QLD,4,f,18,1,O,30,6,1971,3,O,15955,.,.,.,1
QLD,4,f,19,1,O,30,6,1971,3,O,15633,.,.,.,1
QLD,4,f,20,1,O,30,6,1971,3,O,15379,.,.,.,1
QLD,4,f,21,1,O,30,6,1971,3,O,15341,.,.,.,1
QLD,4,f,22,1,O,30,6,1971,3,O,14878,.,.,.,1
QLD,4,f,23,1,O,30,6,1971,3,O,14749,.,.,.,1
QLD,4,f,24,1,O,30,6,1971,3,O,15674,.,.,.,1
QLD,4,f,25,1,O,30,6,1971,3,O,13289,.,.,.,1
QLD,4,f,26,1,O,30,6,1971,3,O,13618,.,.,.,1
QLD,4,f,27,1,O,30,6,1971,3,O,12662,.,.,.,1
QLD,4,f,28,1,O,30,6,1971,3,O,11743,.,.,.,1
QLD,4,f,29,1,O,30,6,1971,3,O,11735,.,.,.,1
QLD,4,f,30,1,O,30,6,1971,3,O,11136,.,.,.,1
QLD,4,f,31,1,O,30,6,1971,3,O,10797,.,.,.,1
QLD,4,f,32,1,O,30,6,1971,3,O,10888,.,.,.,1
QLD,4,f,33,1,O,30,6,1971,3,O,10215,.,.,.,1
QLD,4,f,34,1,O,30,6,1971,3,O,10411,.,.,.,1
QLD,4,f,35,1,O,30,6,1971,3,O,10385,.,.,.,1
QLD,4,f,36,1,O,30,6,1971,3,O,10051,.,.,.,1
QLD,4,f,37,1,O,30,6,1971,3,O,9417,.,.,.,1
QLD,4,f,38,1,O,30,6,1971,3,O,9842,.,.,.,1
QLD,4,f,39,1,O,30,6,1971,3,O,9870,.,.,.,1
QLD,4,f,40,1,O,30,6,1971,3,O,10888,.,.,.,1
QLD,4,f,41,1,O,30,6,1971,3,O,9951,.,.,.,1
QLD,4,f,42,1,O,30,6,1971,3,O,10611,.,.,.,1
QLD,4,f,43,1,O,30,6,1971,3,O,10855,.,.,.,1
QLD,4,f,44,1,O,30,6,1971,3,O,10184,.,.,.,1
QLD,4,f,45,1,O,30,6,1971,3,O,10778,.,.,.,1
QLD,4,f,46,1,O,30,6,1971,3,O,10668,.,.,.,1
QLD,4,f,47,1,O,30,6,1971,3,O,10089,.,.,.,1
QLD,4,f,48,1,O,30,6,1971,3,O,10541,.,.,.,1
QLD,4,f,49,1,O,30,6,1971,3,O,10459,.,.,.,1
QLD,4,f,50,1,O,30,6,1971,3,O,11163,.,.,.,1
QLD,4,f,51,1,O,30,6,1971,3,O,9188,.,.,.,1
QLD,4,f,52,1,O,30,6,1971,3,O,9295,.,.,.,1
QLD,4,f,53,1,O,30,6,1971,3,O,9426,.,.,.,1
QLD,4,f,54,1,O,30,6,1971,3,O,9404,.,.,.,1
QLD,4,f,55,1,O,30,6,1971,3,O,8911,.,.,.,1
QLD,4,f,56,1,O,30,6,1971,3,O,9087,.,.,.,1
QLD,4,f,57,1,O,30,6,1971,3,O,9027,.,.,.,1
QLD,4,f,58,1,O,30,6,1971,3,O,8727,.,.,.,1
QLD,4,f,59,1,O,30,6,1971,3,O,8186,.,.,.,1
QLD,4,f,60,1,O,30,6,1971,3,O,8661,.,.,.,1
QLD,4,f,61,1,O,30,6,1971,3,O,7563,.,.,.,1
QLD,4,f,62,1,O,30,6,1971,3,O,7583,.,.,.,1
QLD,4,f,63,1,O,30,6,1971,3,O,7205,.,.,.,1
QLD,4,f,64,1,O,30,6,1971,3,O,6981,.,.,.,1
QLD,4,f,65,1,O,30,6,1971,3,O,6754,.,.,.,1
QLD,4,f,66,1,O,30,6,1971,3,O,6384,.,.,.,1
QLD,4,f,67,1,O,30,6,1971,3,O,5782,.,.,.,1
