PopCode,Area,Sex,Year,YearReg,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
SA,5,f,1911,1911,2,O,5442,.,.,.,1
SA,5,f,1912,1912,2,O,5911,.,.,.,1
SA,5,f,1913,1913,2,O,6122,.,.,.,1
SA,5,f,1914,1914,2,O,6236,.,.,.,1
SA,5,f,1915,1915,2,O,5722,.,.,.,1
SA,5,f,1916,1916,2,O,5657,.,.,.,1
SA,5,f,1917,1917,2,O,5564,.,.,.,1
SA,5,f,1918,1918,2,O,5570,.,.,.,1
SA,5,f,1919,1919,2,O,5284,.,.,.,1
SA,5,f,1920,1920,2,O,5850,.,.,.,1
SA,5,f,1921,1921,2,O,5852,.,.,.,1
SA,5,f,1922,1922,2,O,5851,.,.,.,1
SA,5,f,1923,1923,2,O,5716,.,.,.,1
SA,5,f,1924,1924,2,O,5651,.,.,.,1
SA,5,f,1925,1925,2,O,5633,.,.,.,1
SA,5,f,1926,1926,2,O,5577,.,.,.,1
SA,5,f,1927,1927,2,O,5627,.,.,.,1
SA,5,f,1928,1928,2,O,5532,.,.,.,1
SA,5,f,1929,1929,2,O,5141,.,.,.,1
SA,5,f,1930,1930,2,O,4884,.,.,.,1
SA,5,f,1931,1931,2,O,4463,.,.,.,1
SA,5,f,1932,1932,2,O,4168,.,.,.,1
SA,5,f,1933,1933,2,O,4249,.,.,.,1
SA,5,f,1934,1934,2,O,4105,.,.,.,1
SA,5,f,1935,1935,2,O,3984,.,.,.,1
SA,5,f,1936,1936,2,O,4402,.,.,.,1
SA,5,f,1937,1937,2,O,4374,.,.,.,1
SA,5,f,1938,1938,2,O,4547,.,.,.,1
SA,5,f,1939,1939,2,O,4631,.,.,.,1
SA,5,f,1940,1940,2,O,4872,.,.,.,1
SA,5,f,1941,1941,2,O,5232,.,.,.,1
SA,5,f,1942,1942,2,O,5461,.,.,.,1
SA,5,f,1943,1943,2,O,6373,.,.,.,1
SA,5,f,1944,1944,2,O,6513,.,.,.,1
SA,5,f,1945,1945,2,O,6868,.,.,.,1
SA,5,f,1946,1946,2,O,7707,.,.,.,1
SA,5,f,1947,1947,2,O,7934,.,.,.,1
SA,5,f,1948,1948,2,O,7692,.,.,.,1
SA,5,f,1949,1949,2,O,7809,.,.,.,1
SA,5,f,1950,1950,2,O,8426,.,.,.,1
SA,5,f,1951,1951,2,O,8500,.,.,.,1
SA,5,f,1952,1952,2,O,8743,.,.,.,1
SA,5,f,1953,1953,2,O,8809,.,.,.,1
SA,5,f,1954,1954,2,O,8880,.,.,.,1
SA,5,f,1955,1955,2,O,8970,.,.,.,1
SA,5,f,1956,1956,2,O,9256,.,.,.,1
SA,5,f,1957,1957,2,O,9511,.,.,.,1
SA,5,f,1958,1958,2,O,9866,.,.,.,1
SA,5,f,1959,1959,2,O,10047,.,.,.,1
SA,5,f,1960,1960,2,O,10206,.,.,.,1
SA,5,f,1961,1961,2,O,10997,.,.,.,1
SA,5,f,1962,1962,2,O,10358,.,.,.,1
SA,5,f,1963,1963,2,O,10361,.,.,.,1
SA,5,f,1964,1964,2,O,10017,.,.,.,1
SA,5,f,1965,1965,2,O,10113,.,.,.,1
SA,5,f,1966,1966,2,O,9806,.,.,.,1
SA,5,f,1967,1967,2,O,9984,.,.,.,1
SA,5,f,1968,1968,2,O,10258,.,.,.,1
SA,5,f,1969,1969,2,O,10715,.,.,.,1
SA,5,f,1970,1970,2,O,11062,.,.,.,1
SA,5,f,1971,1971,2,O,11199,.,.,.,1
SA,5,f,1972,1972,2,O,10499,.,.,.,1
SA,5,f,1973,1973,2,O,9763,.,.,.,1
SA,5,f,1974,1974,2,O,9646,.,.,.,1
SA,5,f,1975,1975,2,O,9735,.,.,.,1
SA,5,f,1976,1976,2,O,9079,.,.,.,1
SA,5,f,1977,1977,2,O,9314,.,.,.,1
SA,5,f,1978,1978,2,O,9051,.,.,.,1
SA,5,f,1979,1979,2,O,8939,.,.,.,1
SA,5,f,1980,1980,2,O,9010,.,.,.,1
SA,5,f,1981,1981,2,O,9502,.,.,.,1
SA,5,f,1982,1982,2,O,9283,.,.,.,1
SA,5,f,1983,1983,2,O,9619,.,.,.,1
