PopCode,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
VIC,7,f,0,1,O,30,6,1971,3,O,35824,.,.,.,1
VIC,7,f,1,1,O,30,6,1971,3,O,34251,.,.,.,1
VIC,7,f,2,1,O,30,6,1971,3,O,35356,.,.,.,1
VIC,7,f,3,1,O,30,6,1971,3,O,33525,.,.,.,1
VIC,7,f,4,1,O,30,6,1971,3,O,33228,.,.,.,1
VIC,7,f,5,1,O,30,6,1971,3,O,32243,.,.,.,1
VIC,7,f,6,1,O,30,6,1971,3,O,33017,.,.,.,1
VIC,7,f,7,1,O,30,6,1971,3,O,33323,.,.,.,1
VIC,7,f,8,1,O,30,6,1971,3,O,34091,.,.,.,1
VIC,7,f,9,1,O,30,6,1971,3,O,34003,.,.,.,1
VIC,7,f,10,1,O,30,6,1971,3,O,34490,.,.,.,1
VIC,7,f,11,1,O,30,6,1971,3,O,32960,.,.,.,1
VIC,7,f,12,1,O,30,6,1971,3,O,33492,.,.,.,1
VIC,7,f,13,1,O,30,6,1971,3,O,32526,.,.,.,1
VIC,7,f,14,1,O,30,6,1971,3,O,32050,.,.,.,1
VIC,7,f,15,1,O,30,6,1971,3,O,31493,.,.,.,1
VIC,7,f,16,1,O,30,6,1971,3,O,31041,.,.,.,1
VIC,7,f,17,1,O,30,6,1971,3,O,30078,.,.,.,1
VIC,7,f,18,1,O,30,6,1971,3,O,30735,.,.,.,1
VIC,7,f,19,1,O,30,6,1971,3,O,29548,.,.,.,1
VIC,7,f,20,1,O,30,6,1971,3,O,30399,.,.,.,1
VIC,7,f,21,1,O,30,6,1971,3,O,30373,.,.,.,1
VIC,7,f,22,1,O,30,6,1971,3,O,29604,.,.,.,1
VIC,7,f,23,1,O,30,6,1971,3,O,30917,.,.,.,1
VIC,7,f,24,1,O,30,6,1971,3,O,33124,.,.,.,1
VIC,7,f,25,1,O,30,6,1971,3,O,27744,.,.,.,1
VIC,7,f,26,1,O,30,6,1971,3,O,26584,.,.,.,1
VIC,7,f,27,1,O,30,6,1971,3,O,25734,.,.,.,1
VIC,7,f,28,1,O,30,6,1971,3,O,23924,.,.,.,1
VIC,7,f,29,1,O,30,6,1971,3,O,23916,.,.,.,1
VIC,7,f,30,1,O,30,6,1971,3,O,23097,.,.,.,1
VIC,7,f,31,1,O,30,6,1971,3,O,21845,.,.,.,1
VIC,7,f,32,1,O,30,6,1971,3,O,22277,.,.,.,1
VIC,7,f,33,1,O,30,6,1971,3,O,21558,.,.,.,1
VIC,7,f,34,1,O,30,6,1971,3,O,21122,.,.,.,1
VIC,7,f,35,1,O,30,6,1971,3,O,21567,.,.,.,1
VIC,7,f,36,1,O,30,6,1971,3,O,20558,.,.,.,1
VIC,7,f,37,1,O,30,6,1971,3,O,19817,.,.,.,1
VIC,7,f,38,1,O,30,6,1971,3,O,20109,.,.,.,1
VIC,7,f,39,1,O,30,6,1971,3,O,20112,.,.,.,1
VIC,7,f,40,1,O,30,6,1971,3,O,22400,.,.,.,1
VIC,7,f,41,1,O,30,6,1971,3,O,20392,.,.,.,1
VIC,7,f,42,1,O,30,6,1971,3,O,21991,.,.,.,1
VIC,7,f,43,1,O,30,6,1971,3,O,21928,.,.,.,1
VIC,7,f,44,1,O,30,6,1971,3,O,21308,.,.,.,1
VIC,7,f,45,1,O,30,6,1971,3,O,22636,.,.,.,1
VIC,7,f,46,1,O,30,6,1971,3,O,22354,.,.,.,1
VIC,7,f,47,1,O,30,6,1971,3,O,21404,.,.,.,1
VIC,7,f,48,1,O,30,6,1971,3,O,21520,.,.,.,1
VIC,7,f,49,1,O,30,6,1971,3,O,21174,.,.,.,1
VIC,7,f,50,1,O,30,6,1971,3,O,22186,.,.,.,1
VIC,7,f,51,1,O,30,6,1971,3,O,18703,.,.,.,1
VIC,7,f,52,1,O,30,6,1971,3,O,17232,.,.,.,1
VIC,7,f,53,1,O,30,6,1971,3,O,16947,.,.,.,1
VIC,7,f,54,1,O,30,6,1971,3,O,17244,.,.,.,1
VIC,7,f,55,1,O,30,6,1971,3,O,17236,.,.,.,1
VIC,7,f,56,1,O,30,6,1971,3,O,17911,.,.,.,1
VIC,7,f,57,1,O,30,6,1971,3,O,17504,.,.,.,1
VIC,7,f,58,1,O,30,6,1971,3,O,16763,.,.,.,1
VIC,7,f,59,1,O,30,6,1971,3,O,16058,.,.,.,1
VIC,7,f,60,1,O,30,6,1971,3,O,17035,.,.,.,1
VIC,7,f,61,1,O,30,6,1971,3,O,14539,.,.,.,1
VIC,7,f,62,1,O,30,6,1971,3,O,14741,.,.,.,1
VIC,7,f,63,1,O,30,6,1971,3,O,14450,.,.,.,1
VIC,7,f,64,1,O,30,6,1971,3,O,13662,.,.,.,1
