PopCode,Area,Sex,Year,YearReg,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
WA,8,f,1911,1911,2,O,3967,.,.,.,1
WA,8,f,1912,1912,2,O,4220,.,.,.,1
WA,8,f,1913,1913,2,O,4508,.,.,.,1
WA,8,f,1914,1914,2,O,4541,.,.,.,1
WA,8,f,1915,1915,2,O,4439,.,.,.,1
WA,8,f,1916,1916,2,O,4124,.,.,.,1
WA,8,f,1917,1917,2,O,3824,.,.,.,1
WA,8,f,1918,1918,2,O,3491,.,.,.,1
WA,8,f,1919,1919,2,O,3460,.,.,.,1
WA,8,f,1920,1920,2,O,3893,.,.,.,1
WA,8,f,1921,1921,2,O,3819,.,.,.,1
WA,8,f,1922,1922,2,O,3968,.,.,.,1
WA,8,f,1923,1923,2,O,3840,.,.,.,1
WA,8,f,1924,1924,2,O,4086,.,.,.,1
WA,8,f,1925,1925,2,O,3975,.,.,.,1
WA,8,f,1926,1926,2,O,3995,.,.,.,1
WA,8,f,1927,1927,2,O,4116,.,.,.,1
WA,8,f,1928,1928,2,O,4211,.,.,.,1
WA,8,f,1929,1929,2,O,4503,.,.,.,1
WA,8,f,1930,1930,2,O,4373,.,.,.,1
WA,8,f,1931,1931,2,O,4121,.,.,.,1
WA,8,f,1932,1932,2,O,3843,.,.,.,1
WA,8,f,1933,1933,2,O,3893,.,.,.,1
WA,8,f,1934,1934,2,O,3843,.,.,.,1
WA,8,f,1935,1935,2,O,3936,.,.,.,1
WA,8,f,1936,1936,2,O,4192,.,.,.,1
WA,8,f,1937,1937,2,O,4193,.,.,.,1
WA,8,f,1938,1938,2,O,4466,.,.,.,1
WA,8,f,1939,1939,2,O,4387,.,.,.,1
WA,8,f,1940,1940,2,O,4533,.,.,.,1
WA,8,f,1941,1941,2,O,5010,.,.,.,1
WA,8,f,1942,1942,2,O,4882,.,.,.,1
WA,8,f,1943,1943,2,O,5124,.,.,.,1
WA,8,f,1944,1944,2,O,5326,.,.,.,1
WA,8,f,1945,1945,2,O,5272,.,.,.,1
WA,8,f,1946,1946,2,O,5820,.,.,.,1
WA,8,f,1947,1947,2,O,6294,.,.,.,1
WA,8,f,1948,1948,2,O,6267,.,.,.,1
WA,8,f,1949,1949,2,O,6685,.,.,.,1
WA,8,f,1950,1950,2,O,6935,.,.,.,1
WA,8,f,1951,1951,2,O,7110,.,.,.,1
WA,8,f,1952,1952,2,O,7587,.,.,.,1
WA,8,f,1953,1953,2,O,7806,.,.,.,1
WA,8,f,1954,1954,2,O,7792,.,.,.,1
