NSW,  Births (1-year)	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

Year          Female      Male     Total
1911           23154     24383     47537
1912           25337     26524     51861
1913           25562     26624     52186
1914           26189     27452     53641
1915           25846     27085     52931
1916           25465     26615     52080
1917           25446     27002     52448
1918           24707     26002     50709
1919           23608     24924     48532
1920           26251     27691     53942
1921           26631     28005     54636
1922           26952     28218     55170
1923           26356     27713     54069
1924           26355     27350     53705
1925           26737     27878     54615
1926           25899     27217     53116
1927           26047     27792     53839
1928           26524     28267     54791
1929           25607     27064     52671
1930           25491     26637     52128
1931           23177     24544     47721
1932           21781     23114     44895
1933           21396     22799     44195
1934           21231     22104     43335
1935           21886     22790     44676
1936           22524     23669     46193
1937           23285     24212     47497
1938           23125     24194     47319
1939           23446     24557     48003
1940           24212     25170     49382
1941           25333     26396     51729
1942           25488     27159     52647
1943           28005     29260     57265
1944           29252     30360     59612
1945           29850     31812     61662
1946           32557     34690     67247
1947           33623     35775     69398
1948           32696     34538     67234
1949           33611     35201     68812
1950           34809     36783     71592
1951           35070     36999     72069
1952           36063     38133     74196
1953           36575     38315     74890
1954           35672     37453     73125
1955           36326     38081     74407
1956           36505     39209     75714
1957           38577     40879     79456
1958           39236     40809     80045
1959           39550     41316     80866
1960           39752     42231     81983
1961           42168     44224     86392
1962           41425     44014     85439
1963           41006     43059     84065
1964           39104     41414     80518
1965           37850     40219     78069
1966           37591     40185     77776
1967           38434     40407     78841
1968           39799     41897     81696
1969           41900     44136     86036
1970           43231     45217     88448
1971           48195     50271     98466
1972           46510     49097     95607
1973           42463     45282     87745
1974           41869     44614     86483
1975           39403     41769     81172
1976           38496     40253     78749
1977           38206     40096     78302
1978           38238     39814     78052
1979           37611     39858     77469
1980           38642     41159     79801
1981           39691     42280     81971
1982           40812     43096     83908
1983           40601     42706     83307
1984           38109     39885     77994
1985           42728     45058     87786
1986           41073     43458     84531
1987           42058     44035     86093
1988           41152     43495     84647
1989           41842     43948     85790
1990           43782     46752     90534
1991           42425     44942     87367
1992           44875     47710     92585
1993           43448     45906     89354
1994           42790     45187     87977
1995           42965     44884     87849
1996           42147     44448     86595
1997           42509     44647     87156
1998           41736     43763     85499
1999           42346     44438     86784
2000           42047     44705     86752
2001           41049     43529     84578
2002           42214     44369     86583
2003           41813     44531     86344
2004           41555     44339     85894
2005           44294     46930     91224
2006           44408     47780     92188
2007           46909     49442     96351
2008           49071     51205    100276
2009           47820     50411     98231
2010           49323     51943    101266
2011           48068     50986     99054
2012           47867     50641     98508
2013           48587     51875    100462
2014           44385     46689     91074
2015           48737     51342    100079
2016           46863     49220     96083
