NSW, Deaths (period 1x10), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1979        0              4842.13         6830.16        11672.29
1971-1979        1               376.07          472.20          848.27
1971-1979        2               232.06          305.14          537.20
1971-1979        3               165.05          258.12          423.17
1971-1979        4               144.02          214.08          358.10
1971-1979        5               124.03          184.10          308.13
1971-1979        6               124.04          166.07          290.11
1971-1979        7                95.04          144.05          239.09
1971-1979        8                90.04          139.06          229.10
1971-1979        9                75.01          107.06          182.07
1971-1979       10                74.01          121.07          195.08
1971-1979       11                85.02          145.07          230.09
1971-1979       12                72.01          148.05          220.06
1971-1979       13                97.02          155.06          252.08
1971-1979       14               127.01          202.09          329.10
1971-1979       15               131.03          254.12          385.15
1971-1979       16               158.02          387.19          545.21
1971-1979       17               217.04          593.29          810.33
1971-1979       18               232.05          719.34          951.39
1971-1979       19               202.05          781.36          983.41
1971-1979       20               189.03          770.36          959.39
1971-1979       21               189.06          705.34          894.40
1971-1979       22               198.05          612.28          810.33
1971-1979       23               213.06          577.27          790.33
1971-1979       24               204.05          572.28          776.33
1971-1979       25               185.05          507.25          692.30
1971-1979       26               194.06          512.23          706.29
1971-1979       27               234.04          476.24          710.28
1971-1979       28               193.09          471.24          664.33
1971-1979       29               216.05          467.22          683.27
1971-1979       30               230.06          437.22          667.28
1971-1979       31               209.05          410.20          619.25
1971-1979       32               229.05          481.22          710.27
1971-1979       33               240.07          424.19          664.26
1971-1979       34               269.05          437.21          706.26
1971-1979       35               297.05          483.22          780.27
1971-1979       36               303.08          504.22          807.30
1971-1979       37               342.07          519.27          861.34
1971-1979       38               354.09          622.31          976.40
1971-1979       39               403.08          622.29         1025.37
1971-1979       40               401.09          616.31         1017.40
1971-1979       41               432.11          774.36         1206.47
1971-1979       42               536.14          905.44         1441.58
1971-1979       43               605.14         1028.48         1633.62
1971-1979       44               657.17         1080.53         1737.70
1971-1979       45               700.16         1180.54         1880.70
1971-1979       46               788.19         1413.66         2201.85
1971-1979       47               888.20         1583.74         2471.94
1971-1979       48               925.21         1686.79         2612.00
1971-1979       49              1052.24         1989.93         3042.17
1971-1979       50              1143.26         2022.95         3166.21
1971-1979       51              1145.27         2068.98         3214.25
1971-1979       52              1328.31         2413.14         3741.45
1971-1979       53              1319.31         2614.25         3933.56
1971-1979       54              1478.34         2838.36         4316.70
1971-1979       55              1447.33         2849.37         4296.70
1971-1979       56              1555.35         3132.47         4687.82
1971-1979       57              1791.41         3293.54         5084.95
1971-1979       58              1854.41         3512.63         5367.04
1971-1979       59              2047.49         3801.79         5849.28
1971-1979       60              2072.51         3943.85         6016.36
1971-1979       61              2093.51         3999.86         6093.37
1971-1979       62              2451.58         4724.21         7175.79
1971-1979       63              2683.62         4967.31         7650.93
1971-1979       64              2751.64         5093.41         7845.05
1971-1979       65              2750.63         5257.46         8008.09
1971-1979       66              2889.65         4996.37         7886.02
1971-1979       67              3041.69         5438.58         8480.27
1971-1979       68              3271.78         5448.56         8720.34
1971-1979       69              3441.77         5616.65         9058.42
1971-1979       70              3440.79         5471.61         8912.40
1971-1979       71              3582.80         5544.62         9127.42
1971-1979       72              4076.95         5835.73         9912.68
1971-1979       73              4281.00         5630.67         9911.67
1971-1979       74              4483.06         5553.66        10036.72
1971-1979       75              4693.08         5442.60        10135.68
1971-1979       76              4866.11         5258.46        10124.57
1971-1979       77              4641.07         4928.33         9569.40
1971-1979       78              5206.22         5010.35        10216.57
1971-1979       79              5302.25         4654.21         9956.46
1971-1979       80              5211.21         4312.05         9523.26
1971-1979       81              5071.17         3917.83         8989.00
1971-1979       82              5436.27         4086.92         9523.19
1971-1979       83              5547.29         3835.77         9383.06
1971-1979       84              5476.30         3678.75         9155.05
1971-1979       85              5137.23         3125.47         8262.70
1971-1979       86              4973.14         2992.43         7965.57
1971-1979       87              4197.96         2440.16         6638.12
1971-1979       88              3744.90         1990.95         5735.85
1971-1979       89              3503.83         1790.86         5294.69
1971-1979       90              2797.65         1409.67         4207.32
1971-1979       91              2287.56          969.45         3257.01
1971-1979       92              1894.44          862.43         2756.87
1971-1979       93              1550.38          678.34         2228.72
1971-1979       94              1220.28          484.23         1704.51
1971-1979       95               933.22          283.13         1216.35
1971-1979       96               669.15          223.12          892.27
1971-1979       97               522.13          160.06          682.19
1971-1979       98               316.04           99.06          415.10
1971-1979       99               209.05           47.05          256.10
1971-1979      100               124.23           41.00          165.23
1971-1979      101                75.86           23.40           99.26
1971-1979      102                44.87           13.48           58.35
1971-1979      103                25.64            7.72           33.36
1971-1979      104                14.19            3.01           17.20
1971-1979      105                 7.04            0.48            7.52
1971-1979      106                 2.23            0.00            2.23
1971-1979      107                 0.00            0.00            0.00
1971-1979      108                 0.00            0.00            0.00
1971-1979      109                 0.00            0.00            0.00
1971-1979      110+                0.00            0.00            0.00
1980-1989        0              3365.31         4611.79         7977.10
1980-1989        1               261.02          306.12          567.14
1980-1989        2               166.04          229.09          395.13
1980-1989        3               109.01          198.07          307.08
1980-1989        4                96.00          144.06          240.06
1980-1989        5                91.00          134.05          225.05
1980-1989        6                76.00          125.01          201.01
1980-1989        7                75.00          106.05          181.05
1980-1989        8                55.01          128.06          183.07
1980-1989        9                51.01           92.04          143.05
1980-1989       10                68.01          123.03          191.04
1980-1989       11                76.02          104.05          180.07
1980-1989       12                69.00          116.04          185.04
1980-1989       13                82.01          139.06          221.07
1980-1989       14                93.01          165.05          258.06
1980-1989       15               121.01          224.08          345.09
1980-1989       16               158.01          349.11          507.12
1980-1989       17               184.01          589.22          773.23
1980-1989       18               240.01          722.28          962.29
1980-1989       19               229.02          699.30          928.32
1980-1989       20               226.04          784.31         1010.35
1980-1989       21               211.02          723.29          934.31
1980-1989       22               226.03          748.29          974.32
1980-1989       23               230.02          677.26          907.28
1980-1989       24               208.03          719.25          927.28
1980-1989       25               219.03          681.26          900.29
1980-1989       26               247.02          664.23          911.25
1980-1989       27               207.02          641.23          848.25
1980-1989       28               215.03          615.23          830.26
1980-1989       29               212.03          589.20          801.23
1980-1989       30               199.03          559.24          758.27
1980-1989       31               247.02          544.21          791.23
1980-1989       32               261.00          558.21          819.21
1980-1989       33               281.03          606.22          887.25
1980-1989       34               289.02          551.19          840.21
1980-1989       35               284.01          611.21          895.22
1980-1989       36               298.03          572.20          870.23
1980-1989       37               352.04          649.22         1001.26
1980-1989       38               359.02          652.25         1011.27
1980-1989       39               375.01          741.28         1116.29
1980-1989       40               419.03          730.26         1149.29
1980-1989       41               419.04          736.28         1155.32
1980-1989       42               492.04          831.34         1323.38
1980-1989       43               524.05          925.33         1449.38
1980-1989       44               540.05          906.33         1446.38
1980-1989       45               575.04          914.37         1489.41
1980-1989       46               673.05         1140.44         1813.49
1980-1989       47               685.07         1153.47         1838.54
1980-1989       48               662.07         1278.48         1940.55
1980-1989       49               782.09         1422.54         2204.63
1980-1989       50               824.09         1650.67         2474.76
