NSW,  Deaths (Lexis triangle)	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1971    0      1971      636.03      841.50     1477.53
 1971    0      1970      102.04      148.94      250.98
 1971    1      1970       27.98       37.17       65.15
 1971    1      1969       23.02       30.86       53.88
 1971    2      1969       12.96       17.15       30.11
 1971    2      1968       11.04       14.86       25.90
 1971    3      1968        9.66       16.53       26.19
 1971    3      1967        8.34       14.48       22.82
 1971    4      1967       11.76       13.20       24.96
 1971    4      1966       10.24       11.81       22.05
 1971    5      1966        8.29       11.99       20.28
 1971    5      1965        7.71       11.02       18.73
 1971    6      1965        7.70       11.87       19.57
 1971    6      1964        7.30       11.14       18.44
 1971    7      1964        6.64        7.20       13.84
 1971    7      1963        6.36        6.80       13.16
 1971    8      1963        4.14       10.87       15.01
 1971    8      1962        3.86       10.14       14.00
 1971    9      1962        7.74        6.25       13.99
 1971    9      1961        7.26        5.76       13.02
 1971   10      1961        4.63        9.84       14.47
 1971   10      1960        4.37        9.17       13.54
 1971   11      1960        3.03        8.73       11.76
 1971   11      1959        2.97        8.28       11.25
 1971   12      1959        3.03       12.28       15.31
 1971   12      1958        2.97       11.73       14.70
 1971   13      1958        6.59       15.79       22.38
 1971   13      1957        6.42       15.22       21.64
 1971   14      1957        7.70       12.92       20.62
 1971   14      1956        7.30       12.09       19.39
 1971   15      1956       10.60       14.16       24.76
 1971   15      1955       10.40       13.85       24.25
 1971   16      1955       11.16       18.64       29.80
 1971   16      1954       10.84       18.38       29.22
 1971   17      1954       14.48       41.73       56.21
 1971   17      1953       14.52       42.31       56.83
 1971   18      1953       15.70       39.63       55.33
 1971   18      1952       15.30       39.41       54.71
 1971   19      1952        9.16       40.99       50.15
 1971   19      1951        8.84       40.04       48.88
 1971   20      1951       10.25       46.53       56.78
 1971   20      1950        9.75       42.51       52.26
 1971   21      1950       13.46       44.48       57.94
 1971   21      1949       12.54       39.56       52.10
 1971   22      1949        8.78       42.01       50.79
 1971   22      1948        8.22       38.03       46.25
 1971   23      1948       13.16       27.33       40.49
 1971   23      1947       12.84       25.69       38.53
 1971   24      1947       10.86       40.07       50.93
 1971   24      1946       10.14       35.97       46.11
 1971   25      1946       14.28       30.87       45.15
 1971   25      1945       12.72       26.16       38.88
 1971   26      1945        9.82       37.95       47.77
 1971   26      1944        9.19       33.08       42.27
 1971   27      1944       13.02       23.98       37.00
 1971   27      1943       11.98       21.04       33.02
 1971   28      1943       13.79       24.81       38.60
 1971   28      1942       12.22       21.21       33.43
 1971   29      1942        9.25       27.63       36.88
 1971   29      1941        8.75       24.39       33.14
 1971   30      1941       10.43       23.84       34.27
 1971   30      1940        9.57       21.18       30.75
 1971   31      1940       14.02       22.08       36.10
 1971   31      1939       12.98       19.94       32.92
 1971   32      1939       12.90       26.72       39.62
 1971   32      1938       12.10       24.30       36.40
 1971   33      1938       14.85       17.20       32.05
 1971   33      1937       14.15       15.81       29.96
 1971   34      1937       19.22       28.89       48.11
 1971   34      1936       17.78       26.13       43.91
 1971   35      1936       13.92       33.70       47.62
 1971   35      1935       13.08       31.33       44.41
 1971   36      1935       20.12       26.89       47.01
 1971   36      1934       18.89       25.13       44.02
 1971   37      1934       24.42       23.80       48.22
 1971   37      1933       23.58       23.22       46.80
 1971   38      1933       19.27       47.88       67.15
 1971   38      1932       18.74       46.16       64.90
 1971   39      1932       23.94       32.08       56.02
 1971   39      1931       24.06       31.95       56.01
 1971   40      1931       25.63       35.94       61.57
 1971   40      1930       26.37       37.10       63.47
 1971   41      1930       27.52       44.84       72.36
 1971   41      1929       26.49       44.20       70.69
 1971   42      1929       32.76       52.89       85.65
 1971   42      1928       32.25       53.15       85.40
 1971   43      1928       45.22       51.46       96.68
 1971   43      1927       42.79       49.58       92.37
 1971   44      1927       46.04       75.52      121.56
 1971   44      1926       43.97       72.55      116.52
 1971   45      1926       47.93       74.39      122.32
 1971   45      1925       47.08       74.67      121.75
 1971   46      1925       54.38       91.74      146.12
 1971   46      1924       51.63       89.34      140.97
 1971   47      1924       55.63       81.69      137.32
 1971   47      1923       53.38       81.38      134.76
 1971   48      1923       57.71      102.07      159.78
 1971   48      1922       56.30      102.02      158.32
 1971   49      1922       72.27      111.06      183.33
 1971   49      1921       68.74      109.04      177.78
 1971   50      1921       76.25      116.32      192.57
 1971   50      1920       72.77      113.78      186.55
 1971   51      1920       65.02      111.22      176.24
 1971   51      1919       57.99      101.87      159.86
 1971   52      1919       78.11      121.12      199.23
 1971   52      1918       77.91      122.99      200.90
 1971   53      1918       82.60      134.24      216.84
 1971   53      1917       81.42      135.88      217.30
 1971   54      1917       74.30      169.11      243.41
 1971   54      1916       71.71      165.04      236.75
 1971   55      1916       94.55      160.33      254.88
 1971   55      1915       92.47      159.81      252.28
 1971   56      1915      104.73      193.17      297.90
 1971   56      1914      102.29      192.00      294.29
 1971   57      1914      109.75      193.59      303.34
 1971   57      1913      104.28      186.58      290.86
 1971   58      1913      118.32      216.53      334.85
 1971   58      1912      113.70      212.65      326.35
 1971   59      1912      125.47      226.19      351.66
 1971   59      1911      113.56      210.00      323.56
 1971   60      1911      126.52      228.17      354.69
 1971   60      1910      124.51      226.03      350.54
 1971   61      1910      116.94      231.69      348.63
 1971   61      1909      115.08      229.51      344.59
 1971   62      1909      142.65      251.29      393.94
 1971   62      1908      140.38      248.93      389.31
 1971   63      1908      157.77      270.39      428.16
 1971   63      1907      155.26      267.85      423.11
 1971   64      1907      129.55      268.38      397.93
 1971   64      1906      127.48      265.86      393.34
 1971   65      1906      140.99      289.72      430.71
 1971   65      1905      141.04      289.53      430.57
 1971   66      1905      147.99      280.71      428.70
 1971   66      1904      148.04      280.53      428.57
 1971   67      1904      152.49      308.24      460.73
 1971   67      1903      152.54      308.04      460.58
 1971   68      1903      156.99      277.71      434.70
 1971   68      1902      157.04      277.53      434.57
 1971   69      1902      194.99      281.72      476.71
 1971   69      1901      195.05      281.53      476.58
 1971   70      1901      234.26      303.08      537.34
 1971   70      1900      236.79      305.19      541.98
 1971   71      1900      224.31      315.54      539.85
 1971   71      1899      226.73      317.74      544.47
 1971   72      1899      233.76      274.66      508.42
 1971   72      1898      236.29      276.58      512.87
 1971   73      1898      253.16      283.64      536.80
 1971   73      1897      255.89      285.61      541.50
 1971   74      1897      239.23      269.68      508.91
 1971   74      1896      241.82      271.56      513.38
 1971   75      1896      282.34      283.70      566.04
 1971   75      1895      288.72      288.55      577.27
 1971   76      1895      299.15      291.64      590.79
 1971   76      1894      305.91      296.62      602.53
 1971   77      1894      274.92      251.96      526.88
 1971   77      1893      281.14      256.27      537.41
 1971   78      1893      329.31      286.68      615.99
 1971   78      1892      336.76      291.58      628.34
 1971   79      1892      307.06      267.83      574.89
 1971   79      1891      314.00      272.41      586.41
 1971   80      1891      311.45      242.88      554.33
 1971   80      1890      318.62      246.34      564.96
 1971   81      1890      285.25      223.01      508.26
 1971   81      1889      291.81      226.19      518.00
 1971   82      1889      326.78      248.34      575.12
 1971   82      1888      334.29      251.88      586.17
 1971   83      1888      335.67      220.53      556.20
 1971   83      1887      343.40      223.67      567.07
 1971   84      1887      291.68      201.16      492.84
 1971   84      1886      298.39      204.02      502.41
 1971   85      1886      266.84      177.81      444.65
 1971   85      1885      268.22      176.35      444.57
 1971   86      1885      256.86      162.74      419.60
 1971   86      1884      258.19      161.40      419.59
