NSW, Life expectancy at birth (period, 1x1)	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1971        74.45    68.04    71.15
  1972        75.08    68.20    71.53
  1973        75.54    68.55    71.94
  1974        74.98    68.12    71.44
  1975        76.17    69.11    72.56
  1976        76.16    69.02    72.49
  1977        76.61    69.93    73.22
  1978        77.05    70.01    73.47
  1979        77.88    70.90    74.34
  1980        77.95    70.66    74.23
  1981        78.39    71.23    74.74
  1982        77.82    70.99    74.35
  1983        78.53    72.04    75.27
  1984        79.28    72.76    76.02
  1985        78.28    71.67    74.92
  1986        78.94    72.60    75.75
  1987        79.40    73.00    76.18
  1988        78.99    72.63    75.78
  1989        79.40    72.99    76.16
  1990        79.84    73.46    76.62
  1991        80.38    74.30    77.34
  1992        80.22    74.00    77.09
  1993        80.87    74.87    77.87
  1994        80.81    74.87    77.83
  1995        80.98    75.24    78.12
  1996        81.25    75.49    78.38
  1997        81.31    75.83    78.58
  1998        81.96    76.19    79.09
  1999        82.03    76.37    79.20
  2000        82.23    76.92    79.59
  2001        82.69    77.46    80.10
  2002        82.58    77.50    80.06
  2003        82.78    77.98    80.40
  2004        82.99    78.23    80.64
  2005        83.60    78.76    81.21
  2006        83.65    78.95    81.33
  2007        83.76    79.26    81.54
  2008        83.73    79.23    81.50
  2009        84.26    79.80    82.06
  2010        84.34    80.03    82.21
  2011        84.13    79.94    82.05
  2012        84.67    80.54    82.63
  2013        84.70    80.47    82.60
  2014        84.53    80.57    82.56
  2015        84.60    80.57    82.59
  2016        84.84    80.83    82.84
  2017        84.88    80.65    82.76
  2018        85.45    81.43    83.45
  2019        85.31    81.32    83.31
  2020        85.84    81.86    83.86
