NSW, Life expectancy at birth (period, 1x5)	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1971-1974     75.01    68.22    71.51
1975-1979     76.78    69.79    73.22
1980-1984     78.40    71.54    74.92
1985-1989     79.00    72.58    75.76
1990-1994     80.43    74.30    77.36
1995-1999     81.51    75.83    78.68
2000-2004     82.67    77.63    80.17
2005-2009     83.84    79.24    81.57
2010-2014     84.55    80.37    82.48
2015-2016     84.79    80.75    82.78
