NSW, Exposure to risk (period 1x5), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1974        0            174376.70       183075.59       357452.29
1971-1974        1            177793.10       185415.89       363208.99
1971-1974        2            176634.93       184079.70       360714.62
1971-1974        3            173228.30       180962.68       354190.98
1971-1974        4            167646.38       175474.18       343120.56
1971-1974        5            163916.43       171943.59       335860.02
1971-1974        6            162277.82       170781.16       333058.97
1971-1974        7            161776.08       170905.26       332681.34
1971-1974        8            164461.41       174101.82       338563.23
1971-1974        9            168056.58       177780.36       345836.94
1971-1974       10            172030.20       182352.82       354383.02
1971-1974       11            174605.16       184923.07       359528.23
1971-1974       12            174326.91       184238.68       358565.59
1971-1974       13            172999.04       182274.16       355273.19
1971-1974       14            170147.94       178415.06       348563.00
1971-1974       15            166734.54       174305.19       341039.73
1971-1974       16            163298.51       170780.93       334079.44
1971-1974       17            160384.48       166899.88       327284.37
1971-1974       18            158700.73       165110.11       323810.84
1971-1974       19            159207.74       165251.95       324459.69
1971-1974       20            159615.22       165354.31       324969.52
1971-1974       21            159448.98       166025.57       325474.56
1971-1974       22            159606.81       167184.40       326791.21
1971-1974       23            160377.28       168164.93       328542.21
1971-1974       24            159905.51       168480.57       328386.08
1971-1974       25            160504.10       170485.38       330989.48
1971-1974       26            157851.96       168028.17       325880.13
1971-1974       27            153190.07       163136.08       316326.15
1971-1974       28            145341.56       155299.62       300641.18
1971-1974       29            136666.55       146577.91       283244.46
1971-1974       30            131394.73       141068.02       272462.75
1971-1974       31            126891.19       136110.55       263001.74
1971-1974       32            122000.71       131478.00       253478.71
1971-1974       33            119584.45       128236.67       247821.12
1971-1974       34            117046.71       125154.42       242201.12
1971-1974       35            114966.39       122209.58       237175.97
1971-1974       36            113303.81       120458.09       233761.90
1971-1974       37            110988.09       117728.31       228716.40
1971-1974       38            107993.99       114606.90       222600.89
1971-1974       39            106874.70       113076.87       219951.57
1971-1974       40            106337.12       113120.12       219457.24
1971-1974       41            109587.25       116861.49       226448.73
1971-1974       42            110529.81       118721.40       229251.21
