NSW, Exposure to risk (period 5x10), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1979        0            365785.27       382660.93       748446.21
1971-1979      1-4           1512838.66      1579216.67      3092055.33
1971-1979      5-9           1901769.66      1996158.17      3897927.83
1971-1979     10-14          1897997.70      2003463.68      3901461.38
1971-1979     15-19          1890625.29      1974439.32      3865064.62
1971-1979     20-24          1827811.17      1887657.35      3715468.52
1971-1979     25-29          1774836.09      1847031.19      3621867.27
1971-1979     30-34          1542666.52      1632530.30      3175196.81
1971-1979     35-39          1315430.88      1390837.98      2706268.87
1971-1979     40-44          1228234.66      1304459.37      2532694.03
1971-1979     45-49          1258278.91      1328871.87      2587150.78
1971-1979     50-54          1241481.90      1263227.02      2504708.92
1971-1979     55-59          1117594.47      1083067.91      2200662.38
1971-1979     60-64           991773.36       909683.20      1901456.55
1971-1979     65-69           819080.43       704387.85      1523468.27
1971-1979     70-74           628904.12       475548.78      1104452.89
1971-1979     75-79           456426.66       278273.00       734699.67
1971-1979     80-84           296606.72       145026.97       441633.69
1971-1979     85-89           144075.27        60524.08       204599.35
1971-1979     90-94            44352.29        15375.54        59727.84
1971-1979     95-99             7735.47         2215.88         9951.35
1971-1979    100-104             594.30          150.01          744.30
1971-1979    105-109               7.97            0.08            8.05
1971-1979    110+                  0.00            0.00            0.00
1980-1989        0            405559.91       426446.20       832006.11
1980-1989      1-4           1596728.39      1675551.79      3272280.18
1980-1989      5-9           2029667.89      2126621.11      4156288.99
1980-1989     10-14          2149502.99      2247921.70      4397424.69
1980-1989     15-19          2174197.65      2283064.91      4457262.56
1980-1989     20-24          2221857.47      2304368.21      4526225.69
1980-1989     25-29          2248421.27      2294671.30      4543092.56
1980-1989     30-34          2172412.45      2205731.67      4378144.12
1980-1989     35-39          2013407.26      2076194.13      4089601.40
1980-1989     40-44          1701827.73      1786723.86      3488551.59
1980-1989     45-49          1416893.67      1495544.27      2912437.94
1980-1989     50-54          1331202.74      1388792.35      2719995.09
1980-1989     55-59          1339565.37      1354523.12      2694088.49
1980-1989     60-64          1291942.35      1215213.75      2507156.10
1980-1989     65-69          1122030.51       974105.60      2096136.10
1980-1989     70-74           921239.41       717885.74      1639125.15
1980-1989     75-79           667787.03       446416.49      1114203.53
1980-1989     80-84           409419.67       212781.30       622200.97
1980-1989     85-89           211346.12        79869.39       291215.50
1980-1989     90-94            80033.19        22660.24       102693.43
1980-1989     95-99            17697.40         3907.67        21605.07
1980-1989    100-104            1959.59          326.54         2286.14
1980-1989    105-109              80.37            2.47           82.84
1980-1989    110+                  0.00            0.00            0.00
1990-1999        0            425375.52       448445.86       873821.38
1990-1999      1-4           1702419.93      1791168.89      3493588.82
1990-1999      5-9           2121612.00      2228059.09      4349671.09
1990-1999     10-14          2085803.49      2191073.98      4276877.48
1990-1999     15-19          2098437.57      2204856.63      4303294.20
1990-1999     20-24          2246294.39      2311834.11      4558128.50
