NSW,  Exposures (Lexis triangle)	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1971    0      1971    23626.51    24584.25    48210.76
 1971    0      1970    21749.35    22779.03    44528.38
 1971    1      1970    22657.66    23568.70    46226.36
 1971    1      1969    20985.29    22002.59    42987.88
 1971    2      1969    20905.16    21989.36    42894.52
 1971    2      1968    20660.70    21618.40    42279.11
 1971    3      1968    21159.11    22053.26    43212.37
 1971    3      1967    20146.62    21238.14    41384.76
 1971    4      1967    20213.96    21147.70    41361.66
 1971    4      1966    20127.33    21309.55    41436.88
 1971    5      1966    20144.88    21344.00    41488.88
 1971    5      1965    20097.08    21207.93    41305.01
 1971    6      1965    20100.28    21297.98    41398.26
 1971    6      1964    20622.67    21721.71    42344.38
 1971    7      1964    20110.11    21194.70    41304.81
 1971    7      1963    21439.29    22548.69    43987.98
 1971    8      1963    21273.19    22501.81    43775.00
 1971    8      1962    21927.52    23150.21    45077.73
 1971    9      1962    21720.29    22871.04    44591.33
 1971    9      1961    22094.20    23419.62    45513.82
 1971   10      1961    22207.77    23613.64    45821.41
 1971   10      1960    21635.43    22921.61    44557.04
 1971   11      1960    22111.01    23430.96    45541.96
 1971   11      1959    21356.09    22448.45    43804.54
 1971   12      1959    21362.01    22558.05    43920.05
 1971   12      1958    21235.34    22170.44    43405.77
 1971   13      1958    21485.60    22421.63    43907.23
 1971   13      1957    20663.82    21753.83    42417.65
 1971   14      1957    21073.28    21930.15    43003.44
 1971   14      1956    20053.03    21233.16    41286.19
 1971   15      1956    20351.77    21443.36    41795.13
 1971   15      1955    19675.64    20538.20    40213.84
 1971   16      1955    19850.36    20985.11    40835.47
 1971   16      1954    19481.99    20235.11    39717.10
 1971   17      1954    19709.41    20280.96    39990.37
 1971   17      1953    19497.33    20373.07    39870.40
 1971   18      1953    19668.62    20492.61    40161.22
 1971   18      1952    19457.97    20237.82    39695.79
 1971   19      1952    20012.03    20743.83    40755.86
 1971   19      1951    19401.09    20362.04    39763.12
 1971   20      1951    19632.71    20446.26    40078.96
