PopCode,Area,Sex,Year,YearReg,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
NSW,2,f,1911,1911,2,O,23154,.,.,.,1
NSW,2,f,1912,1912,2,O,25337,.,.,.,1
NSW,2,f,1913,1913,2,O,25562,.,.,.,1
NSW,2,f,1914,1914,2,O,26189,.,.,.,1
NSW,2,f,1915,1915,2,O,25846,.,.,.,1
NSW,2,f,1916,1916,2,O,25465,.,.,.,1
NSW,2,f,1917,1917,2,O,25446,.,.,.,1
NSW,2,f,1918,1918,2,O,24707,.,.,.,1
NSW,2,f,1919,1919,2,O,23608,.,.,.,1
NSW,2,f,1920,1920,2,O,26251,.,.,.,1
NSW,2,f,1921,1921,2,O,26631,.,.,.,1
NSW,2,f,1922,1922,2,O,26952,.,.,.,1
NSW,2,f,1923,1923,2,O,26356,.,.,.,1
NSW,2,f,1924,1924,2,O,26355,.,.,.,1
NSW,2,f,1925,1925,2,O,26737,.,.,.,1
NSW,2,f,1926,1926,2,O,25899,.,.,.,1
NSW,2,f,1927,1927,2,O,26047,.,.,.,1
NSW,2,f,1928,1928,2,O,26524,.,.,.,1
NSW,2,f,1929,1929,2,O,25607,.,.,.,1
NSW,2,f,1930,1930,2,O,25491,.,.,.,1
NSW,2,f,1931,1931,2,O,23177,.,.,.,1
NSW,2,f,1932,1932,2,O,21781,.,.,.,1
NSW,2,f,1933,1933,2,O,21396,.,.,.,1
NSW,2,f,1934,1934,2,O,21231,.,.,.,1
NSW,2,f,1935,1935,2,O,21886,.,.,.,1
NSW,2,f,1936,1936,2,O,22524,.,.,.,1
NSW,2,f,1937,1937,2,O,23285,.,.,.,1
NSW,2,f,1938,1938,2,O,23125,.,.,.,1
NSW,2,f,1939,1939,2,O,23446,.,.,.,1
NSW,2,f,1940,1940,2,O,24212,.,.,.,1
NSW,2,f,1941,1941,2,O,25333,.,.,.,1
NSW,2,f,1942,1942,2,O,25488,.,.,.,1
NSW,2,f,1943,1943,2,O,28005,.,.,.,1
NSW,2,f,1944,1944,2,O,29252,.,.,.,1
NSW,2,f,1945,1945,2,O,29850,.,.,.,1
NSW,2,f,1946,1946,2,O,32557,.,.,.,1
NSW,2,f,1947,1947,2,O,33623,.,.,.,1
NSW,2,f,1948,1948,2,O,32696,.,.,.,1
NSW,2,f,1949,1949,2,O,33611,.,.,.,1
NSW,2,f,1950,1950,2,O,34809,.,.,.,1
NSW,2,f,1951,1951,2,O,35070,.,.,.,1
NSW,2,f,1952,1952,2,O,36063,.,.,.,1
NSW,2,f,1953,1953,2,O,36575,.,.,.,1
NSW,2,f,1954,1954,2,O,35672,.,.,.,1
NSW,2,f,1955,1955,2,O,36326,.,.,.,1
NSW,2,f,1956,1956,2,O,36505,.,.,.,1
NSW,2,f,1957,1957,2,O,38577,.,.,.,1
NSW,2,f,1958,1958,2,O,39236,.,.,.,1
NSW,2,f,1959,1959,2,O,39550,.,.,.,1
NSW,2,f,1960,1960,2,O,39752,.,.,.,1
NSW,2,f,1961,1961,2,O,42168,.,.,.,1
NSW,2,f,1962,1962,2,O,41425,.,.,.,1
NSW,2,f,1963,1963,2,O,41006,.,.,.,1
NSW,2,f,1964,1964,2,O,39104,.,.,.,1
NSW,2,f,1965,1965,2,O,37850,.,.,.,1
NSW,2,f,1966,1966,2,O,37591,.,.,.,1
NSW,2,f,1967,1967,2,O,38434,.,.,.,1
NSW,2,f,1968,1968,2,O,39799,.,.,.,1
NSW,2,f,1969,1969,2,O,41900,.,.,.,1
NSW,2,f,1970,1970,2,O,43231,.,.,.,1
NSW,2,f,1971,1971,2,O,48195,.,.,.,1
