PopCode,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
NSW,2,f,0,1,O,30,6,1971,3,O,45226,.,.,.,1
NSW,2,f,1,1,O,30,6,1971,3,O,41644,.,.,.,1
NSW,2,f,2,1,O,30,6,1971,3,O,42277,.,.,.,1
NSW,2,f,3,1,O,30,6,1971,3,O,40336,.,.,.,1
NSW,2,f,4,1,O,30,6,1971,3,O,40237,.,.,.,1
NSW,2,f,5,1,O,30,6,1971,3,O,40260,.,.,.,1
NSW,2,f,6,1,O,30,6,1971,3,O,40117,.,.,.,1
NSW,2,f,7,1,O,30,6,1971,3,O,42383,.,.,.,1
NSW,2,f,8,1,O,30,6,1971,3,O,43375,.,.,.,1
NSW,2,f,9,1,O,30,6,1971,3,O,44336,.,.,.,1
NSW,2,f,10,1,O,30,6,1971,3,O,44030,.,.,.,1
NSW,2,f,11,1,O,30,6,1971,3,O,42494,.,.,.,1
NSW,2,f,12,1,O,30,6,1971,3,O,42930,.,.,.,1
NSW,2,f,13,1,O,30,6,1971,3,O,41998,.,.,.,1
NSW,2,f,14,1,O,30,6,1971,3,O,40637,.,.,.,1
NSW,2,f,15,1,O,30,6,1971,3,O,39555,.,.,.,1
NSW,2,f,16,1,O,30,6,1971,3,O,39130,.,.,.,1
NSW,2,f,17,1,O,30,6,1971,3,O,38779,.,.,.,1
NSW,2,f,18,1,O,30,6,1971,3,O,39194,.,.,.,1
NSW,2,f,19,1,O,30,6,1971,3,O,38616,.,.,.,1
NSW,2,f,20,1,O,30,6,1971,3,O,38979,.,.,.,1
NSW,2,f,21,1,O,30,6,1971,3,O,39905,.,.,.,1
NSW,2,f,22,1,O,30,6,1971,3,O,39416,.,.,.,1
NSW,2,f,23,1,O,30,6,1971,3,O,40419,.,.,.,1
NSW,2,f,24,1,O,30,6,1971,3,O,43330,.,.,.,1
NSW,2,f,25,1,O,30,6,1971,3,O,36871,.,.,.,1
NSW,2,f,26,1,O,30,6,1971,3,O,36355,.,.,.,1
NSW,2,f,27,1,O,30,6,1971,3,O,35060,.,.,.,1
NSW,2,f,28,1,O,30,6,1971,3,O,31939,.,.,.,1
NSW,2,f,29,1,O,30,6,1971,3,O,31712,.,.,.,1
NSW,2,f,30,1,O,30,6,1971,3,O,31066,.,.,.,1
NSW,2,f,31,1,O,30,6,1971,3,O,28778,.,.,.,1
NSW,2,f,32,1,O,30,6,1971,3,O,29738,.,.,.,1
NSW,2,f,33,1,O,30,6,1971,3,O,28420,.,.,.,1
NSW,2,f,34,1,O,30,6,1971,3,O,28221,.,.,.,1
NSW,2,f,35,1,O,30,6,1971,3,O,28262,.,.,.,1
NSW,2,f,36,1,O,30,6,1971,3,O,26941,.,.,.,1
NSW,2,f,37,1,O,30,6,1971,3,O,25451,.,.,.,1
NSW,2,f,38,1,O,30,6,1971,3,O,26577,.,.,.,1
NSW,2,f,39,1,O,30,6,1971,3,O,26901,.,.,.,1
NSW,2,f,40,1,O,30,6,1971,3,O,29811,.,.,.,1
NSW,2,f,41,1,O,30,6,1971,3,O,27144,.,.,.,1
NSW,2,f,42,1,O,30,6,1971,3,O,29280,.,.,.,1
NSW,2,f,43,1,O,30,6,1971,3,O,29137,.,.,.,1
NSW,2,f,44,1,O,30,6,1971,3,O,28242,.,.,.,1
NSW,2,f,45,1,O,30,6,1971,3,O,29539,.,.,.,1
NSW,2,f,46,1,O,30,6,1971,3,O,29843,.,.,.,1
NSW,2,f,47,1,O,30,6,1971,3,O,28824,.,.,.,1
NSW,2,f,48,1,O,30,6,1971,3,O,29084,.,.,.,1
NSW,2,f,49,1,O,30,6,1971,3,O,28634,.,.,.,1
NSW,2,f,50,1,O,30,6,1971,3,O,29857,.,.,.,1
NSW,2,f,51,1,O,30,6,1971,3,O,24920,.,.,.,1
NSW,2,f,52,1,O,30,6,1971,3,O,24554,.,.,.,1
NSW,2,f,53,1,O,30,6,1971,3,O,24195,.,.,.,1
NSW,2,f,54,1,O,30,6,1971,3,O,24319,.,.,.,1
NSW,2,f,55,1,O,30,6,1971,3,O,23822,.,.,.,1
NSW,2,f,56,1,O,30,6,1971,3,O,24334,.,.,.,1
NSW,2,f,57,1,O,30,6,1971,3,O,23529,.,.,.,1
NSW,2,f,58,1,O,30,6,1971,3,O,23023,.,.,.,1
NSW,2,f,59,1,O,30,6,1971,3,O,21993,.,.,.,1
NSW,2,f,60,1,O,30,6,1971,3,O,23365,.,.,.,1
NSW,2,f,61,1,O,30,6,1971,3,O,19691,.,.,.,1
NSW,2,f,62,1,O,30,6,1971,3,O,20076,.,.,.,1
NSW,2,f,63,1,O,30,6,1971,3,O,19172,.,.,.,1
NSW,2,f,64,1,O,30,6,1971,3,O,18177,.,.,.,1
NSW,2,f,65,1,O,30,6,1971,3,O,17869,.,.,.,1
NSW,2,f,66,1,O,30,6,1971,3,O,16203,.,.,.,1
NSW,2,f,67,1,O,30,6,1971,3,O,15032,.,.,.,1
NSW,2,f,68,1,O,30,6,1971,3,O,14763,.,.,.,1
NSW,2,f,69,1,O,30,6,1971,3,O,13748,.,.,.,1
NSW,2,f,70,1,O,30,6,1971,3,O,15436,.,.,.,1
NSW,2,f,71,1,O,30,6,1971,3,O,13863,.,.,.,1
NSW,2,f,72,1,O,30,6,1971,3,O,11946,.,.,.,1
NSW,2,f,73,1,O,30,6,1971,3,O,11460,.,.,.,1
NSW,2,f,74,1,O,30,6,1971,3,O,11131,.,.,.,1
NSW,2,f,75,1,O,30,6,1971,3,O,10964,.,.,.,1
NSW,2,f,76,1,O,30,6,1971,3,O,9934,.,.,.,1
NSW,2,f,77,1,O,30,6,1971,3,O,9181,.,.,.,1
NSW,2,f,78,1,O,30,6,1971,3,O,8893,.,.,.,1
NSW,2,f,79,1,O,30,6,1971,3,O,7878,.,.,.,1
NSW,2,f,80,1,O,30,6,1971,3,O,7760,.,.,.,1
NSW,2,f,81,1,O,30,6,1971,3,O,6317,.,.,.,1
NSW,2,f,82,1,O,30,6,1971,3,O,5983,.,.,.,1
NSW,2,f,83,1,O,30,6,1971,3,O,5360,.,.,.,1
NSW,2,f,84,1,O,30,6,1971,3,O,4369,.,.,.,1
NSW,2,f,85,1,O,30,6,1971,3,O,3751,.,.,.,1
NSW,2,f,86,1,O,30,6,1971,3,O,3143,.,.,.,1
NSW,2,f,87,1,O,30,6,1971,3,O,2444,.,.,.,1
NSW,2,f,88,1,O,30,6,1971,3,O,1900,.,.,.,1
NSW,2,f,89,1,O,30,6,1971,3,O,1554,.,.,.,1
NSW,2,f,90,1,O,30,6,1971,3,O,1226,.,.,.,1
NSW,2,f,91,1,O,30,6,1971,3,O,934,.,.,.,1
NSW,2,f,92,1,O,30,6,1971,3,O,661,.,.,.,1
NSW,2,f,93,1,O,30,6,1971,3,O,520,.,.,.,1
NSW,2,f,94,1,O,30,6,1971,3,O,366,.,.,.,1
NSW,2,f,95,1,O,30,6,1971,3,O,241,.,.,.,1
NSW,2,f,96,1,O,30,6,1971,3,O,152,.,.,.,1
NSW,2,f,97,1,O,30,6,1971,3,O,93,.,.,.,1
NSW,2,f,98,1,O,30,6,1971,3,O,81,.,.,.,1
NSW,2,f,99,1,O,30,6,1971,3,O,52,.,.,.,1
NSW,2,f,100,+,O,30,6,1971,3,O,51,.,.,.,1
NSW,2,f,0,1,O,30,6,1972,3,O,47041,.,.,.,1
NSW,2,f,1,1,O,30,6,1972,3,O,45306,.,.,.,1
NSW,2,f,2,1,O,30,6,1972,3,O,41806,.,.,.,1
NSW,2,f,3,1,O,30,6,1972,3,O,42315,.,.,.,1
NSW,2,f,4,1,O,30,6,1972,3,O,40424,.,.,.,1
NSW,2,f,5,1,O,30,6,1972,3,O,40287,.,.,.,1
NSW,2,f,6,1,O,30,6,1972,3,O,40198,.,.,.,1
NSW,2,f,7,1,O,30,6,1972,3,O,40218,.,.,.,1
NSW,2,f,8,1,O,30,6,1972,3,O,42545,.,.,.,1
NSW,2,f,9,1,O,30,6,1972,3,O,43438,.,.,.,1
NSW,2,f,10,1,O,30,6,1972,3,O,44414,.,.,.,1
NSW,2,f,11,1,O,30,6,1972,3,O,44221,.,.,.,1
NSW,2,f,12,1,O,30,6,1972,3,O,42723,.,.,.,1
NSW,2,f,13,1,O,30,6,1972,3,O,42969,.,.,.,1
NSW,2,f,14,1,O,30,6,1972,3,O,42144,.,.,.,1
NSW,2,f,15,1,O,30,6,1972,3,O,40700,.,.,.,1
NSW,2,f,16,1,O,30,6,1972,3,O,39697,.,.,.,1
NSW,2,f,17,1,O,30,6,1972,3,O,39414,.,.,.,1
NSW,2,f,18,1,O,30,6,1972,3,O,39332,.,.,.,1
NSW,2,f,19,1,O,30,6,1972,3,O,40021,.,.,.,1
NSW,2,f,20,1,O,30,6,1972,3,O,39262,.,.,.,1
NSW,2,f,21,1,O,30,6,1972,3,O,39344,.,.,.,1
NSW,2,f,22,1,O,30,6,1972,3,O,40084,.,.,.,1
NSW,2,f,23,1,O,30,6,1972,3,O,39707,.,.,.,1
NSW,2,f,24,1,O,30,6,1972,3,O,40123,.,.,.,1
NSW,2,f,25,1,O,30,6,1972,3,O,42763,.,.,.,1
NSW,2,f,26,1,O,30,6,1972,3,O,36934,.,.,.,1
NSW,2,f,27,1,O,30,6,1972,3,O,36146,.,.,.,1
NSW,2,f,28,1,O,30,6,1972,3,O,35212,.,.,.,1
NSW,2,f,29,1,O,30,6,1972,3,O,32003,.,.,.,1
NSW,2,f,30,1,O,30,6,1972,3,O,31720,.,.,.,1
NSW,2,f,31,1,O,30,6,1972,3,O,31099,.,.,.,1
NSW,2,f,32,1,O,30,6,1972,3,O,29038,.,.,.,1
NSW,2,f,33,1,O,30,6,1972,3,O,29601,.,.,.,1
NSW,2,f,34,1,O,30,6,1972,3,O,28719,.,.,.,1
NSW,2,f,35,1,O,30,6,1972,3,O,28325,.,.,.,1
NSW,2,f,36,1,O,30,6,1972,3,O,28356,.,.,.,1
NSW,2,f,37,1,O,30,6,1972,3,O,26707,.,.,.,1
NSW,2,f,38,1,O,30,6,1972,3,O,25710,.,.,.,1
NSW,2,f,39,1,O,30,6,1972,3,O,26548,.,.,.,1
NSW,2,f,40,1,O,30,6,1972,3,O,26735,.,.,.,1
NSW,2,f,41,1,O,30,6,1972,3,O,29598,.,.,.,1
NSW,2,f,42,1,O,30,6,1972,3,O,27311,.,.,.,1
NSW,2,f,43,1,O,30,6,1972,3,O,28946,.,.,.,1
NSW,2,f,44,1,O,30,6,1972,3,O,29172,.,.,.,1
NSW,2,f,45,1,O,30,6,1972,3,O,28243,.,.,.,1
NSW,2,f,46,1,O,30,6,1972,3,O,29674,.,.,.,1
NSW,2,f,47,1,O,30,6,1972,3,O,29363,.,.,.,1
NSW,2,f,48,1,O,30,6,1972,3,O,28875,.,.,.,1
NSW,2,f,49,1,O,30,6,1972,3,O,28875,.,.,.,1
NSW,2,f,50,1,O,30,6,1972,3,O,28574,.,.,.,1
NSW,2,f,51,1,O,30,6,1972,3,O,29375,.,.,.,1
NSW,2,f,52,1,O,30,6,1972,3,O,25108,.,.,.,1
NSW,2,f,53,1,O,30,6,1972,3,O,24292,.,.,.,1
NSW,2,f,54,1,O,30,6,1972,3,O,24137,.,.,.,1
NSW,2,f,55,1,O,30,6,1972,3,O,24172,.,.,.,1
NSW,2,f,56,1,O,30,6,1972,3,O,23888,.,.,.,1
NSW,2,f,57,1,O,30,6,1972,3,O,23982,.,.,.,1
NSW,2,f,58,1,O,30,6,1972,3,O,23476,.,.,.,1
NSW,2,f,59,1,O,30,6,1972,3,O,22847,.,.,.,1
NSW,2,f,60,1,O,30,6,1972,3,O,21935,.,.,.,1
NSW,2,f,61,1,O,30,6,1972,3,O,23006,.,.,.,1
NSW,2,f,62,1,O,30,6,1972,3,O,19641,.,.,.,1
NSW,2,f,63,1,O,30,6,1972,3,O,19611,.,.,.,1
NSW,2,f,64,1,O,30,6,1972,3,O,18898,.,.,.,1
NSW,2,f,65,1,O,30,6,1972,3,O,17854,.,.,.,1
NSW,2,f,66,1,O,30,6,1972,3,O,17638,.,.,.,1
NSW,2,f,67,1,O,30,6,1972,3,O,15903,.,.,.,1
NSW,2,f,68,1,O,30,6,1972,3,O,14896,.,.,.,1
NSW,2,f,69,1,O,30,6,1972,3,O,14428,.,.,.,1
NSW,2,f,70,1,O,30,6,1972,3,O,13379,.,.,.,1
NSW,2,f,71,1,O,30,6,1972,3,O,15023,.,.,.,1
NSW,2,f,72,1,O,30,6,1972,3,O,13595,.,.,.,1
NSW,2,f,73,1,O,30,6,1972,3,O,11499,.,.,.,1
NSW,2,f,74,1,O,30,6,1972,3,O,11063,.,.,.,1
NSW,2,f,75,1,O,30,6,1972,3,O,10571,.,.,.,1
NSW,2,f,76,1,O,30,6,1972,3,O,10443,.,.,.,1
NSW,2,f,77,1,O,30,6,1972,3,O,9320,.,.,.,1
NSW,2,f,78,1,O,30,6,1972,3,O,8676,.,.,.,1
NSW,2,f,79,1,O,30,6,1972,3,O,8269,.,.,.,1
NSW,2,f,80,1,O,30,6,1972,3,O,7336,.,.,.,1
NSW,2,f,81,1,O,30,6,1972,3,O,7150,.,.,.,1
NSW,2,f,82,1,O,30,6,1972,3,O,5854,.,.,.,1
NSW,2,f,83,1,O,30,6,1972,3,O,5396,.,.,.,1
NSW,2,f,84,1,O,30,6,1972,3,O,4743,.,.,.,1
NSW,2,f,85,1,O,30,6,1972,3,O,3810,.,.,.,1
NSW,2,f,86,1,O,30,6,1972,3,O,3241,.,.,.,1
NSW,2,f,87,1,O,30,6,1972,3,O,2654,.,.,.,1
NSW,2,f,88,1,O,30,6,1972,3,O,2069,.,.,.,1
NSW,2,f,89,1,O,30,6,1972,3,O,1562,.,.,.,1
NSW,2,f,90,1,O,30,6,1972,3,O,1269,.,.,.,1
NSW,2,f,91,1,O,30,6,1972,3,O,1000,.,.,.,1
NSW,2,f,92,1,O,30,6,1972,3,O,750,.,.,.,1
NSW,2,f,93,1,O,30,6,1972,3,O,526,.,.,.,1
NSW,2,f,94,1,O,30,6,1972,3,O,407,.,.,.,1
NSW,2,f,95,1,O,30,6,1972,3,O,272,.,.,.,1
NSW,2,f,96,1,O,30,6,1972,3,O,181,.,.,.,1
NSW,2,f,97,1,O,30,6,1972,3,O,102,.,.,.,1
NSW,2,f,98,1,O,30,6,1972,3,O,54,.,.,.,1
NSW,2,f,99,1,O,30,6,1972,3,O,53,.,.,.,1
NSW,2,f,100,+,O,30,6,1972,3,O,60,.,.,.,1
NSW,2,f,0,1,O,30,6,1973,3,O,44022,.,.,.,1
NSW,2,f,1,1,O,30,6,1973,3,O,46740,.,.,.,1
NSW,2,f,2,1,O,30,6,1973,3,O,45383,.,.,.,1
NSW,2,f,3,1,O,30,6,1973,3,O,41841,.,.,.,1
NSW,2,f,4,1,O,30,6,1973,3,O,42200,.,.,.,1
NSW,2,f,5,1,O,30,6,1973,3,O,40317,.,.,.,1
NSW,2,f,6,1,O,30,6,1973,3,O,40135,.,.,.,1
NSW,2,f,7,1,O,30,6,1973,3,O,40015,.,.,.,1
NSW,2,f,8,1,O,30,6,1973,3,O,40165,.,.,.,1
NSW,2,f,9,1,O,30,6,1973,3,O,42534,.,.,.,1
NSW,2,f,10,1,O,30,6,1973,3,O,43366,.,.,.,1
NSW,2,f,11,1,O,30,6,1973,3,O,44400,.,.,.,1
NSW,2,f,12,1,O,30,6,1973,3,O,44301,.,.,.,1
NSW,2,f,13,1,O,30,6,1973,3,O,42806,.,.,.,1
NSW,2,f,14,1,O,30,6,1973,3,O,42871,.,.,.,1
NSW,2,f,15,1,O,30,6,1973,3,O,42162,.,.,.,1
NSW,2,f,16,1,O,30,6,1973,3,O,40658,.,.,.,1
NSW,2,f,17,1,O,30,6,1973,3,O,39763,.,.,.,1
NSW,2,f,18,1,O,30,6,1973,3,O,39662,.,.,.,1
NSW,2,f,19,1,O,30,6,1973,3,O,39738,.,.,.,1
NSW,2,f,20,1,O,30,6,1973,3,O,40408,.,.,.,1
NSW,2,f,21,1,O,30,6,1973,3,O,39373,.,.,.,1
NSW,2,f,22,1,O,30,6,1973,3,O,39409,.,.,.,1
NSW,2,f,23,1,O,30,6,1973,3,O,40030,.,.,.,1
NSW,2,f,24,1,O,30,6,1973,3,O,39609,.,.,.,1
NSW,2,f,25,1,O,30,6,1973,3,O,39795,.,.,.,1
NSW,2,f,26,1,O,30,6,1973,3,O,42858,.,.,.,1
NSW,2,f,27,1,O,30,6,1973,3,O,36765,.,.,.,1
NSW,2,f,28,1,O,30,6,1973,3,O,35721,.,.,.,1
NSW,2,f,29,1,O,30,6,1973,3,O,35176,.,.,.,1
NSW,2,f,30,1,O,30,6,1973,3,O,31892,.,.,.,1
NSW,2,f,31,1,O,30,6,1973,3,O,31566,.,.,.,1
NSW,2,f,32,1,O,30,6,1973,3,O,30962,.,.,.,1
NSW,2,f,33,1,O,30,6,1973,3,O,29160,.,.,.,1
NSW,2,f,34,1,O,30,6,1973,3,O,29353,.,.,.,1
NSW,2,f,35,1,O,30,6,1973,3,O,28886,.,.,.,1
NSW,2,f,36,1,O,30,6,1973,3,O,28304,.,.,.,1
