NSW, Population size (1-year)	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0             43532.71        45607.71        89140.42
  1971         1-4            163857.45       172361.35       336218.80
  1971         5-9            212372.33       224111.27       436483.60
  1971        10-14           209895.44       221073.79       430969.23
  1971        15-19           195047.99       203543.80       398591.79
  1971        20-24           201058.45       213502.41       414560.86
  1971        25-29           169113.12       182082.37       351195.49
  1971        30-34           144900.61       155722.43       300623.04
  1971        35-39           135001.37       144052.06       279053.43
  1971        40-44           143656.37       153804.90       297461.27
  1971        45-49           146366.17       151239.24       297605.41
  1971        50-54           125219.20       124472.10       249691.30
  1971        55-59           117010.73       114225.04       231235.77
  1971        60-64            98419.04        91003.82       189422.86
  1971        65-69            77218.56        67472.55       144691.11
  1971        70-74            62814.72        44721.74       107536.46
  1971        75-79            46774.01        28334.50        75108.51
  1971        80-84            30819.79        16537.20        47356.99
  1971        85-89            12996.79         6081.78        19078.57
  1971        90-94             3751.89         1417.87         5169.76
  1971        95-99              604.05          192.81          796.86
  1971       100-104              42.98            3.15           46.13
  1971       105-109               0.00            0.00            0.00
  1971       110+                  0.00            0.00            0.00
  1972           0             47041.00        48888.00        95929.00
  1972         1-4            169851.00       177490.00       347341.00
  1972         5-9            206686.00       218403.00       425089.00
  1972        10-14           216471.00       227889.00       444360.00
  1972        15-19           199164.00       207840.00       407004.00
  1972        20-24           198520.00       209716.00       408236.00
  1972        25-29           183058.00       196637.00       379695.00
  1972        30-34           150177.00       161559.00       311736.00
  1972        35-39           135646.00       144222.00       279868.00
  1972        40-44           141762.00       152512.00       294274.00
  1972        45-49           145030.00       150703.00       295733.00
  1972        50-54           131486.00       131793.00       263279.00
  1972        55-59           118365.00       115001.00       233366.00
  1972        60-64           103091.00        94985.00       198076.00
  1972        65-69            80719.00        70566.00       151285.00
  1972        70-74            64559.00        47061.00       111620.00
  1972        75-79            47279.00        28105.00        75384.00
  1972        80-84            31521.40        16686.90        48208.30
  1972        85-89            13588.87         6193.42        19782.29
  1972        90-94             3994.77         1502.47         5497.24
  1972        95-99              646.23          218.37          864.60
  1972       100-104              53.44            8.49           61.93
  1972       105-109               1.03            0.00            1.03
  1972       110+                  0.00            0.00            0.00
  1973           0             44022.00        46020.00        90042.00
  1973         1-4            176164.00       183566.00       359730.00
  1973         5-9            203166.00       214646.00       417812.00
  1973        10-14           217744.00       229676.00       447420.00
  1973        15-19           201983.00       210308.00       412291.00
  1973        20-24           198829.00       207932.00       406761.00
  1973        25-29           190315.00       203644.00       393959.00
  1973        30-34           152933.00       164421.00       317354.00
  1973        35-39           137735.00       145952.00       283687.00
  1973        40-44           138148.00       148173.00       286321.00
  1973        45-49           144736.00       151555.00       296291.00
  1973        50-54           135251.00       136295.00       271546.00
  1973        55-59           118940.00       114883.00       233823.00
  1973        60-64           105890.00        97663.00       203553.00
  1973        65-69            83781.00        72670.00       156451.00
  1973        70-74            65934.00        48522.00       114456.00
  1973        75-79            47470.00        27892.00        75362.00
  1973        80-84            32132.14        16761.04        48893.18
  1973        85-89            14328.55         6335.97        20664.52
  1973        90-94             4257.20         1543.13         5800.33
  1973        95-99              701.28          211.97          913.25
  1973       100-104              55.20           13.99           69.19
  1973       105-109               1.16            0.00            1.16
  1973       110+                  0.00            0.00            0.00
  1974           0             41192.00        43703.00        84895.00
  1974         1-4            178461.00       185853.00       364314.00
  1974         5-9            202538.00       213207.00       415745.00
  1974        10-14           217626.00       230217.00       447843.00
  1974        15-19           205539.00       213993.00       419532.00
  1974        20-24           200456.00       207993.00       408449.00
  1974        25-29           195182.00       207134.00       402316.00
  1974        30-34           159056.00       170504.00       329560.00
  1974        35-39           141005.00       149326.00       290331.00
  1974        40-44           135090.00       144247.00       279337.00
  1974        45-49           143638.00       151924.00       295562.00
  1974        50-54           139313.00       141073.00       280386.00
  1974        55-59           118639.00       114144.00       232783.00
  1974        60-64           109401.00       100271.00       209672.00
  1974        65-69            86418.00        74922.00       161340.00
  1974        70-74            67926.00        50668.00       118594.00
  1974        75-79            47849.00        28360.00        76209.00
  1974        80-84            32603.10        16570.63        49173.73
  1974        85-89            15148.65         6626.24        21774.89
  1974        90-94             4492.02         1648.57         6140.59
  1974        95-99              769.61          222.76          992.37
  1974       100-104              47.02           16.21           63.23
  1974       105-109               0.27            0.00            0.27
  1974       110+                  0.00            0.00            0.00
  1975           0             40101.00        42493.00        82594.00
  1975         1-4            177783.00       185669.00       363452.00
  1975         5-9            203821.00       214396.00       418217.00
  1975        10-14           214640.00       227767.00       442407.00
  1975        15-19           208230.00       216868.00       425098.00
  1975        20-24           201235.00       205612.00       406847.00
  1975        25-29           200879.00       210118.00       410997.00
  1975        30-34           164596.00       175388.00       339984.00
  1975        35-39           144474.00       153097.00       297571.00
  1975        40-44           132686.00       141151.00       273837.00
  1975        45-49           142466.00       151875.00       294341.00
  1975        50-54           140668.00       142501.00       283169.00
  1975        55-59           120143.00       115516.00       235659.00
  1975        60-64           111873.00       102497.00       214370.00
  1975        65-69            88976.00        76720.00       165696.00
  1975        70-74            68103.00        51662.00       119765.00
  1975        75-79            50162.00        29804.00        79966.00
  1975        80-84            32802.27        15941.99        48744.26
  1975        85-89            15712.06         6734.46        22446.52
  1975        90-94             4626.24         1665.66         6291.90
  1975        95-99              790.80          227.57         1018.37
  1975       100-104              48.25           20.44           68.69
  1975       105-109               0.32            0.00            0.32
  1975       110+                  0.00            0.00            0.00
  1976           0             38642.00        39482.00        78124.00
  1976         1-4            171988.00       180171.00       352159.00
  1976         5-9            209461.00       219324.00       428785.00
  1976        10-14           209312.00       222038.00       431350.00
  1976        15-19           212296.00       221477.00       433773.00
  1976        20-24           200669.00       203928.00       404597.00
  1976        25-29           204816.00       210384.00       415200.00
  1976        30-34           169443.00       180036.00       349479.00
  1976        35-39           146636.00       155485.00       302121.00
  1976        40-44           131540.00       139230.00       270770.00
  1976        45-49           140187.00       150111.00       290298.00
  1976        50-54           141726.00       143830.00       285556.00
  1976        55-59           122767.00       119281.00       242048.00
  1976        60-64           113271.00       103430.00       216701.00
  1976        65-69            92155.00        78942.00       171097.00
  1976        70-74            69499.00        53334.00       122833.00
  1976        75-79            52276.00        31580.00        83856.00
  1976        80-84            33348.43        15751.99        49100.42
  1976        85-89            16468.79         6928.05        23396.84
  1976        90-94             4985.59         1724.40         6709.99
  1976        95-99              866.15          245.34         1111.49
  1976       100-104              56.44           20.76           77.20
  1976       105-109               0.00            0.00            0.00
  1976       110+                  0.00            0.00            0.00
  1977           0             37759.00        39610.00        77369.00
  1977         1-4            164554.00       171562.00       336116.00
  1977         5-9            216656.00       226086.00       442742.00
  1977        10-14           205748.00       217873.00       423621.00
  1977        15-19           217163.00       227233.00       444396.00
  1977        20-24           202353.00       206381.00       408734.00
  1977        25-29           202192.00       206423.00       408615.00
  1977        30-34           181928.00       191443.00       373371.00
  1977        35-39           149225.00       157744.00       306969.00
  1977        40-44           133327.00       140549.00       273876.00
  1977        45-49           137497.00       146533.00       284030.00
  1977        50-54           140670.00       144151.00       284821.00
  1977        55-59           126724.00       122336.00       249060.00
  1977        60-64           113609.00       104313.00       217922.00
  1977        65-69            95538.00        81441.00       176979.00
  1977        70-74            71588.00        55261.00       126849.00
  1977        75-79            52506.00        32282.00        84788.00
  1977        80-84            33653.05        15565.78        49218.83
  1977        85-89            17011.53         6957.08        23968.61
  1977        90-94             5218.11         1745.04         6963.15
  1977        95-99              899.07          260.71         1159.78
  1977       100-104              72.06           22.18           94.24
  1977       105-109               0.77            0.00            0.77
  1977       110+                  0.00            0.00            0.00
  1978           0             38044.00        39459.00        77503.00
  1978         1-4            158982.00       166245.00       325227.00
  1978         5-9            221417.00       230807.00       452224.00
  1978        10-14           203560.00       214621.00       418181.00
  1978        15-19           219124.00       229541.00       448665.00
  1978        20-24           205869.00       210728.00       416597.00
  1978        25-29           203743.00       206901.00       410644.00
  1978        30-34           191858.00       200198.00       392056.00
  1978        35-39           152110.00       160323.00       312433.00
  1978        40-44           135361.00       142467.00       277828.00
  1978        45-49           134448.00       142687.00       277135.00
  1978        50-54           140830.00       144679.00       285509.00
  1978        55-59           130358.00       126634.00       256992.00
  1978        60-64           114086.00       104797.00       218883.00
  1978        65-69            98645.00        83880.00       182525.00
  1978        70-74            73982.00        57118.00       131100.00
  1978        75-79            53270.00        33410.00        86680.00
  1978        80-84            33811.49        15552.12        49363.61
  1978        85-89            17695.24         7100.53        24795.77
  1978        90-94             5602.37         1821.82         7424.19
  1978        95-99              998.28          269.65         1267.93
  1978       100-104              80.21           18.46           98.67
  1978       105-109               1.05            0.00            1.05
  1978       110+                  0.00            0.00            0.00
  1979           0             37739.00        39294.00        77033.00
  1979         1-4            155879.00       162420.00       318299.00
  1979         5-9            221705.00       231941.00       453646.00
  1979        10-14           204269.00       214239.00       418508.00
  1979        15-19           220358.00       230989.00       451347.00
  1979        20-24           211334.00       217186.00       428520.00
  1979        25-29           205910.00       208722.00       414632.00
  1979        30-34           198185.00       205536.00       403721.00
  1979        35-39           158260.00       166241.00       324501.00
  1979        40-44           138087.00       145043.00       283130.00
  1979        45-49           131977.00       139346.00       271323.00
  1979        50-54           139757.00       144787.00       284544.00
  1979        55-59           134533.00       131122.00       265655.00
  1979        60-64           113769.00       103822.00       217591.00
  1979        65-69           101928.00        86740.00       188668.00
  1979        70-74            76404.00        59066.00       135470.00
  1979        75-79            54652.00        34795.00        89447.00
  1979        80-84            33950.91        15735.72        49686.63
  1979        85-89            18230.92         7077.83        25308.75
  1979        90-94             6041.93         1947.37         7989.30
  1979        95-99             1128.32          292.10         1420.42
  1979       100-104              96.15           15.54          111.69
  1979       105-109               1.81            0.00            1.81
  1979       110+                  0.00            0.00            0.00
  1980           0             37813.00        40262.00        78075.00
  1980         1-4            154474.00       160093.00       314567.00
  1980         5-9            220259.00       230573.00       450832.00
  1980        10-14           207358.00       217208.00       424566.00
  1980        15-19           218483.00       228828.00       447311.00
  1980        20-24           216023.00       222805.00       438828.00
  1980        25-29           208355.00       212001.00       420356.00
  1980        30-34           204063.00       211125.00       415188.00
  1980        35-39           165660.00       172814.00       338474.00
  1980        40-44           140794.00       148356.00       289150.00
  1980        45-49           130205.00       137025.00       267230.00
  1980        50-54           138290.00       143716.00       282006.00
  1980        55-59           137171.00       134005.00       271176.00
  1980        60-64           115082.00       104722.00       219804.00
  1980        65-69           104585.00        89490.00       194075.00
  1980        70-74            79007.00        60994.00       140001.00
  1980        75-79            55204.00        35800.00        91004.00
  1980        80-84            34806.58        16411.01        51217.59
  1980        85-89            18766.41         7029.12        25795.53
  1980        90-94             6458.73         2102.79         8561.52
  1980        95-99             1234.45          329.18         1563.63
  1980       100-104             115.94           20.39          136.33
  1980       105-109               2.31            0.00            2.31
  1980       110+                  0.00            0.00            0.00
  1981           0             39171.00        41334.00        80505.00
  1981         1-4            153810.00       160533.00       314343.00
  1981         5-9            214141.00       223479.00       437620.00
  1981        10-14           214716.00       224114.00       438830.00
  1981        15-19           215032.00       226185.00       441217.00
  1981        20-24           221717.00       228767.00       450484.00
  1981        25-29           210420.00       215184.00       425604.00
  1981        30-34           210438.00       217927.00       428365.00
  1981        35-39           171652.00       178692.00       350344.00
  1981        40-44           144691.00       152137.00       296828.00
  1981        45-49           128219.00       135514.00       263733.00
  1981        50-54           137880.00       143064.00       280944.00
  1981        55-59           136447.00       134907.00       271354.00
  1981        60-64           119446.00       107362.00       226808.00
  1981        65-69           105255.00        91091.00       196346.00
  1981        70-74            82764.00        63168.00       145932.00
  1981        75-79            56040.00        37083.00        93123.00
  1981        80-84            36153.97        17494.78        53648.75
  1981        85-89            19279.82         7058.96        26338.78
  1981        90-94             6867.80         2164.59         9032.39
  1981        95-99             1385.32          329.84         1715.16
  1981       100-104             118.31           23.78          142.09
  1981       105-109               2.25            0.00            2.25
  1981       110+                  0.00            0.00            0.00
  1982           0             39590.00        42039.00        81629.00
  1982         1-4            154915.00       162208.00       317123.00
  1982         5-9            206994.00       216384.00       423378.00
  1982        10-14           221296.00       230654.00       451950.00
  1982        15-19           211502.00       222914.00       434416.00
  1982        20-24           226393.00       234193.00       460586.00
  1982        25-29           213898.00       218346.00       432244.00
  1982        30-34           209983.00       216672.00       426655.00
  1982        35-39           184637.00       192353.00       376990.00
  1982        40-44           148988.00       156809.00       305797.00
  1982        45-49           129819.00       137227.00       267046.00
  1982        50-54           135727.00       141543.00       277270.00
  1982        55-59           136374.00       135411.00       271785.00
  1982        60-64           122468.00       111577.00       234045.00
  1982        65-69           106801.00        91810.00       198611.00
  1982        70-74            86009.00        65869.00       151878.00
  1982        75-79            58444.00        38752.00        97196.00
  1982        80-84            37329.73        18469.52        55799.25
  1982        85-89            19611.56         7065.97        26677.53
  1982        90-94             7294.14         2207.25         9501.39
  1982        95-99             1437.78          331.89         1769.67
  1982       100-104             134.15           23.96          158.11
  1982       105-109               2.93            0.00            2.93
  1982       110+                  0.00            0.00            0.00
  1983           0             40588.00        42737.00        83325.00
  1983         1-4            155382.00       163982.00       319364.00
