NSW, Life tables (period 5x10), Total	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1979        0      0.01560  0.01538  0.12  100000    1538   98642  7245450  72.45
1971-1979      1-4      0.00070  0.00281  1.62   98462     277  393188  7146809  72.58
1971-1979      5-9      0.00032  0.00160  2.26   98185     157  490494  6753620  68.78
1971-1979     10-14     0.00031  0.00157  2.73   98028     154  489790  6263126  63.89
1971-1979     15-19     0.00095  0.00477  2.95   97874     466  488416  5773336  58.99
1971-1979     20-24     0.00114  0.00567  2.40   97408     553  485599  5284921  54.26
1971-1979     25-29     0.00095  0.00476  2.51   96855     461  483126  4799321  49.55
1971-1979     30-34     0.00106  0.00531  2.61   96394     512  480747  4316195  44.78
1971-1979     35-39     0.00165  0.00823  2.69   95882     789  477589  3835448  40.00
1971-1979     40-44     0.00278  0.01381  2.76   95093    1313  472531  3357859  35.31
1971-1979     45-49     0.00471  0.02328  2.70   93780    2183  463880  2885328  30.77
1971-1979     50-54     0.00736  0.03618  2.69   91597    3314  450345  2421449  26.44
1971-1979     55-59     0.01153  0.05615  2.68   88283    4957  429930  1971104  22.33
1971-1979     60-64     0.01834  0.08793  2.67   83326    7327  399580  1541174  18.50
1971-1979     65-69     0.02783  0.13053  2.63   75999    9920  356492  1141594  15.02
1971-1979     70-74     0.04362  0.19755  2.62   66079   13054  299301   785101  11.88
1971-1979     75-79     0.06831  0.29238  2.54   53025   15503  226952   485801   9.16
1971-1979     80-84     0.10563  0.41809  2.51   37522   15687  148513   258849   6.90
1971-1979     85-89     0.16661  0.57644  2.33   21834   12586   75545   110336   5.05
1971-1979     90-94     0.23918  0.71474  2.19    9248    6610   27637    34790   3.76
1971-1979     95-99     0.35332  0.84676  1.93    2638    2234    6323     7154   2.71
1971-1979    100-104    0.47846  0.92366  1.68     404     373     780      831   2.06
1971-1979    105-109    0.60860  0.96314  1.45      31      30      49       50   1.63
1971-1979    110+       0.71084  1.00000  1.41       1       1       2        2   1.41
1980-1989        0      0.00959  0.00951  0.13  100000     951   99172  7535439  75.35
1980-1989      1-4      0.00046  0.00184  1.65   99049     182  395768  7436267  75.08
1980-1989      5-9      0.00023  0.00112  2.28   98867     111  494032  7040499  71.21
1980-1989     10-14     0.00024  0.00118  2.66   98756     116  493506  6546467  66.29
1980-1989     15-19     0.00079  0.00393  2.96   98640     388  492405  6052962  61.36
1980-1989     20-24     0.00105  0.00524  2.45   98251     515  489942  5560556  56.60
