NSW, Life tables (period 5x5), Total	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1974        0      0.01777  0.01750  0.11  100000    1750   98447  7151322  71.51
1971-1974      1-4      0.00079  0.00316  1.62   98250     311  392261  7052875  71.78
1971-1974      5-9      0.00037  0.00184  2.18   97940     180  489190  6660613  68.01
1971-1974     10-14     0.00033  0.00163  2.75   97759     159  488438  6171423  63.13
1971-1974     15-19     0.00097  0.00486  2.93   97600     474  487020  5682985  58.23
1971-1974     20-24     0.00112  0.00560  2.39   97126     544  484207  5195965  53.50
1971-1974     25-29     0.00097  0.00483  2.54   96582     467  481762  4711758  48.79
1971-1974     30-34     0.00115  0.00572  2.60   96115     550  479256  4229996  44.01
1971-1974     35-39     0.00175  0.00872  2.72   95565     833  475928  3750740  39.25
1971-1974     40-44     0.00296  0.01472  2.73   94732    1394  470497  3274812  34.57
1971-1974     45-49     0.00502  0.02482  2.69   93338    2316  461329  2804315  30.04
1971-1974     50-54     0.00779  0.03825  2.69   91021    3482  447062  2342986  25.74
1971-1974     55-59     0.01247  0.06062  2.69   87539    5307  425458  1895924  21.66
1971-1974     60-64     0.01982  0.09472  2.66   82232    7789  392971  1470465  17.88
1971-1974     65-69     0.02985  0.13936  2.62   74443   10374  347511  1077495  14.47
1971-1974     70-74     0.04691  0.21084  2.61   64069   13508  287990   729984  11.39
1971-1974     75-79     0.07478  0.31583  2.54   50560   15968  213538   441994   8.74
1971-1974     80-84     0.11296  0.44048  2.50   34592   15237  134891   228456   6.60
1971-1974     85-89     0.17649  0.59729  2.29   19355   11561   65501    93565   4.83
1971-1974     90-94     0.25229  0.73590  2.17    7794    5736   22736    28064   3.60
1971-1974     95-99     0.37219  0.86201  1.89    2059    1774    4768     5328   2.59
1971-1974    100-104    0.49950  0.93216  1.64     284     265     530      561   1.97
1971-1974    105-109    0.62929  0.96719  1.42      19      19      30       30   1.58
1971-1974    110+       0.72975  1.00000  1.37       1       1       1        1   1.37
1975-1979        0      0.01360  0.01344  0.12  100000    1344   98819  7321725  73.22
1975-1979      1-4      0.00063  0.00251  1.63   98656     247  394037  7222906  73.21
