NSW, Death rates (cohort 5x1), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1891           0                    .               .               .
  1891         1-4                    .               .               .
  1891         5-9                    .               .               .
  1891        10-14                   .               .               .
  1891        15-19                   .               .               .
  1891        20-24                   .               .               .
  1891        25-29                   .               .               .
  1891        30-34                   .               .               .
  1891        35-39                   .               .               .
  1891        40-44                   .               .               .
  1891        45-49                   .               .               .
  1891        50-54                   .               .               .
  1891        55-59                   .               .               .
  1891        60-64                   .               .               .
  1891        65-69                   .               .               .
  1891        70-74                   .               .               .
  1891        75-79                   .               .               .
  1891        80-84            0.092416        0.139508        0.108214
  1891        85-89            0.135910        0.195412        0.152334
  1891        90-94            0.212485        0.284263        0.228119
  1891        95-99            0.320667        0.376791        0.329821
  1891       100-104           0.443848        0.557096        0.457625
  1891       105-109           0.671845        2.228571        0.699863
  1891       110+                    .              .              .
  1892           0                    .               .               .
  1892         1-4                    .               .               .
  1892         5-9                    .               .               .
  1892        10-14                   .               .               .
  1892        15-19                   .               .               .
  1892        20-24                   .               .               .
  1892        25-29                   .               .               .
  1892        30-34                   .               .               .
  1892        35-39                   .               .               .
  1892        40-44                   .               .               .
  1892        45-49                   .               .               .
  1892        50-54                   .               .               .
  1892        55-59                   .               .               .
  1892        60-64                   .               .               .
  1892        65-69                   .               .               .
  1892        70-74                   .               .               .
  1892        75-79                   .               .               .
  1892        80-84            0.091793        0.140516        0.108049
  1892        85-89            0.135453        0.190710        0.150820
  1892        90-94            0.204256        0.276429        0.219902
  1892        95-99            0.321253        0.385909        0.331993
  1892       100-104           0.451591        0.573256        0.466159
  1892       105-109           0.723584        3.000000        0.738810
  1892       110+                    .              .              .
  1893           0                    .               .               .
  1893         1-4                    .               .               .
  1893         5-9                    .               .               .
  1893        10-14                   .               .               .
  1893        15-19                   .               .               .
  1893        20-24                   .               .               .
  1893        25-29                   .               .               .
  1893        30-34                   .               .               .
  1893        35-39                   .               .               .
  1893        40-44                   .               .               .
  1893        45-49                   .               .               .
  1893        50-54                   .               .               .
  1893        55-59                   .               .               .
  1893        60-64                   .               .               .
  1893        65-69                   .               .               .
  1893        70-74                   .               .               .
  1893        75-79                   .               .               .
  1893        80-84            0.091207        0.137585        0.106193
  1893        85-89            0.136664        0.187087        0.150488
  1893        90-94            0.201963        0.257278        0.213998
  1893        95-99            0.325208        0.389522        0.336744
  1893       100-104           0.451315        0.600970        0.469511
  1893       105-109           0.702434        1.500000        0.709524
  1893       110+                    .              .              .
  1894           0                    .               .               .
  1894         1-4                    .               .               .
  1894         5-9                    .               .               .
  1894        10-14                   .               .               .
  1894        15-19                   .               .               .
  1894        20-24                   .               .               .
  1894        25-29                   .               .               .
  1894        30-34                   .               .               .
  1894        35-39                   .               .               .
  1894        40-44                   .               .               .
  1894        45-49                   .               .               .
  1894        50-54                   .               .               .
  1894        55-59                   .               .               .
  1894        60-64                   .               .               .
  1894        65-69                   .               .               .
  1894        70-74                   .               .               .
  1894        75-79                   .               .               .
  1894        80-84            0.086557        0.136405        0.102163
  1894        85-89            0.135981        0.183810        0.148577
  1894        90-94            0.209039        0.260999        0.220070
  1894        95-99            0.318321        0.367886        0.327171
  1894       100-104           0.452643        0.636432        0.474320
  1894       105-109           0.723383        2.129032        0.745236
  1894       110+                    .              .              .
  1895           0                    .               .               .
  1895         1-4                    .               .               .
  1895         5-9                    .               .               .
  1895        10-14                   .               .               .
  1895        15-19                   .               .               .
  1895        20-24                   .               .               .
  1895        25-29                   .               .               .
  1895        30-34                   .               .               .
  1895        35-39                   .               .               .
  1895        40-44                   .               .               .
  1895        45-49                   .               .               .
  1895        50-54                   .               .               .
  1895        55-59                   .               .               .
  1895        60-64                   .               .               .
  1895        65-69                   .               .               .
  1895        70-74                   .               .               .
  1895        75-79                   .               .               .
  1895        80-84            0.083590        0.132184        0.098568
  1895        85-89            0.133872        0.188693        0.147862
  1895        90-94            0.210857        0.257184        0.220482
  1895        95-99            0.307794        0.367590        0.318007
  1895       100-104           0.445641        0.642137        0.465853
  1895       105-109           0.673866        2.029412        0.694866
  1895       110+                    .              .              .
  1896           0                    .               .               .
  1896         1-4                    .               .               .
  1896         5-9                    .               .               .
  1896        10-14                   .               .               .
  1896        15-19                   .               .               .
  1896        20-24                   .               .               .
  1896        25-29                   .               .               .
  1896        30-34                   .               .               .
  1896        35-39                   .               .               .
  1896        40-44                   .               .               .
  1896        45-49                   .               .               .
  1896        50-54                   .               .               .
  1896        55-59                   .               .               .
  1896        60-64                   .               .               .
  1896        65-69                   .               .               .
  1896        70-74                   .               .               .
  1896        75-79            0.058025        0.096601        0.072450
