NSW, Death rates (cohort 5x5), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1891-1894        0                    .               .               .
1891-1894      1-4                    .               .               .
1891-1894      5-9                    .               .               .
1891-1894     10-14                   .               .               .
1891-1894     15-19                   .               .               .
1891-1894     20-24                   .               .               .
1891-1894     25-29                   .               .               .
1891-1894     30-34                   .               .               .
1891-1894     35-39                   .               .               .
1891-1894     40-44                   .               .               .
1891-1894     45-49                   .               .               .
1891-1894     50-54                   .               .               .
1891-1894     55-59                   .               .               .
1891-1894     60-64                   .               .               .
1891-1894     65-69                   .               .               .
1891-1894     70-74                   .               .               .
1891-1894     75-79                   .               .               .
1891-1894     80-84            0.090470        0.138548        0.106160
1891-1894     85-89            0.136004        0.189272        0.150539
1891-1894     90-94            0.206891        0.269551        0.220431
1891-1894     95-99            0.321367        0.380024        0.331452
1891-1894    100-104           0.449943        0.592485        0.467077
1891-1894    105-109           0.705420        2.160410        0.723222
1891-1894    110+                    .              .              .
1895-1899        0                    .               .               .
1895-1899      1-4                    .               .               .
1895-1899      5-9                    .               .               .
1895-1899     10-14                   .               .               .
1895-1899     15-19                   .               .               .
1895-1899     20-24                   .               .               .
1895-1899     25-29                   .               .               .
1895-1899     30-34                   .               .               .
1895-1899     35-39                   .               .               .
1895-1899     40-44                   .               .               .
1895-1899     45-49                   .               .               .
1895-1899     50-54                   .               .               .
1895-1899     55-59                   .               .               .
1895-1899     60-64                   .               .               .
1895-1899     65-69                   .               .               .
1895-1899     70-74                   .               .               .
1895-1899     75-79            0.055895        0.094639        0.070303
1895-1899     80-84            0.081780        0.127642        0.096411
1895-1899     85-89            0.130892        0.188318        0.146142
1895-1899     90-94            0.203737        0.259545        0.215612
1895-1899     95-99            0.304685        0.381385        0.317402
1895-1899    100-104           0.456001        0.558479        0.467404
1895-1899    105-109           0.701967        1.250891        0.723870
1895-1899    110+                    .              .              .
1900-1904        0                    .               .               .
1900-1904      1-4                    .               .               .
1900-1904      5-9                    .               .               .
1900-1904     10-14                   .               .               .
1900-1904     15-19                   .               .               .
1900-1904     20-24                   .               .               .
1900-1904     25-29                   .               .               .
1900-1904     30-34                   .               .               .
1900-1904     35-39                   .               .               .
1900-1904     40-44                   .               .               .
1900-1904     45-49                   .               .               .
1900-1904     50-54                   .               .               .
1900-1904     55-59                   .               .               .
1900-1904     60-64                   .               .               .
1900-1904     65-69                   .               .               .
1900-1904     70-74            0.033387        0.062701        0.046005
1900-1904     75-79            0.047374        0.084049        0.061746
1900-1904     80-84            0.077650        0.120532        0.092257
1900-1904     85-89            0.125264        0.178028        0.140540
1900-1904     90-94            0.195044        0.258564        0.209926
1900-1904     95-99            0.304830        0.366971        0.315985
1900-1904    100-104           0.456541        0.510032        0.464058
1900-1904    105-109           0.691657        1.231951        0.723478
1900-1904    110+              3.000000              .        3.000000
1905-1909        0                    .               .               .
1905-1909      1-4                    .               .               .
1905-1909      5-9                    .               .               .
1905-1909     10-14                   .               .               .
1905-1909     15-19                   .               .               .
1905-1909     20-24                   .               .               .
1905-1909     25-29                   .               .               .
1905-1909     30-34                   .               .               .
1905-1909     35-39                   .               .               .
1905-1909     40-44                   .               .               .
1905-1909     45-49                   .               .               .
1905-1909     50-54                   .               .               .
1905-1909     55-59                   .               .               .
1905-1909     60-64                   .               .               .
1905-1909     65-69            0.019844        0.039983        0.029159
1905-1909     70-74            0.026984        0.053523        0.038532
1905-1909     75-79            0.042608        0.077128        0.056406
1905-1909     80-84            0.072487        0.114186        0.087269
1905-1909     85-89            0.115413        0.165361        0.130581
1905-1909     90-94            0.189617        0.247770        0.204037
1905-1909     95-99            0.298730        0.368912        0.312371
1905-1909    100-104           0.463456        0.540024        0.474593
1905-1909    105-109           0.688943        0.940576        0.710703
1905-1909    110+              3.000000              .        3.000000
1910-1914        0                    .               .               .
1910-1914      1-4                    .               .               .
1910-1914      5-9                    .               .               .
1910-1914     10-14                   .               .               .
1910-1914     15-19                   .               .               .
1910-1914     20-24                   .               .               .
1910-1914     25-29                   .               .               .
1910-1914     30-34                   .               .               .
1910-1914     35-39                   .               .               .
1910-1914     40-44                   .               .               .
1910-1914     45-49                   .               .               .
1910-1914     50-54                   .               .               .
1910-1914     55-59                   .               .               .
1910-1914     60-64            0.012634        0.026116        0.019079
1910-1914     65-69            0.016749        0.034174        0.024784
1910-1914     70-74            0.025651        0.048592        0.035688
1910-1914     75-79            0.040421        0.070154        0.052536
1910-1914     80-84            0.066040        0.104424        0.080055
1910-1914     85-89            0.110021        0.156037        0.124622
1910-1914     90-94            0.183133        0.237401        0.197546
1910-1914     95-99            0.297586        0.358220        0.310512
1910-1914    100-104           0.467836        0.520285        0.476818
1910-1914    105-109                  .               .               .
1910-1914    110+                     .               .               .
1915-1919        0                    .               .               .
1915-1919      1-4                    .               .               .
1915-1919      5-9                    .               .               .
1915-1919     10-14                   .               .               .
1915-1919     15-19                   .               .               .
1915-1919     20-24                   .               .               .
1915-1919     25-29                   .               .               .
1915-1919     30-34                   .               .               .
1915-1919     35-39                   .               .               .
1915-1919     40-44                   .               .               .
1915-1919     45-49                   .               .               .
1915-1919     50-54                   .               .               .
1915-1919     55-59            0.008067        0.015999        0.011952
1915-1919     60-64            0.010712        0.021395        0.015802
1915-1919     65-69            0.015397        0.030483        0.022380
1915-1919     70-74            0.023417        0.043220        0.032206
1915-1919     75-79            0.035408        0.060810        0.046025
1915-1919     80-84            0.059006        0.093031        0.071837
1915-1919     85-89            0.100251        0.141216        0.113950
1915-1919     90-94            0.173629        0.225511        0.188447
1915-1919     95-99            0.294420        0.340777        0.305285
1915-1919    100-104                  .               .               .
1915-1919    105-109                  .               .               .
1915-1919    110+                     .               .               .
1920-1924        0                    .               .               .
1920-1924      1-4                    .               .               .
1920-1924      5-9                    .               .               .
1920-1924     10-14                   .               .               .
1920-1924     15-19                   .               .               .
1920-1924     20-24                   .               .               .
1920-1924     25-29                   .               .               .
1920-1924     30-34                   .               .               .
1920-1924     35-39                   .               .               .
1920-1924     40-44                   .               .               .
1920-1924     45-49                   .               .               .
1920-1924     50-54            0.005334        0.009971        0.007668
1920-1924     55-59            0.006716        0.013554        0.010104
1920-1924     60-64            0.009638        0.018744        0.014040
1920-1924     65-69            0.013659        0.026837        0.019863
1920-1924     70-74            0.020149        0.037252        0.027892
1920-1924     75-79            0.030000        0.051885        0.039448
1920-1924     80-84            0.052372        0.080579        0.063621
1920-1924     85-89            0.091851        0.128099        0.104929
1920-1924     90-94            0.170248        0.209353        0.182682
1920-1924     95-99                   .               .               .
1920-1924    100-104                  .               .               .
1920-1924    105-109                  .               .               .
1920-1924    110+                     .               .               .
1925-1929        0                    .               .               .
1925-1929      1-4                    .               .               .
1925-1929      5-9                    .               .               .
1925-1929     10-14                   .               .               .
1925-1929     15-19                   .               .               .
1925-1929     20-24                   .               .               .
1925-1929     25-29                   .               .               .
1925-1929     30-34                   .               .               .
1925-1929     35-39                   .               .               .
1925-1929     40-44                   .               .               .
1925-1929     45-49            0.003591        0.006202        0.004938
1925-1929     50-54            0.004417        0.008291        0.006393
1925-1929     55-59            0.006027        0.011851        0.008969
1925-1929     60-64            0.008554        0.016652        0.012567
1925-1929     65-69            0.011990        0.023227        0.017429
1925-1929     70-74            0.017778        0.031873        0.024416
1925-1929     75-79            0.027101        0.045070        0.035208
1925-1929     80-84            0.047013        0.070355        0.056934
1925-1929     85-89            0.087200        0.116892        0.098882
1925-1929     90-94                   .               .               .
1925-1929     95-99                   .               .               .
1925-1929    100-104                  .               .               .
1925-1929    105-109                  .               .               .
1925-1929    110+                     .               .               .
1930-1934        0                    .               .               .
1930-1934      1-4                    .               .               .
1930-1934      5-9                    .               .               .
1930-1934     10-14                   .               .               .
1930-1934     15-19                   .               .               .
1930-1934     20-24                   .               .               .
1930-1934     25-29                   .               .               .
1930-1934     30-34                   .               .               .
1930-1934     35-39                   .               .               .
1930-1934     40-44            0.002283        0.003602        0.002962
1930-1934     45-49            0.002833        0.005010        0.003952
1930-1934     50-54            0.003889        0.006994        0.005474
1930-1934     55-59            0.005269        0.009982        0.007646
1930-1934     60-64            0.007284        0.013885        0.010557
1930-1934     65-69            0.010397        0.018678        0.014450
1930-1934     70-74            0.015048        0.026424        0.020477
1930-1934     75-79            0.023802        0.038829        0.030731
1930-1934     80-84            0.043412        0.063171        0.052132
1930-1934     85-89                   .               .               .
1930-1934     90-94                   .               .               .
1930-1934     95-99                   .               .               .
1930-1934    100-104                  .               .               .
1930-1934    105-109                  .               .               .
1930-1934    110+                     .               .               .
1935-1939        0                    .               .               .
1935-1939      1-4                    .               .               .
1935-1939      5-9                    .               .               .
1935-1939     10-14                   .               .               .
1935-1939     15-19                   .               .               .
1935-1939     20-24                   .               .               .
1935-1939     25-29                   .               .               .
1935-1939     30-34                   .               .               .
1935-1939     35-39            0.001352        0.002021        0.001696
1935-1939     40-44            0.001737        0.002734        0.002249
1935-1939     45-49            0.002354        0.003874        0.003135
1935-1939     50-54            0.003280        0.005664        0.004500
1935-1939     55-59            0.004533        0.007724        0.006148
1935-1939     60-64            0.006500        0.011128        0.008821
1935-1939     65-69            0.008825        0.015471        0.012096
1935-1939     70-74            0.013446        0.021844        0.017528
1935-1939     75-79            0.022234        0.034238        0.027893
1935-1939     80-84                   .               .               .
1935-1939     85-89                   .               .               .
1935-1939     90-94                   .               .               .
1935-1939     95-99                   .               .               .
1935-1939    100-104                  .               .               .
1935-1939    105-109                  .               .               .
1935-1939    110+                     .               .               .
1940-1944        0                    .               .               .
1940-1944      1-4                    .               .               .
1940-1944      5-9                    .               .               .
1940-1944     10-14                   .               .               .
1940-1944     15-19                   .               .               .
1940-1944     20-24                   .               .               .
1940-1944     25-29                   .               .               .
1940-1944     30-34            0.000800        0.001442        0.001130
1940-1944     35-39            0.001007        0.001744        0.001384
1940-1944     40-44            0.001385        0.002265        0.001835
1940-1944     45-49            0.002058        0.003277        0.002683
1940-1944     50-54            0.002870        0.004513        0.003708
1940-1944     55-59            0.003909        0.006486        0.005217
1940-1944     60-64            0.005642        0.009382        0.007514
1940-1944     65-69            0.007817        0.012936        0.010355
1940-1944     70-74            0.012377        0.019937        0.016077
1940-1944     75-79                   .               .               .
1940-1944     80-84                   .               .               .
1940-1944     85-89                   .               .               .
1940-1944     90-94                   .               .               .
1940-1944     95-99                   .               .               .
1940-1944    100-104                  .               .               .
1940-1944    105-109                  .               .               .
1940-1944    110+                     .               .               .
1945-1949        0                    .               .               .
1945-1949      1-4                    .               .               .
1945-1949      5-9                    .               .               .
1945-1949     10-14                   .               .               .
1945-1949     15-19                   .               .               .
1945-1949     20-24                   .               .               .
1945-1949     25-29            0.000591        0.001282        0.000944
1945-1949     30-34            0.000665        0.001202        0.000939
1945-1949     35-39            0.000833        0.001453        0.001149
1945-1949     40-44            0.001178        0.002192        0.001695
1945-1949     45-49            0.001749        0.002816        0.002291
1945-1949     50-54            0.002406        0.003885        0.003154
1945-1949     55-59            0.003386        0.005520        0.004459
1945-1949     60-64            0.004947        0.008074        0.006511
1945-1949     65-69            0.007270        0.012001        0.009616
1945-1949     70-74                   .               .               .
1945-1949     75-79                   .               .               .
1945-1949     80-84                   .               .               .
1945-1949     85-89                   .               .               .
1945-1949     90-94                   .               .               .
1945-1949     95-99                   .               .               .
1945-1949    100-104                  .               .               .
1945-1949    105-109                  .               .               .
1945-1949    110+                     .               .               .
1950-1954        0                    .               .               .
1950-1954      1-4                    .               .               .
1950-1954      5-9                    .               .               .
1950-1954     10-14                   .               .               .
1950-1954     15-19                   .               .               .
1950-1954     20-24            0.000539        0.001743        0.001148
1950-1954     25-29            0.000508        0.001393        0.000953
1950-1954     30-34            0.000559        0.001262        0.000912
1950-1954     35-39            0.000746        0.001632        0.001190
1950-1954     40-44            0.001075        0.002052        0.001563
1950-1954     45-49            0.001543        0.002616        0.002078
1950-1954     50-54            0.002192        0.003620        0.002902
1950-1954     55-59            0.003095        0.005303        0.004188
1950-1954     60-64            0.004557        0.007957        0.006222
1950-1954     65-69                   .               .               .
1950-1954     70-74                   .               .               .
1950-1954     75-79                   .               .               .
1950-1954     80-84                   .               .               .
1950-1954     85-89                   .               .               .
1950-1954     90-94                   .               .               .
1950-1954     95-99                   .               .               .
1950-1954    100-104                  .               .               .
1950-1954    105-109                  .               .               .
1950-1954    110+                     .               .               .
1955-1959        0                    .               .               .
1955-1959      1-4                    .               .               .
1955-1959      5-9                    .               .               .
1955-1959     10-14                   .               .               .
1955-1959     15-19            0.000508        0.001436        0.000982
1955-1959     20-24            0.000538        0.001698        0.001127
1955-1959     25-29            0.000515        0.001333        0.000928
1955-1959     30-34            0.000542        0.001405        0.000976
1955-1959     35-39            0.000740        0.001595        0.001168
1955-1959     40-44            0.000993        0.001860        0.001425
1955-1959     45-49            0.001450        0.002418        0.001930
1955-1959     50-54            0.002092        0.003532        0.002805
1955-1959     55-59            0.003002        0.005349        0.004154
1955-1959     60-64                   .               .               .
1955-1959     65-69                   .               .               .
1955-1959     70-74                   .               .               .
1955-1959     75-79                   .               .               .
1955-1959     80-84                   .               .               .
1955-1959     85-89                   .               .               .
1955-1959     90-94                   .               .               .
1955-1959     95-99                   .               .               .
1955-1959    100-104                  .               .               .
1955-1959    105-109                  .               .               .
1955-1959    110+                     .               .               .
1960-1964        0                    .               .               .
1960-1964      1-4                    .               .               .
1960-1964      5-9                    .               .               .
1960-1964     10-14            0.000243        0.000392        0.000320
1960-1964     15-19            0.000455        0.001308        0.000892
1960-1964     20-24            0.000489        0.001605        0.001058
1960-1964     25-29            0.000442        0.001444        0.000948
1960-1964     30-34            0.000540        0.001497        0.001020
1960-1964     35-39            0.000682        0.001471        0.001076
1960-1964     40-44            0.000913        0.001642        0.001276
1960-1964     45-49            0.001423        0.002342        0.001878
1960-1964     50-54            0.002053        0.003444        0.002739
1960-1964     55-59                   .               .               .
1960-1964     60-64                   .               .               .
1960-1964     65-69                   .               .               .
1960-1964     70-74                   .               .               .
1960-1964     75-79                   .               .               .
1960-1964     80-84                   .               .               .
1960-1964     85-89                   .               .               .
1960-1964     90-94                   .               .               .
1960-1964     95-99                   .               .               .
1960-1964    100-104                  .               .               .
1960-1964    105-109                  .               .               .
1960-1964    110+                     .               .               .
1965-1969        0                    .               .               .
1965-1969      1-4                    .               .               .
1965-1969      5-9             0.000287        0.000408        0.000349
1965-1969     10-14            0.000219        0.000314        0.000268
1965-1969     15-19            0.000430        0.001114        0.000780
1965-1969     20-24            0.000461        0.001378        0.000927
1965-1969     25-29            0.000381        0.001290        0.000836
1965-1969     30-34            0.000478        0.001287        0.000880
