NSW, Life tables (period 5x10), Females	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1979        0      0.01324  0.01309  0.12  100000    1309   98851  7599374  75.99
1971-1979      1-4      0.00061  0.00243  1.57   98691     240  394182  7500523  76.00
1971-1979      5-9      0.00027  0.00133  2.25   98451     131  491896  7106340  72.18
1971-1979     10-14     0.00024  0.00120  2.75   98320     118  491335  6614445  67.27
1971-1979     15-19     0.00050  0.00249  2.74   98202     244  490461  6123109  62.35
1971-1979     20-24     0.00054  0.00271  2.56   97958     266  489142  5632649  57.50
1971-1979     25-29     0.00058  0.00288  2.59   97692     281  487783  5143507  52.65
1971-1979     30-34     0.00077  0.00383  2.67   97411     373  486184  4655724  47.79
1971-1979     35-39     0.00130  0.00647  2.70   97037     628  483742  4169540  42.97
1971-1979     40-44     0.00214  0.01067  2.76   96410    1028  479748  3685797  38.23
1971-1979     45-49     0.00345  0.01712  2.67   95381    1633  473095  3206049  33.61
1971-1979     50-54     0.00518  0.02558  2.66   93748    2398  463120  2732954  29.15
1971-1979     55-59     0.00781  0.03835  2.70   91350    3503  448706  2269834  24.85
1971-1979     60-64     0.01218  0.05925  2.69   87847    5205  427191  1821128  20.73
1971-1979     65-69     0.01893  0.09065  2.68   82642    7491  395817  1393937  16.87
1971-1979     70-74     0.03178  0.14800  2.69   75151   11122  350032   998119  13.28
1971-1979     75-79     0.05432  0.24025  2.60   64029   15383  283182   648087  10.12
1971-1979     80-84     0.09043  0.37050  2.56   48646   18023  199300   364905   7.50
1971-1979     85-89     0.15073  0.54001  2.38   30622   16536  109707   165606   5.41
1971-1979     90-94     0.22210  0.68677  2.22   14086    9674   43557    55899   3.97
1971-1979     95-99     0.34062  0.83639  1.96    4412    3690   10834    12342   2.80
1971-1979    100-104    0.47011  0.92041  1.69     722     664    1413     1508   2.09
1971-1979    105-109    0.60453  0.96244  1.46      57      55      91       95   1.65
1971-1979    110+       0.70939  1.00000  1.41       2       2       3        3   1.41
1980-1989        0      0.00830  0.00824  0.13  100000     824   99285  7870944  78.71
1980-1989      1-4      0.00040  0.00158  1.57   99176     157  396323  7771659  78.36
1980-1989      5-9      0.00017  0.00086  2.19   99019      85  494858  7375336  74.48
1980-1989     10-14     0.00018  0.00090  2.63   98934      89  494460  6880478  69.55
1980-1989     15-19     0.00043  0.00214  2.82   98845     212  493764  6386018  64.61
1980-1989     20-24     0.00050  0.00248  2.47   98633     244  492550  5892255  59.74
1980-1989     25-29     0.00049  0.00244  2.47   98389     240  491338  5399705  54.88
1980-1989     30-34     0.00059  0.00294  2.68   98149     288  490075  4908367  50.01
1980-1989     35-39     0.00083  0.00415  2.69   97861     407  488365  4418292  45.15
1980-1989     40-44     0.00142  0.00708  2.72   97454     690  485701  3929926  40.33
1980-1989     45-49     0.00239  0.01190  2.66   96764    1151  481132  3444226  35.59
1980-1989     50-54     0.00385  0.01906  2.71   95613    1823  473888  2963094  30.99
1980-1989     55-59     0.00604  0.02978  2.69   93790    2793  462504  2489206  26.54
1980-1989     60-64     0.00966  0.04725  2.70   90997    4300  445087  2026702  22.27
1980-1989     65-69     0.01531  0.07393  2.69   86697    6410  418659  1581615  18.24
1980-1989     70-74     0.02548  0.12026  2.67   80288    9655  378898  1162956  14.48
1980-1989     75-79     0.04297  0.19521  2.66   70632   13788  320854   784058  11.10
1980-1989     80-84     0.07816  0.32880  2.59   56844   18690  239131   463203   8.15
1980-1989     85-89     0.13106  0.49023  2.43   38154   18704  142717   224073   5.87
1980-1989     90-94     0.20852  0.66580  2.29   19450   12949   62102    81356   4.18
1980-1989     95-99     0.31846  0.81569  2.01    6500    5302   16649    19254   2.96
1980-1989    100-104    0.45008  0.91146  1.74    1198    1092    2426     2605   2.17
1980-1989    105-109    0.58977  0.95947  1.48     106     102     173      179   1.68
1980-1989    110+       0.69988  1.00000  1.43       4       4       6        6   1.43
1990-1999        0      0.00558  0.00556  0.14  100000     556   99521  8098286  80.98
1990-1999      1-4      0.00029  0.00115  1.54   99444     114  397496  7998766  80.43
1990-1999      5-9      0.00012  0.00062  2.44   99330      61  496493  7601270  76.53
1990-1999     10-14     0.00013  0.00066  2.64   99269      66  496189  7104776  71.57
1990-1999     15-19     0.00032  0.00159  2.79   99203     158  495666  6608587  66.62
1990-1999     20-24     0.00040  0.00198  2.45   99045     196  494724  6112921  61.72
1990-1999     25-29     0.00039  0.00197  2.56   98849     194  493768  5618197  56.84
1990-1999     30-34     0.00053  0.00265  2.62   98654     261  492649  5124429  51.94
1990-1999     35-39     0.00073  0.00366  2.60   98393     360  491102  4631780  47.07
1990-1999     40-44     0.00107  0.00534  2.67   98033     524  488945  4140678  42.24
1990-1999     45-49     0.00177  0.00883  2.70   97509     861  485564  3651732  37.45
1990-1999     50-54     0.00283  0.01405  2.68   96648    1358  480084  3166168  32.76
1990-1999     55-59     0.00451  0.02235  2.72   95290    2129  471605  2686084  28.19
1990-1999     60-64     0.00743  0.03650  2.68   93161    3400  457915  2214480  23.77
1990-1999     65-69     0.01209  0.05879  2.69   89761    5277  436616  1756565  19.57
1990-1999     70-74     0.02040  0.09739  2.67   84484    8228  403256  1319948  15.62
1990-1999     75-79     0.03543  0.16369  2.68   76256   12483  352277   916692  12.02
1990-1999     80-84     0.06526  0.28221  2.60   63773   17997  275758   564415   8.85
1990-1999     85-89     0.11538  0.44668  2.47   45776   20447  177211   288657   6.31
1990-1999     90-94     0.19348  0.63603  2.31   25329   16110   83263   111446   4.40
1990-1999     95-99     0.30598  0.80379  2.05    9219    7410   24218    28183   3.06
1990-1999    100-104    0.44571  0.91023  1.75    1809    1646    3694     3965   2.19
1990-1999    105-109    0.59544  0.96123  1.48     162     156     262      271   1.67
1990-1999    110+       0.71278  1.00000  1.40       6       6       9        9   1.40
2000-2009        0      0.00412  0.00411  0.14  100000     411   99647  8324541  83.25
2000-2009      1-4      0.00021  0.00083  1.70   99589      83  398167  8224894  82.59
2000-2009      5-9      0.00008  0.00040  2.18   99506      40  497420  7826727  78.66
2000-2009     10-14     0.00007  0.00036  2.74   99467      36  497252  7329307  73.69
2000-2009     15-19     0.00023  0.00117  2.71   99431     116  496888  6832055  68.71
2000-2009     20-24     0.00027  0.00135  2.46   99315     134  496233  6335167  63.79
2000-2009     25-29     0.00030  0.00151  2.59   99181     149  495543  5838935  58.87
2000-2009     30-34     0.00041  0.00206  2.57   99031     204  494660  5343392  53.96
2000-2009     35-39     0.00059  0.00296  2.67   98827     292  493456  4848732  49.06
2000-2009     40-44     0.00091  0.00455  2.65   98535     448  491622  4355277  44.20
2000-2009     45-49     0.00145  0.00721  2.66   98087     707  488776  3863655  39.39
2000-2009     50-54     0.00222  0.01106  2.66   97380    1077  484375  3374879  34.66
2000-2009     55-59     0.00344  0.01708  2.69   96303    1645  477722  2890503  30.01
2000-2009     60-64     0.00560  0.02762  2.70   94658    2614  467272  2412781  25.49
2000-2009     65-69     0.00894  0.04380  2.70   92044    4032  450948  1945509  21.14
2000-2009     70-74     0.01523  0.07358  2.69   88012    6476  425125  1494561  16.98
2000-2009     75-79     0.02701  0.12708  2.68   81536   10361  383632  1069436  13.12
2000-2009     80-84     0.05230  0.23298  2.66   71175   16582  317035   685804   9.64
2000-2009     85-89     0.09966  0.40053  2.55   54593   21866  219413   368769   6.75
2000-2009     90-94     0.18198  0.61502  2.37   32727   20128  110605   149356   4.56
2000-2009     95-99     0.30226  0.80186  2.07   12599   10103   33424    38752   3.08
2000-2009    100-104    0.45815  0.91783  1.74    2496    2291    5001     5328   2.13
2000-2009    105-109    0.62408  0.96768  1.44     205     198     318      327   1.59
2000-2009    110+       0.75018  1.00000  1.33       7       7       9        9   1.33
2010-2019        0      0.00308  0.00308  0.14  100000     308   99736  8475425  84.75
2010-2019      1-4      0.00013  0.00054  1.61   99692      54  398641  8375689  84.02
2010-2019      5-9      0.00007  0.00037  2.40   99639      37  498096  7977048  80.06
2010-2019     10-14     0.00007  0.00033  2.85   99601      33  497936  7478952  75.09
2010-2019     15-19     0.00018  0.00092  2.84   99568      92  497644  6981015  70.11
2010-2019     20-24     0.00022  0.00109  2.51   99477     108  497114  6483371  65.17
2010-2019     25-29     0.00026  0.00128  2.62   99368     127  496539  5986257  60.24
2010-2019     30-34     0.00035  0.00174  2.65   99241     173  495799  5489718  55.32
2010-2019     35-39     0.00055  0.00274  2.67   99068     271  494709  4993919  50.41
2010-2019     40-44     0.00084  0.00417  2.67   98797     412  493024  4499210  45.54
2010-2019     45-49     0.00132  0.00657  2.71   98385     646  490445  4006186  40.72
2010-2019     50-54     0.00202  0.01005  2.67   97739     983  486407  3515741  35.97
2010-2019     55-59     0.00301  0.01492  2.66   96756    1444  480406  3029334  31.31
2010-2019     60-64     0.00461  0.02279  2.67   95312    2172  471495  2548928  26.74
2010-2019     65-69     0.00722  0.03549  2.70   93140    3306  458085  2077433  22.30
2010-2019     70-74     0.01245  0.06051  2.71   89835    5435  436699  1619347  18.03
2010-2019     75-79     0.02215  0.10535  2.69   84399    8891  401419  1182648  14.01
2010-2019     80-84     0.04329  0.19675  2.69   75508   14856  343181   781230  10.35
2010-2019     85-89     0.08637  0.35773  2.60   60651   21697  251197   438048   7.22
2010-2019     90-94     0.16755  0.58410  2.41   38954   22753  135797   186851   4.80
2010-2019     95-99     0.29251  0.79229  2.11   16201   12836   43881    51054   3.15
2010-2019    100-104    0.45839  0.91904  1.74    3365    3093    6747     7173   2.13
2010-2019    105-109    0.63579  0.97018  1.42     272     264     416      426   1.56
2010-2019    110+       0.76830  1.00000  1.30       8       8      11       11   1.30
