NSW, Life tables (period 5x5), Females	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1974        0      0.01510  0.01490  0.12  100000    1490   98685  7501377  75.01
1971-1974      1-4      0.00067  0.00269  1.56   98510     265  393393  7402692  75.15
1971-1974      5-9      0.00031  0.00154  2.17   98245     151  490797  7009299  71.35
1971-1974     10-14     0.00026  0.00132  2.82   98094     129  490188  6518501  66.45
1971-1974     15-19     0.00054  0.00268  2.71   97965     263  489222  6028313  61.54
1971-1974     20-24     0.00052  0.00261  2.56   97702     255  487887  5539091  56.69
1971-1974     25-29     0.00060  0.00297  2.58   97446     290  486531  5051204  51.84
1971-1974     30-34     0.00086  0.00429  2.66   97157     417  484809  4564673  46.98
1971-1974     35-39     0.00141  0.00703  2.76   96740     680  482174  4079865  42.17
1971-1974     40-44     0.00233  0.01158  2.72   96060    1112  477761  3597691  37.45
1971-1974     45-49     0.00376  0.01866  2.67   94947    1772  470607  3119929  32.86
1971-1974     50-54     0.00566  0.02793  2.66   93176    2603  459781  2649322  28.43
1971-1974     55-59     0.00855  0.04195  2.70   90573    3799  444142  2189541  24.17
1971-1974     60-64     0.01289  0.06259  2.67   86774    5431  421208  1745399  20.11
1971-1974     65-69     0.02026  0.09676  2.69   81343    7871  388542  1324191  16.28
1971-1974     70-74     0.03458  0.16007  2.68   73472   11760  340075   935649  12.73
1971-1974     75-79     0.06030  0.26338  2.60   61712   16254  269544   595575   9.65
1971-1974     80-84     0.09760  0.39395  2.55   45458   17908  183483   326031   7.17
1971-1974     85-89     0.16027  0.56180  2.34   27550   15478   96573   142548   5.17
1971-1974     90-94     0.23360  0.70734  2.21   12072    8539   36554    45975   3.81
1971-1974     95-99     0.35959  0.85278  1.92    3533    3013    8379     9421   2.67
1971-1974    100-104    0.49152  0.92943  1.65     520     483     984     1042   2.00
1971-1974    105-109    0.62558  0.96663  1.43      37      35      57       58   1.59
1971-1974    110+       0.72849  1.00000  1.37       1       1       2        2   1.37
1975-1979        0      0.01154  0.01142  0.13  100000    1142   99001  7678240  76.78
1975-1979      1-4      0.00055  0.00221  1.58   98858     219  394903  7579239  76.67
1975-1979      5-9      0.00024  0.00118  2.32   98639     116  492884  7184336  72.83
1975-1979     10-14     0.00022  0.00110  2.68   98523     108  492362  6691452  67.92
1975-1979     15-19     0.00047  0.00234  2.77   98414     230  491558  6199090  62.99
1975-1979     20-24     0.00056  0.00279  2.56   98184     274  490250  5707532  58.13
1975-1979     25-29     0.00056  0.00281  2.60   97910     275  488888  5217282  53.29
1975-1979     30-34     0.00071  0.00353  2.68   97634     345  487372  4728393  48.43
