NSW, Life tables (period 5x1), Males	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1971           0      0.02091  0.02053  0.11  100000    2053   98168  6803504  68.04
  1971         1-4      0.00088  0.00353  1.61   97947     345  390964  6705336  68.46
  1971         5-9      0.00042  0.00211  2.20   97602     206  487431  6314372  64.70
  1971        10-14     0.00052  0.00259  2.76   97396     253  486411  5826941  59.83
  1971        15-19     0.00151  0.00752  2.98   97143     730  484241  5340529  54.98
  1971        20-24     0.00181  0.00901  2.32   96413     869  479737  4856289  50.37
  1971        25-29     0.00143  0.00713  2.47   95544     681  475997  4376552  45.81
  1971        30-34     0.00143  0.00712  2.60   94862     675  472690  3900555  41.12
  1971        35-39     0.00224  0.01113  2.64   94187    1049  468460  3427865  36.39
  1971        40-44     0.00337  0.01670  2.79   93139    1556  462257  2959406  31.77
  1971        45-49     0.00607  0.02995  2.68   91583    2743  451555  2497148  27.27
  1971        50-54     0.01021  0.04992  2.79   88840    4435  434397  2045593  23.03
  1971        55-59     0.01704  0.08191  2.65   84405    6914  405790  1611196  19.09
  1971        60-64     0.02691  0.12653  2.65   77491    9805  364403  1205405  15.56
  1971        65-69     0.04185  0.18982  2.55   67686   12848  306982   841002  12.43
  1971        70-74     0.06369  0.27499  2.52   54838   15080  236784   534020   9.74
  1971        75-79     0.09867  0.39427  2.45   39758   15675  158867   297236   7.48
  1971        80-84     0.13827  0.51146  2.46   24082   12317   89083   138369   5.75
  1971        85-89     0.21324  0.66688  2.19   11765    7846   36794    49286   4.19
  1971        90-94     0.29349  0.78992  2.08    3919    3096   10549    12493   3.19
  1971        95-99     0.41243  0.88884  1.80     823     732    1774     1944   2.36
  1971       100-104    0.53369  0.94332  1.57      92      86     162      170   1.85
  1971       105-109    0.65191  0.97069  1.38       5       5       8        8   1.53
  1971       110+       0.74155  1.00000  1.35       0       0       0        0   1.35
  1972           0      0.02088  0.02050  0.11  100000    2050   98170  6820241  68.20
