NSW, Life tables (period 5x10), Males	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1979        0      0.01785  0.01757  0.11  100000    1757   98443  6908829  69.09
1971-1979      1-4      0.00079  0.00317  1.66   98243     312  392241  6810387  69.32
1971-1979      5-9      0.00037  0.00185  2.26   97931     181  489160  6418145  65.54
1971-1979     10-14     0.00038  0.00192  2.71   97750     188  488320  5928985  60.65
1971-1979     15-19     0.00139  0.00695  3.02   97562     678  486472  5440665  55.77
1971-1979     20-24     0.00171  0.00853  2.34   96884     827  482227  4954193  51.14
1971-1979     25-29     0.00132  0.00657  2.47   96058     631  478694  4471965  46.55
1971-1979     30-34     0.00135  0.00670  2.58   95427     640  475586  3993271  41.85
1971-1979     35-39     0.00199  0.00989  2.69   94787     937  471769  3517685  37.11
1971-1979     40-44     0.00338  0.01675  2.76   93850    1572  465735  3045916  32.46
1971-1979     45-49     0.00590  0.02909  2.72   92278    2684  455271  2580181  27.96
1971-1979     50-54     0.00951  0.04653  2.72   89594    4168  438457  2124910  23.72
1971-1979     55-59     0.01537  0.07422  2.67   85425    6340  412379  1686452  19.74
1971-1979     60-64     0.02504  0.11830  2.67   79085    9356  373585  1274074  16.11
1971-1979     65-69     0.03818  0.17489  2.60   69730   12195  319400   900489  12.91
1971-1979     70-74     0.05932  0.25929  2.57   57534   14918  251470   581090  10.10
1971-1979     75-79     0.09134  0.37138  2.49   42616   15827  173282   329619   7.73
1971-1979     80-84     0.13666  0.50553  2.43   26790   13543   99097   156338   5.84
1971-1979     85-89     0.20441  0.65322  2.24   13247    8653   42331    57240   4.32
1971-1979     90-94     0.28851  0.78511  2.10    4594    3607   12501    14909   3.25
1971-1979     95-99     0.39815  0.87933  1.83     987     868    2180     2409   2.44
1971-1979    100-104    0.51543  0.93701  1.60     119     112     217      228   1.92
1971-1979    105-109    0.63172  0.96705  1.41       8       7      11       12   1.58
1971-1979    110+       0.72126  1.00000  1.39       0       0       0        0   1.39
1980-1989        0      0.01081  0.01071  0.13  100000    1071   99065  7207375  72.07
1980-1989      1-4      0.00052  0.00209  1.71   98929     207  395241  7108310  71.85
1980-1989      5-9      0.00028  0.00138  2.34   98722     136  493248  6713069  68.00
1980-1989     10-14     0.00029  0.00144  2.67   98586     142  492599  6219821  63.09
1980-1989     15-19     0.00113  0.00564  3.01   98444     555  491116  5727222  58.18
1980-1989     20-24     0.00159  0.00790  2.44   97889     773  487466  5236106  53.49
1980-1989     25-29     0.00139  0.00693  2.44   97116     673  483857  4748640  48.90
1980-1989     30-34     0.00128  0.00637  2.52   96443     614  480696  4264783  44.22
1980-1989     35-39     0.00156  0.00776  2.65   95829     744  477393  3784087  39.49
1980-1989     40-44     0.00233  0.01159  2.71   95085    1102  472896  3306694  34.78
1980-1989     45-49     0.00397  0.01968  2.74   93983    1850  465728  2833798  30.15
1980-1989     50-54     0.00706  0.03474  2.69   92133    3201  453279  2368070  25.70
1980-1989     55-59     0.01187  0.05778  2.71   88932    5139  432884  1914792  21.53
1980-1989     60-64     0.01881  0.09012  2.68   83794    7552  401454  1481908  17.69
1980-1989     65-69     0.03060  0.14262  2.63   76242   10874  355386  1080453  14.17
1980-1989     70-74     0.04896  0.21907  2.60   65368   14320  292487   725068  11.09
1980-1989     75-79     0.07705  0.32395  2.54   51048   16537  214640   432581   8.47
1980-1989     80-84     0.12045  0.46060  2.45   34511   15896  131966   217941   6.32
1980-1989     85-89     0.18656  0.61906  2.28   18615   11524   61769    85975   4.62
1980-1989     90-94     0.27015  0.75697  2.10    7091    5368   19870    24206   3.41
1980-1989     95-99     0.38455  0.87069  1.86    1723    1501    3902     4335   2.52
1980-1989    100-104    0.50793  0.93484  1.62     223     208     410      433   1.94
1980-1989    105-109    0.63115  0.96723  1.41      15      14      22       23   1.58
1980-1989    110+       0.72576  1.00000  1.38       0       0       1        1   1.38
1990-1999        0      0.00692  0.00688  0.14  100000     688   99405  7508511  75.09
1990-1999      1-4      0.00039  0.00156  1.61   99312     155  396876  7409106  74.60
1990-1999      5-9      0.00017  0.00083  2.40   99157      82  495570  7012230  70.72
1990-1999     10-14     0.00019  0.00096  2.77   99075      95  495160  6516660  65.78
1990-1999     15-19     0.00079  0.00396  2.97   98979     392  494102  6021500  60.84
1990-1999     20-24     0.00120  0.00598  2.52   98587     590  491475  5527398  56.07
1990-1999     25-29     0.00133  0.00662  2.52   97997     649  488379  5035923  51.39
1990-1999     30-34     0.00147  0.00731  2.53   97348     712  484987  4547544  46.71
1990-1999     35-39     0.00160  0.00797  2.57   96637     770  481308  4062557  42.04
1990-1999     40-44     0.00205  0.01020  2.61   95866     978  476991  3581250  37.36
1990-1999     45-49     0.00287  0.01424  2.66   94888    1351  471278  3104259  32.71
1990-1999     50-54     0.00459  0.02272  2.69   93537    2125  462775  2632981  28.15
1990-1999     55-59     0.00794  0.03899  2.73   91411    3564  448961  2170206  23.74
1990-1999     60-64     0.01399  0.06775  2.69   87848    5951  425489  1721245  19.59
1990-1999     65-69     0.02305  0.10932  2.65   81896    8953  388438  1295756  15.82
1990-1999     70-74     0.03709  0.17044  2.63   72944   12432  335207   907318  12.44
