NT,  Births (1-year)	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

Year          Female      Male     Total
1911              15        16        31
1912              10        23        33
1913              25        27        52
1914              27        31        58
1915              28        33        61
1916              30        44        74
1917              27        42        69
1918              46        59       105
1919              51        55       106
1920              32        31        63
1921              40        39        79
1922              32        38        70
1923              32        40        72
1924              28        29        57
1925              29        36        65
1926              33        40        73
1927              36        32        68
1928              45        38        83
1929              21        32        53
1930              30        41        71
1931              35        37        72
1932              40        39        79
1933              34        40        74
1934              51        37        88
1935              41        43        84
1936              48        65       113
1937              48        51        99
1938              48        54       102
1939              73        65       138
1940              69       104       173
1941             118        98       216
1942              42        50        92
1943              38        42        80
1944              45        44        89
1945              42        48        90
1946              66        66       132
1947             136       140       276
1948             147       133       280
1949             164       182       346
1950             207       204       411
1951             197       210       407
1952             227       221       448
1953             199       261       460
1954             245       268       513
1955             258       257       515
1956             272       284       556
1957             309       337       646
1958             350       347       697
1959             389       407       796
1960             361       416       777
1961             432       446       878
1962             429       495       924
1963             400       459       859
1964             435       476       911
1965             460       454       914
1966             890       879      1769
1967             912      1009      1921
1968            1034      1050      2084
1969            1104      1170      2274
1970            1296      1328      2624
1971            1354      1478      2832
1972            1329      1478      2807
1973            1412      1495      2907
1974            1395      1460      2855
1975            1079      1196      2275
1976            1296      1392      2688
1977            1236      1365      2601
1978            1287      1413      2700
1979            1392      1456      2848
1980            1262      1340      2602
1981            1503      1606      3109
1982            1458      1456      2914
1983            1570      1557      3127
1984            1562      1629      3191
1985            1627      1688      3315
1986            1604      1711      3315
1987            1710      1819      3529
1988            1636      1803      3439
1989            1639      1740      3379
1990            1759      1798      3557
1991            1800      1799      3599
1992            1829      1913      3742
1993            1719      1884      3603
1994            1808      1818      3626
1995            1806      1960      3766
1996            1701      1861      3562
1997            1776      1812      3588
1998            1728      1913      3641
1999            1753      1823      3576
2000            1823      1862      3685
2001            1825      1997      3822
2002            1805      1919      3724
2003            1802      1988      3790
2004            1750      1801      3551
2005            1770      1890      3660
2006            1841      1855      3696
2007            1876      2020      3896
2008            1936      2008      3944
2009            1829      1991      3820
2010            1873      2026      3899
2011            1915      2039      3954
2012            2026      2078      4104
2013            2028      2025      4053
2014            1954      2072      4026
2015            1895      2109      4004
2016            1894      2033      3927
2017            1901      1981      3882
2018            1965      2085      4050
2019            1774      1884      3658
2020            1793      1959      3752
2021            1861      1923      3784
