NT,  Deaths (Lexis triangle)	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1971    0      1971       62.46       70.22      132.68
 1971    0      1970       21.89       23.03       44.92
 1971    1      1970       11.46        8.79       20.25
 1971    1      1969        7.85        6.26       14.11
 1971    2      1969        3.21        0.54        3.75
 1971    2      1968        2.88        0.47        3.35
 1971    3      1968        0.00        1.05        1.05
 1971    3      1967        0.00        0.96        0.96
 1971    4      1967        0.00        0.00        0.00
 1971    4      1966        0.00        0.00        0.00
 1971    5      1966        1.26        1.87        3.13
 1971    5      1965        0.77        1.14        1.91
 1971    6      1965        0.00        0.00        0.00
 1971    6      1964        0.00        0.00        0.00
 1971    7      1964        0.00        0.00        0.00
 1971    7      1963        0.00        0.00        0.00
 1971    8      1963        0.00        0.00        0.00
 1971    8      1962        0.00        0.00        0.00
 1971    9      1962        0.51        1.06        1.57
 1971    9      1961        0.51        0.94        1.45
 1971   10      1961        0.00        0.00        0.00
 1971   10      1960        0.00        0.00        0.00
 1971   11      1960        0.00        1.01        1.01
 1971   11      1959        0.00        1.00        1.00
 1971   12      1959        0.00        0.00        0.00
 1971   12      1958        0.00        0.00        0.00
 1971   13      1958        0.00        0.00        0.00
 1971   13      1957        0.00        0.00        0.00
 1971   14      1957        0.00        2.12        2.12
 1971   14      1956        0.00        1.89        1.89
 1971   15      1956        1.01        2.04        3.05
 1971   15      1955        1.02        1.97        2.99
 1971   16      1955        0.00        1.94        1.94
 1971   16      1954        0.00        2.07        2.07
 1971   17      1954        1.61        1.99        3.60
 1971   17      1953        1.44        2.03        3.47
 1971   18      1953        0.47        1.04        1.51
 1971   18      1952        0.54        0.96        1.50
 1971   19      1952        0.52        0.50        1.02
 1971   19      1951        0.49        0.50        0.99
 1971   20      1951        1.48        0.52        2.00
 1971   20      1950        1.56        0.48        2.04
 1971   21      1950        2.19        2.13        4.32
 1971   21      1949        1.88        1.88        3.76
 1971   22      1949        0.00        1.13        1.13
 1971   22      1948        0.00        0.87        0.87
 1971   23      1948        2.07        2.52        4.59
 1971   23      1947        1.99        2.49        4.48
 1971   24      1947        1.27        1.92        3.19
 1971   24      1946        0.76        1.09        1.85
 1971   25      1946        1.77        2.86        4.63
 1971   25      1945        1.28        2.15        3.43
 1971   26      1945        1.97        1.07        3.04
 1971   26      1944        2.09        0.94        3.03
 1971   27      1944        0.00        2.10        2.10
 1971   27      1943        0.00        1.91        1.91
 1971   28      1943        0.00        1.95        1.95
 1971   28      1942        0.00        2.06        2.06
 1971   29      1942        0.66        0.40        1.06
 1971   29      1941        1.38        0.60        1.98
 1971   30      1941        1.21        0.50        1.71
 1971   30      1940        0.82        0.50        1.32
 1971   31      1940        0.00        1.78        1.78
 1971   31      1939        0.00        1.23        1.23
 1971   32      1939        2.33        0.54        2.87
 1971   32      1938        1.73        0.46        2.19
 1971   33      1938        1.52        1.04        2.56
 1971   33      1937        1.53        0.96        2.49
 1971   34      1937        1.52        0.94        2.46
 1971   34      1936        1.53        1.07        2.60
 1971   35      1936        0.00        1.15        1.15
 1971   35      1935        0.00        0.86        0.86
 1971   36      1935        0.46        0.53        0.99
 1971   36      1934        0.55        0.47        1.02
 1971   37      1934        2.31        0.98        3.29
 1971   37      1933        1.75        1.03        2.78
 1971   38      1933        0.95        3.04        3.99
 1971   38      1932        1.09        2.97        4.06
 1971   39      1932        0.53        0.51        1.04
 1971   39      1931        0.49        0.49        0.98
 1971   40      1931        0.53        0.96        1.49
 1971   40      1930        0.48        1.05        1.53
 1971   41      1930        2.28        2.16        4.44
 1971   41      1929        1.79        1.85        3.64
 1971   42      1929        0.73        0.00        0.73
 1971   42      1928        1.30        0.00        1.30
 1971   43      1928        0.54        1.06        1.60
 1971   43      1927        0.47        0.95        1.42
 1971   44      1927        0.52        0.46        0.98
 1971   44      1926        0.50        0.54        1.04
 1971   45      1926        2.11        3.08        5.19
 1971   45      1925        1.96        2.94        4.90
 1971   46      1925        2.55        3.72        6.27
 1971   46      1924        2.53        3.29        5.82
 1971   47      1924        0.48        2.19        2.67
 1971   47      1923        0.54        2.82        3.36
 1971   48      1923        1.01        1.01        2.02
 1971   48      1922        1.03        1.00        2.03
 1971   49      1922        1.85        2.45        4.30
 1971   49      1921        2.22        2.56        4.78
 1971   50      1921        2.17        2.67        4.84
 1971   50      1920        1.89        2.34        4.23
 1971   51      1920        2.08        1.59        3.67
 1971   51      1919        3.00        2.42        5.42
 1971   52      1919        1.56        3.38        4.94
 1971   52      1918        1.49        3.64        5.13
 1971   53      1918        1.80        2.77        4.57
 1971   53      1917        1.25        2.25        3.50
 1971   54      1917        1.45        3.41        4.86
 1971   54      1916        1.60        3.61        5.21
 1971   55      1916        0.51        3.27        3.78
 1971   55      1915        0.50        2.75        3.25
 1971   56      1915        3.55        0.51        4.06
 1971   56      1914        3.56        0.50        4.06
 1971   57      1914        1.55        1.04        2.59
 1971   57      1913        1.50        0.97        2.47
 1971   58      1913        0.66        0.52        1.18
 1971   58      1912        0.35        0.48        0.83
 1971   59      1912        0.43        2.23        2.66
 1971   59      1911        0.59        1.78        2.37
 1971   60      1911        1.99        0.49        2.48
 1971   60      1910        2.08        0.51        2.59
 1971   61      1910        5.46        2.96        8.42
 1971   61      1909        5.72        3.06        8.78
 1971   62      1909        0.00        1.48        1.48
 1971   62      1908        0.00        1.53        1.53
 1971   63      1908        1.99        0.49        2.48
 1971   63      1907        2.08        0.51        2.59
 1971   64      1907        1.99        2.47        4.46
 1971   64      1906        2.08        2.55        4.63
 1971   65      1906        1.97        3.93        5.90
 1971   65      1905        2.10        4.09        6.19
 1971   66      1905        1.97        4.91        6.88
 1971   66      1904        2.10        5.11        7.21
 1971   67      1904        0.00        0.98        0.98
 1971   67      1903        0.00        1.02        1.02
 1971   68      1903        1.48        0.49        1.97
 1971   68      1902        1.57        0.51        2.08
 1971   69      1902        0.49        1.47        1.96
 1971   69      1901        0.52        1.53        2.05
 1971   70      1901        2.45        2.94        5.39
 1971   70      1900        2.63        3.08        5.71
 1971   71      1900        1.47        1.47        2.94
 1971   71      1899        1.58        1.54        3.12
 1971   72      1899        1.47        0.98        2.45
 1971   72      1898        1.58        1.03        2.61
 1971   73      1898        0.00        2.45        2.45
 1971   73      1897        0.00        2.57        2.57
 1971   74      1897        0.00        3.91        3.91
 1971   74      1896        0.00        4.11        4.11
 1971   75      1896        2.92        3.89        6.81
 1971   75      1895        3.18        4.13        7.31
 1971   76      1895        0.00        2.92        2.92
 1971   76      1894        0.00        3.10        3.10
 1971   77      1894        0.00        3.89        3.89
 1971   77      1893        0.00        4.13        4.13
 1971   78      1893        0.00        1.95        1.95
 1971   78      1892        0.00        2.06        2.06
 1971   79      1892        1.46        1.46        2.92
 1971   79      1891        1.59        1.55        3.14
 1971   80      1891        1.46        0.00        1.46
 1971   80      1890        1.59        0.00        1.59
 1971   81      1890        0.00        2.44        2.44
 1971   81      1889        0.00        2.58        2.58
 1971   82      1889        1.95        0.00        1.95
 1971   82      1888        2.12        0.00        2.12
 1971   83      1888        1.46        1.46        2.92
 1971   83      1887        1.59        1.55        3.14
 1971   84      1887        0.00        0.00        0.00
 1971   84      1886        0.00        0.00        0.00
 1971   85      1886        0.49        0.00        0.49
 1971   85      1885        0.52        0.00        0.52
 1971   86      1885        1.47        1.97        3.44
 1971   86      1884        1.57        2.04        3.61
 1971   87      1884        0.00        0.00        0.00
 1971   87      1883        0.00        0.00        0.00
 1971   88      1883        0.00        1.48        1.48
 1971   88      1882        0.00        1.53        1.53
 1971   89      1882        1.47        0.00        1.47
 1971   89      1881        1.57        0.00        1.57
 1971   90      1881        1.00        0.50        1.50
 1971   90      1880        1.03        0.50        1.53
 1971   91      1880        0.00        0.50        0.50
 1971   91      1879        0.00        0.50        0.50
 1971   92      1879        0.00        0.00        0.00
 1971   92      1878        0.00        0.00        0.00
