NT, Life expectancy at birth (period, 1x1)	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1971        62.39    60.84    61.45
  1972        66.44    64.11    65.25
  1973        67.90    63.67    65.22
  1974        67.69    61.63    64.21
  1975        65.09    61.57    62.87
  1976        67.43    64.07    65.43
  1977        65.46    58.39    61.14
  1978        70.13    67.78    68.88
  1979        68.17    65.60    66.66
  1980        72.43    68.53    70.29
  1981        68.39    60.11    63.19
  1982        72.38    67.65    69.73
  1983        69.97    65.81    67.33
  1984        72.47    70.45    71.35
  1985        73.50    68.63    70.62
  1986        74.39    68.26    70.64
  1987        73.71    67.76    70.29
  1988        71.97    65.86    68.35
  1989        72.66    67.14    69.59
  1990        74.41    66.74    70.09
  1991        73.92    67.64    70.29
  1992        72.60    68.81    70.48
  1993        74.47    69.03    71.37
  1994        74.21    69.53    71.63
  1995        76.03    69.27    72.17
  1996        77.12    71.51    73.99
  1997        73.73    70.08    71.65
  1998        75.10    72.19    73.04
  1999        75.34    71.89    73.45
  2000        76.55    71.01    73.41
  2001        76.91    71.65    73.91
  2002        77.19    71.29    73.74
  2003        78.35    71.72    74.70
  2004        78.58    71.82    74.83
  2005        77.57    71.65    74.22
  2006        77.74    72.97    75.11
  2007        78.45    72.05    74.86
  2008        77.02    73.37    74.96
  2009        79.20    74.29    76.50
  2010        79.35    73.78    76.24
  2011        79.34    76.01    77.46
  2012        80.25    74.73    77.07
  2013        78.23    74.67    76.28
  2014        78.05    74.93    76.37
  2015        78.95    74.40    76.45
  2016        79.66    76.69    78.08
  2017        80.08    75.95    77.87
  2018        79.07    76.09    77.46
  2019        81.21    75.93    78.32
  2020        80.50    76.91    78.54
