NT, Life expectancy at birth (period, 1x5)	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1971-1974     65.91    62.46    63.94
1975-1979     66.97    63.10    64.70
1980-1984     70.97    66.06    68.19
1985-1989     72.97    67.41    69.84
1990-1994     73.82    68.36    70.76
1995-1999     75.24    70.79    72.77
2000-2004     77.41    71.43    74.11
2005-2009     77.96    72.85    75.13
2010-2014     78.98    74.68    76.62
2015-2016     79.35    75.43    77.24
