NT, Exposure to risk (period 5x5), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1974        0              5247.17         5645.33        10892.50
1971-1974      1-4             20236.08        21476.49        41712.56
1971-1974      5-9             21138.57        22435.12        43573.69
1971-1974     10-14            16544.05        17459.69        34003.74
1971-1974     15-19            14040.97        14786.20        28827.18
1971-1974     20-24            19958.14        23567.27        43525.41
1971-1974     25-29            20805.89        26627.69        47433.58
1971-1974     30-34            14253.36        20573.55        34826.91
1971-1974     35-39            10182.81        14991.21        25174.01
1971-1974     40-44             7952.96        11986.83        19939.79
1971-1974     45-49             6681.11         9995.09        16676.20
1971-1974     50-54             5129.57         7662.29        12791.86
1971-1974     55-59             3558.73         4920.60         8479.33
1971-1974     60-64             2517.74         3206.75         5724.49
1971-1974     65-69             1481.24         2039.55         3520.80
1971-1974     70-74              902.00         1239.47         2141.47
1971-1974     75-79              466.73          569.04         1035.77
1971-1974     80-84              424.26          435.66          859.92
1971-1974     85-89              193.78          153.63          347.41
1971-1974     90-94               59.59           40.91          100.50
1971-1974     95-99               17.46           10.29           27.74
1971-1974    100-104               1.67            4.19            5.86
1971-1974    105-109               0.00            0.00            0.00
1971-1974    110+                  0.00            0.00            0.00
1975-1979        0              6251.10         6838.74        13089.84
1975-1979      1-4             24605.56        27661.68        52267.23
1975-1979      5-9             30384.74        33537.39        63922.13
1975-1979     10-14            24090.66        25640.57        49731.22
1975-1979     15-19            21062.61        22638.17        43700.78
1975-1979     20-24            26369.32        29205.28        55574.60
1975-1979     25-29            29076.36        34121.04        63197.40
1975-1979     30-34            23247.63        30292.64        53540.27
1975-1979     35-39            15985.52        22806.57        38792.08
1975-1979     40-44            11351.31        15723.43        27074.73
1975-1979     45-49             8821.22        13101.70        21922.92
1975-1979     50-54             6877.64        10847.40        17725.03
1975-1979     55-59             5177.67         7382.11        12559.79
1975-1979     60-64             3560.55         4737.27         8297.82
1975-1979     65-69             2268.30         2827.32         5095.62
1975-1979     70-74             1301.31         1545.34         2846.64
1975-1979     75-79              648.70          898.77         1547.47
1975-1979     80-84              620.87          598.52         1219.39
1975-1979     85-89              301.16          297.08          598.25
1975-1979     90-94              104.49           72.91          177.41
1975-1979     95-99               16.52           13.92           30.44
1975-1979    100-104               0.00            0.46            0.46
1975-1979    105-109               0.00            0.00            0.00
1975-1979    110+                  0.00            0.00            0.00
1980-1984        0              7355.65         7567.48        14923.12
1980-1984      1-4             27666.12        29109.20        56775.32
1980-1984      5-9             34058.17        36898.69        70956.86
1980-1984     10-14            32282.66        34225.06        66507.71
1980-1984     15-19            27205.42        28992.90        56198.31
1980-1984     20-24            34303.86        36053.17        70357.02
1980-1984     25-29            35301.92        38676.46        73978.38
1980-1984     30-34            32702.88        37151.53        69854.41
1980-1984     35-39            24680.41        31255.34        55935.76
1980-1984     40-44            16681.50        22730.95        39412.45
1980-1984     45-49            11514.29        15489.41        27003.70
1980-1984     50-54             8582.91        12710.47        21293.37
1980-1984     55-59             6590.77         9624.28        16215.05
1980-1984     60-64             4711.04         5935.05        10646.09
1980-1984     65-69             3134.53         3553.14         6687.67
1980-1984     70-74             1861.05         2178.41         4039.46
1980-1984     75-79              954.88         1040.88         1995.75
1980-1984     80-84              873.33          626.94         1500.26
1980-1984     85-89              381.57          327.60          709.17
1980-1984     90-94              178.88          120.68          299.55
1980-1984     95-99               47.40           28.24           75.64
1980-1984    100-104               0.25            3.05            3.31
1980-1984    105-109               0.00            0.00            0.00
1980-1984    110+                  0.00            0.00            0.00
1985-1989        0              7972.42         8524.44        16496.85
1985-1989      1-4             31490.16        32657.98        64148.14
1985-1989      5-9             36421.19        39017.25        75438.43
1985-1989     10-14            33787.09        37022.11        70809.20
1985-1989     15-19            33523.71        35150.07        68673.78
1985-1989     20-24            38426.33        41025.84        79452.17
1985-1989     25-29            42293.29        45377.47        87670.76
1985-1989     30-34            38113.65        40351.92        78465.58
1985-1989     35-39            33173.37        38700.23        71873.60
1985-1989     40-44            24711.57        31205.30        55916.87
1985-1989     45-49            16699.50        22394.38        39093.88
1985-1989     50-54            11156.16        15371.86        26528.02
1985-1989     55-59             8274.24        11632.10        19906.34
1985-1989     60-64             6377.30         8066.60        14443.90
1985-1989     65-69             4353.66         4728.57         9082.23
1985-1989     70-74             2744.14         2811.30         5555.44
1985-1989     75-79             1581.09         1464.35         3045.44
1985-1989     80-84              940.96          804.33         1745.29
1985-1989     85-89              567.18          375.04          942.22
1985-1989     90-94              191.52          154.18          345.70
1985-1989     95-99               60.94           35.66           96.60
1985-1989    100-104               0.30            1.61            1.91
1985-1989    105-109               0.00            0.00            0.00
1985-1989    110+                  0.00            0.00            0.00
