NT, Death rates (period 1x5), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1974        0             0.041803        0.050645        0.046386
1971-1974        1             0.007209        0.007595        0.007409
1971-1974        2             0.003519        0.002023        0.002749
1971-1974        3             0.002183        0.001704        0.001937
1971-1974        4             0.001230        0.000975        0.001099
1971-1974        5             0.001294        0.002011        0.001665
1971-1974        6             0.000908        0.001495        0.001211
1971-1974        7             0.000000        0.000904        0.000466
1971-1974        8             0.000996        0.000715        0.000852
1971-1974        9             0.000264        0.000737        0.000506
1971-1974       10             0.000000        0.001032        0.000532
1971-1974       11             0.000561        0.001865        0.001230
1971-1974       12             0.000000        0.000288        0.000148
1971-1974       13             0.000972        0.001222        0.001101
1971-1974       14             0.000000        0.002348        0.001199
1971-1974       15             0.001484        0.004650        0.003093
1971-1974       16             0.001119        0.002927        0.002033
1971-1974       17             0.001848        0.004273        0.003081
1971-1974       18             0.001405        0.004940        0.003229
1971-1974       19             0.002619        0.002381        0.002494
1971-1974       20             0.001517        0.002596        0.002097
1971-1974       21             0.001109        0.002794        0.002018
1971-1974       22             0.000000        0.003339        0.001813
1971-1974       23             0.002993        0.001933        0.002418
1971-1974       24             0.003081        0.002966        0.003019
1971-1974       25             0.001541        0.001990        0.001787
1971-1974       26             0.003139        0.001444        0.002200
1971-1974       27             0.001183        0.002933        0.002171
1971-1974       28             0.000254        0.001925        0.001205
1971-1974       29             0.001684        0.002074        0.001908
1971-1974       30             0.001839        0.002434        0.002184
1971-1974       31             0.000982        0.002761        0.002028
1971-1974       32             0.002822        0.002917        0.002878
1971-1974       33             0.001153        0.002296        0.001836
1971-1974       34             0.003328        0.003874        0.003655
1971-1974       35             0.001343        0.003020        0.002347
1971-1974       36             0.005084        0.001265        0.002813
1971-1974       37             0.004856        0.004651        0.004735
1971-1974       38             0.006781        0.003913        0.005075
1971-1974       39             0.007279        0.004926        0.005875
1971-1974       40             0.006724        0.007375        0.007114
1971-1974       41             0.004903        0.006076        0.005608
1971-1974       42             0.005638        0.004542        0.004978
1971-1974       43             0.007044        0.002946        0.004568
1971-1974       44             0.005330        0.006709        0.006156
1971-1974       45             0.008444        0.012338        0.010766
1971-1974       46             0.010813        0.011188        0.011036
1971-1974       47             0.003625        0.015636        0.010797
1971-1974       48             0.007098        0.005691        0.006247
1971-1974       49             0.010906        0.009921        0.010312
1971-1974       50             0.009153        0.010688        0.010083
1971-1974       51             0.009062        0.013241        0.011566
1971-1974       52             0.016654        0.009985        0.012672
1971-1974       53             0.013465        0.018013        0.016190
1971-1974       54             0.015085        0.022372        0.019401
1971-1974       55             0.006490        0.016764        0.012474
1971-1974       56             0.016284        0.010930        0.013197
1971-1974       57             0.023121        0.026073        0.024820
1971-1974       58             0.014549        0.013650        0.014026
1971-1974       59             0.006508        0.024075        0.016807
1971-1974       60             0.022300        0.023395        0.022944
1971-1974       61             0.028015        0.021253        0.024186
1971-1974       62             0.014899        0.018478        0.016863
1971-1974       63             0.028773        0.024940        0.026720
1971-1974       64             0.031979        0.035497        0.033931
1971-1974       65             0.039308        0.045375        0.042771
1971-1974       66             0.050527        0.034687        0.041392
1971-1974       67             0.028969        0.018828        0.023105
1971-1974       68             0.035190        0.032986        0.033910
1971-1974       69             0.059764        0.032256        0.043432
1971-1974       70             0.058145        0.079434        0.070780
1971-1974       71             0.050742        0.065780        0.059648
1971-1974       72             0.065654        0.082538        0.075343
1971-1974       73             0.045458        0.079458        0.065087
1971-1974       74             0.056842        0.118957        0.091058
1971-1974       75             0.073775        0.145132        0.111490
1971-1974       76             0.080587        0.153672        0.120216
1971-1974       77             0.072576        0.150990        0.115964
1971-1974       78             0.076994        0.157748        0.123882
1971-1974       79             0.115440        0.081828        0.096899
1971-1974       80             0.096547        0.066459        0.082074
1971-1974       81             0.047476        0.070477        0.058664
1971-1974       82             0.102757        0.054249        0.077978
1971-1974       83             0.090569        0.145749        0.119891
1971-1974       84             0.060702        0.016311        0.036015
1971-1974       85             0.128324        0.078602        0.100066
1971-1974       86             0.109367        0.179559        0.145433
1971-1974       87             0.073623        0.139036        0.100773
1971-1974       88             0.119928        0.521762        0.246910
1971-1974       89             0.255668        0.201177        0.239428
1971-1974       90             0.241200        0.277617        0.254515
1971-1974       91             0.000000        0.084104        0.037502
1971-1974       92             0.113379        0.500835        0.297501
1971-1974       93             0.311828        0.561798        0.400199
1971-1974       94             0.000000        0.000000        0.000000
1971-1974       95             0.365186        1.097561        0.731039
1971-1974       96             0.000000        0.000000        0.000000
1971-1974       97             0.000000        0.000000        0.000000
1971-1974       98             0.000000        0.572519        0.160342
1971-1974       99             0.000000        0.000000        0.000000
1971-1974      100             1.792829        0.445765        1.021277
1971-1974      101                   .        0.678733        0.678733
1971-1974      102                   .        2.112676        2.112676
1971-1974      103                   .              .              .
1971-1974      104                   .              .              .
1971-1974      105                   .              .              .
1971-1974      106                   .              .              .
1971-1974      107                   .              .              .
1971-1974      108                   .              .              .
1971-1974      109                   .              .              .
1971-1974      110+                  .              .              .
1975-1979        0             0.026475        0.027514        0.027018
1975-1979        1             0.006749        0.004432        0.005527
1975-1979        2             0.001645        0.002327        0.002008
1975-1979        3             0.002119        0.002169        0.002145
1975-1979        4             0.000798        0.001435        0.001134
1975-1979        5             0.001907        0.002150        0.002035
1975-1979        6             0.000799        0.001722        0.001284
