NT, Death rates (period 5x10), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1979        0             0.033470        0.037974        0.035815
1971-1979      1-4             0.003157        0.002821        0.002981
1971-1979      5-9             0.000878        0.001168        0.001029
1971-1979     10-14            0.000691        0.001727        0.001224
1971-1979     15-19            0.001713        0.002820        0.002284
1971-1979     20-24            0.001690        0.002663        0.002208
1971-1979     25-29            0.001508        0.002481        0.002042
1971-1979     30-34            0.002221        0.003240        0.002808
1971-1979     35-39            0.003943        0.004840        0.004473
1971-1979     40-44            0.005662        0.006706        0.006278
1971-1979     45-49            0.007707        0.011305        0.009860
1971-1979     50-54            0.011698        0.015299        0.013882
1971-1979     55-59            0.015382        0.021075        0.018711
1971-1979     60-64            0.021488        0.029359        0.025947
1971-1979     65-69            0.035599        0.036142        0.035906
1971-1979     70-74            0.056038        0.074325        0.066248
1971-1979     75-79            0.107044        0.119034        0.113857
1971-1979     80-84            0.099959        0.091338        0.095671
1971-1979     85-89            0.101325        0.160613        0.129582
1971-1979     90-94            0.195695        0.211380        0.202119
1971-1979     95-99            0.354638        0.196367        0.295317
1971-1979    100-104           1.792829        2.187726        1.878220
1971-1979    105-109                 .              .              .
1971-1979    110+                    .              .              .
1980-1989        0             0.016683        0.018372        0.017548
1980-1989      1-4             0.001626        0.001590        0.001608
1980-1989      5-9             0.000853        0.000699        0.000773
1980-1989     10-14            0.000577        0.001379        0.000993
1980-1989     15-19            0.001191        0.002313        0.001767
1980-1989     20-24            0.001559        0.002926        0.002262
1980-1989     25-29            0.001230        0.002981        0.002141
1980-1989     30-34            0.001842        0.003064        0.002480
1980-1989     35-39            0.001979        0.003368        0.002739
1980-1989     40-44            0.003126        0.004219        0.003744
1980-1989     45-49            0.004549        0.007461        0.006218
1980-1989     50-54            0.006913        0.013065        0.010525
1980-1989     55-59            0.013635        0.019333        0.016989
1980-1989     60-64            0.019354        0.026345        0.023255
1980-1989     65-69            0.029388        0.037647        0.033725
1980-1989     70-74            0.041859        0.053618        0.047974
1980-1989     75-79            0.056921        0.083645        0.070202
1980-1989     80-84            0.070221        0.095209        0.081240
1980-1989     85-89            0.105960        0.116946        0.110634
1980-1989     90-94            0.143684        0.211382        0.172521
1980-1989     95-99            0.335426        0.141005        0.263298
1980-1989    100-104           1.807229        1.714286        1.724138
1980-1989    105-109                 .              .              .
1980-1989    110+                    .              .              .
1990-1999        0             0.013543        0.013364        0.013451
1990-1999      1-4             0.000871        0.000963        0.000918
1990-1999      5-9             0.000527        0.000587        0.000558
1990-1999     10-14            0.000648        0.000689        0.000669
1990-1999     15-19            0.001166        0.001610        0.001398
1990-1999     20-24            0.001209        0.002415        0.001829
1990-1999     25-29            0.001072        0.002823        0.001971
1990-1999     30-34            0.001437        0.002639        0.002059
1990-1999     35-39            0.001633        0.003487        0.002604
1990-1999     40-44            0.002920        0.004488        0.003750
1990-1999     45-49            0.003542        0.005260        0.004477
1990-1999     50-54            0.005231        0.008550        0.007117
1990-1999     55-59            0.008809        0.013137        0.011320
1990-1999     60-64            0.016471        0.022982        0.020163
1990-1999     65-69            0.023053        0.034711        0.029555
1990-1999     70-74            0.035802        0.040497        0.038223
1990-1999     75-79            0.057477        0.081196        0.068704
1990-1999     80-84            0.069823        0.094650        0.080987
1990-1999     85-89            0.098533        0.131529        0.112785
1990-1999     90-94            0.150343        0.181664        0.162568
1990-1999     95-99            0.261324        0.254110        0.258843
1990-1999    100-104           1.015095        1.008161        1.011617
1990-1999    105-109                 .              .              .
1990-1999    110+                    .              .              .
2000-2009        0             0.007755        0.011049        0.009447
2000-2009      1-4             0.000854        0.000837        0.000845
2000-2009      5-9             0.000408        0.000359        0.000383
2000-2009     10-14            0.000543        0.000814        0.000684
2000-2009     15-19            0.001064        0.001615        0.001350
2000-2009     20-24            0.001168        0.002104        0.001659
2000-2009     25-29            0.001330        0.001934        0.001638
2000-2009     30-34            0.001448        0.002937        0.002206
2000-2009     35-39            0.001995        0.003705        0.002879
2000-2009     40-44            0.002665        0.004210        0.003470
2000-2009     45-49            0.003034        0.005519        0.004324
2000-2009     50-54            0.004019        0.006396        0.005275
2000-2009     55-59            0.005893        0.009256        0.007749
2000-2009     60-64            0.007936        0.013503        0.011110
2000-2009     65-69            0.016225        0.023422        0.020312
2000-2009     70-74            0.023639        0.038842        0.031961
2000-2009     75-79            0.039488        0.057157        0.048612
2000-2009     80-84            0.069902        0.097905        0.081985
2000-2009     85-89            0.104299        0.133855        0.115890
2000-2009     90-94            0.160235        0.207848        0.179035
2000-2009     95-99            0.286081        0.360422        0.310929
2000-2009    100-104           0.758140        1.462252        0.962787
2000-2009    105-109                 .              .              .
2000-2009    110+                    .              .              .
2010-2016        0             0.007222        0.007272        0.007248
2010-2016      1-4             0.000638        0.000812        0.000727
2010-2016      5-9             0.000395        0.000377        0.000386
2010-2016     10-14            0.000757        0.000578        0.000665
2010-2016     15-19            0.001069        0.001300        0.001191
2010-2016     20-24            0.000959        0.001750        0.001385
2010-2016     25-29            0.000913        0.001364        0.001148
2010-2016     30-34            0.001170        0.001568        0.001375
2010-2016     35-39            0.001627        0.002381        0.002015
2010-2016     40-44            0.002301        0.003305        0.002821
2010-2016     45-49            0.003312        0.004275        0.003810
2010-2016     50-54            0.004512        0.006765        0.005680
2010-2016     55-59            0.005073        0.008517        0.006862
2010-2016     60-64            0.008378        0.011884        0.010274
