NT, Population size (abridged)	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0              1261.15         1304.58         2565.73
  1971           1              1237.24         1232.54         2469.78
  1971           2              1194.87         1220.44         2415.31
  1971           3              1160.55         1228.33         2388.88
  1971           4              1106.71         1135.12         2241.83
  1971           5               998.07         1056.34         2054.41
  1971           6               955.84         1027.74         1983.58
  1971           7               975.99          992.05         1968.04
  1971           8               923.07          958.99         1882.06
  1971           9               874.83          951.04         1825.87
  1971          10               821.49          892.39         1713.88
  1971          11               739.68          788.95         1528.63
  1971          12               691.22          729.78         1421.00
  1971          13               634.74          664.78         1299.52
  1971          14               584.92          587.30         1172.22
  1971          15               545.42          543.91         1089.33
  1971          16               518.95          563.90         1082.85
  1971          17               546.41          602.08         1148.49
  1971          18               623.66          701.20         1324.86
  1971          19               711.38          817.19         1528.57
  1971          20               823.14          962.50         1785.64
  1971          21               929.59         1100.94         2030.53
  1971          22               999.74         1196.72         2196.46
  1971          23              1007.51         1323.84         2331.35
  1971          24               962.65         1332.93         2295.58
  1971          25               927.59         1296.75         2224.34
  1971          26               898.65         1254.68         2153.33
  1971          27               818.56         1162.70         1981.26
  1971          28               715.45         1102.82         1818.27
  1971          29               705.63         1096.42         1802.05
  1971          30               691.92         1055.30         1747.22
  1971          31               602.99          966.78         1569.77
  1971          32               547.21          874.62         1421.83
  1971          33               540.52          781.19         1321.71
  1971          34               555.01          774.88         1329.89
  1971          35               529.45          756.62         1286.07
  1971          36               443.85          673.42         1117.27
  1971          37               408.46          632.03         1040.49
  1971          38               400.09          603.07         1003.16
  1971          39               418.19          651.45         1069.64
  1971          40               409.80          676.28         1086.08
  1971          41               353.60          610.45          964.05
  1971          42               359.47          580.43          939.90
  1971          43               362.59          551.90          914.49
  1971          44               349.40          541.18          890.58
  1971          45               362.98          546.07          909.05
  1971          46               303.11          493.47          796.58
  1971          47               259.88          426.91          686.79
  1971          48               278.35          409.92          688.27
  1971          49               297.91          446.70          744.61
  1971          50               319.03          458.90          777.93
  1971          51               253.07          356.22          609.29
  1971          52               201.03          274.98          476.01
  1971          53               190.40          252.11          442.51
  1971          54               178.30          244.47          422.77
  1971          55               189.67          260.06          449.73
