NT, Population size (1-year)	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0              1261.15         1304.58         2565.73
  1971         1-4              4699.37         4816.43         9515.80
  1971         5-9              4727.80         4986.16         9713.96
  1971        10-14             3472.05         3663.20         7135.25
  1971        15-19             2945.82         3228.28         6174.10
  1971        20-24             4722.63         5916.93        10639.56
  1971        25-29             4065.88         5913.37         9979.25
  1971        30-34             2937.65         4452.77         7390.42
  1971        35-39             2200.04         3316.59         5516.63
  1971        40-44             1834.86         2960.24         4795.10
  1971        45-49             1502.23         2323.07         3825.30
  1971        50-54             1141.83         1586.68         2728.51
  1971        55-59              724.00         1101.75         1825.75
  1971        60-64              515.42          662.10         1177.52
  1971        65-69              317.89          468.45          786.34
  1971        70-74              236.42          300.58          537.00
  1971        75-79              111.84          165.73          277.57
  1971        80-84               81.20           96.84          178.04
  1971        85-89               51.22           35.06           86.28
  1971        90-94               10.07            9.50           19.57
  1971        95-99                3.98            3.54            7.52
  1971       100-104               0.00            0.46            0.46
  1971       105-109               0.00            0.00            0.00
  1971       110+                  0.00            0.00            0.00
  1972           0              1350.00         1456.00         2806.00
  1972         1-4              4932.00         5142.00        10074.00
  1972         5-9              5159.00         5399.00        10558.00
  1972        10-14             3960.00         4196.00         8156.00
  1972        15-19             3266.00         3485.00         6751.00
  1972        20-24             4937.00         5817.00        10754.00
  1972        25-29             4830.00         6499.00        11329.00
  1972        30-34             3295.00         4974.00         8269.00
  1972        35-39             2436.00         3575.00         6011.00
  1972        40-44             1957.00         3025.00         4982.00
  1972        45-49             1613.00         2460.00         4073.00
  1972        50-54             1270.00         1860.00         3130.00
  1972        55-59              821.00         1179.00         2000.00
  1972        60-64              593.00          764.00         1357.00
  1972        65-69              349.00          491.00          840.00
  1972        70-74              247.00          308.00          555.00
  1972        75-79              123.00          145.00          268.00
  1972        80-84               96.71          101.26          197.97
  1972        85-89               50.53           32.03           82.56
  1972        90-94                8.00           11.61           19.61
  1972        95-99                5.00            4.43            9.43
  1972       100-104               0.00            1.46            1.46
  1972       105-109               0.00            0.00            0.00
  1972       110+                  0.00            0.00            0.00
  1973           0              1407.00         1448.00         2855.00
  1973         1-4              5149.00         5445.00        10594.00
  1973         5-9              5326.00         5682.00        11008.00
  1973        10-14             4238.00         4429.00         8667.00
  1973        15-19             3636.00         3814.00         7450.00
  1973        20-24             5083.00         5922.00        11005.00
  1973        25-29             5427.00         6853.00        12280.00
  1973        30-34             3595.00         5219.00         8814.00
  1973        35-39             2589.00         3761.00         6350.00
  1973        40-44             2005.00         3027.00         5032.00
  1973        45-49             1712.00         2542.00         4254.00
  1973        50-54             1323.00         1965.00         3288.00
  1973        55-59              922.00         1249.00         2171.00
  1973        60-64              655.00          815.00         1470.00
  1973        65-69              377.00          530.00          907.00
  1973        70-74              223.00          310.00          533.00
  1973        75-79              118.00          141.00          259.00
  1973        80-84              109.00          108.90          217.90
  1973        85-89               52.96           38.13           91.09
  1973        90-94               10.64           10.99           21.63
  1973        95-99                5.49            2.55            8.04
  1973       100-104               0.00            2.46            2.46
  1973       105-109               0.00            0.00            0.00
  1973       110+                  0.00            0.00            0.00
  1974           0              1276.00         1447.00         2723.00
  1974         1-4              5441.00         5759.00        11200.00
  1974         5-9              5651.00         5967.00        11618.00
  1974        10-14             4528.00         4728.00         9256.00
  1974        15-19             3917.00         3997.00         7914.00
  1974        20-24             5377.00         6272.00        11649.00
  1974        25-29             6008.00         7176.00        13184.00
  1974        30-34             4087.00         5599.00         9686.00
  1974        35-39             2771.00         4060.00         6831.00
  1974        40-44             2115.00         3074.00         5189.00
  1974        45-49             1799.00         2602.00         4401.00
  1974        50-54             1372.00         2093.00         3465.00
  1974        55-59              985.00         1296.00         2281.00
  1974        60-64              717.00          884.00         1601.00
  1974        65-69              415.00          531.00          946.00
  1974        70-74              219.00          334.00          553.00
  1974        75-79              115.00          128.00          243.00
  1974        80-84              117.06          117.70          234.76
  1974        85-89               46.32           41.49           87.81
  1974        90-94               21.90            8.30           30.20
  1974        95-99                3.24            1.01            4.25
  1974       100-104               1.76            0.00            1.76
  1974       105-109               0.00            0.00            0.00
  1974       110+                  0.00            0.00            0.00
  1975           0              1128.00         1234.00         2362.00
  1975         1-4              4726.00         5442.00        10168.00
  1975         5-9              5277.00         5787.00        11064.00
  1975        10-14             4164.00         4550.00         8714.00
  1975        15-19             3498.00         3752.00         7250.00
  1975        20-24             4399.00         5194.00         9593.00
  1975        25-29             5015.00         6284.00        11299.00
  1975        30-34             3615.00         5110.00         8725.00
  1975        35-39             2573.00         3873.00         6446.00
  1975        40-44             1916.00         2761.00         4677.00
  1975        45-49             1612.00         2459.00         4071.00
  1975        50-54             1188.00         1903.00         3091.00
  1975        55-59              937.00         1290.00         2227.00
  1975        60-64              590.00          825.00         1415.00
  1975        65-69              363.00          507.00          870.00
  1975        70-74              190.00          275.00          465.00
  1975        75-79              110.00          145.00          255.00
  1975        80-84              122.13          119.01          241.14
  1975        85-89               36.91           48.99           85.90
  1975        90-94               28.05           10.50           38.55
  1975        95-99                3.47            1.01            4.48
  1975       100-104               0.00            0.00            0.00
  1975       105-109               0.00            0.00            0.00
  1975       110+                  0.00            0.00            0.00
  1976           0              1111.00         1263.00         2374.00
  1976         1-4              4734.00         5390.00        10124.00
  1976         5-9              5527.00         6232.00        11759.00
  1976        10-14             4438.00         4719.00         9157.00
  1976        15-19             3609.00         3954.00         7563.00
  1976        20-24             4951.00         5508.00        10459.00
  1976        25-29             5466.00         6607.00        12073.00
  1976        30-34             3968.00         5457.00         9425.00
  1976        35-39             2793.00         4083.00         6876.00
  1976        40-44             2051.00         2909.00         4960.00
  1976        45-49             1660.00         2521.00         4181.00
  1976        50-54             1324.00         2040.00         3364.00
  1976        55-59              923.00         1360.00         2283.00
  1976        60-64              684.00          943.00         1627.00
  1976        65-69              436.00          516.00          952.00
  1976        70-74              240.00          315.00          555.00
  1976        75-79              132.00          184.00          316.00
  1976        80-84              117.41          123.57          240.98
  1976        85-89               48.38           52.67          101.05
  1976        90-94               19.06           12.45           31.51
  1976        95-99                1.48            1.01            2.49
  1976       100-104               0.00            0.00            0.00
  1976       105-109               0.00            0.00            0.00
  1976       110+                  0.00            0.00            0.00
  1977           0              1361.00         1463.00         2824.00
  1977         1-4              4762.00         5387.00        10149.00
  1977         5-9              5992.00         6641.00        12633.00
  1977        10-14             4653.00         4985.00         9638.00
  1977        15-19             4043.00         4377.00         8420.00
  1977        20-24             5206.00         5702.00        10908.00
  1977        25-29             5735.00         6681.00        12416.00
  1977        30-34             4400.00         5905.00        10305.00
  1977        35-39             3079.00         4442.00         7521.00
  1977        40-44             2205.00         3006.00         5211.00
  1977        45-49             1694.00         2591.00         4285.00
  1977        50-54             1369.00         2131.00         3500.00
  1977        55-59              990.00         1442.00         2432.00
  1977        60-64              690.00          944.00         1634.00
  1977        65-69              450.00          540.00          990.00
  1977        70-74              264.00          318.00          582.00
  1977        75-79              126.00          180.00          306.00
  1977        80-84              120.23          125.87          246.10
  1977        85-89               63.12           58.65          121.77
  1977        90-94               18.50           12.90           31.40
  1977        95-99                3.00            2.60            5.60
  1977       100-104               0.00            0.44            0.44
  1977       105-109               0.00            0.00            0.00
  1977       110+                  0.00            0.00            0.00
  1978           0              1234.00         1387.00         2621.00
  1978         1-4              5003.00         5631.00        10634.00
  1978         5-9              6380.00         6985.00        13365.00
  1978        10-14             4914.00         5262.00        10176.00
  1978        15-19             4487.00         4887.00         9374.00
  1978        20-24             5469.00         6016.00        11485.00
  1978        25-29             5968.00         6990.00        12958.00
  1978        30-34             4916.00         6348.00        11264.00
  1978        35-39             3288.00         4752.00         8040.00
  1978        40-44             2361.00         3201.00         5562.00
  1978        45-49             1765.00         2667.00         4432.00
  1978        50-54             1410.00         2228.00         3638.00
  1978        55-59             1073.00         1509.00         2582.00
  1978        60-64              728.00          963.00         1691.00
  1978        65-69              471.00          585.00         1056.00
  1978        70-74              278.00          322.00          600.00
  1978        75-79              125.00          174.00          299.00
  1978        80-84              119.59          116.86          236.45
  1978        85-89               69.42           64.15          133.57
  1978        90-94               20.42           13.02           33.44
  1978        95-99                0.13            3.00            3.13
  1978       100-104               0.00            0.00            0.00
  1978       105-109               0.00            0.00            0.00
  1978       110+                  0.00            0.00            0.00
  1979           0              1313.00         1372.00         2685.00
  1979         1-4              5104.00         5709.00        10813.00
  1979         5-9              6520.00         7178.00        13698.00
  1979        10-14             5232.00         5456.00        10688.00
  1979        15-19             4744.00         5060.00         9804.00
  1979        20-24             5533.00         6214.00        11747.00
  1979        25-29             6115.00         7136.00        13251.00
  1979        30-34             5318.00         6597.00        11915.00
  1979        35-39             3565.00         4991.00         8556.00
  1979        40-44             2457.00         3416.00         5873.00
  1979        45-49             1902.00         2740.00         4642.00
  1979        50-54             1434.00         2328.00         3762.00
  1979        55-59             1134.00         1599.00         2733.00
  1979        60-64              766.00          977.00         1743.00
  1979        65-69              484.00          622.00         1106.00
  1979        70-74              275.00          302.00          577.00
  1979        75-79              137.00          193.00          330.00
  1979        80-84              132.63          116.79          249.42
  1979        85-89               68.37           65.82          134.19
  1979        90-94               21.32           17.32           38.64
  1979        95-99                5.90            4.30           10.20
  1979       100-104               0.00            0.00            0.00
  1979       105-109               0.00            0.00            0.00
  1979       110+                  0.00            0.00            0.00
  1980           0              1303.00         1436.00         2739.00
  1980         1-4              5277.00         5646.00        10923.00
  1980         5-9              6654.00         7215.00        13869.00
  1980        10-14             5543.00         5886.00        11429.00
  1980        15-19             4861.00         4968.00         9829.00
  1980        20-24             6021.00         6335.00        12356.00
  1980        25-29             6569.00         7127.00        13696.00
  1980        30-34             5675.00         6859.00        12534.00
  1980        35-39             3947.00         5202.00         9149.00
  1980        40-44             2638.00         3621.00         6259.00
  1980        45-49             1988.00         2706.00         4694.00
  1980        50-54             1493.00         2337.00         3830.00
  1980        55-59             1179.00         1656.00         2835.00
  1980        60-64              794.00          993.00         1787.00
  1980        65-69              492.00          621.00         1113.00
  1980        70-74              299.00          302.00          601.00
  1980        75-79              148.00          191.00          339.00
  1980        80-84              140.41          112.09          252.50
  1980        85-89               66.95           62.59          129.54
  1980        90-94               22.33           23.88           46.21
  1980        95-99                8.48            5.00           13.48
  1980       100-104               0.00            0.00            0.00
  1980       105-109               0.00            0.00            0.00
  1980       110+                  0.00            0.00            0.00
  1981           0              1325.00         1339.00         2664.00
  1981         1-4              5224.00         5533.00        10757.00
  1981         5-9              6703.00         7262.00        13965.00
  1981        10-14             5965.00         6269.00        12234.00
  1981        15-19             4873.00         5109.00         9982.00
  1981        20-24             6379.00         6683.00        13062.00
  1981        25-29             6596.00         7288.00        13884.00
  1981        30-34             6154.00         7084.00        13238.00
  1981        35-39             4142.00         5402.00         9544.00
  1981        40-44             2923.00         4017.00         6940.00
  1981        45-49             2035.00         2783.00         4818.00
  1981        50-54             1630.00         2496.00         4126.00
  1981        55-59             1155.00         1674.00         2829.00
  1981        60-64              867.00         1059.00         1926.00
  1981        65-69              567.00          676.00         1243.00
  1981        70-74              344.00          385.00          729.00
  1981        75-79              187.00          185.00          372.00
  1981        80-84              160.52          110.84          271.36
  1981        85-89               68.22           68.65          136.87
  1981        90-94               31.75           28.55           60.30
  1981        95-99                8.99            6.44           15.43
  1981       100-104               0.00            0.00            0.00
  1981       105-109               0.00            0.00            0.00
  1981       110+                  0.00            0.00            0.00
  1982           0              1530.00         1553.00         3083.00
  1982         1-4              5354.00         5599.00        10953.00
  1982         5-9              6818.00         7347.00        14165.00
  1982        10-14             6410.00         6769.00        13179.00
  1982        15-19             5366.00         5679.00        11045.00
  1982        20-24             6817.00         7169.00        13986.00
  1982        25-29             6861.00         7577.00        14438.00
  1982        30-34             6560.00         7384.00        13944.00
  1982        35-39             4636.00         5991.00        10627.00
  1982        40-44             3225.00         4421.00         7646.00
  1982        45-49             2173.00         2901.00         5074.00
  1982        50-54             1665.00         2537.00         4202.00
  1982        55-59             1270.00         1838.00         3108.00
  1982        60-64              904.00         1142.00         2046.00
  1982        65-69              613.00          704.00         1317.00
  1982        70-74              352.00          436.00          788.00
  1982        75-79              188.00          194.00          382.00
  1982        80-84              177.84          120.72          298.56
  1982        85-89               73.52           65.91          139.43
  1982        90-94               39.95           21.91           61.86
  1982        95-99                7.94            5.93           13.87
  1982       100-104               0.00            2.03            2.03
  1982       105-109               0.00            0.00            0.00
  1982       110+                  0.00            0.00            0.00
  1983           0              1479.00         1582.00         3061.00
  1983         1-4              5587.00         5773.00        11360.00
  1983         5-9              6828.00         7451.00        14279.00
  1983        10-14             6724.00         7089.00        13813.00
  1983        15-19             5581.00         6004.00        11585.00
  1983        20-24             7037.00         7370.00        14407.00
  1983        25-29             7197.00         7821.00        15018.00
  1983        30-34             6668.00         7574.00        14242.00
  1983        35-39             5174.00         6481.00        11655.00
  1983        40-44             3457.00         4756.00         8213.00
  1983        45-49             2361.00         3115.00         5476.00
  1983        50-54             1729.00         2564.00         4293.00
  1983        55-59             1368.00         2008.00         3376.00
  1983        60-64              968.00         1208.00         2176.00
  1983        65-69              641.00          713.00         1354.00
  1983        70-74              395.00          475.00          870.00
  1983        75-79              187.00          207.00          394.00
  1983        80-84              186.73          129.08          315.81
  1983        85-89               80.83           63.08          143.91
  1983        90-94               42.80           22.00           64.80
  1983        95-99                8.37            6.01           14.38
  1983       100-104               0.13            0.00            0.13
  1983       105-109               0.00            0.00            0.00
  1983       110+                  0.00            0.00            0.00
  1984           0              1591.00         1576.00         3167.00
  1984         1-4              5800.00         6183.00        11983.00
  1984         5-9              6877.00         7436.00        14313.00
  1984        10-14             6916.00         7374.00        14290.00
  1984        15-19             5838.00         6361.00        12199.00
  1984        20-24             7328.00         7691.00        15019.00
  1984        25-29             7444.00         8134.00        15578.00
  1984        30-34             6880.00         7773.00        14653.00
  1984        35-39             5679.00         6996.00        12675.00
  1984        40-44             3747.00         5050.00         8797.00
  1984        45-49             2555.00         3434.00         5989.00
  1984        50-54             1850.00         2620.00         4470.00
  1984        55-59             1441.00         2125.00         3566.00
  1984        60-64             1034.00         1311.00         2345.00
