NT, Life tables (period 1x1), Total	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1971           0      0.06577  0.06276  0.27  100000    6276   95422  6144781  61.45
  1971           1      0.01359  0.01350  0.50   93724    1265   93092  6049359  64.54
  1971           2      0.00284  0.00284  0.50   92459     263   92328  5956267  64.42
  1971           3      0.00083  0.00083  0.50   92197      76   92159  5863939  63.60
  1971           4      0.00000  0.00000  0.50   92121       0   92121  5771780  62.65
  1971           5      0.00227  0.00227  0.50   92121     209   92016  5679659  61.65
  1971           6      0.00000  0.00000  0.50   91912       0   91912  5587643  60.79
  1971           7      0.00000  0.00000  0.50   91912       0   91912  5495731  59.79
  1971           8      0.00000  0.00000  0.50   91912       0   91912  5403820  58.79
  1971           9      0.00159  0.00159  0.50   91912     146   91839  5311908  57.79
  1971          10      0.00000  0.00000  0.50   91766       0   91766  5220070  56.88
  1971          11      0.00119  0.00119  0.50   91766     109   91711  5128304  55.88
  1971          12      0.00000  0.00000  0.50   91657       0   91657  5036592  54.95
  1971          13      0.00000  0.00000  0.50   91657       0   91657  4944936  53.95
  1971          14      0.00311  0.00310  0.50   91657     284   91515  4853279  52.95
  1971          15      0.00497  0.00496  0.50   91373     453   91146  4761764  52.11
  1971          16      0.00339  0.00339  0.50   90919     308   90766  4670618  51.37
  1971          17      0.00584  0.00582  0.50   90612     527   90348  4579853  50.54
  1971          18      0.00225  0.00224  0.50   90084     202   89983  4489505  49.84
  1971          19      0.00133  0.00133  0.50   89882     119   89822  4399522  48.95
  1971          20      0.00230  0.00229  0.50   89763     206   89660  4309699  48.01
  1971          21      0.00407  0.00406  0.50   89557     363   89375  4220039  47.12
  1971          22      0.00090  0.00090  0.50   89193      81   89153  4130664  46.31
  1971          23      0.00389  0.00388  0.50   89113     346   88940  4041511  45.35
  1971          24      0.00209  0.00209  0.50   88767     186   88674  3952571  44.53
  1971          25      0.00338  0.00337  0.50   88581     298   88432  3863897  43.62
  1971          26      0.00267  0.00267  0.50   88283     235   88165  3775464  42.77
  1971          27      0.00188  0.00188  0.50   88047     165   87965  3687299  41.88
  1971          28      0.00201  0.00201  0.50   87882     177   87794  3599334  40.96
  1971          29      0.00163  0.00163  0.50   87706     143   87634  3511540  40.04
  1971          30      0.00169  0.00169  0.50   87563     148   87489  3423906  39.10
  1971          31      0.00174  0.00174  0.50   87415     152   87339  3336417  38.17
  1971          32      0.00327  0.00327  0.50   87263     285   87120  3249078  37.23
  1971          33      0.00359  0.00358  0.50   86978     311   86822  3161958  36.35
  1971          34      0.00373  0.00373  0.50   86666     323   86505  3075136  35.48
  1971          35      0.00155  0.00155  0.50   86343     134   86277  2988631  34.61
  1971          36      0.00159  0.00159  0.50   86210     137   86141  2902355  33.67
  1971          37      0.00545  0.00544  0.50   86073     468   85839  2816213  32.72
  1971          38      0.00783  0.00780  0.50   85605     667   85271  2730374  31.90
  1971          39      0.00191  0.00190  0.50   84937     162   84856  2645103  31.14
  1971          40      0.00295  0.00295  0.50   84776     250   84651  2560247  30.20
  1971          41      0.00750  0.00747  0.50   84526     631   84210  2475596  29.29
  1971          42      0.00211  0.00211  0.50   83894     177   83806  2391386  28.50
  1971          43      0.00329  0.00329  0.50   83718     275   83580  2307580  27.56
  1971          44      0.00222  0.00222  0.50   83442     185   83350  2224000  26.65
  1971          45      0.01123  0.01117  0.50   83257     930   82792  2140651  25.71
  1971          46      0.01408  0.01399  0.50   82327    1151   81752  2057858  25.00
  1971          47      0.00770  0.00767  0.50   81176     623   80864  1976107  24.34
  1971          48      0.00594  0.00592  0.50   80553     477   80315  1895243  23.53
  1971          49      0.01249  0.01241  0.50   80076     994   79579  1814928  22.67
  1971          50      0.01253  0.01245  0.50   79082     984   78590  1735349  21.94
  1971          51      0.01287  0.01279  0.50   78098     999   77599  1656759  21.21
  1971          52      0.01704  0.01690  0.50   77099    1303   76448  1579160  20.48
  1971          53      0.01753  0.01737  0.50   75797    1317   75138  1502712  19.83
  1971          54      0.02251  0.02226  0.50   74480    1658   73651  1427573  19.17
  1971          55      0.01618  0.01605  0.50   72822    1169   72237  1353923  18.59
  1971          56      0.01859  0.01842  0.50   71653    1320   70993  1281685  17.89
  1971          57      0.01299  0.01290  0.50   70333     907   69880  1210692  17.21
  1971          58      0.00609  0.00607  0.50   69426     422   69215  1140813  16.43
  1971          59      0.01561  0.01549  0.50   69004    1069   68470  1071598  15.53
  1971          60      0.01568  0.01556  0.50   67935    1057   67407  1003128  14.77
  1971          61      0.05764  0.05603  0.50   66878    3747   65005   935721  13.99
  1971          62      0.01211  0.01203  0.50   63131     760   62751   870716  13.79
  1971          63      0.02630  0.02596  0.50   62371    1619   61562   807965  12.95
  1971          64      0.04454  0.04357  0.50   60752    2647   59429   746403  12.29
  1971          65      0.06086  0.05906  0.50   58105    3432   56389   686975  11.82
  1971          66      0.06761  0.06540  0.50   54673    3576   52885   630585  11.53
  1971          67      0.01237  0.01229  0.50   51098     628   50783   577700  11.31
  1971          68      0.03233  0.03182  0.50   50469    1606   49666   526917  10.44
  1971          69      0.03368  0.03313  0.50   48863    1619   48054   477250   9.77
  1971          70      0.07798  0.07505  0.50   47245    3546   45472   429196   9.08
  1971          71      0.04166  0.04081  0.50   43699    1783   42807   383724   8.78
  1971          72      0.04000  0.03922  0.50   41916    1644   41094   340917   8.13
  1971          73      0.07731  0.07443  0.50   40272    2997   38773   299823   7.44
  1971          74      0.12043  0.11359  0.50   37274    4234   35157   261050   7.00
  1971          75      0.20706  0.18764  0.50   33040    6200   29941   225893   6.84
  1971          76      0.09416  0.08992  0.50   26841    2414   25634   195952   7.30
  1971          77      0.12532  0.11793  0.50   24427    2881   22987   170318   6.97
  1971          78      0.09687  0.09239  0.50   21546    1991   20551   147331   6.84
  1971          79      0.17285  0.15910  0.50   19556    3111   18000   126780   6.48
  1971          80      0.09602  0.09162  0.50   16444    1507   15691   108780   6.62
  1971          81      0.10515  0.09990  0.50   14938    1492   14191    93089   6.23
  1971          82      0.11504  0.10879  0.50   13445    1463   12714    78898   5.87
  1971          83      0.12573  0.11830  0.50   11983    1417   11274    66184   5.52
  1971          84      0.13726  0.12845  0.50   10565    1357    9887    54910   5.20
  1971          85      0.14966  0.13924  0.50    9208    1282    8567    45023   4.89
  1971          86      0.16298  0.15070  0.50    7926    1194    7329    36456   4.60
  1971          87      0.17723  0.16280  0.50    6732    1096    6184    29128   4.33
  1971          88      0.19244  0.17555  0.50    5636     989    5141    22944   4.07
  1971          89      0.20862  0.18892  0.50    4646     878    4207    17803   3.83
  1971          90      0.22579  0.20288  0.50    3769     765    3386    13596   3.61
  1971          91      0.24393  0.21741  0.50    3004     653    2677    10209   3.40
  1971          92      0.26304  0.23246  0.50    2351     546    2078     7532   3.20
  1971          93      0.28308  0.24798  0.50    1804     447    1581     5454   3.02
  1971          94      0.30402  0.26390  0.50    1357     358    1178     3874   2.85
  1971          95      0.32580  0.28016  0.50     999     280     859     2696   2.70
  1971          96      0.34836  0.29669  0.50     719     213     612     1837   2.55
  1971          97      0.37163  0.31340  0.50     506     158     426     1225   2.42
  1971          98      0.39550  0.33021  0.50     347     115     290      798   2.30
  1971          99      0.41989  0.34703  0.50     233      81     192      508   2.19
  1971         100      0.44467  0.36379  0.50     152      55     124      316   2.08
  1971         101      0.46973  0.38039  0.50      97      37      78      192   1.99
  1971         102      0.49495  0.39676  0.50      60      24      48      114   1.90
  1971         103      0.52019  0.41282  0.50      36      15      29       66   1.82
  1971         104      0.54533  0.42850  0.50      21       9      17       37   1.74
  1971         105      0.57024  0.44373  0.50      12       5       9       20   1.68
  1971         106      0.59480  0.45846  0.50       7       3       5       11   1.62
  1971         107      0.61890  0.47264  0.50       4       2       3        6   1.56
  1971         108      0.64242  0.48624  0.50       2       1       1        3   1.52
  1971         109      0.66528  0.49922  0.50       1       0       1        1   1.48
  1971         110+     0.68739  1.00000  1.45       0       0       1        1   1.45
  1972           0      0.04118  0.03984  0.18  100000    3984   96741  6488543  64.89
  1972           1      0.00593  0.00591  0.50   96016     568   95732  6391803  66.57
  1972           2      0.00459  0.00458  0.50   95448     437   95230  6296071  65.96
