NT, Life tables (period 1x5), Total	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1974        0      0.04639  0.04473  0.20  100000    4473   96423  6394389  63.94
1971-1974        1      0.00741  0.00738  0.50   95527     705   95175  6297966  65.93
1971-1974        2      0.00275  0.00275  0.50   94822     260   94692  6202791  65.41
1971-1974        3      0.00194  0.00193  0.50   94562     183   94470  6108099  64.59
1971-1974        4      0.00110  0.00110  0.50   94379     104   94327  6013629  63.72
1971-1974        5      0.00166  0.00166  0.50   94275     157   94197  5919302  62.79
1971-1974        6      0.00121  0.00121  0.50   94119     114   94062  5825105  61.89
1971-1974        7      0.00047  0.00047  0.50   94005      44   93983  5731043  60.97
1971-1974        8      0.00085  0.00085  0.50   93961      80   93921  5637060  59.99
1971-1974        9      0.00051  0.00051  0.50   93881      48   93857  5543140  59.04
1971-1974       10      0.00053  0.00053  0.50   93833      50   93808  5449283  58.07
1971-1974       11      0.00123  0.00123  0.50   93783     115   93726  5355474  57.10
1971-1974       12      0.00015  0.00015  0.50   93668      14   93661  5261749  56.17
1971-1974       13      0.00110  0.00110  0.50   93654     103   93603  5168087  55.18
1971-1974       14      0.00120  0.00120  0.50   93551     112   93495  5074485  54.24
1971-1974       15      0.00309  0.00309  0.50   93439     289   93295  4980989  53.31
1971-1974       16      0.00203  0.00203  0.50   93151     189   93056  4887695  52.47
1971-1974       17      0.00308  0.00308  0.50   92961     286   92818  4794639  51.58
1971-1974       18      0.00323  0.00322  0.50   92675     299   92526  4701820  50.73
1971-1974       19      0.00249  0.00249  0.50   92377     230   92262  4609294  49.90
1971-1974       20      0.00210  0.00209  0.50   92147     193   92050  4517032  49.02
1971-1974       21      0.00202  0.00202  0.50   91954     185   91861  4424982  48.12
1971-1974       22      0.00181  0.00181  0.50   91768     166   91685  4333121  47.22
1971-1974       23      0.00242  0.00241  0.50   91602     221   91491  4241436  46.30
1971-1974       24      0.00302  0.00301  0.50   91381     275   91243  4149945  45.41
1971-1974       25      0.00179  0.00179  0.50   91105     163   91024  4058702  44.55
1971-1974       26      0.00220  0.00220  0.50   90943     200   90843  3967678  43.63
1971-1974       27      0.00217  0.00217  0.50   90743     197   90644  3876835  42.72
1971-1974       28      0.00121  0.00120  0.50   90546     109   90492  3786191  41.82
1971-1974       29      0.00191  0.00191  0.50   90437     172   90351  3695699  40.86
1971-1974       30      0.00218  0.00218  0.50   90265     197   90166  3605348  39.94
1971-1974       31      0.00203  0.00203  0.50   90068     182   89976  3515182  39.03
1971-1974       32      0.00288  0.00287  0.50   89885     258   89756  3425206  38.11
1971-1974       33      0.00184  0.00183  0.50   89627     164   89545  3335450  37.21
1971-1974       34      0.00366  0.00365  0.50   89462     326   89299  3245905  36.28
1971-1974       35      0.00235  0.00234  0.50   89136     209   89032  3156606  35.41
1971-1974       36      0.00281  0.00281  0.50   88927     250   88802  3067574  34.50
1971-1974       37      0.00473  0.00472  0.50   88677     419   88468  2978772  33.59
1971-1974       38      0.00508  0.00506  0.50   88258     447   88035  2890304  32.75
1971-1974       39      0.00588  0.00586  0.50   87812     514   87554  2802269  31.91
1971-1974       40      0.00711  0.00709  0.50   87297     619   86988  2714715  31.10
1971-1974       41      0.00561  0.00559  0.50   86678     485   86436  2627727  30.32
1971-1974       42      0.00498  0.00497  0.50   86194     428   85980  2541291  29.48
1971-1974       43      0.00457  0.00456  0.50   85766     391   85570  2455311  28.63
1971-1974       44      0.00616  0.00614  0.50   85375     524   85113  2369741  27.76
1971-1974       45      0.01077  0.01071  0.50   84851     909   84397  2284628  26.93
1971-1974       46      0.01104  0.01098  0.50   83942     921   83482  2200232  26.21
1971-1974       47      0.01080  0.01074  0.50   83021     892   82575  2116750  25.50
1971-1974       48      0.00625  0.00623  0.50   82129     511   81874  2034175  24.77
1971-1974       49      0.01031  0.01026  0.50   81618     837   81199  1952302  23.92
1971-1974       50      0.01008  0.01003  0.50   80781     810   80375  1871102  23.16
1971-1974       51      0.01157  0.01150  0.50   79970     920   79510  1790727  22.39
1971-1974       52      0.01267  0.01259  0.50   79051     995   78553  1711217  21.65
1971-1974       53      0.01619  0.01606  0.50   78055    1254   77428  1632664  20.92
1971-1974       54      0.01940  0.01921  0.50   76802    1476   76064  1555235  20.25
1971-1974       55      0.01247  0.01240  0.50   75326     934   74859  1479172  19.64
1971-1974       56      0.01320  0.01311  0.50   74392     975   73904  1404313  18.88
1971-1974       57      0.02482  0.02452  0.50   73417    1800   72517  1330408  18.12
1971-1974       58      0.01403  0.01393  0.50   71617     998   71118  1257892  17.56
1971-1974       59      0.01681  0.01667  0.50   70619    1177   70031  1186773  16.81
1971-1974       60      0.02294  0.02268  0.50   69442    1575   68655  1116743  16.08
1971-1974       61      0.02419  0.02390  0.50   67867    1622   67056  1048088  15.44
1971-1974       62      0.01686  0.01672  0.50   66245    1108   65691   981032  14.81
1971-1974       63      0.02672  0.02637  0.50   65138    1718   64279   915340  14.05
1971-1974       64      0.03393  0.03337  0.50   63420    2116   62362   851061  13.42
1971-1974       65      0.04277  0.04188  0.50   61304    2567   60020   788699  12.87
1971-1974       66      0.04139  0.04055  0.50   58737    2382   57546   728679  12.41
1971-1974       67      0.02310  0.02284  0.50   56355    1287   55711   671133  11.91
1971-1974       68      0.03391  0.03334  0.50   55068    1836   54150   615422  11.18
1971-1974       69      0.04343  0.04251  0.50   53231    2263   52100   561272  10.54
1971-1974       70      0.07078  0.06836  0.50   50969    3484   49227   509172   9.99
1971-1974       71      0.05965  0.05792  0.50   47484    2750   46109   459946   9.69
1971-1974       72      0.07534  0.07261  0.50   44734    3248   43110   413836   9.25
1971-1974       73      0.06509  0.06304  0.50   41486    2615   40179   370726   8.94
1971-1974       74      0.09106  0.08709  0.50   38871    3385   37178   330548   8.50
1971-1974       75      0.11149  0.10560  0.50   35486    3747   33612   293369   8.27
1971-1974       76      0.12022  0.11340  0.50   31738    3599   29939   259758   8.18
1971-1974       77      0.11596  0.10961  0.50   28139    3084   26597   229819   8.17
1971-1974       78      0.12388  0.11666  0.50   25055    2923   23593   203222   8.11
1971-1974       79      0.09690  0.09242  0.50   22132    2045   21109   179628   8.12
1971-1974       80      0.06550  0.06343  0.50   20087    1274   19450   158519   7.89
1971-1974       81      0.07340  0.07080  0.50   18813    1332   18147   139070   7.39
1971-1974       82      0.08221  0.07896  0.50   17481    1380   16790   120923   6.92
1971-1974       83      0.09202  0.08797  0.50   16100    1416   15392   104133   6.47
1971-1974       84      0.10290  0.09786  0.50   14684    1437   13965    88740   6.04
1971-1974       85      0.11489  0.10865  0.50   13247    1439   12527    74775   5.64
1971-1974       86      0.12805  0.12034  0.50   11808    1421   11097    62248   5.27
1971-1974       87      0.14238  0.13292  0.50   10387    1381    9696    51151   4.92
1971-1974       88      0.15788  0.14633  0.50    9006    1318    8347    41454   4.60
1971-1974       89      0.17452  0.16051  0.50    7688    1234    7071    33107   4.31
1971-1974       90      0.19219  0.17534  0.50    6454    1132    5888    26036   4.03
1971-1974       91      0.21080  0.19070  0.50    5322    1015    4815    20148   3.79
1971-1974       92      0.23016  0.20641  0.50    4307     889    3863    15333   3.56
1971-1974       93      0.25010  0.22230  0.50    3418     760    3038    11470   3.36
1971-1974       94      0.27037  0.23817  0.50    2658     633    2342     8431   3.17
1971-1974       95      0.29074  0.25384  0.50    2025     514    1768     6089   3.01
1971-1974       96      0.31097  0.26913  0.50    1511     407    1308     4321   2.86
1971-1974       97      0.33083  0.28388  0.50    1104     314     948     3013   2.73
1971-1974       98      0.35013  0.29797  0.50     791     236     673     2066   2.61
1971-1974       99      0.36871  0.31131  0.50     555     173     469     1392   2.51
1971-1974      100      0.38646  0.32388  0.50     382     124     320      924   2.42
1971-1974      101      0.40336  0.33566  0.50     259      87     215      603   2.33
1971-1974      102      0.41940  0.34669  0.50     172      60     142      388   2.26
1971-1974      103      0.43463  0.35704  0.50     112      40      92      246   2.19
1971-1974      104      0.44915  0.36678  0.50      72      26      59      154   2.13
1971-1974      105      0.46308  0.37602  0.50      46      17      37       95   2.08
1971-1974      106      0.47655  0.38485  0.50      29      11      23       58   2.03
1971-1974      107      0.48968  0.39337  0.50      18       7      14       35   1.98
1971-1974      108      0.50262  0.40167  0.50      11       4       9       21   1.94
1971-1974      109      0.51547  0.40984  0.50       6       3       5       12   1.91
1971-1974      110+     0.52834  1.00000  1.89       4       4       7        7   1.89
1975-1979        0      0.02702  0.02640  0.13  100000    2640   97710  6470353  64.70
1975-1979        1      0.00553  0.00551  0.50   97360     537   97092  6372643  65.45
1975-1979        2      0.00201  0.00201  0.50   96823     194   96726  6275551  64.81
1975-1979        3      0.00215  0.00214  0.50   96629     207   96526  6178824  63.94
1975-1979        4      0.00113  0.00113  0.50   96422     109   96368  6082299  63.08
1975-1979        5      0.00203  0.00203  0.50   96313     196   96215  5985931  62.15
1975-1979        6      0.00128  0.00128  0.50   96117     123   96055  5889716  61.28
1975-1979        7      0.00085  0.00085  0.50   95994      82   95953  5793661  60.35
1975-1979        8      0.00048  0.00048  0.50   95912      46   95889  5697708  59.41
1975-1979        9      0.00060  0.00060  0.50   95866      58   95837  5601819  58.43
1975-1979       10      0.00064  0.00064  0.50   95808      62   95777  5505982  57.47
1975-1979       11      0.00135  0.00135  0.50   95746     130   95682  5410205  56.51
1975-1979       12      0.00152  0.00152  0.50   95617     146   95544  5314523  55.58
1975-1979       13      0.00182  0.00181  0.50   95471     173   95385  5218979  54.67
1975-1979       14      0.00234  0.00233  0.50   95298     222   95187  5123594  53.76
1975-1979       15      0.00126  0.00126  0.50   95076     119   95016  5028408  52.89
1975-1979       16      0.00082  0.00082  0.50   94956      77   94918  4933391  51.95
1975-1979       17      0.00201  0.00201  0.50   94879     191   94783  4838474  51.00
1975-1979       18      0.00266  0.00266  0.50   94688     252   94562  4743690  50.10
1975-1979       19      0.00296  0.00296  0.50   94436     279   94297  4649128  49.23
1975-1979       20      0.00216  0.00216  0.50   94157     203   94055  4554832  48.37
1975-1979       21      0.00124  0.00124  0.50   93954     116   93896  4460776  47.48
1975-1979       22      0.00260  0.00259  0.50   93838     243   93716  4366881  46.54
1975-1979       23      0.00273  0.00272  0.50   93594     255   93467  4273165  45.66
1975-1979       24      0.00188  0.00188  0.50   93339     175   93252  4179698  44.78
1975-1979       25      0.00222  0.00222  0.50   93164     207   93061  4086446  43.86
1975-1979       26      0.00182  0.00182  0.50   92957     169   92873  3993385  42.96
1975-1979       27      0.00198  0.00197  0.50   92789     183   92697  3900512  42.04
1975-1979       28      0.00277  0.00277  0.50   92605     257   92477  3807815  41.12
1975-1979       29      0.00209  0.00209  0.50   92349     193   92252  3715338  40.23
1975-1979       30      0.00300  0.00299  0.50   92156     276   92018  3623086  39.31
1975-1979       31      0.00175  0.00175  0.50   91880     161   91799  3531068  38.43
1975-1979       32      0.00346  0.00345  0.50   91719     316   91561  3439268  37.50
1975-1979       33      0.00334  0.00333  0.50   91402     305   91250  3347708  36.63
1975-1979       34      0.00377  0.00377  0.50   91098     343   90926  3256458  35.75
1975-1979       35      0.00504  0.00502  0.50   90755     456   90527  3165531  34.88
1975-1979       36      0.00439  0.00438  0.50   90299     395   90101  3075005  34.05
1975-1979       37      0.00402  0.00401  0.50   89903     361   89723  2984904  33.20
1975-1979       38      0.00374  0.00373  0.50   89542     334   89376  2895181  32.33
1975-1979       39      0.00667  0.00665  0.50   89209     593   88912  2805805  31.45
