NT, Exposure to risk (cohort 5x1), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1900           0                    .               .               .
  1900         1-4                    .               .               .
  1900         5-9                    .               .               .
  1900        10-14                   .               .               .
  1900        15-19                   .               .               .
  1900        20-24                   .               .               .
  1900        25-29                   .               .               .
  1900        30-34                   .               .               .
  1900        35-39                   .               .               .
  1900        40-44                   .               .               .
  1900        45-49                   .               .               .
  1900        50-54                   .               .               .
  1900        55-59                   .               .               .
  1900        60-64                   .               .               .
  1900        65-69                   .               .               .
  1900        70-74                   .               .               .
  1900        75-79              210.81          322.86          533.67
  1900        80-84              225.96          154.53          380.49
  1900        85-89              147.32           99.05          246.37
  1900        90-94               87.82           49.50          137.32
  1900        95-99               40.25            4.01           44.26
  1900       100-104               1.89            0.00            1.89
  1900       105-109               0.00            0.00            0.00
  1900       110+                  0.00            0.00            0.00
  1901           0                    .               .               .
  1901         1-4                    .               .               .
  1901         5-9                    .               .               .
  1901        10-14                   .               .               .
  1901        15-19                   .               .               .
  1901        20-24                   .               .               .
  1901        25-29                   .               .               .
  1901        30-34                   .               .               .
  1901        35-39                   .               .               .
  1901        40-44                   .               .               .
  1901        45-49                   .               .               .
  1901        50-54                   .               .               .
  1901        55-59                   .               .               .
  1901        60-64                   .               .               .
  1901        65-69                   .               .               .
  1901        70-74              147.07          207.19          354.26
  1901        75-79              118.73          134.07          252.80
  1901        80-84              220.09          159.33          379.41
  1901        85-89              144.36           95.53          239.89
  1901        90-94               75.68           56.72          132.40
  1901        95-99               37.84           12.71           50.56
  1901       100-104               2.51            1.28            3.79
  1901       105-109               0.00            0.00            0.00
  1901       110+                  0.00            0.00            0.00
  1902           0                    .               .               .
  1902         1-4                    .               .               .
  1902         5-9                    .               .               .
  1902        10-14                   .               .               .
  1902        15-19                   .               .               .
  1902        20-24                   .               .               .
  1902        25-29                   .               .               .
  1902        30-34                   .               .               .
  1902        35-39                   .               .               .
  1902        40-44                   .               .               .
  1902        45-49                   .               .               .
  1902        50-54                   .               .               .
  1902        55-59                   .               .               .
  1902        60-64                   .               .               .
  1902        65-69                   .               .               .
  1902        70-74              139.10          194.91          334.01
  1902        75-79              109.78          147.29          257.07
  1902        80-84              171.14          133.93          305.07
  1902        85-89              115.46           82.94          198.40
  1902        90-94               63.89           43.46          107.35
  1902        95-99               21.52            9.86           31.38
  1902       100-104               1.36            0.23            1.58
  1902       105-109               0.00            0.00            0.00
  1902       110+                  0.00            0.00            0.00
  1903           0                    .               .               .
  1903         1-4                    .               .               .
  1903         5-9                    .               .               .
  1903        10-14                   .               .               .
  1903        15-19                   .               .               .
  1903        20-24                   .               .               .
  1903        25-29                   .               .               .
  1903        30-34                   .               .               .
  1903        35-39                   .               .               .
  1903        40-44                   .               .               .
  1903        45-49                   .               .               .
  1903        50-54                   .               .               .
  1903        55-59                   .               .               .
  1903        60-64                   .               .               .
  1903        65-69                   .               .               .
  1903        70-74              202.28          305.56          507.84
  1903        75-79              123.59          154.64          278.23
  1903        80-84              136.54          129.12          265.67
  1903        85-89               93.69           82.39          176.08
