NT, Life tables (period 5x1), Females	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1971           0      0.06427  0.06149  0.30  100000    6149   95672  6238772  62.39
  1971         1-4      0.00515  0.02024  0.74   93851    1900  369209  6143101  65.46
  1971         5-9      0.00060  0.00298  1.97   91951     274  458924  5773892  62.79
  1971        10-14     0.00000  0.00000  2.50   91677       0  458385  5314968  57.97
  1971        15-19     0.00233  0.01158  2.30   91677    1062  455515  4856583  52.97
  1971        20-24     0.00280  0.01390  2.19   90615    1260  449535  4401068  48.57
  1971        25-29     0.00199  0.00989  2.01   89355     884  444137  3951533  44.22
  1971        30-34     0.00409  0.02030  3.02   88471    1796  438804  3507397  39.64
  1971        35-39     0.00370  0.01838  2.92   86676    1593  430070  3068593  35.40
  1971        40-44     0.00473  0.02333  2.21   85082    1985  419882  2638523  31.01
  1971        45-49     0.01029  0.05011  2.43   83097    4164  404803  2218641  26.70
  1971        50-54     0.01519  0.07315  2.50   78933    5774  380237  1813838  22.98
  1971        55-59     0.01616  0.07724  2.15   73159    5651  349716  1433601  19.60
  1971        60-64     0.04136  0.18688  2.43   67508   12616  305055  1083885  16.06
  1971        65-69     0.03603  0.16371  2.21   54892    8987  249401   778830  14.19
  1971        70-74     0.03866  0.16913  1.31   45906    7764  200850   529429  11.53
  1971        75-79     0.07781  0.32058  2.26   38142   12227  157151   328579   8.61
  1971        80-84     0.11350  0.44004  2.45   25914   11403  100474   171428   6.62
  1971        85-89     0.17308  0.59072  2.31   14511    8572   49527    70955   4.89
  1971        90-94     0.25409  0.73493  2.13    5939    4365   17178    21427   3.61
  1971        95-99     0.35588  0.84794  1.91    1574    1335    3751     4249   2.70
  1971       100-104    0.47240  0.92018  1.68     239     220     466      498   2.08
  1971       105-109    0.59255  0.95911  1.47      19      18      31       32   1.68
  1971       110+       0.68729  1.00000  1.45       1       1       1        1   1.45
  1972           0      0.03543  0.03444  0.18  100000    3444   97191  6644265  66.44
  1972         1-4      0.00474  0.01874  1.69   96556    1810  382041  6547074  67.81
  1972         5-9      0.00017  0.00086  0.50   94746      82  473365  6165033  65.07
  1972        10-14     0.00000  0.00000  2.50   94665       0  473324  5691668  60.12
  1972        15-19     0.00198  0.00985  3.47   94665     932  471893  5218344  55.12
  1972        20-24     0.00147  0.00735  3.46   93733     689  467600  4746451  50.64
  1972        25-29     0.00143  0.00712  3.11   93043     662  463963  4278851  45.99
  1972        30-34     0.00154  0.00769  3.42   92381     710  460785  3814888  41.30
  1972        35-39     0.00585  0.02896  3.20   91671    2654  453578  3354102  36.59
  1972        40-44     0.00506  0.02506  2.96   89017    2231  440537  2900524  32.58
  1972        45-49     0.00792  0.03883  2.57   86786    3370  425724  2459987  28.35
  1972        50-54     0.01278  0.06251  3.28   83416    5214  408085  2034264  24.39
  1972        55-59     0.01507  0.07303  2.88   78201    5711  378870  1626179  20.79
  1972        60-64     0.02346  0.11114  2.64   72490    8056  343409  1247309  17.21
  1972        65-69     0.05361  0.23672  2.53   64434   15253  284512   903900  14.03
  1972        70-74     0.06296  0.25623  1.37   49181   12602  200142   619387  12.59
  1972        75-79     0.07809  0.32769  2.55   36579   11987  153497   419246  11.46
  1972        80-84     0.09190  0.36864  2.32   24592    9066   98651   265749  10.81
  1972        85-89     0.09231  0.36994  2.32   15526    5744   62226   167097  10.76
  1972        90-94     0.09272  0.37124  2.32    9783    3632   39169   104872  10.72
  1972        95-99     0.09313  0.37254  2.32    6151    2291   24605    65703  10.68
  1972       100-104    0.09355  0.37384  2.32    3860    1443   15424    41098  10.65
  1972       105-109    0.09396  0.37514  2.31    2417     907    9649    25674  10.62
  1972       110+       0.09423  1.00000 10.61    1510    1510   16026    16026  10.61
  1973           0      0.03343  0.03254  0.18  100000    3254   97320  6790289  67.90
  1973         1-4      0.00317  0.01258  1.41   96746    1217  383830  6692969  69.18
  1973         5-9      0.00196  0.00974  2.03   95530     931  474880  6309139  66.04
  1973        10-14     0.00043  0.00213  1.50   94599     201  472290  5834259  61.67
  1973        15-19     0.00181  0.00900  3.31   94398     850  470548  5361969  56.80
  1973        20-24     0.00141  0.00705  3.48   93548     659  466734  4891421  52.29
  1973        25-29     0.00184  0.00916  1.85   92888     851  461761  4424687  47.63
  1973        30-34     0.00050  0.00250  1.50   92037     230  459380  3962925  43.06
  1973        35-39     0.00576  0.02847  3.12   91807    2614  454129  3503545  38.16
  1973        40-44     0.00703  0.03448  2.27   89193    3075  437573  3049417  34.19
  1973        45-49     0.00712  0.03481  1.86   86118    2998  421186  2611844  30.33
