NT, Life tables (period 5x10), Males	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1979        0      0.03797  0.03679  0.15  100000    3679   96881  6277765  62.78
1971-1979      1-4      0.00282  0.01119  1.37   96321    1078  382452  6180884  64.17
1971-1979      5-9      0.00114  0.00566  1.76   95243     539  474473  5798433  60.88
1971-1979     10-14     0.00177  0.00884  2.98   94704     837  471832  5323960  56.22
1971-1979     15-19     0.00280  0.01392  2.72   93867    1306  466359  4852128  51.69
1971-1979     20-24     0.00263  0.01309  2.62   92561    1212  459924  4385768  47.38
1971-1979     25-29     0.00248  0.01234  2.63   91349    1127  454071  3925844  42.98
1971-1979     30-34     0.00327  0.01622  2.66   90222    1463  447684  3471774  38.48
1971-1979     35-39     0.00488  0.02414  2.65   88758    2143  438755  3024089  34.07
1971-1979     40-44     0.00676  0.03328  2.68   86616    2882  426383  2585334  29.85
1971-1979     45-49     0.01129  0.05487  2.44   83733    4594  406897  2158951  25.78
1971-1979     50-54     0.01556  0.07517  2.77   79139    5949  382449  1752054  22.14
1971-1979     55-59     0.02116  0.10056  2.53   73190    7360  347764  1369606  18.71
1971-1979     60-64     0.02960  0.13802  2.56   65830    9086  306987  1021842  15.52
1971-1979     65-69     0.03624  0.16622  2.51   56745    9432  260230   714854  12.60
1971-1979     70-74     0.07485  0.31663  2.57   47313   14981  200155   454625   9.61
1971-1979     75-79     0.11855  0.44746  2.26   32332   14467  122040   254469   7.87
1971-1979     80-84     0.09718  0.39017  2.47   17865    6970   71723   132429   7.41
1971-1979     85-89     0.14642  0.52826  2.36   10894    5755   39304    60706   5.57
1971-1979     90-94     0.21405  0.67038  2.21    5139    3445   16096    21401   4.16
1971-1979     95-99     0.30113  0.79393  2.02    1694    1345    4466     5306   3.13
1971-1979    100-104    0.40488  0.88327  1.81     349     308     762      839   2.40
1971-1979    105-109    0.51800  0.93758  1.60      41      38      74       78   1.91
1971-1979    110+       0.61069  1.00000  1.64       3       3       4        4   1.64
1980-1989        0      0.01837  0.01808  0.11  100000    1808   98396  6679217  66.79
1980-1989      1-4      0.00159  0.00632  1.56   98192     620  391255  6580821  67.02
1980-1989      5-9      0.00070  0.00350  2.62   97572     341  487047  6189565  63.44
1980-1989     10-14     0.00137  0.00684  2.33   97231     665  484379  5702518  58.65
1980-1989     15-19     0.00231  0.01149  3.03   96566    1110  480642  5218139  54.04
1980-1989     20-24     0.00294  0.01459  2.42   95456    1393  473684  4737497  49.63
1980-1989     25-29     0.00298  0.01481  2.62   94063    1393  466995  4263813  45.33
1980-1989     30-34     0.00307  0.01523  2.63   92670    1411  460000  3796818  40.97
1980-1989     35-39     0.00338  0.01679  2.66   91259    1532  452712  3336819  36.56
1980-1989     40-44     0.00426  0.02107  2.62   89727    1891  444128  2884107  32.14
1980-1989     45-49     0.00749  0.03680  2.55   87836    3232  431277  2439979  27.78
1980-1989     50-54     0.01311  0.06349  2.55   84604    5371  409858  2008702  23.74
1980-1989     55-59     0.01938  0.09243  2.52   79233    7324  377971  1598844  20.18
1980-1989     60-64     0.02654  0.12460  2.55   71909    8960  337558  1220873  16.98
1980-1989     65-69     0.03820  0.17533  2.66   62949   11037  288967   883315  14.03
1980-1989     70-74     0.05414  0.23895  2.55   51912   12405  229113   594349  11.45
1980-1989     75-79     0.08423  0.34599  2.42   39507   13669  162285   365235   9.24
1980-1989     80-84     0.09434  0.38021  2.45   25838    9824  104131   202950   7.85
1980-1989     85-89     0.13212  0.49006  2.37   16014    7848   59402    98818   6.17
1980-1989     90-94     0.18169  0.60636  2.26    8166    4952   27254    39416   4.83
