QLD,  Births (1-year)	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

Year          Female      Male     Total
1911            8281      8703     16984
1912            9162      9576     18738
1913            9690     10041     19731
1914            9762     10120     19882
1915            9719     10444     20163
1916            9239      9673     18912
1917            9729     10058     19787
1918            9456     10080     19536
1919            8953      9746     18699
1920            9719     10537     20256
1921            9691     10638     20329
1922            9724     10263     19987
1923            9819     10163     19982
1924            9658     10050     19708
1925            9967     10316     20283
1926            9632     10132     19764
1927            9636     10197     19833
1928            9569     10214     19783
1929            9002      9484     18486
1930            9206      9733     18939
1931            8658      9175     17833
1932            8447      8920     17367
1933            8363      8787     17150
1934            8529      8831     17360
1935            8623      9065     17688
1936            9124      9631     18755
1937            9340      9822     19162
1938            9163      9829     18992
1939           10008     10340     20348
1940            9929     10483     20412
1941           10441     11078     21519
1942           10288     10878     21166
1943           11434     11800     23234
1944           11962     12558     24520
1945           12994     13719     26713
1946           13136     13888     27024
1947           13760     14598     28358
1948           13476     14382     27858
1949           13507     14241     27748
1950           14148     14880     29028
1951           14445     15207     29652
1952           15038     15915     30953
1953           14940     15842     30782
1954           15296     15880     31176
1955           15651     16701     32352
1956           15707     16702     32409
1957           16434     17329     33763
1958           16429     17443     33872
1959           17304     18295     35599
1960           17049     18164     35213
1961           17774     18863     36637
1962           17336     18354     35690
1963           17618     18316     35934
1964           16982     17990     34972
1965           16301     17250     33551
1966           16028     16875     32903
1967           16838     17854     34692
1968           17314     17876     35190
1969           17835     18741     36576
1970           18206     19324     37530
1971           19605     20365     39970
1972           19013     20012     39025
1973           18270     19630     37900
1974           18207     19563     37770
1975           17713     18615     36328
1976           17264     18004     35268
1977           16942     18034     34976
1978           16726     17804     34530
1979           17070     18150     35220
1980           16924     18077     35001
1981           18799     20136     38935
1982           19642     20957     40599
1983           20352     21733     42085
1984           19606     20840     40446
1985           19594     20843     40437
1986           19589     20782     40371
1987           19072     20293     39365
1988           19741     20820     40561
1989           20643     21428     42071
1990           21786     23082     44868
1991           21596     22564     44160
1992           22640     23600     46240
1993           22723     24055     46778
1994           22430     24148     46578
1995           22621     23863     46484
1996           23236     24533     47769
1997           22941     24024     46965
1998           23004     24042     47046
1999           22584     23919     46503
2000           22987     24291     47278
2001           23301     24377     47678
2002           23317     24454     47771
2003           23495     24847     48342
2004           24354     25586     49940
2005           24979     26728     51707
2006           25553     27142     52695
2007           29614     31692     61306
2008           30559     32609     63168
2009           32063     34086     66149
2010           31492     33031     64523
2011           31016     32237     63253
2012           30961     32876     63837
2013           30595     32759     63354
2014           30774     32292     63066
2015           29895     31850     61745
2016           30346     31495     61841
2017           29438     31720     61158
2018           30046     31885     61931
2019           29942     31793     61735
2020           28970     30520     59490
2021           31276     32835     64111
