QLD, Deaths (period 1x1), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0               338.00          420.00          758.00
  1971           1                27.00           23.00           50.00
  1971           2                16.00           21.00           37.00
  1971           3                19.00           13.00           32.00
  1971           4                 2.00           15.00           17.00
  1971           5                 3.00            6.00            9.00
  1971           6                 9.00           13.00           22.00
  1971           7                 3.00           13.00           16.00
  1971           8                 2.00            7.00            9.00
  1971           9                 1.00            7.00            8.00
  1971          10                 3.00            7.00           10.00
  1971          11                 3.00            9.00           12.00
  1971          12                 3.00            7.00           10.00
  1971          13                 3.00           10.00           13.00
  1971          14                 3.00           20.00           23.00
  1971          15                11.00           15.00           26.00
  1971          16                14.00           32.00           46.00
  1971          17                10.00           28.00           38.00
  1971          18                15.00           33.00           48.00
  1971          19                11.00           53.00           64.00
  1971          20                15.00           43.00           58.00
  1971          21                17.00           32.00           49.00
  1971          22                 6.00           34.00           40.00
  1971          23                 9.00           23.00           32.00
  1971          24                16.00           30.00           46.00
  1971          25                 9.00           26.00           35.00
  1971          26                12.00           16.00           28.00
  1971          27                 7.00           25.00           32.00
  1971          28                12.00           25.00           37.00
  1971          29                17.00           18.00           35.00
  1971          30                 8.00           24.00           32.00
  1971          31                12.00           24.00           36.00
  1971          32                12.00           21.00           33.00
  1971          33                10.00           19.00           29.00
  1971          34                18.00           18.00           36.00
  1971          35                14.00           26.00           40.00
  1971          36                11.00           21.00           32.00
  1971          37                13.00           28.00           41.00
  1971          38                14.00           24.00           38.00
  1971          39                17.00           39.00           56.00
  1971          40                25.00           32.00           57.00
  1971          41                30.00           36.00           66.00
  1971          42                25.00           43.00           68.00
  1971          43                29.00           54.00           83.00
  1971          44                28.00           61.00           89.00
  1971          45                41.00           51.00           92.00
  1971          46                39.00           65.00          104.00
  1971          47                38.00           57.00           95.00
  1971          48                54.00           77.00          131.00
  1971          49                38.00           82.00          120.00
  1971          50                53.00           87.00          140.00
  1971          51                50.00          104.00          154.00
  1971          52                64.00          106.00          170.00
  1971          53                42.00           90.00          132.00
  1971          54                76.00          115.00          191.00
  1971          55                60.00          153.00          213.00
  1971          56                86.00          131.00          217.00
  1971          57                69.00          137.00          206.00
  1971          58                77.00          157.00          234.00
  1971          59                87.00          171.00          258.00
  1971          60               104.00          167.00          271.00
  1971          61               105.00          185.00          290.00
  1971          62                95.00          201.00          296.00
  1971          63                87.00          194.00          281.00
  1971          64                88.00          229.00          317.00
  1971          65               103.00          220.00          323.00
  1971          66                93.00          215.00          308.00
  1971          67               121.00          210.00          331.00
  1971          68               119.00          203.00          322.00
  1971          69               138.00          224.00          362.00
  1971          70               129.00          245.00          374.00
  1971          71               164.00          250.00          414.00
  1971          72               143.00          230.00          373.00
  1971          73               175.00          244.00          419.00
  1971          74               161.00          229.00          390.00
  1971          75               198.00          240.00          438.00
  1971          76               185.00          219.00          404.00
  1971          77               195.00          254.00          449.00
  1971          78               224.00          224.00          448.00
  1971          79               225.00          211.00          436.00
  1971          80               207.00          224.00          431.00
  1971          81               216.00          207.00          423.00
  1971          82               219.00          224.00          443.00
  1971          83               200.00          185.00          385.00
