QLD, Deaths (period 5x10), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1979        0              2190.09         2870.13         5060.22
1971-1979      1-4               520.01          652.06         1172.07
1971-1979      5-9               276.00          345.03          621.03
1971-1979     10-14              217.00          396.00          613.00
1971-1979     15-19              524.03         1542.08         2066.11
1971-1979     20-24              476.04         1596.07         2072.11
1971-1979     25-29              412.03         1136.03         1548.06
1971-1979     30-34              507.05         1065.05         1572.10
1971-1979     35-39              694.01         1262.06         1956.07
1971-1979     40-44             1039.05         1903.10         2942.15
1971-1979     45-49             1790.07         3138.12         4928.19
1971-1979     50-54             2495.12         4821.23         7316.35
1971-1979     55-59             3396.17         6673.31        10069.48
1971-1979     60-64             4587.22         9105.43        13692.65
1971-1979     65-69             5584.27        10902.49        16486.76
1971-1979     70-74             7118.34        11496.53        18614.87
1971-1979     75-79             9192.42        10736.45        19928.87
1971-1979     80-84            10164.48         8608.40        18772.88
1971-1979     85-89             7789.35         5485.28        13274.63
1971-1979     90-94             3636.19         1975.11         5611.30
1971-1979     95-99              993.04          386.01         1379.05
1971-1979    100-104             137.98           37.01          174.99
1971-1979    105-109               2.05            0.00            2.05
1971-1979    110+                  0.00            0.00            0.00
1980-1989        0              1672.13         2146.03         3818.16
1980-1989      1-4               394.03          526.00          920.03
1980-1989      5-9               190.03          280.01          470.04
1980-1989     10-14              219.03          370.00          589.03
1980-1989     15-19              439.04         1414.02         1853.06
1980-1989     20-24              571.05         1731.01         2302.06
1980-1989     25-29              550.05         1463.03         2013.08
1980-1989     30-34              604.05         1420.03         2024.08
1980-1989     35-39              785.08         1591.03         2376.11
1980-1989     40-44             1056.08         2019.02         3075.10
1980-1989     45-49             1472.13         2680.03         4152.16
1980-1989     50-54             2233.18         4224.03         6457.21
1980-1989     55-59             3323.27         6833.08        10156.35
1980-1989     60-64             4863.41         9870.11        14733.52
1980-1989     65-69             6825.58        12800.12        19625.70
