QLD, Life expectancy at birth (period, 1x1)	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1971        74.78    67.98    71.19
  1972        75.12    68.17    71.44
  1973        75.36    68.25    71.60
  1974        75.01    67.81    71.19
  1975        76.42    68.98    72.49
  1976        76.22    69.08    72.44
  1977        77.20    69.78    73.30
  1978        77.35    70.14    73.58
  1979        78.00    70.86    74.27
  1980        78.46    71.30    74.72
  1981        78.60    71.29    74.78
  1982        78.56    71.00    74.59
  1983        79.27    72.16    75.59
  1984        79.19    72.68    75.84
  1985        78.89    72.17    75.41
  1986        79.62    73.11    76.28
  1987        79.49    73.03    76.16
  1988        80.02    73.42    76.62
  1989        79.47    73.24    76.26
  1990        80.36    74.15    77.19
  1991        80.84    74.63    77.68
  1992        80.33    74.50    77.36
  1993        81.19    75.10    78.09
  1994        80.84    74.72    77.71
  1995        81.31    75.72    78.49
  1996        81.12    75.10    78.05
  1997        81.68    75.69    78.63
  1998        81.80    75.89    78.80
  1999        81.88    76.39    79.10
  2000        82.37    77.06    79.69
  2001        82.56    77.05    79.78
  2002        82.32    77.38    79.83
  2003        83.06    77.85    80.43
  2004        83.02    77.84    80.41
  2005        83.51    78.88    81.20
  2006        83.73    78.79    81.24
  2007        83.39    78.75    81.06
  2008        83.37    78.58    80.94
  2009        83.89    79.16    81.51
  2010        83.76    79.17    81.45
  2011        84.17    79.64    81.88
  2012        84.04    79.81    81.91
  2013        84.47    80.18    82.32
  2014        84.56    80.42    82.48
  2015        84.43    80.28    82.35
  2016        84.90    80.47    82.67
  2017        84.54    80.37    82.44
  2018        85.26    80.74    82.98
  2019        85.07    81.04    83.04
  2020        85.61    81.24    83.41
