QLD, Exposure to risk (period 5x5), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1974        0             74625.31        78042.04       152667.35
1971-1974      1-4            302017.84       314297.93       616315.77
1971-1974      5-9            360888.94       379660.25       740549.19
1971-1974     10-14           377669.74       396976.85       774646.58
1971-1974     15-19           345817.93       356690.36       702508.28
1971-1974     20-24           316694.96       332474.26       649169.21
1971-1974     25-29           289584.75       306959.52       596544.27
1971-1974     30-34           236112.69       250320.47       486433.16
1971-1974     35-39           211160.68       222114.24       433274.93
1971-1974     40-44           208051.63       220119.12       428170.75
1971-1974     45-49           213476.23       225020.74       438496.96
1971-1974     50-54           203254.46       208197.46       411451.92
1971-1974     55-59           184396.01       180783.97       365179.98
1971-1974     60-64           163240.37       157637.60       320877.97
1971-1974     65-69           129584.93       122667.92       252252.86
1971-1974     70-74           104446.72        86875.76       191322.47
1971-1974     75-79            75041.24        51655.65       126696.89
1971-1974     80-84            47912.32        29940.72        77853.04
1971-1974     85-89            21380.22        12000.41        33380.63
1971-1974     90-94             6372.35         2808.37         9180.72
1971-1974     95-99             1068.98          379.96         1448.94
1971-1974    100-104              92.89           26.91          119.80
1971-1974    105-109               0.26            0.00            0.26
1971-1974    110+                  0.00            0.00            0.00
1975-1979        0             86154.90        90530.14       176685.04
1975-1979      1-4            371965.69       387342.07       759307.76
1975-1979      5-9            501599.27       523762.73      1025362.00
1975-1979     10-14           481437.69       503874.22       985311.92
1975-1979     15-19           488941.44       508447.32       997388.76
1975-1979     20-24           444057.02       464926.00       908983.02
1975-1979     25-29           425245.43       444521.21       869766.64
1975-1979     30-34           382969.82       401426.22       784396.05
1975-1979     35-39           313114.52       329506.62       642621.13
1975-1979     40-44           271915.76       286963.40       558879.15
1975-1979     45-49           268254.88       283264.13       551519.01
1975-1979     50-54           271661.44       283937.67       555599.11
1975-1979     55-59           255178.98       251991.98       507170.95
1975-1979     60-64           231318.25       215840.36       447158.60
1975-1979     65-69           193529.87       177954.84       371484.71
1975-1979     70-74           144871.70       123846.80       268718.49
1975-1979     75-79           107021.58        76289.14       183310.72
1975-1979     80-84            67761.92        38050.38       105812.30
1975-1979     85-89            32909.81        16680.53        49590.34
1975-1979     90-94            10627.50         4603.44        15230.94
1975-1979     95-99             1984.64          599.58         2584.22
1975-1979    100-104             164.05           26.44          190.49
1975-1979    105-109               0.66            0.00            0.66
1975-1979    110+                  0.00            0.00            0.00
1980-1984        0             95662.80       101844.60       197507.40
1980-1984      1-4            375324.28       397495.70       772819.98
1980-1984      5-9            501696.68       526204.24      1027900.91
1980-1984     10-14           548986.53       573105.29      1122091.82
1980-1984     15-19           519281.07       536304.02      1055585.10
1980-1984     20-24           526075.28       549718.64      1075793.92
1980-1984     25-29           487021.98       509896.24       996918.22
1980-1984     30-34           473379.84       489724.87       963104.70
1980-1984     35-39           424253.59       443995.39       868248.98
1980-1984     40-44           334979.66       356728.08       691707.74
1980-1984     45-49           283267.92       301460.88       584728.80
1980-1984     50-54           279264.42       291266.95       570531.37
1980-1984     55-59           279160.71       285141.54       564302.25
1980-1984     60-64           262072.02       249227.99       511300.00
1980-1984     65-69           226216.78       203052.94       429269.72
1980-1984     70-74           181267.61       151027.58       332295.18
1980-1984     75-79           124098.02        92016.90       216114.92
1980-1984     80-84            80540.92        46216.69       126757.61
1980-1984     85-89            40595.01        18507.11        59102.12
1980-1984     90-94            14627.63         5645.76        20273.39
1980-1984     95-99             3000.37          969.68         3970.05
1980-1984    100-104             302.69           54.28          356.97
1980-1984    105-109               4.67            0.00            4.67
1980-1984    110+                  0.00            0.00            0.00
1985-1989        0             99067.32       104687.97       203755.29
1985-1989      1-4            405699.27       429212.83       834912.10
1985-1989      5-9            507444.55       540337.25      1047781.80
1985-1989     10-14           542936.75       571682.26      1114619.01
1985-1989     15-19           582145.20       604389.07      1186534.27
1985-1989     20-24           545245.25       564795.92      1110041.17
1985-1989     25-29           560335.62       572599.35      1132934.97
1985-1989     30-34           527673.94       534568.08      1062242.02
1985-1989     35-39           516569.35       525676.77      1042246.11
1985-1989     40-44           458043.01       480442.64       938485.65
1985-1989     45-49           353718.43       379767.59       733486.02
1985-1989     50-54           297219.87       314774.50       611994.37
1985-1989     55-59           287609.12       296925.74       584534.87
1985-1989     60-64           288624.18       286137.66       574761.84
1985-1989     65-69           257869.98       238537.74       496407.72
1985-1989     70-74           212072.39       176565.58       388637.97
1985-1989     75-79           156669.82       116460.31       273130.13
1985-1989     80-84            96014.88        58552.85       154567.73
1985-1989     85-89            49942.64        22879.68        72822.32
1985-1989     90-94            18733.15         6252.82        24985.97
1985-1989     95-99             4290.39         1207.85         5498.24
1985-1989    100-104             503.94           97.63          601.56
1985-1989    105-109              16.24            0.05           16.28
1985-1989    110+                  0.00            0.00            0.00
1990-1994        0            111780.85       117996.46       229777.30
1990-1994      1-4            441835.61       465238.62       907074.24
1990-1994      5-9            557372.92       591249.29      1148622.21
1990-1994     10-14           560070.53       596216.51      1156287.04
1990-1994     15-19           589803.85       615976.54      1205780.39
1990-1994     20-24           623557.51       640141.50      1263699.01
1990-1994     25-29           590020.54       595999.45      1186019.99
1990-1994     30-34           619142.28       615750.53      1234892.82
1990-1994     35-39           585413.15       584558.30      1169971.45
1990-1994     40-44           562791.16       576391.63      1139182.79
1990-1994     45-49           485840.27       511207.77       997048.04
1990-1994     50-54           372900.93       398563.74       771464.68
1990-1994     55-59           309805.01       324018.35       633823.36
1990-1994     60-64           298152.32       300664.66       598816.99
1990-1994     65-69           285697.21       273725.06       559422.27
1990-1994     70-74           243615.49       210435.49       454050.98
1990-1994     75-79           185028.51       137586.75       322615.26
1990-1994     80-84           123611.07        74981.11       198592.18
1990-1994     85-89            62107.56        30168.97        92276.53
1990-1994     90-94            23482.17         8108.07        31590.24
1990-1994     95-99             5626.80         1237.23         6864.03
1990-1994    100-104             717.20          110.19          827.39
1990-1994    105-109              32.81            0.14           32.95
1990-1994    110+                  0.00            0.00            0.00
1995-1999        0            115215.61       121378.28       236593.89
1995-1999      1-4            471564.24       497991.39       969555.63
1995-1999      5-9            601484.60       633210.80      1234695.40
1995-1999     10-14           601535.07       636877.83      1238412.90
1995-1999     15-19           596487.57       624226.52      1220714.09
1995-1999     20-24           623931.87       637274.90      1261206.77
1995-1999     25-29           655709.54       659731.91      1315441.45
1995-1999     30-34           641245.93       632572.52      1273818.45
1995-1999     35-39           669572.90       659769.25      1329342.16
1995-1999     40-44           626622.90       624636.51      1251259.40
1995-1999     45-49           588657.01       602626.49      1191283.50
1995-1999     50-54           502141.07       527627.51      1029768.58
1995-1999     55-59           382399.63       405591.65       787991.28
1995-1999     60-64           315307.09       326616.52       641923.61
1995-1999     65-69           293469.83       288907.82       582377.65
1995-1999     70-74           271050.84       244188.02       515238.87
1995-1999     75-79           216776.96       169692.89       386469.85
1995-1999     80-84           152380.43        93757.40       246137.82
1995-1999     85-89            82030.85        40553.10       122583.96
1995-1999     90-94            29996.84        11526.68        41523.52
1995-1999     95-99             7035.80         1820.86         8856.66
1995-1999    100-104             891.10          125.94         1017.04
1995-1999    105-109              41.15            0.10           41.25
1995-1999    110+                  0.00            0.00            0.00
2000-2004        0            119233.42       125951.15       245184.57
2000-2004      1-4            484916.76       511855.36       996772.12
2000-2004      5-9            637673.81       672660.61      1310334.41
2000-2004     10-14           650907.51       685833.42      1336740.93
2000-2004     15-19           642576.62       667943.96      1310520.59
2000-2004     20-24           633494.52       650074.43      1283568.95
2000-2004     25-29           642737.59       640677.56      1283415.15
2000-2004     30-34           698738.23       683723.62      1382461.85
2000-2004     35-39           693162.64       672781.98      1365944.62
2000-2004     40-44           713960.51       696257.19      1410217.70
2000-2004     45-49           655648.47       646730.00      1302378.48
2000-2004     50-54           612850.40       619382.15      1232232.55
2000-2004     55-59           519846.54       541022.18      1060868.73
2000-2004     60-64           396071.11       413503.72       809574.83
2000-2004     65-69           317545.61       322554.28       640099.89
2000-2004     70-74           282162.91       267723.34       549886.25
2000-2004     75-79           246938.55       205855.91       452794.46
2000-2004     80-84           180440.16       118987.54       299427.70
2000-2004     85-89           103404.86        52727.82       156132.68
2000-2004     90-94            40375.65        15884.93        56260.58
2000-2004     95-99             8961.79         2639.84        11601.63
2000-2004    100-104            1061.30          206.10         1267.40
2000-2004    105-109              42.66            0.92           43.58
2000-2004    110+                  0.00            0.00            0.00
2005-2009        0            141621.20       150729.50       292350.70
2005-2009      1-4            540392.27       572074.06      1112466.33
2005-2009      5-9            672730.41       708315.01      1381045.42
2005-2009     10-14           699987.96       735990.65      1435978.61
2005-2009     15-19           704937.36       736878.07      1441815.43
2005-2009     20-24           738133.95       760150.10      1498284.05
2005-2009     25-29           713030.51       731892.98      1444923.49
2005-2009     30-34           725347.02       719306.93      1444653.95
2005-2009     35-39           778275.76       766711.64      1544987.40
2005-2009     40-44           755530.71       739209.58      1494740.29
2005-2009     45-49           755906.48       738899.10      1494805.57
2005-2009     50-54           683449.28       676180.56      1359629.85
2005-2009     55-59           625527.08       631793.93      1257321.01
2005-2009     60-64           529450.41       544474.83      1073925.24
2005-2009     65-69           395901.14       403771.16       799672.30
2005-2009     70-74           304724.99       298743.47       603468.46
2005-2009     75-79           259569.65       227829.26       487398.91
