QLD,  Exposures (Lexis triangle)	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1971    0      1971     9737.70    10111.65    19849.35
 1971    0      1970     9101.58     9515.97    18617.55
 1971    1      1970     9336.97     9732.10    19069.07
 1971    1      1969     8992.80     9351.66    18344.46
 1971    2      1969     9175.92     9621.37    18797.30
 1971    2      1968     8877.00     9136.99    18013.99
 1971    3      1968     9087.69     9389.64    18477.33
 1971    3      1967     8662.49     9085.79    17748.28
 1971    4      1967     8814.18     9183.84    17998.02
 1971    4      1966     8467.68     8947.94    17415.62
 1971    5      1966     8679.26     9244.02    17923.27
 1971    5      1965     8508.96     8863.72    17372.68
 1971    6      1965     8487.27     8902.11    17389.38
 1971    6      1964     8889.62     9278.91    18168.53
 1971    7      1964     8740.25     9108.12    17848.38
 1971    7      1963     9183.25     9666.04    18849.29
 1971    8      1963     9270.17     9711.11    18981.28
 1971    8      1962     9367.42     9798.50    19165.92
 1971    9      1962     9323.08     9881.10    19204.19
 1971    9      1961     9426.41     9867.22    19293.63
 1971   10      1961     9597.75     9963.60    19561.36
 1971   10      1960     9220.56     9819.58    19040.14
 1971   11      1960     9460.75    10008.76    19469.51
 1971   11      1959     9117.27     9653.65    18770.92
 1971   12      1959     9222.76     9846.60    19069.36
 1971   12      1958     9051.77     9451.44    18503.21
 1971   13      1958     9240.75     9592.35    18833.10
 1971   13      1957     8808.72     9229.24    18037.96
 1971   14      1957     9014.25     9367.72    18381.97
 1971   14      1956     8594.53     9027.87    17622.39
 1971   15      1956     8704.92     9122.75    17827.67
 1971   15      1955     8422.64     8734.53    17157.17
 1971   16      1955     8568.68     8983.22    17551.90
 1971   16      1954     8233.22     8294.61    16527.83
 1971   17      1954     8394.84     8585.84    16980.68
 1971   17      1953     8065.90     8085.47    16151.36
 1971   18      1953     8211.25     8164.25    16375.50
 1971   18      1952     7899.89     8099.32    15999.21
 1971   19      1952     8063.94     8292.49    16356.43
 1971   19      1951     7755.58     7975.09    15730.67
 1971   20      1951     7912.29     8261.76    16174.05
 1971   20      1950     7682.67     7957.47    15640.13
 1971   21      1950     7705.47     8013.32    15718.79
 1971   21      1949     7557.77     7903.56    15461.33
 1971   22      1949     7699.01     8125.95    15824.96
 1971   22      1948     7408.18     7824.69    15232.87
 1971   23      1948     7449.76     7862.49    15312.25
 1971   23      1947     7605.79     8087.22    15693.01
 1971   24      1947     7497.88     8023.65    15521.53
 1971   24      1946     7247.81     7766.05    15013.86
 1971   25      1946     8012.27     8419.29    16431.56
 1971   25      1945     6727.76     7201.24    13929.00
 1971   26      1945     6745.55     7339.44    14085.00
 1971   26      1944     6573.58     6883.64    13457.22
 1971   27      1944     6875.61     7280.74    14156.34
 1971   27      1943     6104.62     6396.08    12500.70
 1971   28      1943     6460.56     6749.75    13210.31
 1971   28      1942     5871.74     6236.78    12108.53
 1971   29      1942     5981.94     6290.57    12272.51
 1971   29      1941     5721.22     6188.49    11909.71
 1971   30      1941     5955.70     6392.12    12347.82
 1971   30      1940     5485.49     5872.08    11357.57
 1971   31      1940     5686.02     6190.59    11876.62
 1971   31      1939     5423.05     5666.94    11089.99
 1971   32      1939     5519.06     5782.35    11301.41
 1971   32      1938     5278.93     5546.79    10825.72
 1971   33      1938     5510.35     5735.15    11245.50
 1971   33      1937     5158.25     5460.20    10618.46
 1971   34      1937     5228.05     5511.57    10739.62
 1971   34      1936     5201.74     5524.24    10725.98
 1971   35      1936     5290.71     5618.26    10908.97
 1971   35      1935     5111.76     5308.38    10420.14
 1971   36      1935     5279.94     5644.31    10924.24
 1971   36      1934     4870.23     5016.02     9886.25
 1971   37      1934     5056.61     5117.39    10174.00
 1971   37      1933     4816.06     5054.34     9870.40
 1971   38      1933     4776.68     5069.04     9845.72
 1971   38      1932     4930.42     5184.77    10115.19
 1971   39      1932     4978.43     5234.29    10212.72
 1971   39      1931     5190.68     5444.62    10635.30
 1971   40      1931     4964.08     5283.65    10247.72
 1971   40      1930     5216.16     5490.29    10706.45
 1971   41      1930     5458.57     5714.06    11172.63
 1971   41      1929     5143.69     5446.88    10590.57
 1971   42      1929     5066.08     5381.54    10447.61
 1971   42      1928     5370.40     5625.52    10995.92
 1971   43      1928     5294.46     5591.06    10885.51
 1971   43      1927     5265.83     5520.53    10786.36
 1971   44      1927     5440.38     5688.66    11129.03
 1971   44      1926     5244.65     5584.80    10829.45
 1971   45      1926     5152.44     5448.75    10601.19
 1971   45      1925     5368.40     5675.63    11044.03
 1971   46      1925     5453.35     5869.50    11322.85
 1971   46      1924     5196.71     5452.15    10648.85
 1971   47      1924     5329.21     5510.26    10839.47
 1971   47      1923     5163.84     5415.38    10579.21
 1971   48      1923     5106.60     5356.93    10463.53
 1971   48      1922     5258.00     5511.90    10769.89
 1971   49      1922     5284.23     5508.29    10792.52
 1971   49      1921     5411.20     5602.71    11013.91
 1971   50      1921     5261.48     5547.82    10809.30
 1971   50      1920     5100.41     5261.30    10361.71
 1971   51      1920     5519.36     5611.46    11130.82
 1971   51      1919     4629.37     4746.27     9375.63
 1971   52      1919     4675.81     4876.29     9552.10
 1971   52      1918     4689.21     4631.33     9320.54
 1971   53      1918     4647.52     4599.56     9247.07
 1971   53      1917     4716.69     4607.61     9324.29
 1971   54      1917     4712.55     4630.78     9343.33
 1971   54      1916     4591.00     4526.62     9117.62
 1971   55      1916     4702.98     4577.50     9280.48
 1971   55      1915     4510.71     4566.21     9076.91
 1971   56      1915     4518.76     4441.12     8959.87
 1971   56      1914     4541.69     4593.37     9135.07
 1971   57      1914     4555.35     4632.53     9187.88
 1971   57      1913     4451.01     4452.70     8903.71
 1971   58      1913     4592.64     4501.40     9094.04
 1971   58      1912     4242.65     4305.16     8547.81
 1971   59      1912     4398.62     4333.83     8732.45
 1971   59      1911     4225.71     4169.93     8395.64
 1971   60      1911     4097.22     4177.48     8274.69
 1971   60      1910     4075.41     3945.98     8021.39
 1971   61      1910     4320.30     4067.48     8387.78
 1971   61      1909     3803.10     3733.01     7536.12
 1971   62      1909     3802.46     3742.82     7545.28
 1971   62      1908     3712.90     3657.15     7370.05
 1971   63      1908     3746.79     3607.24     7354.03
 1971   63      1907     3561.33     3528.85     7090.18
 1971   64      1907     3583.88     3552.66     7136.54
 1971   64      1906     3449.56     3408.26     6857.82
 1971   65      1906     3447.06     3352.83     6799.89
 1971   65      1905     3301.62     3220.73     6522.35
 1971   66      1905     3363.73     3249.91     6613.64
 1971   66      1904     3059.77     2976.26     6036.03
 1971   67      1904     3144.06     2930.00     6074.05
 1971   67      1903     2888.50     2801.64     5690.14
 1971   68      1903     2873.39     2784.41     5657.81
 1971   68      1902     2815.44     2622.19     5437.63
 1971   69      1902     2784.47     2605.66     5390.13
 1971   69      1901     2888.86     2546.78     5435.64
 1971   70      1901     2708.17     2412.34     5120.50
 1971   70      1900     2911.53     2496.45     5407.98
 1971   71      1900     2917.56     2425.75     5343.31
 1971   71      1899     2610.65     2207.82     4818.47
 1971   72      1899     2750.32     2299.09     5049.41
 1971   72      1898     2383.52     1905.62     4289.13
 1971   73      1898     2325.47     1828.75     4154.22
 1971   73      1897     2301.73     1752.94     4054.66
 1971   74      1897     2244.31     1701.51     3945.82
 1971   74      1896     2183.99     1606.88     3790.87
 1971   75      1896     2128.78     1544.32     3673.10
 1971   75      1895     2055.99     1472.38     3528.37
 1971   76      1895     2040.21     1410.59     3450.79
 1971   76      1894     1886.73     1334.83     3221.56
 1971   77      1894     1862.03     1256.98     3119.01
 1971   77      1893     1746.83     1227.90     2974.73
 1971   78      1893     1681.41     1137.00     2818.41
 1971   78      1892     1580.11     1116.47     2696.58
 1971   79      1892     1581.00     1054.43     2635.42
 1971   79      1891     1417.60     1010.92     2428.52
 1971   80      1891     1459.20      965.31     2424.51
 1971   80      1890     1421.13      958.03     2379.16
 1971   81      1890     1350.65      886.17     2236.82
 1971   81      1889     1277.04      835.71     2112.75
 1971   82      1889     1204.54      763.90     1968.44
 1971   82      1888     1099.80      716.42     1816.22
 1971   83      1888     1029.92      648.21     1678.13
 1971   83      1887      951.39      613.65     1565.04
 1971   84      1887      884.89      552.97     1437.86
 1971   84      1886      818.53      504.18     1322.70
 1971   85      1886      748.26      451.70     1199.96
