QLD, Population size (abridged)	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0             18220.43        19054.64        37275.07
  1971           1             17989.67        18706.78        36696.45
  1971           2             17756.49        18277.23        36033.72
  1971           3             17327.94        18173.62        35501.56
  1971           4             16935.67        17898.19        34833.86
  1971           5             17018.41        17728.40        34746.81
  1971           6             17780.70        18559.93        36340.63
  1971           7             18367.00        19334.17        37701.17
  1971           8             18735.15        19598.12        38333.27
  1971           9             18852.99        19735.57        38588.56
  1971          10             18441.61        19640.30        38081.91
  1971          11             18235.03        19308.78        37543.81
  1971          12             18104.02        18904.01        37008.03
  1971          13             17617.93        18460.12        36078.05
  1971          14             17189.54        18058.96        35248.50
  1971          15             16847.09        17471.56        34318.65
  1971          16             16468.73        16594.46        33063.19
  1971          17             16133.44        16175.59        32309.03
  1971          18             15802.28        16204.14        32006.42
  1971          19             15512.96        15958.87        31471.83
  1971          20             15367.76        15921.74        31289.50
  1971          21             15118.26        15812.14        30930.40
  1971          22             14817.34        15654.82        30472.16
  1971          23             15213.05        16178.13        31391.18
  1971          24             14498.18        15536.81        30034.99
  1971          25             13456.97        14406.57        27863.54
  1971          26             13149.06        13769.73        26918.79
  1971          27             12210.35        12796.02        25006.37
  1971          28             11745.36        12477.40        24222.76
  1971          29             11445.22        12379.84        23825.06
  1971          30             10972.26        11747.91        22720.17
  1971          31             10848.06        11337.69        22185.75
  1971          32             10559.74        11096.87        21656.61
  1971          33             10318.14        10923.44        21241.58
  1971          34             10406.38        11051.34        21457.72
  1971          35             10225.77        10620.90        20846.67
  1971          36              9742.26        10035.42        19777.68
  1971          37              9634.23        10113.24        19747.47
  1971          38              9863.14        10373.47        20236.61
  1971          39             10384.16        10895.66        21279.82
  1971          40             10436.50        10985.95        21422.45
  1971          41             10292.24        10899.64        21191.88
  1971          42             10744.98        11258.30        22003.28
  1971          43             10536.41        11049.94        21586.35
  1971          44             10493.88        11179.63        21673.51
  1971          45             10743.59        11359.76        22103.35
  1971          46             10399.72        10914.96        21314.68
  1971          47             10333.93        10840.23        21174.16
  1971          48             10524.80        11036.59        21561.39
  1971          49             10828.61        11219.18        22047.79
  1971          50             10209.52        10536.95        20746.47
  1971          51              9266.68         9509.28        18775.96
  1971          52              9389.13         9280.41        18669.54
  1971          53              9440.34         9230.10        18670.44
  1971          54              9194.23         9072.01        18266.24
  1971          55              9031.46         9158.41        18189.87
  1971          56              9097.54         9208.18        18305.72
  1971          57              8913.33         8928.00        17841.33
  1971          58              8497.69         8635.86        17133.55
  1971          59              8465.18         8367.20        16832.38
  1971          60              8168.06         7919.68        16087.74
  1971          61              7623.61         7496.73        15120.34
  1971          62              7441.54         7347.66        14789.20
  1971          63              7137.07         7089.90        14226.97
  1971          64              6913.70         6854.53        13768.23
  1971          65              6620.44         6478.14        13098.58
  1971          66              6135.08         5988.36        12123.44
  1971          67              5797.21         5638.29        11435.50
  1971          68              5650.77         5278.21        10928.98
  1971          69              5800.78         5130.89        10931.67
  1971          70              5844.73         5033.90        10878.63
  1971          71              5248.84         4457.48         9706.32
  1971          72              4791.05         3849.72         8640.77
  1971          73              4632.85         3546.70         8179.55
  1971          74              4395.03         3252.07         7647.10
  1971          75              4145.43         2985.12         7130.55
  1971          76              3804.71         2706.49         6511.20
  1971          77              3526.59         2498.52         6025.11
  1971          78              3198.05         2270.62         5468.67
  1971          79              2873.21         2057.33         4930.54
  1971          80              2877.24         1953.67         4830.91
  1971          81              2590.57         1706.18         4296.75
  1971          82              2236.60         1470.46         3707.06
  1971          83              1936.58         1258.36         3194.94
  1971          84              1670.68         1038.41         2709.09
  1971          85              1406.25          833.36         2239.61
  1971          86              1149.26          656.43         1805.69
  1971          87               913.73          522.69         1436.42
  1971          88               731.25          402.27         1133.52
  1971          89               612.70          291.43          904.13
  1971          90               470.45          219.70          690.15
  1971          91               352.30          165.67          517.97
  1971          92               278.66          113.39          392.05
  1971          93               198.75           78.98          277.73
  1971          94               134.12           50.89          185.01
  1971          95                93.97           31.29          125.26
  1971          96                60.94           16.16           77.10
  1971          97                38.85            7.73           46.58
  1971          98                20.75            9.74           30.49
  1971          99                17.81            6.04           23.85
  1971         100                12.76            2.73           15.49
  1971         101                 7.42            0.00            7.42
  1971         102                 4.29            0.00            4.29
  1971         103                 2.12            0.00            2.12
  1971         104                 0.86            0.00            0.86
  1971         105                 0.28            0.00            0.28
  1971         106                 0.00            0.00            0.00
  1971         107                 0.00            0.00            0.00
  1971         108                 0.00            0.00            0.00
  1971         109                 0.00            0.00            0.00
  1971         110+                0.00            0.00            0.00
  1972           0             19380.00        20106.00        39486.00
  1972           1             18669.00        19460.00        38129.00
  1972           2             18349.00        19239.00        37588.00
  1972           3             18172.00        18777.00        36949.00
  1972           4             17628.00        18365.00        35993.00
  1972           5             17358.00        18487.00        35845.00
  1972           6             16973.00        17802.00        34775.00
  1972           7             17480.00        18214.00        35694.00
  1972           8             18540.00        19421.00        37961.00
  1972           9             18646.00        19761.00        38407.00
  1972          10             19195.00        19926.00        39121.00
  1972          11             18921.00        20016.00        38937.00
  1972          12             18445.00        19692.00        38137.00
  1972          13             18481.00        19183.00        37664.00
  1972          14             18028.00        18732.00        36760.00
  1972          15             17408.00        18243.00        35651.00
  1972          16             17135.00        17961.00        35096.00
  1972          17             16788.00        17167.00        33955.00
  1972          18             16420.00        16323.00        32743.00
  1972          19             16126.00        16576.00        32702.00
  1972          20             15822.00        16516.00        32338.00
  1972          21             15408.00        16021.00        31429.00
  1972          22             15397.00        16246.00        31643.00
  1972          23             14898.00        15721.00        30619.00
  1972          24             14993.00        16042.00        31035.00
  1972          25             16023.00        16834.00        32857.00
  1972          26             13489.00        14676.00        28165.00
  1972          27             13750.00        14557.00        28307.00
  1972          28             12919.00        13495.00        26414.00
  1972          29             11961.00        12578.00        24539.00
  1972          30             11910.00        12780.00        24690.00
  1972          31             11370.00        12377.00        23747.00
  1972          32             11036.00        11561.00        22597.00
  1972          33             11019.00        11467.00        22486.00
  1972          34             10453.00        11020.00        21473.00
  1972          35             10579.00        11232.00        21811.00
  1972          36             10558.00        11285.00        21843.00
  1972          37             10111.00        10230.00        20341.00
  1972          38              9551.00        10134.00        19685.00
  1972          39              9954.00        10462.00        20416.00
  1972          40              9924.00        10562.00        20486.00
  1972          41             10912.00        11422.00        22334.00
  1972          42             10128.00        10756.00        20884.00
  1972          43             10584.00        11173.00        21757.00
  1972          44             10876.00        11367.00        22243.00
  1972          45             10298.00        10889.00        21187.00
  1972          46             10900.00        11728.00        22628.00
  1972          47             10652.00        11011.00        21663.00
  1972          48             10204.00        10701.00        20905.00
  1972          49             10562.00        11003.00        21565.00
  1972          50             10514.00        11081.00        21595.00
  1972          51             11030.00        11205.00        22235.00
  1972          52              9341.00         9735.00        19076.00
  1972          53              9288.00         9184.00        18472.00
  1972          54              9412.00         9242.00        18654.00
  1972          55              9396.00         9130.00        18526.00
  1972          56              9023.00         8860.00        17883.00
  1972          57              9099.00         9242.00        18341.00
  1972          58              9172.00         8976.00        18148.00
  1972          59              8782.00         8638.00        17420.00
  1972          60              8177.00         8327.00        16504.00
  1972          61              8623.00         8104.00        16727.00
  1972          62              7589.00         7452.00        15041.00
  1972          63              7479.00         7182.00        14661.00
  1972          64              7153.00         7067.00        14220.00
  1972          65              6877.00         6669.00        13546.00
  1972          66              6712.00         6464.00        13176.00
  1972          67              6268.00         5825.00        12093.00
  1972          68              5727.00         5535.00        11262.00
  1972          69              5546.00         5174.00        10720.00
  1972          70              5395.00         4784.00        10179.00
  1972          71              5808.00         4810.00        10618.00
  1972          72              5477.00         4560.00        10037.00
  1972          73              4622.00         3617.00         8239.00
  1972          74              4462.00         3365.00         7827.00
  1972          75              4225.00         3049.00         7274.00
  1972          76              4050.00         2785.00         6835.00
  1972          77              3692.00         2472.00         6164.00
  1972          78              3326.00         2237.00         5563.00
  1972          79              3125.00         2074.00         5199.00
  1972          80              2884.38         1893.56         4777.94
  1972          81              2665.80         1738.10         4403.90
  1972          82              2373.09         1490.74         3863.83
  1972          83              2026.97         1265.82         3292.79
  1972          84              1737.07         1076.33         2813.40
  1972          85              1459.86          880.99         2340.85
  1972          86              1214.10          702.87         1916.97
  1972          87               990.24          538.96         1529.20
  1972          88               773.15          422.72         1195.87
  1972          89               602.27          313.78          916.05
  1972          90               496.38          220.04          716.42
  1972          91               383.57          167.29          550.86
  1972          92               280.84          126.33          407.17
  1972          93               212.68           83.41          296.09
  1972          94               141.32           55.59          196.91
  1972          95                90.86           38.41          129.27
  1972          96                62.57           23.77           86.34
  1972          97                41.69           11.29           52.98
  1972          98                28.88            5.21           34.09
  1972          99                14.32            7.26           21.58
  1972         100                11.75            4.50           16.25
  1972         101                 6.73            2.31            9.04
  1972         102                 3.56            0.00            3.56
  1972         103                 1.88            0.00            1.88
  1972         104                 0.67            0.00            0.67
  1972         105                 0.00            0.00            0.00
  1972         106                 0.00            0.00            0.00
  1972         107                 0.00            0.00            0.00
  1972         108                 0.00            0.00            0.00
  1972         109                 0.00            0.00            0.00
  1972         110+                0.00            0.00            0.00
  1973           0             18819.00        19586.00        38405.00
  1973           1             19785.00        20438.00        40223.00
  1973           2             19122.00        19999.00        39121.00
  1973           3             18844.00        19667.00        38511.00
  1973           4             18465.00        19176.00        37641.00
  1973           5             17839.00        18770.00        36609.00
  1973           6             17666.00        18767.00        36433.00
  1973           7             17302.00        18172.00        35474.00
  1973           8             17741.00        18543.00        36284.00
  1973           9             18888.00        19745.00        38633.00
  1973          10             18892.00        20067.00        38959.00
  1973          11             19444.00        20197.00        39641.00
  1973          12             19179.00        20302.00        39481.00
  1973          13             18742.00        19917.00        38659.00
  1973          14             18690.00        19269.00        37959.00
  1973          15             18155.00        18798.00        36953.00
  1973          16             17508.00        18292.00        35800.00
  1973          17             17249.00        18067.00        35316.00
  1973          18             17006.00        17400.00        34406.00
  1973          19             16614.00        16623.00        33237.00
  1973          20             16349.00        17016.00        33365.00
  1973          21             16080.00        16956.00        33036.00
  1973          22             15608.00        16440.00        32048.00
  1973          23             15670.00        16511.00        32181.00
  1973          24             15186.00        16107.00        31293.00
  1973          25             15467.00        16439.00        31906.00
  1973          26             16437.00        17323.00        33760.00
  1973          27             13851.00        15028.00        28879.00
  1973          28             14006.00        14945.00        28951.00
  1973          29             13274.00        13890.00        27164.00
  1973          30             12267.00        12893.00        25160.00
  1973          31             12149.00        13035.00        25184.00
  1973          32             11656.00        12658.00        24314.00
  1973          33             11333.00        11866.00        23199.00
  1973          34             11208.00        11669.00        22877.00
  1973          35             10749.00        11275.00        22024.00
  1973          36             10789.00        11529.00        22318.00
  1973          37             10762.00        11545.00        22307.00
  1973          38             10200.00        10381.00        20581.00
  1973          39              9700.00        10357.00        20057.00
  1973          40             10075.00        10635.00        20710.00
  1973          41              9991.00        10683.00        20674.00
  1973          42             10950.00        11530.00        22480.00
  1973          43             10317.00        10907.00        21224.00
  1973          44             10580.00        11208.00        21788.00
  1973          45             10910.00        11441.00        22351.00
  1973          46             10428.00        11077.00        21505.00
  1973          47             11029.00        11862.00        22891.00
  1973          48             10659.00        11001.00        21660.00
  1973          49             10324.00        10839.00        21163.00
  1973          50             10594.00        11081.00        21675.00
  1973          51             10589.00        11091.00        21680.00
  1973          52             10924.00        11118.00        22042.00
  1973          53              9514.00         9797.00        19311.00
  1973          54              9296.00         9132.00        18428.00
  1973          55              9423.00         9250.00        18673.00
  1973          56              9416.00         9119.00        18535.00
  1973          57              9155.00         8848.00        18003.00
  1973          58              9141.00         9177.00        18318.00
  1973          59              9313.00         8930.00        18243.00
  1973          60              8839.00         8533.00        17372.00
  1973          61              8214.00         8258.00        16472.00
  1973          62              8611.00         8024.00        16635.00
  1973          63              7619.00         7433.00        15052.00
  1973          64              7390.00         7051.00        14441.00
  1973          65              7109.00         6921.00        14030.00
  1973          66              6763.00         6566.00        13329.00
  1973          67              6683.00         6246.00        12929.00
  1973          68              6169.00         5613.00        11782.00
  1973          69              5683.00         5339.00        11022.00
