QLD, Population size (1-year)	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0             18220.43        19054.64        37275.07
  1971         1-4             70009.77        73055.82       143065.59
  1971         5-9             90754.25        94956.19       185710.44
  1971        10-14            89588.13        94372.17       183960.30
  1971        15-19            80764.50        82404.62       163169.12
  1971        20-24            75014.59        79103.64       154118.23
  1971        25-29            62006.96        65829.56       127836.52
  1971        30-34            53104.58        56157.25       109261.83
  1971        35-39            49849.56        52038.69       101888.25
  1971        40-44            52504.01        55373.46       107877.47
  1971        45-49            52830.65        55370.72       108201.37
  1971        50-54            47499.90        47628.75        95128.65
  1971        55-59            44005.20        44297.65        88302.85
  1971        60-64            37283.98        36708.50        73992.48
  1971        65-69            30004.28        28513.89        58518.17
  1971        70-74            24912.50        20139.87        45052.37
  1971        75-79            17547.99        12518.08        30066.07
  1971        80-84            11311.67         7427.08        18738.75
  1971        85-89             4813.19         2706.18         7519.37
  1971        90-94             1434.28          628.63         2062.91
  1971        95-99              232.32           70.96          303.28
  1971       100-104              27.45            2.73           30.18
  1971       105-109               0.28            0.00            0.28
  1971       110+                  0.00            0.00            0.00
  1972           0             19380.00        20106.00        39486.00
  1972         1-4             72818.00        75841.00       148659.00
  1972         5-9             88997.00        93685.00       182682.00
  1972        10-14            93070.00        97549.00       190619.00
  1972        15-19            83877.00        86270.00       170147.00
  1972        20-24            76518.00        80546.00       157064.00
  1972        25-29            68142.00        72140.00       140282.00
  1972        30-34            55788.00        59205.00       114993.00
  1972        35-39            50753.00        53343.00       104096.00
  1972        40-44            52424.00        55280.00       107704.00
  1972        45-49            52616.00        55332.00       107948.00
  1972        50-54            49585.00        50447.00       100032.00
  1972        55-59            45472.00        44846.00        90318.00
  1972        60-64            39021.00        38132.00        77153.00
  1972        65-69            31130.00        29667.00        60797.00
  1972        70-74            25764.00        21136.00        46900.00
  1972        75-79            18418.00        12617.00        31035.00
  1972        80-84            11687.31         7464.55        19151.86
  1972        85-89             5039.62         2859.32         7898.94
  1972        90-94             1514.79          652.66         2167.45
  1972        95-99              238.32           85.94          324.26
  1972       100-104              24.59            6.81           31.40
  1972       105-109               0.00            0.00            0.00
  1972       110+                  0.00            0.00            0.00
  1973           0             18819.00        19586.00        38405.00
  1973         1-4             76216.00        79280.00       155496.00
  1973         5-9             89436.00        93997.00       183433.00
  1973        10-14            94947.00        99752.00       194699.00
  1973        15-19            86532.00        89180.00       175712.00
  1973        20-24            78893.00        83030.00       161923.00
  1973        25-29            73035.00        77625.00       150660.00
  1973        30-34            58613.00        62121.00       120734.00
  1973        35-39            52200.00        55087.00       107287.00
  1973        40-44            51913.00        54963.00       106876.00
  1973        45-49            53350.00        56220.00       109570.00
  1973        50-54            50917.00        52219.00       103136.00
  1973        55-59            46448.00        45324.00        91772.00
  1973        60-64            40673.00        39299.00        79972.00
  1973        65-69            32407.00        30685.00        63092.00
  1973        70-74            26097.00        21733.00        47830.00
  1973        75-79            18743.00        12833.00        31576.00
  1973        80-84            12024.87         7503.31        19528.18
  1973        85-89             5335.41         3030.15         8365.56
  1973        90-94             1583.84          686.89         2270.73
  1973        95-99              264.48          100.38          364.86
  1973       100-104              22.01            9.12           31.13
  1973       105-109               0.00            0.00            0.00
  1973       110+                  0.00            0.00            0.00
  1974           0             18266.00        19281.00        37547.00
  1974         1-4             78563.00        81647.00       160210.00
  1974         5-9             90529.00        95398.00       185927.00
  1974        10-14            96574.00       101712.00       198286.00
  1974        15-19            89362.00        92511.00       181873.00
  1974        20-24            81922.00        85686.00       167608.00
  1974        25-29            77138.00        81997.00       159135.00
  1974        30-34            62213.00        65951.00       128164.00
  1974        35-39            54743.00        57581.00       112324.00
  1974        40-44            51645.00        54882.00       106527.00
  1974        45-49            53980.00        57056.00       111036.00
  1974        50-54            52334.00        54094.00       106428.00
  1974        55-59            46704.00        45456.00        92160.00
  1974        60-64            42756.00        40829.00        83585.00
  1974        65-69            33668.00        31626.00        65294.00
  1974        70-74            26738.00        22614.00        49352.00
  1974        75-79            19065.00        12983.00        32048.00
  1974        80-84            12322.22         7549.60        19871.82
  1974        85-89             5660.65         3177.55         8838.20
  1974        90-94             1678.73          762.55         2441.28
  1974        95-99              297.40          107.50          404.90
  1974       100-104              21.15            7.81           28.96
  1974       105-109               0.00            0.00            0.00
  1974       110+                  0.00            0.00            0.00
  1975           0             17834.00        18738.00        36572.00
  1975         1-4             78825.00        81996.00       160821.00
  1975         5-9             93098.00        98202.00       191300.00
  1975        10-14            96569.00       101554.00       198123.00
  1975        15-19            91328.00        95052.00       186380.00
  1975        20-24            83707.00        87309.00       171016.00
  1975        25-29            80530.00        84555.00       165085.00
  1975        30-34            65890.00        69922.00       135812.00
  1975        35-39            57077.00        60162.00       117239.00
  1975        40-44            51633.00        54613.00       106246.00
  1975        45-49            54224.00        57452.00       111676.00
  1975        50-54            53329.00        55238.00       108567.00
  1975        55-59            47529.00        46007.00        93536.00
  1975        60-64            44286.00        42030.00        86316.00
  1975        65-69            34755.00        32864.00        67619.00
  1975        70-74            26788.00        22650.00        49438.00
  1975        75-79            20097.00        13939.00        34036.00
  1975        80-84            12460.01         7427.69        19887.70
  1975        85-89             5877.75         3156.52         9034.27
  1975        90-94             1749.12          778.50         2527.62
  1975        95-99              300.94           99.15          400.09
  1975       100-104              20.54            2.88           23.42
  1975       105-109               0.00            0.00            0.00
  1975       110+                  0.00            0.00            0.00
  1976           0             17437.00        18085.00        35522.00
  1976         1-4             77795.00        80577.00       158372.00
  1976         5-9             96411.00       101684.00       198095.00
  1976        10-14            95689.00       100672.00       196361.00
  1976        15-19            93892.00        97806.00       191698.00
  1976        20-24            85523.00        89382.00       174905.00
  1976        25-29            83620.00        87345.00       170965.00
  1976        30-34            68988.00        72938.00       141926.00
  1976        35-39            58959.00        62174.00       121133.00
  1976        40-44            52041.00        54957.00       106998.00
  1976        45-49            54102.00        57458.00       111560.00
  1976        50-54            54091.00        56373.00       110464.00
  1976        55-59            48911.00        47757.00        96668.00
  1976        60-64            45314.00        42535.00        87849.00
  1976        65-69            36245.00        34155.00        70400.00
  1976        70-74            27477.00        23304.00        50781.00
  1976        75-79            20785.00        14594.00        35379.00
  1976        80-84            12893.66         7440.68        20334.34
  1976        85-89             6235.63         3282.33         9517.96
  1976        90-94             1906.96          835.71         2742.67
  1976        95-99              348.75          104.37          453.12
  1976       100-104              22.59            3.40           25.99
  1976       105-109               0.00            0.00            0.00
  1976       110+                  0.00            0.00            0.00
  1977           0             17112.00        17820.00        34932.00
  1977         1-4             74816.00        77856.00       152672.00
  1977         5-9            100337.00       104713.00       205050.00
  1977        10-14            95386.00        99958.00       195344.00
  1977        15-19            97264.00       101139.00       198403.00
  1977        20-24            86750.00        90992.00       177742.00
  1977        25-29            83924.00        87708.00       171632.00
  1977        30-34            74899.00        78421.00       153320.00
  1977        35-39            60913.00        64110.00       125023.00
  1977        40-44            53316.00        56296.00       109612.00
  1977        45-49            53791.00        56966.00       110757.00
  1977        50-54            53991.00        56679.00       110670.00
  1977        55-59            50396.00        49479.00        99875.00
  1977        60-64            46333.00        42982.00        89315.00
  1977        65-69            37755.00        34978.00        72733.00
  1977        70-74            28045.00        24258.00        52303.00
