QLD, Death rates (cohort 1x5), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1892-1894        0                    .               .               .
1892-1894        1                    .               .               .
1892-1894        2                    .               .               .
1892-1894        3                    .               .               .
1892-1894        4                    .               .               .
1892-1894        5                    .               .               .
1892-1894        6                    .               .               .
1892-1894        7                    .               .               .
1892-1894        8                    .               .               .
1892-1894        9                    .               .               .
1892-1894       10                    .               .               .
1892-1894       11                    .               .               .
1892-1894       12                    .               .               .
1892-1894       13                    .               .               .
1892-1894       14                    .               .               .
1892-1894       15                    .               .               .
1892-1894       16                    .               .               .
1892-1894       17                    .               .               .
1892-1894       18                    .               .               .
1892-1894       19                    .               .               .
1892-1894       20                    .               .               .
1892-1894       21                    .               .               .
1892-1894       22                    .               .               .
1892-1894       23                    .               .               .
1892-1894       24                    .               .               .
1892-1894       25                    .               .               .
1892-1894       26                    .               .               .
1892-1894       27                    .               .               .
1892-1894       28                    .               .               .
1892-1894       29                    .               .               .
1892-1894       30                    .               .               .
1892-1894       31                    .               .               .
1892-1894       32                    .               .               .
1892-1894       33                    .               .               .
1892-1894       34                    .               .               .
1892-1894       35                    .               .               .
1892-1894       36                    .               .               .
1892-1894       37                    .               .               .
1892-1894       38                    .               .               .
1892-1894       39                    .               .               .
1892-1894       40                    .               .               .
1892-1894       41                    .               .               .
1892-1894       42                    .               .               .
1892-1894       43                    .               .               .
1892-1894       44                    .               .               .
1892-1894       45                    .               .               .
1892-1894       46                    .               .               .
1892-1894       47                    .               .               .
1892-1894       48                    .               .               .
1892-1894       49                    .               .               .
1892-1894       50                    .               .               .
1892-1894       51                    .               .               .
1892-1894       52                    .               .               .
1892-1894       53                    .               .               .
1892-1894       54                    .               .               .
1892-1894       55                    .               .               .
1892-1894       56                    .               .               .
1892-1894       57                    .               .               .
1892-1894       58                    .               .               .
1892-1894       59                    .               .               .
1892-1894       60                    .               .               .
1892-1894       61                    .               .               .
1892-1894       62                    .               .               .
1892-1894       63                    .               .               .
1892-1894       64                    .               .               .
1892-1894       65                    .               .               .
1892-1894       66                    .               .               .
1892-1894       67                    .               .               .
1892-1894       68                    .               .               .
1892-1894       69                    .               .               .
1892-1894       70                    .               .               .
1892-1894       71                    .               .               .
1892-1894       72                    .               .               .
1892-1894       73                    .               .               .
1892-1894       74                    .               .               .
1892-1894       75                    .               .               .
1892-1894       76                    .               .               .
1892-1894       77                    .               .               .
1892-1894       78             0.077539        0.127758        0.097491
1892-1894       79             0.073184        0.108727        0.087082
1892-1894       80             0.082959        0.116505        0.095862
1892-1894       81             0.077917        0.120616        0.093959
1892-1894       82             0.090168        0.121420        0.101637
1892-1894       83             0.098513        0.147290        0.115960
1892-1894       84             0.105082        0.146189        0.119362
1892-1894       85             0.110086        0.156759        0.125844
1892-1894       86             0.117563        0.168982        0.134368
1892-1894       87             0.129086        0.185242        0.146780
1892-1894       88             0.148144        0.189396        0.160707
1892-1894       89             0.146698        0.218961        0.167842
1892-1894       90             0.154608        0.252800        0.181657
1892-1894       91             0.167812        0.239043        0.186238
1892-1894       92             0.208844        0.237790        0.216045
1892-1894       93             0.226082        0.297979        0.243350
1892-1894       94             0.249216        0.349783        0.271817
1892-1894       95             0.267650        0.348918        0.284541
1892-1894       96             0.302957        0.390802        0.320106
1892-1894       97             0.313657        0.424853        0.333576
1892-1894       98             0.337492        0.410810        0.349691
1892-1894       99             0.324145        0.430267        0.340549
1892-1894      100             0.383863        0.554522        0.407287
1892-1894      101             0.436960        0.585951        0.454686
1892-1894      102             0.491099        0.622777        0.504889
1892-1894      103             0.533441        0.785085        0.556119
1892-1894      104             0.574535        1.407692        0.622286
1892-1894      105             0.652853        3.000000        0.682023
1892-1894      106             0.758271              .        0.758271
1892-1894      107             1.033934              .        1.033934
1892-1894      108             2.246445              .        2.246445
1892-1894      109                   .              .              .
1892-1894      110+                  .              .              .
1895-1899        0                    .               .               .
1895-1899        1                    .               .               .
1895-1899        2                    .               .               .
1895-1899        3                    .               .               .
1895-1899        4                    .               .               .
1895-1899        5                    .               .               .
1895-1899        6                    .               .               .
1895-1899        7                    .               .               .
1895-1899        8                    .               .               .
1895-1899        9                    .               .               .
1895-1899       10                    .               .               .
1895-1899       11                    .               .               .
1895-1899       12                    .               .               .
1895-1899       13                    .               .               .
1895-1899       14                    .               .               .
1895-1899       15                    .               .               .
1895-1899       16                    .               .               .
1895-1899       17                    .               .               .
1895-1899       18                    .               .               .
1895-1899       19                    .               .               .
1895-1899       20                    .               .               .
1895-1899       21                    .               .               .
1895-1899       22                    .               .               .
1895-1899       23                    .               .               .
1895-1899       24                    .               .               .
1895-1899       25                    .               .               .
1895-1899       26                    .               .               .
1895-1899       27                    .               .               .
1895-1899       28                    .               .               .
1895-1899       29                    .               .               .
1895-1899       30                    .               .               .
1895-1899       31                    .               .               .
1895-1899       32                    .               .               .
1895-1899       33                    .               .               .
1895-1899       34                    .               .               .
1895-1899       35                    .               .               .
1895-1899       36                    .               .               .
1895-1899       37                    .               .               .
1895-1899       38                    .               .               .
1895-1899       39                    .               .               .
1895-1899       40                    .               .               .
1895-1899       41                    .               .               .
1895-1899       42                    .               .               .
1895-1899       43                    .               .               .
1895-1899       44                    .               .               .
1895-1899       45                    .               .               .
1895-1899       46                    .               .               .
1895-1899       47                    .               .               .
1895-1899       48                    .               .               .
1895-1899       49                    .               .               .
1895-1899       50                    .               .               .
1895-1899       51                    .               .               .
1895-1899       52                    .               .               .
1895-1899       53                    .               .               .
1895-1899       54                    .               .               .
1895-1899       55                    .               .               .
1895-1899       56                    .               .               .
1895-1899       57                    .               .               .
1895-1899       58                    .               .               .
1895-1899       59                    .               .               .
1895-1899       60                    .               .               .
1895-1899       61                    .               .               .
1895-1899       62                    .               .               .
1895-1899       63                    .               .               .
1895-1899       64                    .               .               .
1895-1899       65                    .               .               .
1895-1899       66                    .               .               .
1895-1899       67                    .               .               .
1895-1899       68                    .               .               .
1895-1899       69                    .               .               .
1895-1899       70                    .               .               .
1895-1899       71                    .               .               .
1895-1899       72                    .               .               .
1895-1899       73             0.044560        0.081244        0.060797
1895-1899       74             0.046973        0.078175        0.060472
1895-1899       75             0.051345        0.083195        0.064862
1895-1899       76             0.046556        0.080532        0.060639
1895-1899       77             0.049522        0.083715        0.063428
1895-1899       78             0.054631        0.090010        0.068739
1895-1899       79             0.058067        0.095981        0.072862
1895-1899       80             0.064482        0.104520        0.079322
1895-1899       81             0.072834        0.105007        0.084485
1895-1899       82             0.078194        0.117143        0.091986
1895-1899       83             0.087862        0.130438        0.102543
1895-1899       84             0.094770        0.135543        0.108448
1895-1899       85             0.107372        0.148826        0.120902
1895-1899       86             0.118724        0.156134        0.130601
1895-1899       87             0.121174        0.192687        0.143073
1895-1899       88             0.137625        0.184014        0.151241
1895-1899       89             0.155631        0.219438        0.173646
1895-1899       90             0.162755        0.232447        0.181488
1895-1899       91             0.180472        0.248250        0.197803
1895-1899       92             0.199842        0.271936        0.217318
1895-1899       93             0.204949        0.313116        0.229433
1895-1899       94             0.233029        0.329866        0.253244
1895-1899       95             0.246158        0.297201        0.256166
1895-1899       96             0.295240        0.351507        0.305814
1895-1899       97             0.322324        0.444528        0.343759
1895-1899       98             0.362089        0.413505        0.370393
1895-1899       99             0.351003        0.396412        0.358022
1895-1899      100             0.417085        0.496290        0.428725
1895-1899      101             0.453674        0.553667        0.467240
1895-1899      102             0.499218        0.611677        0.513105
1895-1899      103             0.555531        0.715214        0.573034
1895-1899      104             0.619355        1.000684        0.652855
1895-1899      105             0.687881        2.204082        0.751187
1895-1899      106             0.824899              .        0.824899
1895-1899      107             1.193478              .        1.193478
1895-1899      108             2.350394              .        2.350394
1895-1899      109                   .              .              .
1895-1899      110+                  .              .              .
1900-1904        0                    .               .               .
1900-1904        1                    .               .               .
1900-1904        2                    .               .               .
1900-1904        3                    .               .               .
1900-1904        4                    .               .               .
1900-1904        5                    .               .               .
1900-1904        6                    .               .               .
1900-1904        7                    .               .               .
1900-1904        8                    .               .               .
1900-1904        9                    .               .               .
1900-1904       10                    .               .               .
1900-1904       11                    .               .               .
1900-1904       12                    .               .               .
1900-1904       13                    .               .               .
1900-1904       14                    .               .               .
1900-1904       15                    .               .               .
1900-1904       16                    .               .               .
1900-1904       17                    .               .               .
1900-1904       18                    .               .               .
1900-1904       19                    .               .               .
1900-1904       20                    .               .               .
1900-1904       21                    .               .               .
1900-1904       22                    .               .               .
1900-1904       23                    .               .               .
1900-1904       24                    .               .               .
1900-1904       25                    .               .               .
1900-1904       26                    .               .               .
1900-1904       27                    .               .               .
1900-1904       28                    .               .               .
