QLD, Life tables (period 1x5), Females	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1974        0      0.01556  0.01535  0.12  100000    1535   98645  7507603  75.08
1971-1974        1      0.00165  0.00164  0.50   98465     162   98384  7408958  75.24
1971-1974        2      0.00075  0.00075  0.50   98303      73   98267  7310574  74.37
1971-1974        3      0.00065  0.00065  0.50   98230      64   98198  7212307  73.42
1971-1974        4      0.00047  0.00047  0.50   98167      46   98143  7114109  72.47
1971-1974        5      0.00039  0.00039  0.50   98120      38   98101  7015966  71.50
1971-1974        6      0.00048  0.00048  0.50   98082      47   98059  6917865  70.53
1971-1974        7      0.00024  0.00024  0.50   98035      23   98023  6819806  69.56
1971-1974        8      0.00029  0.00029  0.50   98012      28   97998  6721782  68.58
1971-1974        9      0.00032  0.00032  0.50   97983      32   97967  6623785  67.60
1971-1974       10      0.00025  0.00025  0.50   97952      25   97939  6525817  66.62
1971-1974       11      0.00029  0.00029  0.50   97927      28   97913  6427878  65.64
1971-1974       12      0.00017  0.00017  0.50   97899      17   97890  6329965  64.66
1971-1974       13      0.00023  0.00023  0.50   97882      22   97871  6232075  63.67
1971-1974       14      0.00027  0.00027  0.50   97860      26   97847  6134204  62.68
1971-1974       15      0.00048  0.00048  0.50   97834      47   97810  6036357  61.70
1971-1974       16      0.00067  0.00067  0.50   97786      65   97754  5938547  60.73
1971-1974       17      0.00092  0.00091  0.50   97721      89   97677  5840793  59.77
1971-1974       18      0.00080  0.00080  0.50   97632      78   97593  5743117  58.82
1971-1974       19      0.00072  0.00072  0.50   97554      70   97519  5645524  57.87
1971-1974       20      0.00073  0.00073  0.50   97483      72   97447  5548005  56.91
1971-1974       21      0.00084  0.00084  0.50   97412      82   97371  5450558  55.95
1971-1974       22      0.00046  0.00046  0.50   97330      45   97307  5353187  55.00
1971-1974       23      0.00069  0.00069  0.50   97285      67   97251  5255880  54.03
1971-1974       24      0.00083  0.00083  0.50   97218      80   97178  5158629  53.06
1971-1974       25      0.00056  0.00056  0.50   97138      55   97110  5061451  52.11
1971-1974       26      0.00078  0.00078  0.50   97083      75   97045  4964341  51.14
1971-1974       27      0.00061  0.00061  0.50   97007      59   96978  4867295  50.17
1971-1974       28      0.00065  0.00065  0.50   96948      63   96917  4770318  49.20
1971-1974       29      0.00080  0.00080  0.50   96885      77   96847  4673401  48.24
1971-1974       30      0.00081  0.00081  0.50   96808      79   96769  4576554  47.27
1971-1974       31      0.00085  0.00085  0.50   96729      82   96688  4479786  46.31
1971-1974       32      0.00109  0.00109  0.50   96648     105   96595  4383097  45.35
1971-1974       33      0.00098  0.00098  0.50   96542      95   96495  4286502  44.40
1971-1974       34      0.00099  0.00099  0.50   96447      95   96400  4190008  43.44
1971-1974       35      0.00110  0.00110  0.50   96352     106   96299  4093608  42.49
1971-1974       36      0.00130  0.00130  0.50   96247     125   96184  3997308  41.53
1971-1974       37      0.00146  0.00146  0.50   96122     141   96051  3901124  40.59
1971-1974       38      0.00143  0.00143  0.50   95981     137   95912  3805073  39.64
