QLD, Life tables (period 5x10), Females	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1979        0      0.01362  0.01346  0.12  100000    1346   98817  7618838  76.19
1971-1979      1-4      0.00078  0.00311  1.53   98654     306  393859  7520021  76.23
1971-1979      5-9      0.00032  0.00160  2.38   98348     157  491326  7126162  72.46
1971-1979     10-14     0.00025  0.00126  2.50   98190     124  490642  6634836  67.57
1971-1979     15-19     0.00063  0.00314  2.67   98066     308  489615  6144194  62.65
1971-1979     20-24     0.00063  0.00312  2.47   97758     305  488020  5654580  57.84
1971-1979     25-29     0.00058  0.00288  2.53   97453     281  486573  5166560  53.02
1971-1979     30-34     0.00082  0.00410  2.58   97172     398  484897  4679987  48.16
1971-1979     35-39     0.00133  0.00664  2.72   96774     642  482408  4195089  43.35
1971-1979     40-44     0.00217  0.01079  2.71   96132    1037  478281  3712681  38.62
1971-1979     45-49     0.00371  0.01838  2.68   95095    1748  471424  3234400  34.01
1971-1979     50-54     0.00526  0.02599  2.66   93347    2426  461059  2762976  29.60
1971-1979     55-59     0.00774  0.03799  2.64   90921    3454  446449  2301917  25.32
1971-1979     60-64     0.01165  0.05671  2.64   87467    4960  425608  1855468  21.21
1971-1979     65-69     0.01742  0.08372  2.69   82507    6907  396613  1429860  17.33
1971-1979     70-74     0.02871  0.13460  2.68   75600   10176  354374  1033247  13.67
1971-1979     75-79     0.05073  0.22610  2.60   65424   14793  291620   678873  10.38
1971-1979     80-84     0.08846  0.36361  2.55   50632   18410  208120   387253   7.65
1971-1979     85-89     0.14471  0.52565  2.40   32222   16937  117044   179134   5.56
1971-1979     90-94     0.21648  0.67890  2.25   15285   10377   47934    62090   4.06
1971-1979     95-99     0.32904  0.82534  1.98    4908    4051   12311    14156   2.88
1971-1979    100-104    0.45529  0.91338  1.72     857     783    1720     1845   2.15
1971-1979    105-109    0.58820  0.95876  1.49      74      71     121      125   1.69
1971-1979    110+       0.69314  1.00000  1.44       3       3       4        4   1.44
1980-1989        0      0.00859  0.00852  0.13  100000     852   99260  7919322  79.19
1980-1989      1-4      0.00051  0.00202  1.46   99148     200  396082  7820063  78.87
1980-1989      5-9      0.00019  0.00094  2.52   98947      93  494506  7423980  75.03
1980-1989     10-14     0.00020  0.00100  2.77   98854      99  494051  6929475  70.10
1980-1989     15-19     0.00040  0.00199  2.74   98755     197  493332  6435424  65.17
1980-1989     20-24     0.00053  0.00266  2.46   98559     262  492127  5942092  60.29
1980-1989     25-29     0.00053  0.00262  2.52   98296     258  490842  5449965  55.44
1980-1989     30-34     0.00060  0.00301  2.56   98038     295  489473  4959123  50.58
1980-1989     35-39     0.00084  0.00418  2.70   97743     409  487776  4469650  45.73
1980-1989     40-44     0.00135  0.00674  2.82   97334     656  485243  3981874  40.91
1980-1989     45-49     0.00232  0.01156  2.69   96678    1118  480810  3496631  36.17
1980-1989     50-54     0.00388  0.01921  2.63   95561    1836  473456  3015821  31.56
1980-1989     55-59     0.00585  0.02888  2.68   93725    2707  462351  2542365  27.13
1980-1989     60-64     0.00884  0.04332  2.65   91018    3943  445824  2080013  22.85
1980-1989     65-69     0.01415  0.06850  2.66   87075    5965  421415  1634190  18.77
1980-1989     70-74     0.02393  0.11322  2.63   81110    9183  383770  1212775  14.95
1980-1989     75-79     0.03995  0.18238  2.61   71927   13118  328343   829005  11.53
1980-1989     80-84     0.07169  0.30584  2.60   58809   17986  250883   500661   8.51
1980-1989     85-89     0.12382  0.47040  2.45   40823   19203  155085   249779   6.12
1980-1989     90-94     0.19528  0.64068  2.32   21620   13851   70931    94694   4.38
1980-1989     95-99     0.30649  0.80338  2.04    7769    6241   20363    23763   3.06
1980-1989    100-104    0.43870  0.90588  1.76    1527    1384    3154     3400   2.23
1980-1989    105-109    0.58086  0.95753  1.50     144     138     237      246   1.71
1980-1989    110+       0.69365  1.00000  1.44       6       6       9        9   1.44
1990-1999        0      0.00578  0.00576  0.14  100000     576   99503  8116248  81.16
1990-1999      1-4      0.00033  0.00132  1.49   99424     131  397369  8016745  80.63
1990-1999      5-9      0.00016  0.00080  2.48   99293      80  496265  7619376  76.74
1990-1999     10-14     0.00017  0.00086  2.65   99214      85  495868  7123111  71.80
1990-1999     15-19     0.00041  0.00203  2.97   99129     201  495236  6627242  66.85
1990-1999     20-24     0.00042  0.00209  2.52   98928     207  494126  6132006  61.98
1990-1999     25-29     0.00048  0.00239  2.54   98721     236  493026  5637881  57.11
1990-1999     30-34     0.00054  0.00270  2.58   98485     266  491781  5144855  52.24
1990-1999     35-39     0.00079  0.00395  2.58   98219     388  490155  4653074  47.37
1990-1999     40-44     0.00111  0.00553  2.71   97831     541  487918  4162920  42.55
1990-1999     45-49     0.00172  0.00858  2.74   97290     834  484564  3675002  37.77
1990-1999     50-54     0.00282  0.01400  2.64   96456    1350  479095  3190438  33.08
1990-1999     55-59     0.00454  0.02246  2.67   95106    2136  470559  2711343  28.51
1990-1999     60-64     0.00731  0.03593  2.65   92969    3340  456998  2240784  24.10
1990-1999     65-69     0.01171  0.05699  2.66   89629    5108  436214  1783786  19.90
1990-1999     70-74     0.01971  0.09427  2.69   84521    7968  404212  1347573  15.94
1990-1999     75-79     0.03422  0.15842  2.66   76553   12127  354419   943361  12.32
1990-1999     80-84     0.06070  0.26536  2.63   64426   17096  281667   588942   9.14
1990-1999     85-89     0.10893  0.42918  2.53   47330   20313  186467   307275   6.49
1990-1999     90-94     0.18854  0.62556  2.31   27017   16901   89641   120808   4.47
1990-1999     95-99     0.30269  0.80084  2.06   10116    8102   26765    31167   3.08
1990-1999    100-104    0.44705  0.91140  1.75    2015    1836    4107     4402   2.18
1990-1999    105-109    0.60188  0.96285  1.47     179     172     286      295   1.65
1990-1999    110+       0.72246  1.00000  1.38       7       7       9        9   1.38
2000-2009        0      0.00471  0.00469  0.14  100000     469   99596  8316712  83.17
2000-2009      1-4      0.00022  0.00090  1.56   99531      89  397907  8217115  82.56
2000-2009      5-9      0.00012  0.00058  2.51   99442      57  497067  7819209  78.63
2000-2009     10-14     0.00011  0.00056  2.99   99385      56  496811  7322141  73.67
2000-2009     15-19     0.00027  0.00134  2.65   99329     133  496332  6825330  68.71
2000-2009     20-24     0.00032  0.00160  2.50   99196     159  495581  6328998  63.80
2000-2009     25-29     0.00039  0.00193  2.63   99037     191  494732  5833417  58.90
2000-2009     30-34     0.00045  0.00225  2.61   98846     222  493697  5338686  54.01
2000-2009     35-39     0.00068  0.00340  2.64   98624     335  492327  4844988  49.13
2000-2009     40-44     0.00098  0.00488  2.62   98288     480  490301  4352661  44.28
2000-2009     45-49     0.00150  0.00749  2.65   97809     732  487323  3862360  39.49
2000-2009     50-54     0.00219  0.01087  2.64   97077    1055  482894  3375038  34.77
2000-2009     55-59     0.00342  0.01699  2.66   96021    1631  476286  2892143  30.12
2000-2009     60-64     0.00529  0.02615  2.64   94390    2468  466135  2415857  25.59
2000-2009     65-69     0.00896  0.04388  2.71   91922    4033  450361  1949722  21.21
2000-2009     70-74     0.01523  0.07358  2.70   87889    6467  424568  1499361  17.06
2000-2009     75-79     0.02685  0.12650  2.71   81422   10300  383559  1074792  13.20
2000-2009     80-84     0.05065  0.22657  2.68   71122   16114  318157   691233   9.72
2000-2009     85-89     0.09800  0.39561  2.57   55007   21762  222051   373076   6.78
2000-2009     90-94     0.18309  0.61695  2.36   33246   20511  112026   151025   4.54
2000-2009     95-99     0.30359  0.80372  2.07   12735   10235   33714    39000   3.06
2000-2009    100-104    0.46266  0.92017  1.73    2500    2300    4971     5286   2.11
2000-2009    105-109    0.63126  0.96906  1.42     200     193     306      314   1.58
2000-2009    110+       0.75829  1.00000  1.32       6       6       8        8   1.32
2010-2016        0      0.00425  0.00424  0.14  100000     424   99636  8440074  84.40
2010-2016      1-4      0.00017  0.00067  1.70   99576      67  398151  8340438  83.76
2010-2016      5-9      0.00010  0.00052  2.45   99509      52  497415  7942287  79.81
2010-2016     10-14     0.00008  0.00039  2.94   99457      38  497208  7444872  74.85
2010-2016     15-19     0.00025  0.00126  2.60   99419     126  496794  6947664  69.88
2010-2016     20-24     0.00029  0.00146  2.46   99293     145  496099  6450870  64.97
2010-2016     25-29     0.00032  0.00162  2.56   99148     160  495351  5954771  60.06
2010-2016     30-34     0.00047  0.00233  2.60   98988     230  494387  5459420  55.15
2010-2016     35-39     0.00064  0.00322  2.68   98758     318  493053  4965032  50.27
2010-2016     40-44     0.00094  0.00467  2.69   98440     459  491138  4471980  45.43
2010-2016     45-49     0.00144  0.00715  2.70   97981     701  488292  3980842  40.63
2010-2016     50-54     0.00211  0.01052  2.64   97280    1023  483982  3492549  35.90
2010-2016     55-59     0.00310  0.01540  2.62   96256    1483  477745  3008568  31.26
2010-2016     60-64     0.00471  0.02327  2.67   94773    2205  468720  2530823  26.70
2010-2016     65-69     0.00723  0.03554  2.69   92568    3290  455240  2062103  22.28
2010-2016     70-74     0.01259  0.06113  2.65   89278    5458  433563  1606863  18.00
2010-2016     75-79     0.02232  0.10616  2.70   83821    8898  398652  1173300  14.00
2010-2016     80-84     0.04376  0.19880  2.70   74923   14895  340408   774648  10.34
2010-2016     85-89     0.08664  0.35830  2.59   60028   21508  248255   434241   7.23
2010-2016     90-94     0.16630  0.58000  2.39   38520   22341  134346   185985   4.83
2010-2016     95-99     0.28820  0.78683  2.12   16178   12730   44169    51639   3.19
2010-2016    100-104    0.45054  0.91509  1.76    3449    3156    7005     7470   2.17
2010-2016    105-109    0.62568  0.96834  1.43     293     284     453      465   1.59
2010-2016    110+       0.75815  1.00000  1.32       9       9      12       12   1.32
