QLD, Life tables (period 1x1), Males	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1971           0      0.02140  0.02100  0.11  100000    2100   98124  6798338  67.98
  1971           1      0.00121  0.00120  0.50   97900     118   97841  6700214  68.44
  1971           2      0.00112  0.00112  0.50   97782     109   97728  6602373  67.52
  1971           3      0.00070  0.00070  0.50   97673      69   97639  6504645  66.60
  1971           4      0.00083  0.00083  0.50   97604      81   97564  6407007  65.64
  1971           5      0.00033  0.00033  0.50   97524      32   97507  6309443  64.70
  1971           6      0.00072  0.00071  0.50   97491      70   97456  6211935  63.72
  1971           7      0.00069  0.00069  0.50   97422      67   97388  6114479  62.76
  1971           8      0.00036  0.00036  0.50   97354      35   97337  6017091  61.81
  1971           9      0.00035  0.00035  0.50   97319      34   97302  5919754  60.83
  1971          10      0.00035  0.00035  0.50   97285      34   97268  5822453  59.85
  1971          11      0.00046  0.00046  0.50   97250      45   97228  5725185  58.87
  1971          12      0.00036  0.00036  0.50   97206      35   97188  5627957  57.90
  1971          13      0.00053  0.00053  0.50   97171      52   97145  5530769  56.92
  1971          14      0.00109  0.00109  0.50   97119     106   97066  5433624  55.95
  1971          15      0.00084  0.00084  0.50   97013      81   96973  5336558  55.01
  1971          16      0.00185  0.00185  0.50   96932     179   96842  5239585  54.05
  1971          17      0.00168  0.00168  0.50   96753     162   96671  5142743  53.15
  1971          18      0.00203  0.00203  0.50   96590     196   96492  5046072  52.24
  1971          19      0.00326  0.00325  0.50   96394     314   96238  4949579  51.35
  1971          20      0.00265  0.00265  0.50   96081     254   95954  4853342  50.51
  1971          21      0.00201  0.00201  0.50   95826     192   95730  4757388  49.65
  1971          22      0.00213  0.00213  0.50   95634     204   95532  4661658  48.74
  1971          23      0.00144  0.00144  0.50   95430     138   95362  4566125  47.85
  1971          24      0.00190  0.00190  0.50   95293     181   95202  4470764  46.92
  1971          25      0.00166  0.00166  0.50   95112     158   95033  4375561  46.00
  1971          26      0.00112  0.00112  0.50   94954     107   94900  4280528  45.08
  1971          27      0.00183  0.00183  0.50   94847     173   94760  4185628  44.13
  1971          28      0.00193  0.00192  0.50   94674     182   94583  4090868  43.21
  1971          29      0.00144  0.00144  0.50   94492     136   94424  3996285  42.29
  1971          30      0.00196  0.00196  0.50   94356     184   94263  3901861  41.35
  1971          31      0.00202  0.00202  0.50   94171     190   94076  3807598  40.43
  1971          32      0.00185  0.00185  0.50   93981     174   93894  3713522  39.51
  1971          33      0.00170  0.00170  0.50   93807     159   93727  3619628  38.59
  1971          34      0.00163  0.00163  0.50   93648     153   93571  3525901  37.65
  1971          35      0.00238  0.00238  0.50   93495     222   93384  3432330  36.71
  1971          36      0.00197  0.00197  0.50   93273     184   93181  3338946  35.80
  1971          37      0.00275  0.00275  0.50   93089     256   92961  3245765  34.87
  1971          38      0.00234  0.00234  0.50   92833     217   92725  3152804  33.96
  1971          39      0.00365  0.00365  0.50   92616     338   92447  3060079  33.04
  1971          40      0.00297  0.00297  0.50   92279     274   92142  2967631  32.16
  1971          41      0.00323  0.00322  0.50   92005     296   91857  2875490  31.25
  1971          42      0.00391  0.00390  0.50   91709     358   91530  2783633  30.35
  1971          43      0.00486  0.00485  0.50   91351     443   91130  2692103  29.47
  1971          44      0.00541  0.00540  0.50   90908     491   90663  2600973  28.61
  1971          45      0.00458  0.00457  0.50   90418     414   90211  2510310  27.76
  1971          46      0.00574  0.00572  0.50   90004     515   89746  2420099  26.89
  1971          47      0.00522  0.00520  0.50   89489     466   89256  2330353  26.04
  1971          48      0.00708  0.00706  0.50   89023     628   88709  2241097  25.17
  1971          49      0.00738  0.00735  0.50   88395     650   88070  2152388  24.35
  1971          50      0.00805  0.00802  0.50   87745     703   87393  2064318  23.53
  1971          51      0.01004  0.00999  0.50   87041     870   86607  1976925  22.71
  1971          52      0.01115  0.01109  0.50   86172     955   85694  1890318  21.94
  1971          53      0.00978  0.00973  0.50   85216     829   84802  1804624  21.18
  1971          54      0.01256  0.01248  0.50   84387    1053   83861  1719822  20.38
  1971          55      0.01673  0.01659  0.50   83334    1383   82643  1635962  19.63
  1971          56      0.01450  0.01440  0.50   81951    1180   81362  1553319  18.95
