QLD, Life tables (period 1x5), Males	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1974        0      0.01977  0.01943  0.11  100000    1943   98270  6804346  68.04
1971-1974        1      0.00151  0.00151  0.50   98057     148   97983  6706075  68.39
1971-1974        2      0.00131  0.00131  0.50   97909     128   97845  6608092  67.49
1971-1974        3      0.00081  0.00081  0.50   97781      79   97741  6510247  66.58
1971-1974        4      0.00062  0.00062  0.50   97702      61   97671  6412506  65.63
1971-1974        5      0.00050  0.00050  0.50   97641      49   97617  6314834  64.67
1971-1974        6      0.00060  0.00060  0.50   97592      59   97563  6217218  63.71
1971-1974        7      0.00040  0.00040  0.50   97534      39   97514  6119655  62.74
1971-1974        8      0.00028  0.00028  0.50   97495      27   97481  6022141  61.77
1971-1974        9      0.00035  0.00035  0.50   97468      34   97451  5924660  60.79
1971-1974       10      0.00042  0.00042  0.50   97434      40   97414  5827209  59.81
1971-1974       11      0.00032  0.00032  0.50   97393      31   97378  5729796  58.83
1971-1974       12      0.00055  0.00055  0.50   97362      53   97335  5632418  57.85
1971-1974       13      0.00048  0.00048  0.50   97308      47   97285  5535083  56.88
1971-1974       14      0.00071  0.00071  0.50   97262      69   97227  5437798  55.91
1971-1974       15      0.00082  0.00082  0.50   97193      80   97153  5340570  54.95
1971-1974       16      0.00150  0.00150  0.50   97113     146   97040  5243418  53.99
1971-1974       17      0.00197  0.00197  0.50   96967     191   96871  5146378  53.07
1971-1974       18      0.00236  0.00235  0.50   96776     228   96662  5049506  52.18
1971-1974       19      0.00309  0.00308  0.50   96548     298   96400  4952844  51.30
1971-1974       20      0.00245  0.00245  0.50   96251     236   96133  4856445  50.46
1971-1974       21      0.00224  0.00224  0.50   96015     215   95908  4760312  49.58
1971-1974       22      0.00211  0.00211  0.50   95800     202   95699  4664404  48.69
1971-1974       23      0.00185  0.00184  0.50   95598     176   95510  4568705  47.79
1971-1974       24      0.00187  0.00187  0.50   95422     178   95333  4473195  46.88
1971-1974       25      0.00174  0.00174  0.50   95244     166   95161  4377862  45.96
1971-1974       26      0.00142  0.00142  0.50   95078     135   95011  4282701  45.04
1971-1974       27      0.00149  0.00149  0.50   94943     141   94873  4187691  44.11
1971-1974       28      0.00140  0.00140  0.50   94802     133   94735  4092818  43.17
1971-1974       29      0.00156  0.00156  0.50   94669     148   94595  3998083  42.23
1971-1974       30      0.00138  0.00138  0.50   94521     130   94456  3903488  41.30
1971-1974       31      0.00182  0.00182  0.50   94391     172   94305  3809032  40.35
1971-1974       32      0.00199  0.00199  0.50   94219     187   94125  3714727  39.43
1971-1974       33      0.00155  0.00155  0.50   94032     145   93959  3620601  38.50
1971-1974       34      0.00185  0.00185  0.50   93886     174   93799  3526643  37.56
1971-1974       35      0.00237  0.00237  0.50   93712     222   93601  3432843  36.63
1971-1974       36      0.00249  0.00249  0.50   93490     232   93374  3339242  35.72
1971-1974       37      0.00225  0.00224  0.50   93258     209   93153  3245868  34.81
1971-1974       38      0.00228  0.00227  0.50   93049     211   92943  3152715  33.88
