SA,  Births (1-year)	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

Year          Female      Male     Total
1911            5442      5615     11057
1912            5911      6168     12079
1913            6122      6505     12627
1914            6236      6668     12904
1915            5722      6076     11798
1916            5657      6200     11857
1917            5564      5762     11326
1918            5570      5787     11357
1919            5284      5776     11060
1920            5850      6178     12028
1921            5852      6122     11974
1922            5851      6150     12001
1923            5716      5976     11692
1924            5651      5941     11592
1925            5633      5824     11457
1926            5577      5906     11483
1927            5627      5865     11492
1928            5532      5876     11408
1929            5141      5524     10665
1930            4884      5100      9984
1931            4463      4616      9079
1932            4168      4353      8521
1933            4249      4651      8900
1934            4105      4354      8459
1935            3984      4286      8270
1936            4402      4509      8911
1937            4374      4611      8985
1938            4547      4863      9410
1939            4631      4987      9618
1940            4872      5145     10017
1941            5232      5733     10965
1942            5461      5817     11278
1943            6373      6772     13145
1944            6513      6798     13311
1945            6868      7165     14033
1946            7707      8106     15813
1947            7934      8383     16317
1948            7692      8178     15870
1949            7809      8233     16042
1950            8426      8880     17306
1951            8500      8963     17463
1952            8743      9141     17884
1953            8809      9347     18156
1954            8880      9347     18227
1955            8970      9524     18494
1956            9256      9708     18964
1957            9511     10025     19536
1958            9866     10181     20047
1959           10047     10325     20372
1960           10206     10760     20966
1961           10997     11402     22399
1962           10358     11003     21361
1963           10361     11006     21367
1964           10017     10849     20866
1965           10113     10778     20891
1966            9806     10556     20362
1967            9984     10402     20386
1968           10258     10949     21207
1969           10715     11262     21977
1970           11062     11555     22617
1971           11199     11797     22996
1972           10499     11249     21748
1973            9763     10565     20328
1974            9646     10471     20117
1975            9735     10148     19883
1976            9079      9787     18866
1977            9314      9856     19170
1978            9051      9472     18523
1979            8939      9474     18413
1980            9010      9420     18430
1981            9502      9769     19271
1982            9283      9916     19199
1983            9619     10211     19830
1984            9776     10276     20052
1985            9643     10147     19790
1986            9811      9930     19741
1987            9339      9896     19235
1988            9238      9917     19155
1989            9458     10152     19610
1990            9693     10170     19863
1991            9465     10175     19640
1992            9354      9957     19311
1993            9846     10232     20078
1994            9458      9951     19409
1995            9359      9977     19336
1996            9346      9710     19056
1997            8979      9383     18362
1998            8960      9266     18226
1999            8774      9184     17958
2000            8695      9164     17859
2001            8551      8730     17281
2002            8614      9051     17665
2003            8442      9001     17443
2004            8347      8793     17140
2005            8709      9092     17801
2006            8891      9369     18260
2007            9767      9899     19666
2008            9896     10333     20229
2009            9502     10233     19735
2010            9681     10397     20078
2011            9746     10146     19892
2012            9916     10517     20433
2013            9655     10435     20090
2014           10014     10370     20384
2015            9569     10018     19587
2016            9532     10240     19772
2017            9205      9867     19072
2018            9285      9828     19113
2019            9498      9992     19490
2020            9031      9495     18526
2021            9643     10114     19757
