SA, Deaths (period 1x1), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0               161.00          200.00          361.00
  1971           1                16.00           17.00           33.00
  1971           2                 1.00           11.00           12.00
  1971           3                 5.00           10.00           15.00
  1971           4                 2.00            5.00            7.00
  1971           5                 1.00            3.00            4.00
  1971           6                 5.00            0.00            5.00
  1971           7                 4.00            5.00            9.00
  1971           8                 4.00            4.00            8.00
  1971           9                 5.00            8.00           13.00
  1971          10                 0.00            1.00            1.00
  1971          11                 0.00            6.00            6.00
  1971          12                 3.00            5.00            8.00
  1971          13                 1.00            2.00            3.00
  1971          14                 1.00            1.00            2.00
  1971          15                 6.00           11.00           17.00
  1971          16                 6.00           15.00           21.00
  1971          17                15.00           20.00           35.00
  1971          18                 7.00           19.00           26.00
  1971          19                 7.00           24.00           31.00
  1971          20                12.00           16.00           28.00
  1971          21                 8.00           23.00           31.00
  1971          22                 4.00           14.00           18.00
  1971          23                 7.00           10.00           17.00
  1971          24                 5.00           11.00           16.00
  1971          25                 3.00            8.00           11.00
  1971          26                 9.00           15.00           24.00
  1971          27                 5.00            7.00           12.00
  1971          28                 4.00           10.00           14.00
  1971          29                 6.00            9.00           15.00
  1971          30                 9.00           13.00           22.00
  1971          31                 8.00           13.00           21.00
  1971          32                 4.00            8.00           12.00
  1971          33                 8.00            7.00           15.00
  1971          34                 7.00           12.00           19.00
  1971          35                 5.00           11.00           16.00
  1971          36                 9.00           12.00           21.00
  1971          37                 7.00           14.00           21.00
  1971          38                 8.00           17.00           25.00
  1971          39                 7.00           19.00           26.00
  1971          40                 7.00           19.00           26.00
  1971          41                17.00           21.00           38.00
  1971          42                18.00           25.00           43.00
  1971          43                 9.00           16.00           25.00
  1971          44                15.00           25.00           40.00
  1971          45                15.00           27.00           42.00
  1971          46                20.00           42.00           62.00
  1971          47                17.00           40.00           57.00
  1971          48                22.00           33.00           55.00
  1971          49                27.00           46.00           73.00
  1971          50                29.00           47.00           76.00
  1971          51                31.00           54.00           85.00
  1971          52                33.00           44.00           77.00
  1971          53                24.00           50.00           74.00
  1971          54                35.00           64.00           99.00
  1971          55                31.00           66.00           97.00
  1971          56                34.00           72.00          106.00
  1971          57                35.00          103.00          138.00
  1971          58                39.00          111.00          150.00
  1971          59                53.00          100.00          153.00
  1971          60                44.00          100.00          144.00
  1971          61                45.00          102.00          147.00
  1971          62                52.00           99.00          151.00
  1971          63                56.00          105.00          161.00
  1971          64                65.00          104.00          169.00
  1971          65                55.00          121.00          176.00
  1971          66                65.00          126.00          191.00
  1971          67                86.00          139.00          225.00
  1971          68                78.00          129.00          207.00
  1971          69                93.00          124.00          217.00
  1971          70                96.00          151.00          247.00
  1971          71               108.00          156.00          264.00
  1971          72                94.00          150.00          244.00
  1971          73               105.00          128.00          233.00
  1971          74               137.00          134.00          271.00
  1971          75               118.00          148.00          266.00
  1971          76               137.00          133.00          270.00
  1971          77               123.00          123.00          246.00
  1971          78               142.00          139.00          281.00
  1971          79               153.00          129.00          282.00
  1971          80               134.00          131.00          265.00
  1971          81               137.00          132.00          269.00
  1971          82               163.00          123.00          286.00
  1971          83               144.00          131.00          275.00
  1971          84               135.00           94.00          229.00
  1971          85               151.00          107.00          258.00
  1971          86               120.00           85.00          205.00
  1971          87               117.00           78.00          195.00
  1971          88                89.00           55.00          144.00
  1971          89                83.00           52.00          135.00
  1971          90                87.00           40.00          127.00
  1971          91                60.00           26.00           86.00
  1971          92                44.00           16.00           60.00
  1971          93                40.00           17.00           57.00
  1971          94                33.00           14.00           47.00
  1971          95                24.00            8.00           32.00
  1971          96                12.00            7.00           19.00
  1971          97                11.00            1.00           12.00
  1971          98                13.00            2.00           15.00
  1971          99                 5.00            5.00           10.00
  1971         100                 6.16            1.61            7.77
  1971         101                 4.23            1.03            5.26
  1971         102                 2.83            0.36            3.19
  1971         103                 1.86            0.00            1.86
  1971         104                 1.19            0.00            1.19
  1971         105                 0.75            0.00            0.75
  1971         106                 0.00            0.00            0.00
  1971         107                 0.00            0.00            0.00
  1971         108                 0.00            0.00            0.00
  1971         109                 0.00            0.00            0.00
  1971         110+                0.00            0.00            0.00
  1972           0               153.00          204.00          357.00
  1972           1                10.00           17.00           27.00
  1972           2                 5.00           11.00           16.00
  1972           3                 5.00            9.00           14.00
  1972           4                 8.00            7.00           15.00
  1972           5                 2.00            8.00           10.00
  1972           6                 3.00            1.00            4.00
  1972           7                 7.00            7.00           14.00
  1972           8                 1.00            3.00            4.00
  1972           9                 2.00            1.00            3.00
  1972          10                 1.00            2.00            3.00
  1972          11                 4.00            8.00           12.00
  1972          12                 5.00            4.00            9.00
  1972          13                 7.00            3.00           10.00
  1972          14                 1.00           10.00           11.00
  1972          15                 6.00           11.00           17.00
  1972          16                 7.00            6.00           13.00
  1972          17                 1.00           17.00           18.00
