SA,  Deaths (Lexis triangle)	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1971    0      1971      137.09      169.90      306.99
 1971    0      1970       23.91       30.10       54.01
 1971    1      1970        8.76        9.24       18.00
 1971    1      1969        7.24        7.76       15.00
 1971    2      1969        0.54        5.86        6.40
 1971    2      1968        0.46        5.14        5.60
 1971    3      1968        2.68        5.37        8.05
 1971    3      1967        2.32        4.63        6.95
 1971    4      1967        1.07        2.63        3.70
 1971    4      1966        0.93        2.37        3.30
 1971    5      1966        0.51        1.56        2.07
 1971    5      1965        0.49        1.44        1.93
 1971    6      1965        2.61        0.00        2.61
 1971    6      1964        2.39        0.00        2.39
 1971    7      1964        2.06        2.60        4.66
 1971    7      1963        1.94        2.40        4.34
 1971    8      1963        2.08        2.09        4.17
 1971    8      1962        1.92        1.91        3.83
 1971    9      1962        2.55        4.13        6.68
 1971    9      1961        2.45        3.87        6.32
 1971   10      1961        0.00        0.52        0.52
 1971   10      1960        0.00        0.48        0.48
 1971   11      1960        0.00        3.11        3.11
 1971   11      1959        0.00        2.89        2.89
 1971   12      1959        1.52        2.57        4.09
 1971   12      1958        1.48        2.43        3.91
 1971   13      1958        0.51        1.03        1.54
 1971   13      1957        0.49        0.97        1.46
 1971   14      1957        0.51        0.52        1.03
 1971   14      1956        0.49        0.48        0.97
 1971   15      1956        3.06        5.56        8.62
 1971   15      1955        2.94        5.44        8.38
 1971   16      1955        3.04        7.58       10.62
 1971   16      1954        2.96        7.42       10.38
 1971   17      1954        7.60       10.04       17.64
 1971   17      1953        7.40        9.96       17.36
 1971   18      1953        3.54        9.61       13.15
 1971   18      1952        3.46        9.39       12.85
 1971   19      1952        3.57       12.13       15.70
 1971   19      1951        3.43       11.87       15.30
 1971   20      1951        6.17        8.40       14.57
 1971   20      1950        5.83        7.60       13.43
 1971   21      1950        4.21       12.34       16.55
 1971   21      1949        3.79       10.66       14.45
 1971   22      1949        2.06        7.34        9.40
 1971   22      1948        1.94        6.66        8.60
 1971   23      1948        3.55        5.19        8.74
 1971   23      1947        3.45        4.81        8.26
 1971   24      1947        2.59        5.82        8.41
 1971   24      1946        2.41        5.18        7.59
 1971   25      1946        1.61        4.39        6.00
 1971   25      1945        1.39        3.61        5.00
 1971   26      1945        4.71        8.05       12.76
 1971   26      1944        4.29        6.95       11.24
 1971   27      1944        2.59        3.70        6.29
 1971   27      1943        2.41        3.30        5.71
 1971   28      1943        2.17        5.54        7.71
 1971   28      1942        1.83        4.46        6.29
 1971   29      1942        3.13        4.77        7.90
 1971   29      1941        2.87        4.23        7.10
 1971   30      1941        4.75        7.04       11.79
 1971   30      1940        4.25        5.96       10.21
 1971   31      1940        4.19        6.87       11.06
 1971   31      1939        3.81        6.13        9.94
 1971   32      1939        2.07        4.22        6.29
 1971   32      1938        1.93        3.78        5.71
 1971   33      1938        4.17        3.72        7.89
 1971   33      1937        3.83        3.28        7.11
 1971   34      1937        3.59        6.32        9.91
 1971   34      1936        3.41        5.68        9.09
 1971   35      1936        2.65        5.74        8.39
 1971   35      1935        2.35        5.26        7.61
 1971   36      1935        4.55        6.12       10.67
 1971   36      1934        4.45        5.88       10.33
 1971   37      1934        3.53        7.02       10.55
 1971   37      1933        3.47        6.98       10.45
 1971   38      1933        4.12        8.92       13.04
 1971   38      1932        3.88        8.08       11.96
 1971   39      1932        3.49        9.55       13.04
 1971   39      1931        3.51        9.45       12.96
 1971   40      1931        3.46        9.32       12.78
 1971   40      1930        3.54        9.68       13.22
 1971   41      1930        8.53       10.37       18.90
 1971   41      1929        8.47       10.63       19.10
 1971   42      1929        8.96       12.43       21.39
 1971   42      1928        9.04       12.57       21.61
 1971   43      1928        4.57        8.13       12.70
 1971   43      1927        4.43        7.87       12.30
 1971   44      1927        7.70       12.67       20.37
 1971   44      1926        7.30       12.33       19.63
 1971   45      1926        7.64       13.70       21.34
 1971   45      1925        7.36       13.30       20.66
 1971   46      1925       10.22       21.06       31.28
 1971   46      1924        9.78       20.94       30.72
 1971   47      1924        8.66       20.15       28.81
 1971   47      1923        8.34       19.85       28.19
 1971   48      1923       11.16       16.49       27.65
 1971   48      1922       10.84       16.51       27.35
 1971   49      1922       13.81       23.26       37.07
 1971   49      1921       13.19       22.74       35.93
 1971   50      1921       14.79       23.67       38.46
 1971   50      1920       14.21       23.33       37.54
 1971   51      1920       16.39       27.91       44.30
 1971   51      1919       14.61       26.09       40.70
 1971   52      1919       16.51       22.21       38.72
 1971   52      1918       16.49       21.79       38.28
 1971   53      1918       12.25       25.29       37.54
 1971   53      1917       11.75       24.71       36.46
 1971   54      1917       17.75       31.51       49.26
 1971   54      1916       17.25       32.49       49.74
 1971   55      1916       15.73       33.59       49.32
 1971   55      1915       15.27       32.41       47.68
 1971   56      1915       16.78       35.22       52.00
 1971   56      1914       17.22       36.78       54.00
 1971   57      1914       17.95       52.50       70.45
 1971   57      1913       17.05       50.50       67.55
 1971   58      1913       20.12       57.13       77.25
 1971   58      1912       18.88       53.87       72.75
 1971   59      1912       27.80       52.18       79.98
 1971   59      1911       25.20       47.82       73.02
 1971   60      1911       22.22       50.39       72.61
 1971   60      1910       21.78       49.61       71.39
 1971   61      1910       22.73       51.40       74.13
 1971   61      1909       22.27       50.60       72.87
 1971   62      1909       26.26       49.89       76.15
 1971   62      1908       25.74       49.11       74.85
 1971   63      1908       28.28       52.91       81.19
 1971   63      1907       27.72       52.09       79.81
 1971   64      1907       32.83       52.41       85.24
 1971   64      1906       32.17       51.59       83.76
 1971   65      1906       27.55       60.71       88.26
 1971   65      1905       27.45       60.29       87.74
 1971   66      1905       32.56       63.22       95.78
 1971   66      1904       32.44       62.78       95.22
 1971   67      1904       43.08       69.74      112.82
 1971   67      1903       42.92       69.26      112.18
 1971   68      1903       39.08       64.72      103.80
 1971   68      1902       38.92       64.28      103.20
 1971   69      1902       46.59       62.21      108.80
 1971   69      1901       46.41       61.79      108.20
 1971   70      1901       47.84       75.47      123.31
 1971   70      1900       48.16       75.53      123.69
 1971   71      1900       53.82       77.97      131.79
 1971   71      1899       54.18       78.03      132.21
 1971   72      1899       46.85       74.97      121.82
 1971   72      1898       47.15       75.03      122.18
 1971   73      1898       52.33       63.98      116.31
 1971   73      1897       52.67       64.02      116.69
 1971   74      1897       68.28       66.98      135.26
 1971   74      1896       68.72       67.02      135.74
 1971   75      1896       58.47       73.60      132.07
 1971   75      1895       59.53       74.40      133.93
 1971   76      1895       67.88       66.14      134.02
 1971   76      1894       69.12       66.86      135.98
 1971   77      1894       60.94       61.17      122.11
 1971   77      1893       62.06       61.83      123.89
 1971   78      1893       70.36       69.13      139.49
 1971   78      1892       71.64       69.87      141.51
 1971   79      1892       75.81       64.15      139.96
 1971   79      1891       77.19       64.85      142.04
 1971   80      1891       66.38       65.24      131.62
 1971   80      1890       67.62       65.76      133.38
 1971   81      1890       67.87       65.74      133.61
 1971   81      1889       69.13       66.26      135.39
 1971   82      1889       80.74       61.26      142.00
 1971   82      1888       82.26       61.74      144.00
 1971   83      1888       71.33       65.24      136.57
 1971   83      1887       72.67       65.76      138.43
 1971   84      1887       66.87       46.81      113.68
 1971   84      1886       68.13       47.19      115.32
 1971   85      1886       75.46       53.89      129.35
 1971   85      1885       75.54       53.11      128.65
 1971   86      1885       59.97       42.81      102.78
 1971   86      1884       60.03       42.19      102.22
 1971   87      1884       58.47       39.28       97.75
 1971   87      1883       58.53       38.72       97.25
 1971   88      1883       44.48       27.70       72.18
 1971   88      1882       44.52       27.30       71.82
 1971   89      1882       41.48       26.19       67.67
 1971   89      1881       41.52       25.81       67.33
 1971   90      1881       44.13       20.45       64.58
 1971   90      1880       42.87       19.55       62.42
 1971   91      1880       30.44       13.29       43.73
 1971   91      1879       29.56       12.71       42.27
 1971   92      1879       22.32        8.18       30.50
 1971   92      1878       21.68        7.82       29.50
 1971   93      1878       20.29        8.69       28.98
